time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.942,0.935,0.943,0.929,26902.0,星期五,-0.0011,-0.0074
2026-06-25,0.947,0.943,0.951,0.941,26858.0,星期四,-0.0042,-0.0042
2026-06-24,0.956,0.951,0.96,0.945,18188.0,星期三,0.0063,-0.0052
2026-06-23,0.962,0.95,0.967,0.949,22679.0,星期二,-0.001,-0.0125
2026-06-22,0.968,0.963,0.968,0.953,25625.0,星期一,0.0052,-0.0052
2026-06-18,0.99,0.963,0.998,0.961,70440.0,星期四,0.001,-0.0273
2026-06-17,0.998,0.989,1.001,0.986,14584.0,星期三,-0.002,-0.009
2026-06-16,1.01,1.0,1.011,1.0,24229.0,星期二,-0.001,-0.0099
2026-06-15,1.017,1.011,1.023,1.01,32810.0,星期一,0.003,-0.0059
2026-06-12,1.01,1.014,1.017,1.009,8094.0,星期五,0.005,0.004
2026-06-11,1.005,1.005,1.016,1.0,58899.0,星期四,-0.005,0.0
2026-06-10,1.013,1.01,1.016,1.006,22537.0,星期三,-0.0069,-0.003
2026-06-09,1.016,1.02,1.022,1.014,29466.0,星期二,-0.0029,0.0039
2026-06-08,1.017,1.019,1.023,1.012,21403.0,星期一,-0.0068,0.002
2026-06-05,1.029,1.024,1.033,1.023,34989.0,星期五,0.0029,-0.0049
2026-06-04,1.036,1.026,1.036,1.026,25576.0,星期四,0.0,-0.0097
2026-06-03,1.04,1.036,1.044,1.03,53674.0,星期三,-0.0029,-0.0038
2026-06-02,1.044,1.043,1.049,1.037,18767.0,星期二,0.001,-0.001
2026-06-01,1.03,1.043,1.044,1.025,77157.0,星期一,0.0,0.0126
2026-05-29,1.022,1.03,1.034,1.021,15879.0,星期五,0.0,0.0078
2026-05-28,1.028,1.022,1.028,1.015,36027.0,星期四,0.0,-0.0058
2026-05-27,1.036,1.028,1.043,1.027,39134.0,星期三,-0.0038,-0.0077
2026-05-26,1.042,1.04,1.045,1.037,31893.0,星期二,0.0,-0.0019
2026-05-25,1.06,1.042,1.075,1.041,17473.0,星期一,0.0144,-0.017
2026-05-22,1.051,1.045,1.052,1.045,25502.0,星期五,0.0,-0.0057
2026-05-21,1.055,1.051,1.057,1.05,26057.0,星期四,0.0,-0.0038
2026-05-20,1.06,1.055,1.06,1.054,22169.0,星期三,0.0,-0.0047
2026-05-19,1.053,1.06,1.061,1.053,38011.0,星期二,0.0,0.0066
2026-05-18,1.064,1.053,1.068,1.052,38125.0,星期一,0.0028,-0.0103
2026-05-15,1.068,1.061,1.068,1.059,30938.0,星期五,0.0,-0.0066
2026-05-14,1.073,1.068,1.073,1.066,12424.0,星期四,0.0047,-0.0047
2026-05-13,1.075,1.068,1.076,1.068,29967.0,星期三,-0.0019,-0.0065
2026-05-12,1.078,1.077,1.08,1.074,60552.0,星期二,0.0037,-0.0009
2026-05-11,1.07,1.074,1.075,1.067,24859.0,星期一,0.0009,0.0037
2026-05-08,1.071,1.069,1.078,1.065,18715.0,星期五,-0.0056,-0.0019
2026-05-07,1.074,1.077,1.078,1.073,29958.0,星期四,0.0009,0.0028
2026-05-06,1.061,1.073,1.074,1.061,42984.0,星期三,-0.0009,0.0113
2026-04-30,1.071,1.062,1.071,1.06,10176.0,星期四,-0.0009,-0.0084
2026-04-29,1.064,1.072,1.072,1.064,30421.0,星期三,0.0009,0.0075
2026-04-28,1.059,1.063,1.063,1.054,13583.0,星期二,-0.0019,0.0038
2026-04-27,1.074,1.061,1.074,1.06,9956.0,星期一,0.0085,-0.0121
2026-04-24,1.068,1.065,1.068,1.056,37340.0,星期五,0.0047,-0.0028
