time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.057,0.999,1.057,0.999,605003.0,星期五,0.0,-0.0549
2026-06-25,1.063,1.057,1.065,1.046,285912.0,星期四,0.0,-0.0056
2026-06-24,1.039,1.063,1.072,1.027,280582.0,星期三,-0.0124,0.0231
2026-06-23,1.105,1.052,1.105,1.047,309376.0,星期二,-0.0027,-0.048
2026-06-22,1.049,1.108,1.108,1.044,561872.0,星期一,-0.0076,0.0562
2026-06-18,1.068,1.057,1.074,1.048,253266.0,星期四,0.0,-0.0103
2026-06-17,1.063,1.068,1.072,1.054,217998.0,星期三,-0.0139,0.0047
2026-06-16,1.047,1.078,1.079,1.038,402979.0,星期二,0.0106,0.0296
2026-06-15,1.028,1.036,1.037,1.021,175535.0,星期一,0.0078,0.0078
2026-06-12,1.0,1.02,1.037,1.0,255145.0,星期五,0.004,0.02
2026-06-11,0.987,0.996,1.008,0.981,338013.0,星期四,-0.008,0.0091
2026-06-10,1.017,0.995,1.017,0.982,195998.0,星期三,-0.0059,-0.0216
2026-06-09,1.007,1.023,1.024,0.988,225057.0,星期二,0.0141,0.0159
2026-06-08,0.99,0.993,1.021,0.982,710438.0,星期一,-0.0323,0.003
2026-06-05,1.038,1.023,1.046,1.015,746957.0,星期五,-0.0048,-0.0145
2026-06-04,1.06,1.043,1.06,1.04,619786.0,星期四,-0.0047,-0.016
2026-06-03,1.073,1.065,1.085,1.053,278579.0,星期三,-0.0037,-0.0075
2026-06-02,1.077,1.077,1.086,1.05,422564.0,星期二,-0.0009,0.0
2026-06-01,1.086,1.078,1.111,1.077,321495.0,星期一,0.0,-0.0074
2026-05-29,1.124,1.086,1.124,1.077,350039.0,星期五,0.0018,-0.0338
2026-05-28,1.122,1.122,1.127,1.091,379445.0,星期四,-0.0018,0.0
2026-05-27,1.113,1.124,1.151,1.113,775300.0,星期三,-0.0036,0.0099
2026-05-26,1.106,1.117,1.135,1.103,214979.0,星期二,-0.0081,0.0099
2026-05-25,1.142,1.115,1.143,1.106,290357.0,星期一,-0.0017,-0.0236
2026-05-22,1.125,1.144,1.145,1.124,283673.0,星期五,-0.0071,0.0169
2026-05-21,1.154,1.133,1.173,1.124,403545.0,星期四,0.0,-0.0182
2026-05-20,1.117,1.154,1.159,1.107,472318.0,星期三,-0.0009,0.0331
2026-05-19,1.117,1.118,1.127,1.098,180750.0,星期二,-0.0018,0.0009
2026-05-18,1.094,1.119,1.125,1.093,740237.0,星期一,-0.0144,0.0229
2026-05-15,1.099,1.11,1.133,1.086,226893.0,星期五,0.0018,0.01
2026-05-14,1.145,1.097,1.145,1.097,555907.0,星期四,0.0088,-0.0419
2026-05-13,1.122,1.135,1.139,1.118,259718.0,星期三,-0.0071,0.0116
2026-05-12,1.146,1.13,1.147,1.116,300432.0,星期二,0.0026,-0.014
2026-05-11,1.14,1.143,1.157,1.126,262857.0,星期一,0.0044,0.0026
2026-05-08,1.159,1.135,1.166,1.132,198844.0,星期五,0.0,-0.0207
