time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.879,0.858,0.879,0.856,161495.0,星期五,-0.0068,-0.0239
2026-06-25,0.878,0.885,0.888,0.872,153163.0,星期四,-0.0068,0.008
2026-06-24,0.894,0.884,0.898,0.881,125730.0,星期三,0.0068,-0.0112
2026-06-23,0.878,0.888,0.902,0.878,174931.0,星期二,-0.0068,0.0114
2026-06-22,0.876,0.884,0.888,0.864,137109.0,星期一,0.0,0.0091
2026-06-18,0.882,0.876,0.885,0.873,135491.0,星期四,-0.0056,-0.0068
2026-06-17,0.898,0.887,0.898,0.885,118563.0,星期三,0.0056,-0.0122
2026-06-16,0.905,0.893,0.905,0.89,129435.0,星期二,0.0022,-0.0133
2026-06-15,0.901,0.903,0.912,0.898,141831.0,星期一,-0.0033,0.0022
2026-06-12,0.896,0.904,0.907,0.887,110871.0,星期五,0.0,0.0089
2026-06-11,0.89,0.896,0.896,0.887,97418.0,星期四,-0.0067,0.0067
2026-06-10,0.89,0.896,0.896,0.884,137295.0,星期三,0.0,0.0067
2026-06-09,0.879,0.89,0.892,0.879,119337.0,星期二,0.0,0.0125
2026-06-08,0.885,0.879,0.895,0.87,97269.0,星期一,-0.0067,-0.0068
2026-06-05,0.889,0.891,0.898,0.889,122220.0,星期五,0.0,0.0022
2026-06-04,0.902,0.889,0.903,0.883,150427.0,星期四,-0.0011,-0.0144
2026-06-03,0.91,0.903,0.916,0.896,172503.0,星期三,-0.0066,-0.0077
2026-06-02,0.935,0.916,0.935,0.913,213478.0,星期二,0.0043,-0.0203
2026-06-01,0.918,0.931,0.931,0.916,132472.0,星期一,-0.0065,0.0142
2026-05-29,0.912,0.924,0.932,0.909,193209.0,星期五,0.0022,0.0132
2026-05-28,0.917,0.91,0.92,0.904,116348.0,星期四,-0.0065,-0.0076
2026-05-27,0.925,0.923,0.929,0.907,174090.0,星期三,-0.0043,-0.0022
2026-05-26,0.934,0.929,0.936,0.923,105994.0,星期二,0.0011,-0.0054
2026-05-25,0.934,0.933,0.938,0.929,99984.0,星期一,0.0,-0.0011
2026-05-22,0.942,0.934,0.942,0.932,110374.0,星期五,0.0064,-0.0085
