time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.792,0.784,0.809,0.781,223224.0,星期五,-0.0013,-0.0101
2026-06-25,0.814,0.793,0.814,0.781,152906.0,星期四,0.0162,-0.0258
2026-06-24,0.806,0.801,0.814,0.778,288534.0,星期三,0.0413,-0.0062
2026-06-23,0.776,0.774,0.801,0.767,208781.0,星期二,0.0,-0.0026
2026-06-22,0.777,0.776,0.779,0.751,61452.0,星期一,0.0013,-0.0013
2026-06-18,0.766,0.776,0.794,0.757,139014.0,星期四,0.0,0.0131
2026-06-17,0.778,0.766,0.782,0.764,72864.0,星期三,0.0065,-0.0154
2026-06-16,0.796,0.773,0.796,0.773,40145.0,星期二,0.0,-0.0289
2026-06-15,0.8,0.796,0.808,0.793,42944.0,星期一,0.0076,-0.005
2026-06-12,0.776,0.794,0.798,0.77,106659.0,星期五,0.0104,0.0232
2026-06-11,0.772,0.768,0.779,0.756,131445.0,星期四,-0.0103,-0.0052
2026-06-10,0.773,0.78,0.781,0.757,101737.0,星期三,0.0039,0.0091
2026-06-09,0.783,0.77,0.783,0.755,144334.0,星期二,0.0103,-0.0166
2026-06-08,0.805,0.775,0.805,0.771,88971.0,星期一,0.0025,-0.0373
2026-06-05,0.819,0.803,0.829,0.8,109492.0,星期五,0.0099,-0.0195
2026-06-04,0.82,0.811,0.827,0.804,110228.0,星期四,0.0,-0.011
2026-06-03,0.848,0.82,0.848,0.817,117328.0,星期三,0.0059,-0.033
2026-06-02,0.855,0.843,0.855,0.83,151204.0,星期二,0.0,-0.014
2026-06-01,0.884,0.855,0.892,0.849,170932.0,星期一,0.0173,-0.0328
2026-05-29,0.85,0.869,0.877,0.837,199334.0,星期五,0.0095,0.0224
2026-05-28,0.871,0.842,0.872,0.837,121229.0,星期四,0.0,-0.0333
2026-05-27,0.882,0.871,0.882,0.861,94232.0,星期三,-0.0011,-0.0125
2026-05-26,0.881,0.883,0.887,0.864,101394.0,星期二,0.0,0.0023
2026-05-25,0.885,0.881,0.899,0.879,15712.0,星期一,-0.0023,-0.0045
2026-05-22,0.891,0.887,0.899,0.88,132248.0,星期五,0.0091,-0.0045
2026-05-21,0.882,0.883,0.899,0.881,143974.0,星期四,0.008,0.0011
2026-05-20,0.88,0.875,0.882,0.868,93597.0,星期三,0.0011,-0.0057
2026-05-19,0.882,0.879,0.896,0.872,173883.0,星期二,0.0068,-0.0034
2026-05-18,0.9,0.876,0.9,0.875,171730.0,星期一,0.0,-0.0267
2026-05-15,0.917,0.9,0.917,0.892,152512.0,星期五,0.0011,-0.0185
2026-05-14,0.94,0.916,0.95,0.915,140863.0,星期四,0.0011,-0.0255
2026-05-13,0.952,0.939,0.956,0.935,140241.0,星期三,0.0,-0.0137
2026-05-12,0.954,0.952,0.963,0.946,164999.0,星期二,-0.001,-0.0021
2026-05-11,0.95,0.955,0.96,0.932,286889.0,星期一,-0.0021,0.0053
2026-05-08,0.965,0.952,0.965,0.95,76889.0,星期五,-0.0031,-0.0135
2026-05-07,0.963,0.968,0.976,0.96,131398.0,星期四,0.0105,0.0052
2026-05-06,0.961,0.953,0.961,0.945,150745.0,星期三,-0.0041,-0.0083
2026-04-30,0.959,0.965,0.973,0.954,80725.0,星期四,0.0,0.0063
2026-04-29,0.965,0.959,0.967,0.956,126677.0,星期三,0.0105,-0.0062
2026-04-28,0.959,0.955,0.987,0.954,152276.0,星期二,0.0,-0.0042
2026-04-27,0.973,0.959,0.973,0.957,247682.0,星期一,0.001,-0.0144
2026-04-24,0.965,0.972,0.977,0.941,205415.0,星期五,-0.0031,0.0073
2026-04-23,1.003,0.968,1.003,0.967,225879.0,星期四,-0.005,-0.0349
2026-04-22,1.006,1.008,1.019,1.006,123559.0,星期三,-0.0108,0.002
2026-04-21,1.02,1.017,1.025,1.011,65364.0,星期二,-0.002,-0.0029
2026-04-20,1.033,1.022,1.033,1.021,64000.0,星期一,0.0068,-0.0106
2026-04-17,1.043,1.026,1.052,1.02,90871.0,星期五,0.0,-0.0163
2026-04-16,1.037,1.043,1.049,1.028,413902.0,星期四,0.0019,0.0058
2026-04-15,1.008,1.035,1.043,1.008,700322.0,星期三,0.011,0.0268
2026-04-14,0.995,0.997,1.004,0.986,162862.0,星期二,0.003,0.002
2026-04-13,1.004,0.992,1.005,0.99,216130.0,星期一,0.0,-0.012
2026-04-10,1.001,1.004,1.014,1.001,177942.0,星期五,0.001,0.003
2026-04-09,1.014,1.0,1.028,1.0,128786.0,星期四,-0.001,-0.0138
2026-04-08,1.05,1.015,1.05,1.005,271388.0,星期三,0.0386,-0.0333
2026-04-07,1.007,1.011,1.027,1.007,69590.0,星期二,0.0,0.004
2026-04-03,1.017,1.007,1.026,1.007,156185.0,星期五,-0.0029,-0.0098
2026-04-02,1.02,1.02,1.038,1.006,482276.0,星期四,-0.002,0.0
2026-04-01,0.981,1.022,1.023,0.972,1023883.0,星期三,0.0229,0.0418
2026-03-31,0.97,0.959,0.981,0.954,158530.0,星期二,0.0094,-0.0113
2026-03-30,0.95,0.961,0.968,0.946,254944.0,星期一,-0.0104,0.0116
2026-03-27,0.91,0.96,0.961,0.901,709385.0,星期五,-0.0033,0.0549
2026-03-26,0.933,0.913,0.945,0.91,344746.0,星期四,0.0119,-0.0214
2026-03-25,0.935,0.922,0.94,0.919,297260.0,星期三,0.0141,-0.0139
2026-03-24,0.892,0.922,0.922,0.892,275709.0,星期二,0.0136,0.0336
2026-03-23,0.914,0.88,0.914,0.876,208185.0,星期一,-0.0098,-0.0372
2026-03-20,0.938,0.923,0.956,0.922,154905.0,星期五,0.0,-0.016
2026-03-19,0.95,0.938,0.966,0.936,125937.0,星期四,-0.0166,-0.0126
2026-03-18,0.954,0.966,0.968,0.952,147338.0,星期三,0.0,0.0126
2026-03-17,0.948,0.954,0.979,0.935,196749.0,星期二,0.0,0.0063
2026-03-16,0.925,0.948,0.95,0.916,147038.0,星期一,-0.0011,0.0249
2026-03-13,0.946,0.926,0.946,0.921,68544.0,星期五,0.0075,-0.0211
2026-03-12,0.961,0.939,0.977,0.93,172504.0,星期四,0.0,-0.0229
2026-03-11,0.98,0.961,0.983,0.955,108784.0,星期三,0.0041,-0.0194
2026-03-10,0.954,0.976,0.977,0.954,172868.0,星期二,0.016,0.0231
2026-03-09,0.95,0.939,0.95,0.918,176186.0,星期一,-0.0104,-0.0116
2026-03-06,0.928,0.96,0.966,0.921,167508.0,星期五,0.0,0.0345
2026-03-05,0.922,0.928,0.949,0.919,270432.0,星期四,0.0177,0.0065
2026-03-04,0.92,0.906,0.934,0.901,350491.0,星期三,,-0.0152
