time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.75,0.738,0.755,0.736,332158.0,星期五,-0.0132,-0.016
2026-06-25,0.777,0.76,0.777,0.754,342184.0,星期四,-0.0051,-0.0219
2026-06-24,0.777,0.781,0.794,0.769,379028.0,星期三,-0.0013,0.0051
2026-06-23,0.807,0.778,0.81,0.773,289119.0,星期二,-0.0037,-0.0359
2026-06-22,0.81,0.81,0.82,0.798,465004.0,星期一,-0.0061,0.0
2026-06-18,0.839,0.815,0.839,0.813,370760.0,星期四,-0.0012,-0.0286
2026-06-17,0.84,0.84,0.849,0.834,270783.0,星期三,-0.0059,0.0
2026-06-16,0.866,0.845,0.867,0.842,225959.0,星期二,0.0,-0.0242
2026-06-15,0.87,0.866,0.876,0.861,320061.0,星期一,0.0164,-0.0046
2026-06-12,0.867,0.856,0.87,0.856,436633.0,星期五,0.0188,-0.0127
2026-06-11,0.87,0.851,0.876,0.846,491777.0,星期四,0.0012,-0.0218
2026-06-10,0.893,0.869,0.893,0.86,331068.0,星期三,-0.0022,-0.0269
2026-06-09,0.905,0.895,0.906,0.876,377209.0,星期二,0.0308,-0.011
2026-06-08,0.889,0.878,0.893,0.86,230565.0,星期一,-0.0144,-0.0124
2026-06-05,0.901,0.902,0.909,0.894,273499.0,星期五,-0.0066,0.0011
2026-06-04,0.919,0.907,0.919,0.903,250692.0,星期四,-0.0086,-0.0131
2026-06-03,0.95,0.927,0.955,0.921,487198.0,星期三,-0.0063,-0.0242
2026-06-02,0.922,0.956,0.958,0.92,1539702.0,星期二,0.0121,0.0369
2026-06-01,0.881,0.911,0.914,0.881,1060749.0,星期一,0.0,0.0341
2026-05-29,0.873,0.881,0.892,0.871,419987.0,星期五,0.0116,0.0092
2026-05-28,0.883,0.863,0.883,0.849,253815.0,星期四,0.0,-0.0227
2026-05-27,0.902,0.883,0.904,0.883,269438.0,星期三,0.0022,-0.0211
2026-05-26,0.888,0.9,0.902,0.876,182664.0,星期二,0.0,0.0135
2026-05-25,0.9,0.888,0.9,0.881,74291.0,星期一,0.0101,-0.0133
2026-05-22,0.907,0.891,0.908,0.88,245936.0,星期五,0.0342,-0.0176
2026-05-21,0.9,0.877,0.906,0.876,323451.0,星期四,0.0011,-0.0256
2026-05-20,0.911,0.899,0.911,0.893,269968.0,星期三,-0.0011,-0.0132
2026-05-19,0.903,0.912,0.917,0.903,278321.0,星期二,0.0011,0.01
2026-05-18,0.907,0.902,0.918,0.897,181542.0,星期一,-0.0077,-0.0055
2026-05-15,0.953,0.914,0.956,0.908,404853.0,星期五,0.0095,-0.0409
2026-05-14,0.969,0.944,0.979,0.944,352683.0,星期四,0.0276,-0.0258
2026-05-13,0.938,0.943,0.95,0.93,315521.0,星期三,-0.0032,0.0053
2026-05-12,0.958,0.941,0.958,0.941,305243.0,星期二,0.0031,-0.0177
2026-05-11,0.96,0.955,0.964,0.945,242298.0,星期一,0.001,-0.0052
2026-05-08,0.95,0.959,0.961,0.943,457072.0,星期五,0.0,0.0095
2026-05-07,0.937,0.95,0.954,0.937,378111.0,星期四,0.0152,0.0139
2026-05-06,0.918,0.923,0.932,0.915,217710.0,星期三,0.0044,0.0054
2026-04-30,0.922,0.914,0.922,0.903,381863.0,星期四,0.0,-0.0087
2026-04-29,0.911,0.922,0.926,0.91,215219.0,星期三,0.0,0.0121
