time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.84,0.807,0.846,0.802,92135.0,星期五,0.0,-0.0393
2026-06-25,0.849,0.84,0.853,0.833,69001.0,星期四,-0.0139,-0.0106
2026-06-24,0.84,0.861,0.861,0.833,92543.0,星期三,-0.0233,0.025
2026-06-23,0.944,0.86,0.945,0.857,184247.0,星期二,0.0,-0.089
2026-06-22,0.89,0.944,0.944,0.89,202598.0,星期一,0.0,0.0607
2026-06-18,0.876,0.89,0.907,0.866,99093.0,星期四,-0.0023,0.016
2026-06-17,0.876,0.878,0.886,0.863,87202.0,星期三,0.0,0.0023
2026-06-16,0.888,0.876,0.893,0.872,108642.0,星期二,0.0,-0.0135
2026-06-15,0.881,0.888,0.888,0.843,162186.0,星期一,0.0451,0.0079
2026-06-12,0.824,0.843,0.864,0.82,133843.0,星期五,0.0223,0.0231
2026-06-11,0.789,0.806,0.813,0.78,88373.0,星期四,-0.0013,0.0215
2026-06-10,0.787,0.79,0.793,0.777,73468.0,星期三,-0.015,0.0038
2026-06-09,0.782,0.799,0.8,0.768,90453.0,星期二,0.0051,0.0217
2026-06-08,0.803,0.778,0.804,0.77,188245.0,星期一,-0.0314,-0.0311
2026-06-05,0.845,0.829,0.854,0.823,63448.0,星期五,-0.0024,-0.0189
2026-06-04,0.863,0.847,0.877,0.841,65948.0,星期四,-0.016,-0.0185
2026-06-03,0.868,0.877,0.885,0.857,91055.0,星期三,0.0,0.0104
2026-06-02,0.837,0.868,0.869,0.83,94108.0,星期二,0.0024,0.037
2026-06-01,0.842,0.835,0.85,0.833,68555.0,星期一,0.0,-0.0083
2026-05-29,0.855,0.842,0.866,0.834,131736.0,星期五,0.0,-0.0152
2026-05-28,0.84,0.855,0.86,0.83,84463.0,星期四,-0.0175,0.0179
2026-05-27,0.876,0.855,0.888,0.851,103173.0,星期三,-0.0135,-0.024
2026-05-26,0.858,0.888,0.889,0.84,174147.0,星期二,-0.0012,0.035
2026-05-25,0.858,0.859,0.89,0.848,100636.0,星期一,0.0047,0.0012
2026-05-22,0.816,0.854,0.857,0.816,155437.0,星期五,0.0,0.0466
2026-05-21,0.837,0.816,0.853,0.815,90514.0,星期四,0.0024,-0.0251
2026-05-20,0.829,0.835,0.838,0.811,67474.0,星期三,0.0012,0.0072
2026-05-19,0.835,0.828,0.84,0.812,60460.0,星期二,0.0,-0.0084
2026-05-18,0.847,0.835,0.847,0.821,52367.0,星期一,-0.0047,-0.0142
