time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.936,0.916,0.936,0.915,3851.0,星期五,0.0021,-0.0214
2026-06-25,0.936,0.934,0.941,0.932,3524.0,星期四,0.0021,-0.0021
2026-06-24,0.946,0.934,0.946,0.931,2078.0,星期三,0.0042,-0.0127
2026-06-23,0.959,0.942,0.961,0.939,3610.0,星期二,0.0021,-0.0177
2026-06-22,0.953,0.957,0.957,0.941,13165.0,星期一,-0.001,0.0042
2026-06-18,0.952,0.954,0.955,0.949,7036.0,星期四,-0.0073,0.0021
2026-06-17,0.955,0.959,0.959,0.952,844.0,星期三,-0.0062,0.0042
2026-06-16,0.962,0.961,0.962,0.956,22367.0,星期二,0.0031,-0.001
2026-06-15,0.954,0.959,0.959,0.952,26691.0,星期一,0.0,0.0052
2026-06-12,0.96,0.954,0.964,0.954,4793.0,星期五,0.0042,-0.0063
2026-06-11,0.953,0.956,0.964,0.951,74516.0,星期四,-0.0021,0.0031
2026-06-10,0.957,0.955,0.96,0.954,2620.0,星期三,-0.0124,-0.0021
2026-06-09,0.956,0.969,0.969,0.954,27945.0,星期二,0.0031,0.0136
2026-06-08,0.961,0.953,0.976,0.953,22843.0,星期一,-0.0041,-0.0083
2026-06-05,0.967,0.965,0.978,0.962,6320.0,星期五,-0.0021,-0.0021
2026-06-04,0.976,0.969,0.98,0.967,4403.0,星期四,0.0031,-0.0072
2026-06-03,0.972,0.973,0.982,0.97,7753.0,星期三,0.0,0.001
2026-06-02,0.968,0.972,0.976,0.965,14218.0,星期二,0.0062,0.0041
2026-06-01,0.961,0.962,0.968,0.957,12872.0,星期一,0.0,0.001
2026-05-29,0.97,0.961,0.972,0.954,4340.0,星期五,0.0,-0.0093
2026-05-28,0.973,0.97,0.973,0.96,14863.0,星期四,-0.0112,-0.0031
2026-05-27,0.999,0.984,0.999,0.981,8999.0,星期三,-0.006,-0.015
2026-05-26,1.005,1.005,1.01,0.997,35503.0,星期二,0.0,0.0
2026-05-25,1.007,1.005,1.007,1.0,27435.0,星期一,0.003,-0.002
2026-05-22,1.004,1.004,1.007,0.997,38614.0,星期五,0.003,0.0
2026-05-21,1.012,1.001,1.023,1.0,45203.0,星期四,0.0,-0.0109
2026-05-20,1.015,1.012,1.026,1.002,7503.0,星期三,0.002,-0.003
2026-05-19,1.016,1.013,1.017,1.008,20419.0,星期二,0.0,-0.003
2026-05-18,1.022,1.016,1.025,1.014,19757.0,星期一,0.001,-0.0059
2026-05-15,1.015,1.021,1.035,1.014,61223.0,星期五,0.0,0.0059
2026-05-14,1.028,1.015,1.034,1.015,50725.0,星期四,0.0,-0.0126
2026-05-13,1.015,1.028,1.028,1.012,87275.0,星期三,-0.001,0.0128
2026-05-12,1.026,1.016,1.026,1.013,83534.0,星期二,0.0,-0.0097
2026-05-11,1.018,1.026,1.03,1.015,327224.0,星期一,-0.001,0.0079
2026-05-08,1.005,1.019,1.019,1.004,1865255.0,星期五,,0.0139
