time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.89,0.882,0.891,0.882,15075.0,星期五,-0.0078,-0.009
2026-06-25,0.906,0.897,0.906,0.894,34280.0,星期四,0.0,-0.0099
2026-06-24,0.916,0.906,0.916,0.904,9344.0,星期三,0.0,-0.0109
2026-06-23,0.919,0.916,0.929,0.916,12054.0,星期二,0.0011,-0.0033
2026-06-22,0.91,0.918,0.919,0.896,30751.0,星期一,-0.0055,0.0088
2026-06-18,0.925,0.915,0.925,0.914,22800.0,星期四,-0.0032,-0.0108
2026-06-17,0.932,0.928,0.932,0.927,15696.0,星期三,-0.0043,-0.0043
2026-06-16,0.947,0.936,0.947,0.932,10085.0,星期二,0.0021,-0.0116
2026-06-15,0.952,0.945,0.952,0.942,10353.0,星期一,0.0042,-0.0074
2026-06-12,0.937,0.948,0.95,0.931,11106.0,星期五,0.0043,0.0117
2026-06-11,0.935,0.933,0.935,0.925,6930.0,星期四,0.0,-0.0021
2026-06-10,0.943,0.935,0.943,0.929,16245.0,星期三,0.0,-0.0085
2026-06-09,0.947,0.943,0.947,0.939,21658.0,星期二,0.0,-0.0042
2026-06-08,0.966,0.947,0.966,0.941,22661.0,星期一,0.0042,-0.0197
2026-06-05,0.969,0.962,0.971,0.96,28180.0,星期五,0.0021,-0.0072
2026-06-04,0.973,0.967,0.978,0.963,21904.0,星期四,-0.0061,-0.0062
2026-06-03,0.98,0.979,0.98,0.969,26000.0,星期三,-0.0041,-0.001
2026-06-02,0.991,0.984,0.993,0.981,22133.0,星期二,0.0,-0.0071
2026-06-01,0.97,0.991,0.992,0.966,16730.0,星期一,-0.001,0.0216
2026-05-29,0.961,0.971,0.976,0.961,19174.0,星期五,-0.001,0.0104
2026-05-28,0.967,0.962,0.971,0.956,17014.0,星期四,0.0,-0.0052
2026-05-27,0.973,0.967,0.973,0.96,18738.0,星期三,-0.0021,-0.0062
2026-05-26,0.978,0.975,0.978,0.97,21068.0,星期二,0.0,-0.0031
2026-05-25,0.978,0.978,0.983,0.974,8167.0,星期一,0.0,0.0
2026-05-22,0.978,0.978,0.98,0.971,23200.0,星期五,0.002,0.0
2026-05-21,0.994,0.976,1.0,0.976,24660.0,星期四,0.0,-0.0181
2026-05-20,1.001,0.994,1.001,0.992,28193.0,星期三,0.0,-0.007
2026-05-19,1.0,1.001,1.003,0.996,23719.0,星期二,0.0,0.001
2026-05-18,1.005,1.0,1.007,0.994,35696.0,星期一,-0.002,-0.005
2026-05-15,1.01,1.007,1.015,1.004,21876.0,星期五,-0.003,-0.003
2026-05-14,1.021,1.013,1.022,1.012,25416.0,星期四,-0.0029,-0.0078
2026-05-13,1.022,1.024,1.024,1.02,46512.0,星期三,-0.002,0.002
2026-05-12,1.028,1.024,1.03,1.023,25773.0,星期二,0.0019,-0.0039
2026-05-11,1.022,1.026,1.028,1.022,29089.0,星期一,0.0,0.0039
2026-05-08,1.024,1.022,1.029,1.019,31149.0,星期五,-0.001,-0.002
2026-05-07,1.028,1.025,1.03,1.023,22038.0,星期四,-0.001,-0.0029
2026-05-06,1.027,1.029,1.029,1.021,52852.0,星期三,0.0,0.0019
2026-04-30,1.028,1.027,1.029,1.022,14678.0,星期四,-0.0019,-0.001
2026-04-29,1.016,1.03,1.031,1.016,67913.0,星期三,-0.0029,0.0138
2026-04-28,1.016,1.019,1.02,1.012,16158.0,星期二,0.001,0.003
2026-04-27,1.017,1.015,1.018,1.014,22646.0,星期一,0.0,-0.002
2026-04-24,1.024,1.017,1.024,1.013,17516.0,星期五,0.001,-0.0068
2026-04-23,1.023,1.023,1.025,1.014,24401.0,星期四,0.0,0.0
2026-04-22,1.025,1.023,1.025,1.02,42230.0,星期三,0.0,-0.002
2026-04-21,1.014,1.025,1.025,1.014,93194.0,星期二,-0.001,0.0108
2026-04-20,1.016,1.015,1.018,1.012,88294.0,星期一,0.0,-0.001
2026-04-17,1.015,1.016,1.02,1.01,47934.0,星期五,-0.0059,0.001
2026-04-16,1.009,1.021,1.022,1.009,109433.0,星期四,-0.002,0.0119
2026-04-15,1.001,1.011,1.012,1.001,294068.0,星期三,-0.002,0.01
2026-04-14,0.998,1.003,1.004,0.996,133042.0,星期二,-0.004,0.005
2026-04-13,1.002,1.002,1.005,0.998,233086.0,星期一,-0.004,0.0
2026-04-10,1.004,1.006,1.009,1.001,1661897.0,星期五,,0.002
