time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.13,2.06,2.13,2.047,469400.0,星期五,-0.0079,-0.0329
2026-06-25,2.1,2.147,2.147,2.077,400402.0,星期四,0.0091,0.0224
2026-06-24,2.046,2.081,2.084,2.039,323750.0,星期三,-0.0073,0.0171
2026-06-23,2.135,2.061,2.136,2.038,489924.0,星期二,0.0,-0.0347
2026-06-22,2.128,2.135,2.135,2.07,281673.0,星期一,0.0206,0.0033
2026-06-18,2.033,2.085,2.092,2.023,302006.0,星期四,-0.0049,0.0256
2026-06-17,1.993,2.043,2.043,1.985,444013.0,星期三,-0.0085,0.0251
2026-06-16,1.987,2.01,2.028,1.978,395907.0,星期二,0.0051,0.0116
2026-06-15,1.9,1.977,1.977,1.884,549944.0,星期一,0.0112,0.0405
2026-06-12,1.917,1.879,1.921,1.873,340590.0,星期五,0.0164,-0.0198
2026-06-11,1.872,1.886,1.917,1.843,507869.0,星期四,-0.0095,0.0075
2026-06-10,1.91,1.89,1.925,1.873,378234.0,星期三,-0.017,-0.0105
2026-06-09,1.888,1.943,1.943,1.875,591621.0,星期二,0.0091,0.0291
2026-06-08,1.875,1.871,1.914,1.851,527922.0,星期一,-0.0365,-0.0021
2026-06-05,1.998,1.946,2.012,1.927,463568.0,星期五,-0.003,-0.026
2026-06-04,2.002,2.004,2.016,1.985,382056.0,星期四,-0.0104,0.001
2026-06-03,1.992,2.023,2.066,1.99,402323.0,星期三,0.0025,0.0156
2026-06-02,1.941,1.987,2.0,1.933,482091.0,星期二,-0.0005,0.0237
2026-06-01,1.983,1.942,1.999,1.932,387935.0,星期一,0.0005,-0.0207
2026-05-29,2.035,1.982,2.038,1.965,435245.0,星期五,0.0069,-0.026
2026-05-28,1.983,2.021,2.025,1.946,395605.0,星期四,-0.0005,0.0192
2026-05-27,1.986,1.984,2.031,1.967,441697.0,星期三,0.0015,-0.001
2026-05-26,1.96,1.983,1.987,1.952,350061.0,星期二,-0.0051,0.0117
2026-05-25,1.944,1.97,1.97,1.914,368708.0,星期一,0.0067,0.0134
2026-05-22,1.895,1.931,1.935,1.889,378308.0,星期五,0.008,0.019
2026-05-21,1.943,1.88,1.968,1.874,490511.0,星期四,0.0115,-0.0324
2026-05-20,1.897,1.921,1.934,1.897,367126.0,星期三,-0.0109,0.0127
2026-05-19,1.908,1.918,1.919,1.867,475859.0,星期二,-0.0068,0.0052
2026-05-18,1.928,1.921,1.94,1.9,323678.0,星期一,0.0016,-0.0036
2026-05-15,1.939,1.925,1.96,1.896,357421.0,星期五,0.0005,-0.0072
2026-05-14,1.995,1.938,2.002,1.928,388493.0,星期四,0.0091,-0.0286
2026-05-13,1.914,1.977,1.981,1.9,222226.0,星期三,-0.0057,0.0329
2026-05-12,1.937,1.925,1.937,1.908,250983.0,星期二,0.0068,-0.0062
2026-05-11,1.873,1.924,1.928,1.859,350677.0,星期一,0.0075,0.0272
2026-05-08,1.858,1.859,1.88,1.851,203308.0,星期五,-0.0091,0.0005
2026-05-07,1.861,1.875,1.879,1.84,262624.0,星期四,0.0059,0.0075
2026-05-06,1.827,1.85,1.866,1.821,304754.0,星期三,0.0133,0.0126
2026-04-30,1.802,1.803,1.818,1.79,306281.0,星期四,0.0,0.0006
2026-04-29,1.75,1.802,1.805,1.748,312109.0,星期三,-0.0057,0.0297
