time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.44,1.388,1.445,1.385,447808.0,星期五,-0.013,-0.0361
2026-06-25,1.446,1.459,1.46,1.421,274711.0,星期四,0.0,0.009
2026-06-24,1.432,1.446,1.451,1.417,214999.0,星期三,-0.0021,0.0098
2026-06-23,1.495,1.435,1.496,1.427,336376.0,星期二,0.0007,-0.0401
2026-06-22,1.47,1.494,1.494,1.448,406856.0,星期一,-0.0054,0.0163
2026-06-18,1.444,1.478,1.479,1.434,342158.0,星期四,-0.0035,0.0235
2026-06-17,1.42,1.449,1.451,1.412,247832.0,星期三,-0.0132,0.0204
2026-06-16,1.458,1.439,1.458,1.431,172857.0,星期二,0.0055,-0.013
2026-06-15,1.41,1.45,1.453,1.406,252034.0,星期一,0.0043,0.0284
2026-06-12,1.426,1.404,1.43,1.398,151864.0,星期五,0.0178,-0.0154
2026-06-11,1.48,1.401,1.48,1.377,291444.0,星期四,0.0235,-0.0534
2026-06-10,1.46,1.446,1.482,1.435,197545.0,星期三,-0.0027,-0.0096
2026-06-09,1.426,1.464,1.47,1.425,282392.0,星期二,0.0071,0.0266
2026-06-08,1.406,1.416,1.456,1.405,344969.0,星期一,-0.0435,0.0071
2026-06-05,1.513,1.47,1.534,1.46,403877.0,星期五,-0.0007,-0.0284
2026-06-04,1.514,1.514,1.522,1.503,297878.0,星期四,-0.0162,0.0
2026-06-03,1.525,1.539,1.57,1.516,378147.0,星期三,0.0013,0.0092
2026-06-02,1.467,1.523,1.532,1.467,425639.0,星期二,0.0,0.0382
2026-06-01,1.467,1.467,1.499,1.456,233024.0,星期一,0.0,0.0
2026-05-29,1.502,1.467,1.518,1.459,446929.0,星期五,0.0007,-0.0233
2026-05-28,1.466,1.501,1.505,1.44,316391.0,星期四,-0.002,0.0239
2026-05-27,1.494,1.469,1.508,1.463,342871.0,星期三,-0.0073,-0.0167
2026-05-26,1.501,1.505,1.507,1.48,368677.0,星期二,-0.002,0.0027
2026-05-25,1.49,1.504,1.508,1.455,300235.0,星期一,0.0088,0.0094
2026-05-22,1.446,1.477,1.482,1.44,272245.0,星期五,0.0007,0.0214
2026-05-21,1.52,1.445,1.526,1.437,479644.0,星期四,0.0066,-0.0493
2026-05-20,1.512,1.51,1.535,1.503,206241.0,星期三,-0.0079,-0.0013
2026-05-19,1.51,1.524,1.527,1.487,263418.0,星期二,-0.0066,0.0093
2026-05-18,1.508,1.52,1.542,1.506,363306.0,星期一,-0.0079,0.008
2026-05-15,1.54,1.52,1.564,1.506,418492.0,星期五,-0.0045,-0.013
2026-05-14,1.604,1.547,1.613,1.528,517632.0,星期四,0.0197,-0.0355
2026-05-13,1.504,1.573,1.576,1.496,494138.0,星期三,-0.0092,0.0459
2026-05-12,1.521,1.518,1.529,1.506,402622.0,星期二,0.0013,-0.002
2026-05-11,1.515,1.519,1.52,1.475,430178.0,星期一,0.0087,0.0026
2026-05-08,1.481,1.502,1.512,1.481,266047.0,星期五,-0.0179,0.0142
2026-05-07,1.472,1.508,1.508,1.46,311079.0,星期四,0.0055,0.0245
2026-05-06,1.443,1.464,1.483,1.439,257084.0,星期三,0.0162,0.0146
2026-04-30,1.426,1.42,1.435,1.397,212708.0,星期四,0.0,-0.0042
2026-04-29,1.406,1.426,1.437,1.4,171235.0,星期三,0.0,0.0142
2026-04-28,1.436,1.406,1.436,1.4,227993.0,星期二,-0.0083,-0.0209
2026-04-27,1.471,1.448,1.471,1.442,218953.0,星期一,0.0048,-0.0156
2026-04-24,1.47,1.464,1.482,1.438,353916.0,星期五,-0.0187,-0.0041
2026-04-23,1.513,1.498,1.516,1.48,384590.0,星期四,0.0033,-0.0099
2026-04-22,1.447,1.508,1.508,1.444,306158.0,星期三,-0.0136,0.0422
2026-04-21,1.473,1.467,1.479,1.448,376381.0,星期二,-0.0101,-0.0041
2026-04-20,1.47,1.488,1.503,1.466,498776.0,星期一,-0.0054,0.0122
2026-04-17,1.47,1.478,1.482,1.457,439327.0,星期五,0.0075,0.0054
2026-04-16,1.402,1.459,1.459,1.402,440839.0,星期四,0.0043,0.0407
2026-04-15,1.415,1.396,1.428,1.387,331240.0,星期三,0.0057,-0.0134
2026-04-14,1.398,1.407,1.419,1.392,370122.0,星期二,0.013,0.0064
2026-04-13,1.364,1.38,1.384,1.359,349993.0,星期一,-0.0109,0.0117
2026-04-10,1.362,1.379,1.389,1.358,339372.0,星期五,0.0059,0.0125
2026-04-09,1.374,1.354,1.374,1.339,345750.0,星期四,0.0007,-0.0146
2026-04-08,1.31,1.373,1.373,1.3,570393.0,星期三,0.0323,0.0481
2026-04-07,1.27,1.269,1.278,1.257,163961.0,星期二,0.0016,-0.0008
2026-04-03,1.268,1.268,1.281,1.263,180944.0,星期五,0.0063,0.0
2026-04-02,1.298,1.26,1.314,1.254,396296.0,星期四,-0.0107,-0.0293
2026-04-01,1.29,1.312,1.313,1.287,470862.0,星期三,0.0198,0.0171
2026-03-31,1.28,1.265,1.294,1.263,155579.0,星期二,-0.0062,-0.0117
2026-03-30,1.263,1.288,1.294,1.26,148885.0,星期一,-0.0247,0.0198
2026-03-27,1.27,1.295,1.307,1.27,149397.0,星期五,-0.0223,0.0197
2026-03-26,1.332,1.299,1.342,1.295,190882.0,星期四,-0.0037,-0.0248
2026-03-25,1.318,1.337,1.35,1.315,263332.0,星期三,0.0123,0.0144
2026-03-24,1.289,1.302,1.303,1.263,345067.0,星期二,0.0094,0.0101
2026-03-23,1.316,1.277,1.322,1.269,334644.0,星期一,-0.0194,-0.0296
2026-03-20,1.362,1.342,1.379,1.337,335612.0,星期五,-0.0007,-0.0147
