time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.376,1.346,1.38,1.335,48368.0,星期五,-0.0094,-0.0218
2026-06-25,1.361,1.389,1.39,1.354,32561.0,星期四,-0.0029,0.0206
2026-06-24,1.343,1.365,1.365,1.32,53910.0,星期三,0.0022,0.0164
2026-06-23,1.39,1.34,1.39,1.333,35587.0,星期二,0.0094,-0.036
2026-06-22,1.372,1.377,1.379,1.341,44740.0,星期一,-0.0058,0.0036
2026-06-18,1.332,1.38,1.38,1.332,28650.0,星期四,-0.0465,0.036
2026-06-17,1.317,1.397,1.405,1.31,52572.0,星期三,-0.0164,0.0607
2026-06-16,1.298,1.339,1.339,1.287,36616.0,星期二,0.0,0.0316
2026-06-15,1.229,1.298,1.299,1.212,54225.0,星期一,0.0099,0.0561
2026-06-12,1.229,1.217,1.245,1.204,47813.0,星期五,0.0099,-0.0098
2026-06-11,1.204,1.217,1.221,1.195,41048.0,星期四,-0.0099,0.0108
2026-06-10,1.227,1.216,1.247,1.2,52305.0,星期三,-0.016,-0.009
2026-06-09,1.196,1.247,1.247,1.196,19995.0,星期二,0.0093,0.0426
2026-06-08,1.226,1.185,1.226,1.177,42203.0,星期一,-0.0097,-0.0334
2026-06-05,1.253,1.238,1.265,1.228,23172.0,星期五,0.0,-0.012
2026-06-04,1.253,1.253,1.257,1.235,24986.0,星期四,-0.0048,0.0
2026-06-03,1.249,1.259,1.278,1.231,31239.0,星期三,0.0,0.008
2026-06-02,1.218,1.249,1.249,1.2,38875.0,星期二,-0.0098,0.0255
2026-06-01,1.244,1.23,1.258,1.222,47552.0,星期一,0.0,-0.0113
2026-05-29,1.291,1.244,1.292,1.242,42716.0,星期五,0.0016,-0.0364
2026-05-28,1.265,1.289,1.293,1.238,36613.0,星期四,0.0064,0.019
2026-05-27,1.287,1.257,1.288,1.257,33396.0,星期三,0.0063,-0.0233
2026-05-26,1.285,1.279,1.285,1.257,37531.0,星期二,0.0016,-0.0047
2026-05-25,1.264,1.283,1.299,1.26,18190.0,星期一,0.0024,0.015
2026-05-22,1.231,1.261,1.262,1.223,23075.0,星期五,0.0098,0.0244
2026-05-21,1.249,1.219,1.276,1.219,26643.0,星期四,0.0008,-0.024
2026-05-20,1.233,1.248,1.25,1.233,28446.0,星期三,-0.0096,0.0122
2026-05-19,1.236,1.245,1.298,1.214,21776.0,星期二,0.0,0.0073
2026-05-18,1.226,1.236,1.249,1.223,28992.0,星期一,-0.0065,0.0082
2026-05-15,1.248,1.234,1.259,1.224,39298.0,星期五,-0.0008,-0.0112
2026-05-14,1.277,1.249,1.288,1.246,38099.0,星期四,0.0008,-0.0219
2026-05-13,1.244,1.276,1.277,1.239,19179.0,星期三,-0.0032,0.0257
2026-05-12,1.259,1.248,1.259,1.235,12081.0,星期二,0.0096,-0.0087
2026-05-11,1.216,1.247,1.253,1.216,21225.0,星期一,0.0025,0.0255
2026-05-08,1.21,1.213,1.219,1.2,15812.0,星期五,-0.0008,0.0025
2026-05-07,1.186,1.211,1.212,1.184,17538.0,星期四,0.0017,0.0211
2026-05-06,1.161,1.184,1.193,1.161,18550.0,星期三,0.0096,0.0198
2026-04-30,1.135,1.15,1.155,1.135,42783.0,星期四,-0.0096,0.0132
2026-04-29,1.129,1.146,1.148,1.122,11773.0,星期三,0.0036,0.0151
2026-04-28,1.136,1.125,1.136,1.12,34235.0,星期二,-0.0061,-0.0097
2026-04-27,1.138,1.143,1.148,1.136,34723.0,星期一,-0.0035,0.0044
2026-04-24,1.151,1.142,1.156,1.13,37943.0,星期五,-0.0095,-0.0078
2026-04-23,1.18,1.162,1.183,1.151,55754.0,星期四,0.0,-0.0153
2026-04-22,1.159,1.18,1.18,1.156,24074.0,星期三,0.0009,0.0181
2026-04-21,1.157,1.158,1.159,1.14,17919.0,星期二,0.0,0.0009
2026-04-20,1.151,1.157,1.158,1.144,34543.0,星期一,-0.0026,0.0052
2026-04-17,1.132,1.154,1.154,1.131,34834.0,星期五,0.0009,0.0194
2026-04-16,1.098,1.131,1.131,1.098,48548.0,星期四,-0.0036,0.0301
2026-04-15,1.119,1.102,1.122,1.099,48399.0,星期三,0.0099,-0.0152
2026-04-14,1.096,1.108,1.11,1.096,52844.0,星期二,0.0,0.0109
2026-04-13,1.101,1.096,1.101,1.089,18596.0,星期一,0.0092,-0.0045
2026-04-10,1.062,1.091,1.097,1.062,33810.0,星期五,-0.0056,0.0273
2026-04-09,1.059,1.068,1.072,1.057,11837.0,星期四,-0.0094,0.0085
2026-04-08,1.021,1.069,1.069,1.021,21775.0,星期三,0.0099,0.047
2026-04-07,1.012,1.011,1.014,1.005,12081.0,星期二,0.007,-0.001
2026-04-03,1.009,1.005,1.014,1.001,10794.0,星期五,-0.001,-0.004
2026-04-02,1.031,1.01,1.031,1.003,35744.0,星期四,0.0019,-0.0204
2026-04-01,1.019,1.029,1.03,1.019,15805.0,星期三,0.0089,0.0098
2026-03-31,1.024,1.01,1.032,1.01,19965.0,星期二,-0.0049,-0.0137
2026-03-30,1.052,1.029,1.052,1.013,37926.0,星期一,0.0,-0.0219
2026-03-27,1.014,1.052,1.057,1.01,38588.0,星期五,-0.0069,0.0375
2026-03-26,1.025,1.021,1.044,1.019,19471.0,星期四,-0.0087,-0.0039
2026-03-25,1.025,1.034,1.039,1.017,31744.0,星期三,0.0099,0.0088
2026-03-24,1.01,1.015,1.015,0.984,27742.0,星期二,0.0192,0.005
2026-03-23,1.027,0.991,1.034,0.989,46868.0,星期一,-0.0134,-0.0351
2026-03-20,1.049,1.041,1.068,1.041,25482.0,星期五,0.0,-0.0076
2026-03-19,1.067,1.049,1.067,1.043,44888.0,星期四,0.0019,-0.0169
2026-03-18,1.045,1.065,1.068,1.043,39638.0,星期三,0.0087,0.0191
2026-03-17,1.086,1.036,1.086,1.036,29502.0,星期二,0.0037,-0.046
2026-03-16,1.072,1.082,1.083,1.062,26393.0,星期一,-0.0028,0.0093
2026-03-13,1.077,1.075,1.085,1.073,35813.0,星期五,-0.0092,-0.0019
2026-03-12,1.087,1.087,1.097,1.074,31937.0,星期四,-0.0091,0.0
2026-03-11,1.089,1.097,1.104,1.089,23380.0,星期三,0.0,0.0073
2026-03-10,1.061,1.089,1.11,1.061,61010.0,星期二,0.0038,0.0264
2026-03-09,1.056,1.057,1.058,1.025,37464.0,星期一,-0.0094,0.0009
2026-03-06,1.047,1.066,1.07,1.047,37120.0,星期五,-0.0095,0.0181
2026-03-05,1.047,1.057,1.072,1.047,20454.0,星期四,0.0096,0.0096
2026-03-04,1.05,1.037,1.055,1.022,28462.0,星期三,-0.0038,-0.0124
2026-03-03,1.083,1.054,1.095,1.053,44414.0,星期二,-0.0091,-0.0268
2026-03-02,1.094,1.093,1.1,1.086,63414.0,星期一,-0.0082,-0.0009
2026-02-27,1.096,1.103,1.105,1.096,38111.0,星期五,-0.0099,0.0064
2026-02-26,1.093,1.107,1.108,1.091,96292.0,星期四,-0.0055,0.0128
2026-02-25,1.098,1.099,1.099,1.085,66647.0,星期三,0.0092,0.0009
2026-02-24,1.079,1.088,1.098,1.056,24490.0,星期二,0.0009,0.0083
2026-02-13,1.07,1.078,1.1,1.07,38054.0,星期五,-0.0147,0.0075
2026-02-12,1.077,1.086,1.087,1.074,46881.0,星期四,0.0075,0.0084
2026-02-11,1.078,1.069,1.079,1.067,25702.0,星期三,0.0009,-0.0083
2026-02-10,1.08,1.077,1.082,1.075,23125.0,星期二,0.0009,-0.0028
2026-02-09,1.045,1.079,1.079,1.045,55264.0,星期一,0.0,0.0325
2026-02-06,1.041,1.045,1.06,1.034,39120.0,星期五,-0.0095,0.0038
2026-02-05,1.066,1.051,1.066,1.048,41670.0,星期四,-0.0037,-0.0141
2026-02-04,1.077,1.07,1.077,1.059,53057.0,星期三,0.0009,-0.0065
2026-02-03,1.056,1.076,1.076,1.052,54227.0,星期二,0.0096,0.0189
2026-02-02,1.077,1.046,1.079,1.046,37545.0,星期一,0.0047,-0.0288
2026-01-30,1.061,1.072,1.076,1.041,76942.0,星期五,-0.0009,0.0104
2026-01-29,1.069,1.062,1.084,1.061,36870.0,星期四,-0.0056,-0.0065
2026-01-28,1.071,1.075,1.089,1.071,37954.0,星期三,-0.0093,0.0037
2026-01-27,1.074,1.081,1.087,1.058,38102.0,星期二,-0.0019,0.0065
2026-01-26,1.088,1.076,1.094,1.071,70026.0,星期一,0.0,-0.011
2026-01-23,1.078,1.088,1.088,1.074,74470.0,星期五,0.0056,0.0093
2026-01-22,1.062,1.072,1.073,1.062,75154.0,星期四,0.0019,0.0094
2026-01-21,1.047,1.06,1.064,1.037,80688.0,星期三,0.0,0.0124
2026-01-20,1.058,1.047,1.07,1.042,114600.0,星期二,-0.0084,-0.0104
