time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.751,2.744,2.807,2.664,1107847.0,星期五,-0.0069,-0.0025
2026-06-25,2.707,2.77,2.778,2.68,1168694.0,星期四,0.0204,0.0233
2026-06-24,2.458,2.653,2.653,2.45,681811.0,星期三,-0.0148,0.0793
2026-06-23,2.541,2.495,2.583,2.457,674995.0,星期二,-0.002,-0.0181
2026-06-22,2.474,2.546,2.551,2.44,844820.0,星期一,0.0057,0.0291
2026-06-18,2.387,2.46,2.483,2.378,984376.0,星期四,0.0034,0.0306
2026-06-17,2.183,2.379,2.379,2.183,795370.0,星期三,-0.0215,0.0898
2026-06-16,2.234,2.231,2.24,2.193,603164.0,星期二,0.0104,-0.0013
2026-06-15,2.128,2.211,2.211,2.071,725593.0,星期一,0.0196,0.039
2026-06-12,2.196,2.087,2.203,2.085,746270.0,星期五,0.0432,-0.0496
2026-06-11,2.059,2.105,2.13,2.059,409678.0,星期四,-0.0134,0.0223
2026-06-10,2.07,2.087,2.174,2.064,542475.0,星期三,-0.019,0.0082
2026-06-09,2.056,2.11,2.11,2.028,634811.0,星期二,0.0229,0.0263
2026-06-08,1.983,2.01,2.06,1.978,524194.0,星期一,-0.0571,0.0136
2026-06-05,2.162,2.103,2.192,2.088,903920.0,星期五,-0.0195,-0.0273
2026-06-04,2.12,2.205,2.225,2.12,590345.0,星期四,-0.023,0.0401
2026-06-03,2.103,2.17,2.228,2.101,783173.0,星期三,0.0033,0.0319
2026-06-02,2.053,2.096,2.13,2.032,759835.0,星期二,-0.0039,0.0209
2026-06-01,2.153,2.061,2.186,2.055,875164.0,星期一,-0.0101,-0.0427
2026-05-29,2.307,2.175,2.325,2.151,909554.0,星期五,0.0004,-0.0572
2026-05-28,2.298,2.306,2.323,2.258,822482.0,星期四,-0.0009,0.0035
2026-05-27,2.383,2.3,2.43,2.293,1229312.0,星期三,0.0042,-0.0348
2026-05-26,2.39,2.373,2.393,2.299,1287256.0,星期二,-0.0038,-0.0071
2026-05-25,2.229,2.399,2.4,2.195,1164068.0,星期一,0.0004,0.0763
2026-05-22,2.171,2.228,2.23,2.145,687464.0,星期五,-0.0032,0.0263
2026-05-21,2.3,2.178,2.333,2.162,1073843.0,星期四,0.0254,-0.053
2026-05-20,2.121,2.243,2.245,2.108,893288.0,星期三,-0.0024,0.0575
2026-05-19,2.023,2.126,2.128,1.989,520686.0,星期二,-0.0137,0.0509
2026-05-18,2.03,2.051,2.109,2.03,497794.0,星期一,-0.001,0.0103
2026-05-15,2.008,2.032,2.123,1.968,657634.0,星期五,-0.0099,0.012
2026-05-14,2.099,2.028,2.122,2.023,508801.0,星期四,0.0057,-0.0338
2026-05-13,1.964,2.087,2.09,1.961,533419.0,星期三,-0.0344,0.0626
2026-05-12,2.035,2.034,2.056,1.983,602848.0,星期二,0.0049,-0.0005
2026-05-11,1.958,2.025,2.034,1.949,617782.0,星期一,0.03,0.0342
2026-05-08,1.906,1.901,1.927,1.879,492741.0,星期五,-0.0236,-0.0026
2026-05-07,1.926,1.952,1.96,1.906,563096.0,星期四,0.0026,0.0135
2026-05-06,1.9,1.921,1.993,1.866,737599.0,星期三,0.0451,0.0111
2026-04-30,1.741,1.818,1.827,1.741,519507.0,星期四,0.0081,0.0442
2026-04-29,1.706,1.727,1.731,1.675,347206.0,星期三,-0.0161,0.0123
2026-04-28,1.756,1.734,1.784,1.724,428899.0,星期二,0.0006,-0.0125
2026-04-27,1.698,1.755,1.759,1.688,440153.0,星期一,0.0168,0.0336
2026-04-24,1.641,1.67,1.691,1.627,441634.0,星期五,0.0018,0.0177
2026-04-23,1.672,1.638,1.673,1.618,333342.0,星期四,0.0121,-0.0203
2026-04-22,1.613,1.652,1.652,1.602,306508.0,星期三,0.0,0.0242
2026-04-21,1.624,1.613,1.624,1.586,230021.0,星期二,-0.0043,-0.0068
2026-04-20,1.61,1.631,1.636,1.604,219763.0,星期一,-0.0006,0.013
2026-04-17,1.604,1.611,1.627,1.595,225364.0,星期五,0.0006,0.0044
2026-04-16,1.578,1.603,1.603,1.57,245549.0,星期四,0.0006,0.0158
2026-04-15,1.593,1.577,1.612,1.568,327841.0,星期三,0.005,-0.01
2026-04-14,1.569,1.585,1.592,1.567,321471.0,星期二,0.011,0.0102
2026-04-13,1.524,1.552,1.578,1.524,292804.0,星期一,-0.0117,0.0184
2026-04-10,1.536,1.542,1.563,1.536,321160.0,星期五,0.0139,0.0039
2026-04-09,1.489,1.515,1.533,1.485,374409.0,星期四,-0.0139,0.0175
2026-04-08,1.471,1.51,1.513,1.455,474160.0,星期三,0.0366,0.0265
2026-04-07,1.395,1.419,1.43,1.395,251014.0,星期二,-0.0007,0.0172
2026-04-03,1.403,1.396,1.417,1.39,212754.0,星期五,0.0021,-0.005
2026-04-02,1.445,1.4,1.445,1.389,319265.0,星期四,0.0,-0.0311
2026-04-01,1.441,1.445,1.452,1.429,272944.0,星期三,0.0256,0.0028
2026-03-31,1.444,1.405,1.448,1.402,288841.0,星期二,-0.0048,-0.027
2026-03-30,1.422,1.451,1.455,1.417,210817.0,星期一,-0.0186,0.0204
2026-03-27,1.414,1.449,1.46,1.407,188271.0,星期五,-0.0174,0.0248
2026-03-26,1.462,1.439,1.47,1.432,198867.0,星期四,-0.0075,-0.0157
2026-03-25,1.445,1.473,1.489,1.445,270623.0,星期三,0.0028,0.0194
2026-03-24,1.432,1.441,1.442,1.396,270803.0,星期二,0.0085,0.0063
2026-03-23,1.459,1.42,1.47,1.409,316368.0,星期一,-0.0234,-0.0267
2026-03-20,1.533,1.494,1.535,1.491,166658.0,星期五,0.0072,-0.0254
2026-03-19,1.529,1.522,1.536,1.513,206725.0,星期四,-0.018,-0.0046
2026-03-18,1.527,1.557,1.558,1.526,176143.0,星期三,0.0007,0.0196
2026-03-17,1.572,1.526,1.572,1.525,176183.0,星期二,0.0038,-0.0293
2026-03-16,1.533,1.566,1.569,1.507,218488.0,星期一,-0.0039,0.0215
2026-03-13,1.536,1.539,1.563,1.528,133955.0,星期五,-0.0084,0.002
2026-03-12,1.57,1.549,1.584,1.535,155678.0,星期四,0.0006,-0.0134
2026-03-11,1.587,1.569,1.599,1.567,183504.0,星期三,0.0006,-0.0113
2026-03-10,1.567,1.586,1.593,1.567,216978.0,星期二,0.011,0.0121
2026-03-09,1.555,1.55,1.555,1.498,278780.0,星期一,-0.0177,-0.0032
2026-03-06,1.585,1.583,1.598,1.562,145950.0,星期五,-0.0006,-0.0013
2026-03-05,1.606,1.586,1.607,1.576,170178.0,星期四,0.0295,-0.0125
2026-03-04,1.537,1.56,1.596,1.536,216032.0,星期三,-0.021,0.015
2026-03-03,1.656,1.57,1.665,1.565,287672.0,星期二,0.0,-0.0519
2026-03-02,1.656,1.656,1.683,1.62,171477.0,星期一,-0.0166,0.0
2026-02-27,1.678,1.684,1.693,1.658,186215.0,星期五,-0.0129,0.0036
2026-02-26,1.676,1.7,1.713,1.654,222711.0,星期四,0.0,0.0143
2026-02-25,1.681,1.676,1.685,1.642,217612.0,星期三,0.0096,-0.003
2026-02-24,1.675,1.665,1.683,1.641,195042.0,星期二,0.0096,-0.006
2026-02-13,1.643,1.659,1.677,1.64,212932.0,星期五,-0.0073,0.0097
