time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.414,1.376,1.414,1.37,96384.0,星期五,-0.0049,-0.0269
2026-06-25,1.4,1.421,1.421,1.4,236155.0,星期四,0.0014,0.015
2026-06-24,1.383,1.398,1.401,1.381,217295.0,星期三,0.0,0.0108
2026-06-23,1.423,1.383,1.427,1.376,216002.0,星期二,-0.0028,-0.0281
2026-06-22,1.397,1.427,1.428,1.392,165873.0,星期一,0.0,0.0215
2026-06-18,1.384,1.397,1.401,1.384,189857.0,星期四,-0.0014,0.0094
2026-06-17,1.367,1.386,1.386,1.364,176873.0,星期三,-0.0007,0.0139
2026-06-16,1.366,1.368,1.375,1.365,116639.0,星期二,-0.0007,0.0015
2026-06-15,1.345,1.367,1.367,1.345,135567.0,星期一,0.009,0.0164
2026-06-12,1.33,1.333,1.346,1.33,145888.0,星期五,0.0099,0.0023
2026-06-11,1.319,1.317,1.328,1.306,150597.0,星期四,-0.0023,-0.0015
2026-06-10,1.338,1.322,1.338,1.313,155588.0,星期三,0.0,-0.012
2026-06-09,1.311,1.338,1.338,1.31,136373.0,星期二,0.0,0.0206
2026-06-08,1.349,1.311,1.349,1.301,192998.0,星期一,0.0007,-0.0282
2026-06-05,1.356,1.348,1.374,1.343,206814.0,星期五,-0.0088,-0.0059
2026-06-04,1.369,1.368,1.375,1.363,163656.0,星期四,-0.0051,-0.0007
2026-06-03,1.364,1.376,1.392,1.364,170906.0,星期三,-0.0022,0.0088
2026-06-02,1.352,1.367,1.374,1.342,183206.0,星期二,0.0007,0.0111
2026-06-01,1.369,1.351,1.378,1.35,207060.0,星期一,0.0029,-0.0131
2026-05-29,1.385,1.365,1.386,1.362,221592.0,星期五,0.0065,-0.0144
2026-05-28,1.367,1.376,1.382,1.36,274493.0,星期四,-0.008,0.0066
2026-05-27,1.393,1.378,1.406,1.373,136816.0,星期三,0.0,-0.0108
2026-05-26,1.388,1.393,1.394,1.375,118052.0,星期二,0.0,0.0036
2026-05-25,1.367,1.388,1.388,1.367,129665.0,星期一,0.0007,0.0154
2026-05-22,1.355,1.366,1.368,1.349,176916.0,星期五,0.0052,0.0081
2026-05-21,1.382,1.348,1.395,1.345,165300.0,星期四,0.0073,-0.0246
2026-05-20,1.369,1.372,1.374,1.361,167722.0,星期三,0.0015,0.0022
2026-05-19,1.359,1.367,1.369,1.341,243411.0,星期二,-0.0022,0.0059
2026-05-18,1.362,1.362,1.371,1.352,233140.0,星期一,-0.0022,0.0
2026-05-15,1.385,1.365,1.389,1.357,397924.0,星期五,0.0,-0.0144
2026-05-14,1.42,1.385,1.42,1.385,234521.0,星期四,0.005,-0.0246
2026-05-13,1.392,1.413,1.413,1.389,260298.0,星期三,-0.0043,0.0151
2026-05-12,1.402,1.398,1.403,1.391,222628.0,星期二,0.0014,-0.0029
2026-05-11,1.383,1.4,1.403,1.381,143346.0,星期一,0.0066,0.0123
2026-05-08,1.381,1.374,1.381,1.357,259808.0,星期五,0.0,-0.0051
2026-05-07,1.376,1.381,1.381,1.37,160321.0,星期四,0.0036,0.0036
2026-05-06,1.35,1.371,1.376,1.35,200624.0,星期三,0.0045,0.0156
2026-04-30,1.346,1.344,1.349,1.34,301148.0,星期四,0.0015,-0.0015
2026-04-29,1.325,1.344,1.347,1.325,114910.0,星期三,0.0008,0.0143
2026-04-28,1.329,1.324,1.332,1.321,116670.0,星期二,-0.0023,-0.0038
2026-04-27,1.325,1.332,1.339,1.325,118064.0,星期一,-0.0038,0.0053
2026-04-24,1.336,1.33,1.336,1.315,119084.0,星期五,0.0,-0.0045
2026-04-23,1.346,1.336,1.347,1.327,120159.0,星期四,0.003,-0.0074
2026-04-22,1.328,1.342,1.342,1.328,85571.0,星期三,-0.0023,0.0105
2026-04-21,1.327,1.331,1.333,1.319,82253.0,星期二,-0.0008,0.003
2026-04-20,1.32,1.328,1.333,1.32,148325.0,星期一,0.0008,0.0061
2026-04-17,1.325,1.319,1.325,1.316,76511.0,星期五,0.0023,-0.0045
2026-04-16,1.31,1.322,1.322,1.31,101068.0,星期四,0.0054,0.0092
2026-04-15,1.317,1.303,1.317,1.3,60764.0,星期三,0.0053,-0.0106
2026-04-14,1.302,1.31,1.31,1.296,91253.0,星期二,0.007,0.0061
2026-04-13,1.289,1.293,1.296,1.287,102556.0,星期一,-0.0008,0.0031
2026-04-10,1.28,1.29,1.298,1.279,92937.0,星期五,0.0055,0.0078
2026-04-09,1.268,1.273,1.276,1.268,133519.0,星期四,-0.0094,0.0039
2026-04-08,1.239,1.28,1.28,1.239,112016.0,星期三,0.0049,0.0331
2026-04-07,1.224,1.233,1.243,1.224,134919.0,星期二,-0.0041,0.0074
2026-04-03,1.24,1.229,1.24,1.228,199870.0,星期五,0.0,-0.0089
2026-04-02,1.25,1.24,1.254,1.234,110539.0,星期四,-0.004,-0.008
2026-04-01,1.245,1.255,1.26,1.245,181617.0,星期三,0.0065,0.008
2026-03-31,1.245,1.237,1.258,1.237,175416.0,星期二,-0.0048,-0.0064
2026-03-30,1.245,1.251,1.263,1.233,139650.0,星期一,-0.0048,0.0048
2026-03-27,1.235,1.251,1.258,1.229,151807.0,星期五,-0.0048,0.013
2026-03-26,1.256,1.241,1.267,1.239,182291.0,星期四,0.0,-0.0119
2026-03-25,1.247,1.256,1.261,1.24,136309.0,星期三,0.0097,0.0072
2026-03-24,1.228,1.235,1.237,1.212,194819.0,星期二,0.0074,0.0057
2026-03-23,1.257,1.219,1.257,1.216,186741.0,星期一,-0.0055,-0.0302
2026-03-20,1.282,1.264,1.284,1.264,196315.0,星期五,0.0094,-0.014
2026-03-19,1.291,1.27,1.291,1.266,188527.0,星期四,-0.0046,-0.0163
2026-03-18,1.291,1.297,1.297,1.28,169658.0,星期三,0.0016,0.0046
2026-03-17,1.305,1.289,1.315,1.289,156221.0,星期二,0.0015,-0.0123
2026-03-16,1.306,1.303,1.306,1.289,162713.0,星期一,0.0,-0.0023
2026-03-13,1.313,1.306,1.32,1.305,178573.0,星期五,-0.0023,-0.0053
2026-03-12,1.322,1.316,1.322,1.305,151361.0,星期四,0.0,-0.0045
2026-03-11,1.317,1.322,1.325,1.317,432530.0,星期三,0.0008,0.0038
2026-03-10,1.297,1.316,1.316,1.297,229485.0,星期二,0.0008,0.0146
2026-03-09,1.303,1.296,1.303,1.272,135710.0,星期一,-0.0053,-0.0054
2026-03-06,1.305,1.31,1.312,1.297,152250.0,星期五,0.0,0.0038
2026-03-05,1.299,1.305,1.312,1.299,215400.0,星期四,0.0046,0.0046
2026-03-04,1.311,1.293,1.311,1.286,203999.0,星期三,0.0038,-0.0137
2026-03-03,1.339,1.306,1.34,1.303,286657.0,星期二,0.0022,-0.0246
2026-03-02,1.32,1.336,1.34,1.32,218361.0,星期一,-0.0098,0.0121
2026-02-27,1.33,1.333,1.335,1.326,204360.0,星期五,-0.0008,0.0023
2026-02-26,1.336,1.331,1.336,1.326,167633.0,星期四,0.003,-0.0037
2026-02-25,1.323,1.332,1.34,1.323,111747.0,星期三,0.0023,0.0068
2026-02-24,1.313,1.32,1.331,1.313,118334.0,星期二,0.0054,0.0053
2026-02-13,1.324,1.306,1.333,1.306,161036.0,星期五,0.0,-0.0136
