time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.477,1.438,1.477,1.432,20334.0,星期五,-0.0014,-0.0264
2026-06-25,1.463,1.479,1.479,1.463,22998.0,星期四,0.0041,0.0109
2026-06-24,1.441,1.457,1.464,1.44,19206.0,星期三,-0.0007,0.0111
2026-06-23,1.478,1.442,1.481,1.433,20676.0,星期二,-0.0027,-0.0244
2026-06-22,1.448,1.482,1.483,1.442,53247.0,星期一,-0.0014,0.0235
2026-06-18,1.445,1.45,1.456,1.439,37932.0,星期四,0.0,0.0035
2026-06-17,1.422,1.445,1.445,1.417,28914.0,星期三,0.0,0.0162
2026-06-16,1.416,1.422,1.428,1.415,35082.0,星期二,-0.0021,0.0042
2026-06-15,1.375,1.419,1.419,1.375,28503.0,星期一,0.0007,0.032
2026-06-12,1.362,1.374,1.392,1.362,22269.0,星期五,0.0081,0.0088
2026-06-11,1.362,1.351,1.368,1.348,36050.0,星期四,0.0,-0.0081
2026-06-10,1.366,1.362,1.372,1.355,30008.0,星期三,-0.0101,-0.0029
2026-06-09,1.348,1.38,1.38,1.348,18955.0,星期二,0.0007,0.0237
2026-06-08,1.381,1.347,1.381,1.333,50381.0,星期一,-0.0022,-0.0246
2026-06-05,1.408,1.384,1.412,1.379,41511.0,星期五,0.0014,-0.017
2026-06-04,1.403,1.406,1.414,1.4,23775.0,星期四,-0.0043,0.0021
2026-06-03,1.408,1.409,1.429,1.403,37498.0,星期三,-0.0007,0.0007
2026-06-02,1.399,1.409,1.416,1.384,33459.0,星期二,0.0029,0.0071
2026-06-01,1.412,1.395,1.42,1.395,35499.0,星期一,0.0014,-0.012
2026-05-29,1.43,1.41,1.43,1.408,35154.0,星期五,0.0063,-0.014
2026-05-28,1.421,1.421,1.424,1.404,38773.0,星期四,-0.0021,0.0
2026-05-27,1.437,1.424,1.444,1.418,33888.0,星期三,0.0,-0.009
2026-05-26,1.427,1.437,1.438,1.418,27123.0,星期二,-0.0014,0.007
2026-05-25,1.416,1.429,1.429,1.414,26258.0,星期一,0.005,0.0092
2026-05-22,1.402,1.409,1.412,1.394,34744.0,星期五,0.005,0.005
2026-05-21,1.423,1.395,1.439,1.395,39604.0,星期四,0.0042,-0.0197
2026-05-20,1.409,1.417,1.419,1.406,56742.0,星期三,0.0,0.0057
2026-05-19,1.397,1.409,1.41,1.391,29067.0,星期二,-0.005,0.0086
2026-05-18,1.392,1.404,1.414,1.392,35143.0,星期一,0.0094,0.0086
2026-05-15,1.43,1.379,1.43,1.379,64594.0,星期五,-0.0056,-0.0357
2026-05-14,1.462,1.438,1.463,1.433,20002.0,星期四,0.0021,-0.0164
2026-05-13,1.44,1.459,1.46,1.438,26513.0,星期三,-0.0048,0.0132
2026-05-12,1.452,1.447,1.453,1.444,27358.0,星期二,0.0021,-0.0034
2026-05-11,1.436,1.449,1.45,1.434,28201.0,星期一,0.0049,0.0091
2026-05-08,1.43,1.429,1.431,1.424,18708.0,星期五,-0.0021,-0.0007
2026-05-07,1.426,1.433,1.434,1.426,22169.0,星期四,0.0,0.0049
2026-05-06,1.4,1.426,1.427,1.4,23858.0,星期三,-0.0014,0.0186
2026-04-30,1.401,1.402,1.403,1.396,26738.0,星期四,0.0,0.0007
2026-04-29,1.382,1.401,1.402,1.382,17710.0,星期三,-0.005,0.0137
