time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.575,1.534,1.575,1.53,1288544.0,星期五,-0.0032,-0.026
2026-06-25,1.592,1.58,1.599,1.566,1003474.0,星期四,0.0013,-0.0075
2026-06-24,1.59,1.59,1.598,1.565,876652.0,星期三,-0.0019,0.0
2026-06-23,1.592,1.593,1.619,1.581,875411.0,星期二,-0.0075,0.0006
2026-06-22,1.581,1.604,1.604,1.552,879782.0,星期一,-0.0044,0.0145
2026-06-18,1.568,1.588,1.593,1.564,811402.0,星期四,-0.0044,0.0128
2026-06-17,1.563,1.575,1.577,1.56,481010.0,星期三,-0.0064,0.0077
2026-06-16,1.547,1.573,1.575,1.537,647708.0,星期二,0.0,0.0168
2026-06-15,1.511,1.547,1.547,1.504,843582.0,星期一,0.0114,0.0238
2026-06-12,1.49,1.494,1.517,1.49,1000311.0,星期五,0.0088,0.0027
2026-06-11,1.477,1.477,1.486,1.462,896145.0,星期四,-0.0047,0.0
2026-06-10,1.49,1.484,1.504,1.468,984008.0,星期三,-0.0139,-0.004
2026-06-09,1.488,1.511,1.512,1.478,1117319.0,星期二,0.004,0.0155
2026-06-08,1.495,1.482,1.525,1.464,1506080.0,星期一,-0.0299,-0.0087
2026-06-05,1.531,1.541,1.558,1.516,1046188.0,星期五,-0.002,0.0065
2026-06-04,1.53,1.534,1.541,1.522,631514.0,星期四,-0.0058,0.0026
2026-06-03,1.535,1.539,1.556,1.524,967258.0,星期三,-0.0045,0.0026
2026-06-02,1.541,1.542,1.552,1.506,1533940.0,星期二,-0.0058,0.0006
2026-06-01,1.548,1.55,1.573,1.539,1010915.0,星期一,-0.0019,0.0013
2026-05-29,1.603,1.551,1.603,1.542,1537015.0,星期五,0.0044,-0.0324
2026-05-28,1.571,1.596,1.601,1.562,1548675.0,星期四,-0.0013,0.0159
2026-05-27,1.598,1.573,1.606,1.557,1175178.0,星期三,-0.0044,-0.0156
2026-05-26,1.625,1.605,1.625,1.576,1029024.0,星期二,-0.0043,-0.0123
2026-05-25,1.63,1.632,1.639,1.611,929688.0,星期一,0.0037,0.0012
2026-05-22,1.584,1.624,1.631,1.583,1020484.0,星期五,0.0,0.0253
2026-05-21,1.647,1.584,1.658,1.579,1137588.0,星期四,0.0049,-0.0383
2026-05-20,1.63,1.639,1.639,1.621,797186.0,星期三,-0.0067,0.0055
2026-05-19,1.618,1.641,1.642,1.606,764914.0,星期二,-0.0019,0.0142
2026-05-18,1.6,1.621,1.624,1.595,968176.0,星期一,-0.0068,0.0131
2026-05-15,1.615,1.611,1.639,1.6,1229909.0,星期五,-0.0019,-0.0025
2026-05-14,1.652,1.618,1.656,1.617,1020142.0,星期四,0.0024,-0.0206
2026-05-13,1.622,1.648,1.651,1.615,733178.0,星期三,-0.0031,0.016
2026-05-12,1.64,1.627,1.645,1.612,763944.0,星期二,-0.0006,-0.0079
2026-05-11,1.629,1.641,1.644,1.623,812976.0,星期一,0.0031,0.0074
2026-05-08,1.592,1.624,1.624,1.586,693638.0,星期五,-0.0062,0.0201
2026-05-07,1.582,1.602,1.604,1.572,584127.0,星期四,0.0044,0.0126
2026-05-06,1.56,1.575,1.577,1.555,744707.0,星期三,0.0078,0.0096
2026-04-30,1.535,1.548,1.55,1.532,691981.0,星期四,-0.002,0.0085
2026-04-29,1.513,1.538,1.543,1.506,784494.0,星期三,-0.0033,0.0165
2026-04-28,1.536,1.518,1.536,1.51,863612.0,星期二,-0.0019,-0.0117
2026-04-27,1.523,1.539,1.54,1.511,696006.0,星期一,0.004,0.0105
2026-04-24,1.526,1.517,1.533,1.509,909210.0,星期五,-0.0046,-0.0059
2026-04-23,1.556,1.533,1.558,1.523,929112.0,星期四,-0.0006,-0.0148
2026-04-22,1.534,1.557,1.557,1.531,559223.0,星期三,-0.0052,0.015
2026-04-21,1.54,1.542,1.543,1.527,542304.0,星期二,-0.0006,0.0013
2026-04-20,1.53,1.541,1.545,1.524,678876.0,星期一,0.0,0.0072
2026-04-17,1.518,1.53,1.534,1.514,750936.0,星期五,-0.0026,0.0079
2026-04-16,1.497,1.522,1.525,1.49,767302.0,星期四,0.0034,0.0167
2026-04-15,1.509,1.492,1.511,1.488,545451.0,星期三,0.0053,-0.0113
2026-04-14,1.497,1.501,1.502,1.482,1077591.0,星期二,0.0108,0.0027
2026-04-13,1.472,1.481,1.485,1.466,809808.0,星期一,-0.0067,0.0061
2026-04-10,1.476,1.482,1.494,1.474,727486.0,星期五,0.0041,0.0041
2026-04-09,1.463,1.47,1.476,1.46,1295515.0,星期四,-0.0135,0.0048
2026-04-08,1.445,1.483,1.483,1.44,1134818.0,星期三,0.0205,0.0263
2026-04-07,1.393,1.416,1.42,1.393,1051306.0,星期二,-0.0029,0.0165
2026-04-03,1.428,1.397,1.429,1.391,799828.0,星期五,0.0042,-0.0217
2026-04-02,1.438,1.422,1.449,1.412,852204.0,星期四,-0.0083,-0.0111
2026-04-01,1.442,1.45,1.45,1.429,906326.0,星期三,0.0176,0.0055
