time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.605,1.576,1.607,1.569,51237.0,星期五,-0.0086,-0.0181
2026-06-25,1.632,1.619,1.642,1.606,33532.0,星期四,0.0,-0.008
2026-06-24,1.624,1.632,1.636,1.602,29811.0,星期三,-0.0006,0.0049
2026-06-23,1.646,1.625,1.657,1.619,41618.0,星期二,-0.0018,-0.0128
2026-06-22,1.793,1.649,1.793,1.606,25546.0,星期一,0.0973,-0.0803
2026-06-18,1.608,1.634,1.64,1.608,26059.0,星期四,-0.0092,0.0162
2026-06-17,1.761,1.623,1.761,1.591,41807.0,星期三,0.0958,-0.0784
2026-06-16,1.567,1.607,1.61,1.564,40126.0,星期二,0.0026,0.0255
2026-06-15,1.529,1.563,1.57,1.52,59921.0,星期一,0.0153,0.0222
2026-06-12,1.495,1.506,1.53,1.495,24348.0,星期五,0.0,0.0074
2026-06-11,1.505,1.495,1.505,1.483,50337.0,星期四,0.0,-0.0066
2026-06-10,1.522,1.505,1.537,1.49,77837.0,星期三,-0.0098,-0.0112
2026-06-09,1.505,1.537,1.537,1.501,36402.0,星期二,0.0087,0.0213
2026-06-08,1.549,1.492,1.549,1.48,22871.0,星期一,0.0,-0.0368
2026-06-05,1.536,1.549,1.568,1.517,50192.0,星期五,0.0,0.0085
2026-06-04,1.54,1.536,1.543,1.529,56191.0,星期四,0.0006,-0.0026
2026-06-03,1.538,1.539,1.558,1.526,46059.0,星期三,0.0039,0.0007
2026-06-02,1.539,1.532,1.544,1.504,21793.0,星期二,0.0,-0.0045
2026-06-01,1.546,1.539,1.569,1.539,54581.0,星期一,0.0,-0.0045
2026-05-29,1.604,1.546,1.604,1.538,58985.0,星期五,0.0,-0.0362
2026-05-28,1.578,1.604,1.609,1.569,32937.0,星期四,0.0032,0.0165
2026-05-27,1.615,1.573,1.615,1.566,45235.0,星期三,0.005,-0.026
2026-05-26,1.617,1.607,1.62,1.591,56725.0,星期二,-0.0098,-0.0062
2026-05-25,1.641,1.633,1.641,1.618,51161.0,星期一,0.0098,-0.0049
2026-05-22,1.586,1.625,1.627,1.579,32562.0,星期五,0.0044,0.0246
2026-05-21,1.644,1.579,1.655,1.577,49803.0,星期四,0.0092,-0.0395
