time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.785,1.723,1.789,1.698,1024012.0,星期五,0.0085,-0.0347
2026-06-25,1.814,1.77,1.815,1.765,953072.0,星期四,-0.0263,-0.0243
2026-06-24,1.825,1.863,1.873,1.818,871203.0,星期三,-0.023,0.0208
2026-06-23,1.99,1.868,2.009,1.863,855932.0,星期二,-0.0173,-0.0613
2026-06-22,1.98,2.025,2.031,1.942,871073.0,星期一,-0.0085,0.0227
2026-06-18,2.028,1.997,2.064,1.98,698775.0,星期四,-0.0127,-0.0153
2026-06-17,2.061,2.054,2.075,2.031,432251.0,星期三,0.0044,-0.0034
2026-06-16,2.079,2.052,2.08,2.045,579378.0,星期二,0.0,-0.013
2026-06-15,2.03,2.079,2.083,2.03,1308097.0,星期一,0.0368,0.0241
2026-06-12,1.901,1.958,1.998,1.881,994173.0,星期五,0.0276,0.03
2026-06-11,1.803,1.85,1.872,1.803,780340.0,星期四,-0.0212,0.0261
2026-06-10,1.826,1.842,1.857,1.813,657889.0,星期三,-0.0359,0.0088
2026-06-09,1.873,1.894,1.898,1.846,483213.0,星期二,0.0027,0.0112
2026-06-08,1.888,1.868,1.922,1.846,1255057.0,星期一,-0.0484,-0.0106
2026-06-05,2.019,1.984,2.035,1.98,654549.0,星期五,-0.0025,-0.0173
2026-06-04,2.074,2.024,2.074,2.018,1241510.0,星期四,-0.0048,-0.0241
2026-06-03,2.071,2.084,2.105,2.059,461920.0,星期三,-0.0162,0.0063
2026-06-02,2.048,2.105,2.112,2.022,659086.0,星期二,-0.0068,0.0278
2026-06-01,2.049,2.062,2.083,2.045,560633.0,星期一,-0.0024,0.0063
2026-05-29,2.096,2.054,2.104,2.039,723448.0,星期五,0.019,-0.02
2026-05-28,2.098,2.057,2.1,2.027,704804.0,星期四,-0.0146,-0.0195
2026-05-27,2.205,2.129,2.207,2.123,855224.0,星期三,-0.009,-0.0345
2026-05-26,2.12,2.225,2.232,2.115,921663.0,星期二,-0.014,0.0495
2026-05-25,2.146,2.15,2.167,2.133,523892.0,星期一,0.0113,0.0019
2026-05-22,2.076,2.122,2.138,2.059,1424550.0,星期五,0.0029,0.0222
2026-05-21,2.146,2.07,2.168,2.07,665183.0,星期四,0.0127,-0.0354
2026-05-20,2.118,2.119,2.122,2.079,725030.0,星期三,-0.0167,0.0005
2026-05-19,2.183,2.154,2.187,2.131,707916.0,星期二,0.0009,-0.0133
2026-05-18,2.174,2.181,2.194,2.155,1122525.0,星期一,-0.0242,0.0032
2026-05-15,2.302,2.228,2.308,2.205,1084695.0,星期五,-0.0162,-0.0321
2026-05-14,2.408,2.34,2.412,2.335,786731.0,星期四,-0.0054,-0.0282
2026-05-13,2.431,2.421,2.458,2.4,792067.0,星期三,0.0012,-0.0041
2026-05-12,2.49,2.428,2.537,2.426,742838.0,星期二,0.0147,-0.0249
2026-05-11,2.49,2.454,2.491,2.431,1203908.0,星期一,-0.0099,-0.0145
2026-05-08,2.443,2.515,2.522,2.436,1114859.0,星期五,-0.0081,0.0295
2026-05-07,2.47,2.463,2.484,2.426,1411961.0,星期四,0.0207,-0.0028
2026-05-06,2.325,2.42,2.423,2.322,694438.0,星期三,0.0013,0.0409
2026-04-30,2.343,2.322,2.362,2.297,821132.0,星期四,-0.011,-0.009
2026-04-29,2.289,2.369,2.375,2.285,493932.0,星期三,-0.0087,0.0349
2026-04-28,2.351,2.309,2.359,2.303,664936.0,星期二,-0.0063,-0.0179
2026-04-27,2.372,2.366,2.389,2.355,447610.0,星期一,-0.0079,-0.0025
2026-04-24,2.391,2.391,2.399,2.35,677287.0,星期五,-0.0066,0.0
2026-04-23,2.489,2.407,2.497,2.387,816149.0,星期四,-0.006,-0.0329
2026-04-22,2.5,2.504,2.514,2.48,478436.0,星期三,-0.0064,0.0016
2026-04-21,2.501,2.516,2.521,2.474,496887.0,星期二,-0.0028,0.006
2026-04-20,2.481,2.508,2.532,2.48,561244.0,星期一,0.0,0.0109
2026-04-17,2.481,2.481,2.503,2.476,372195.0,星期五,-0.0119,0.0
2026-04-16,2.492,2.511,2.523,2.478,648416.0,星期四,0.0016,0.0076
2026-04-15,2.541,2.488,2.567,2.479,762676.0,星期三,0.0152,-0.0209
2026-04-14,2.516,2.503,2.531,2.474,339311.0,星期二,0.0141,-0.0052
2026-04-13,2.485,2.481,2.495,2.469,757811.0,星期一,-0.0119,-0.0016
2026-04-10,2.564,2.515,2.567,2.51,601375.0,星期五,0.011,-0.0191
2026-04-09,2.536,2.536,2.562,2.518,1214593.0,星期四,-0.028,0.0
2026-04-08,2.531,2.609,2.609,2.527,1174675.0,星期三,0.0459,0.0308
2026-04-07,2.436,2.42,2.436,2.416,283473.0,星期二,-0.0008,-0.0066
2026-04-03,2.447,2.438,2.456,2.42,344586.0,星期五,0.0,-0.0037
2026-04-02,2.49,2.447,2.49,2.421,1026714.0,星期四,-0.0119,-0.0173
2026-04-01,2.52,2.52,2.547,2.485,1168978.0,星期三,0.0324,0.0
2026-03-31,2.463,2.441,2.512,2.43,1084868.0,星期二,0.0033,-0.0089
2026-03-30,2.345,2.455,2.46,2.339,1179125.0,星期一,-0.0093,0.0469
2026-03-27,2.269,2.367,2.38,2.267,687739.0,星期五,-0.0177,0.0432
2026-03-26,2.365,2.31,2.383,2.295,698162.0,星期四,-0.0071,-0.0233
2026-03-25,2.398,2.382,2.439,2.365,1339311.0,星期三,0.0359,-0.0067
2026-03-24,2.24,2.315,2.315,2.194,2381046.0,星期二,0.0271,0.0335
2026-03-23,2.24,2.181,2.314,2.172,1764158.0,星期一,-0.0517,-0.0263
2026-03-20,2.369,2.362,2.426,2.358,1248136.0,星期五,-0.0096,-0.003
2026-03-19,2.45,2.392,2.488,2.384,1087965.0,星期四,-0.0448,-0.0237
2026-03-18,2.568,2.565,2.57,2.521,727523.0,星期三,-0.0012,-0.0012
2026-03-17,2.556,2.571,2.621,2.556,1124808.0,星期二,-0.0035,0.0059
2026-03-16,2.61,2.565,2.618,2.505,1443560.0,星期一,-0.0203,-0.0172
2026-03-13,2.695,2.664,2.743,2.657,642442.0,星期五,-0.0143,-0.0115
2026-03-12,2.763,2.734,2.774,2.711,693233.0,星期四,-0.0068,-0.0105
2026-03-11,2.81,2.782,2.822,2.772,416210.0,星期三,0.0104,-0.01
2026-03-10,2.79,2.781,2.817,2.766,482822.0,星期二,0.0138,-0.0032
2026-03-09,2.7,2.752,2.783,2.635,818728.0,星期一,-0.0196,0.0193
2026-03-06,2.722,2.754,2.784,2.706,1081027.0,星期五,-0.0219,0.0118
2026-03-05,2.863,2.783,2.864,2.754,984783.0,星期四,0.0106,-0.0279
2026-03-04,2.799,2.833,2.904,2.792,1272779.0,星期三,-0.0434,0.0121
2026-03-03,3.02,2.926,3.06,2.918,1510642.0,星期二,-0.023,-0.0311
2026-03-02,3.048,3.091,3.092,2.88,1905000.0,星期一,0.0598,0.0141
2026-02-27,2.806,2.876,2.88,2.806,1050141.0,星期五,-0.0057,0.0249
2026-02-26,2.856,2.822,2.867,2.804,1095718.0,星期四,-0.0045,-0.0119
2026-02-25,2.835,2.869,2.885,2.808,928849.0,星期三,-0.0004,0.012
2026-02-24,2.819,2.836,2.847,2.801,1252753.0,星期二,0.0507,0.006
2026-02-13,2.701,2.683,2.753,2.669,2303570.0,星期五,-0.027,-0.0067
2026-02-12,2.793,2.776,2.817,2.773,791784.0,星期四,-0.0021,-0.0061
2026-02-11,2.724,2.799,2.825,2.72,1115977.0,星期三,-0.0011,0.0275
2026-02-10,2.757,2.727,2.77,2.718,580969.0,星期二,-0.0025,-0.0109
2026-02-09,2.764,2.764,2.775,2.728,756348.0,星期一,0.0248,0.0
2026-02-06,2.55,2.697,2.745,2.55,1614245.0,星期五,-0.0563,0.0576
2026-02-05,2.769,2.702,2.785,2.643,1560337.0,星期四,-0.0277,-0.0242
2026-02-04,2.95,2.848,2.95,2.789,2096588.0,星期三,0.025,-0.0346
2026-02-03,2.7,2.878,2.918,2.649,4728567.0,星期二,-0.0224,0.0659
2026-02-02,2.762,2.762,2.762,2.762,250197.0,星期一,-0.1,0.0
2026-01-30,3.08,3.069,3.25,3.069,4844671.0,星期五,-0.0968,-0.0036
2026-01-29,3.56,3.41,3.618,3.25,5971833.0,星期四,0.0611,-0.0421
2026-01-28,3.157,3.355,3.355,3.12,4570920.0,星期三,0.028,0.0627
2026-01-27,3.049,3.071,3.175,2.987,3231031.0,星期二,-0.0097,0.0072
2026-01-26,3.005,3.079,3.114,2.962,2501304.0,星期一,0.05,0.0246
2026-01-23,2.853,2.862,2.903,2.84,2169507.0,星期五,0.0296,0.0032
2026-01-22,2.727,2.771,2.789,2.697,1882502.0,星期四,-0.0285,0.0161
2026-01-21,2.713,2.807,2.815,2.704,1721124.0,星期三,0.0218,0.0346
2026-01-20,2.614,2.655,2.657,2.522,1229989.0,星期二,0.0081,0.0157
2026-01-19,2.555,2.593,2.602,2.527,1412473.0,星期一,0.0079,0.0149
2026-01-16,2.557,2.535,2.597,2.523,1227187.0,星期五,-0.0004,-0.0086
2026-01-15,2.537,2.558,2.62,2.515,934120.0,星期四,0.0004,0.0083
2026-01-14,2.506,2.536,2.552,2.506,973111.0,星期三,0.0093,0.012
2026-01-13,2.422,2.483,2.522,2.422,469699.0,星期二,0.0004,0.0252
2026-01-12,2.437,2.421,2.447,2.405,372823.0,星期一,0.0231,-0.0066
2026-01-09,2.309,2.382,2.39,2.305,407576.0,星期五,-0.0009,0.0316
2026-01-08,2.32,2.311,2.35,2.29,312956.0,星期四,0.0,-0.0039
2026-01-07,2.359,2.32,2.359,2.305,442583.0,星期三,0.003,-0.0165
