time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.661,1.631,1.672,1.627,142565.0,星期五,-0.0154,-0.0181
2026-06-25,1.682,1.687,1.695,1.66,134913.0,星期四,0.0024,0.003
2026-06-24,1.667,1.678,1.688,1.639,174195.0,星期三,-0.0036,0.0066
2026-06-23,1.7,1.673,1.704,1.651,148863.0,星期二,-0.0047,-0.0159
2026-06-22,1.694,1.708,1.708,1.65,186792.0,星期一,0.0036,0.0083
2026-06-18,1.662,1.688,1.692,1.654,144019.0,星期四,-0.0042,0.0156
2026-06-17,1.64,1.669,1.669,1.64,91522.0,星期三,-0.0079,0.0177
2026-06-16,1.624,1.653,1.659,1.616,114052.0,星期二,0.0012,0.0179
2026-06-15,1.56,1.622,1.623,1.56,104365.0,星期一,0.0097,0.0397
2026-06-12,1.544,1.545,1.573,1.542,72345.0,星期五,0.0078,0.0006
2026-06-11,1.54,1.532,1.546,1.514,110255.0,星期四,-0.0065,-0.0052
2026-06-10,1.57,1.55,1.575,1.533,102787.0,星期三,-0.0082,-0.0127
2026-06-09,1.525,1.583,1.584,1.525,151028.0,星期二,0.0033,0.038
2026-06-08,1.504,1.52,1.556,1.495,174545.0,星期一,-0.0451,0.0106
2026-06-05,1.565,1.575,1.596,1.542,124588.0,星期五,-0.0025,0.0064
2026-06-04,1.553,1.569,1.576,1.553,135216.0,星期四,-0.0115,0.0103
2026-06-03,1.568,1.571,1.605,1.557,136612.0,星期三,-0.0044,0.0019
2026-06-02,1.561,1.575,1.582,1.531,168790.0,星期二,-0.0032,0.009
2026-06-01,1.57,1.566,1.602,1.565,103572.0,星期一,-0.0032,-0.0025
2026-05-29,1.64,1.575,1.648,1.569,151996.0,星期五,-0.0024,-0.0396
2026-05-28,1.611,1.644,1.66,1.59,181169.0,星期四,-0.0049,0.0205
2026-05-27,1.649,1.619,1.667,1.609,137388.0,星期三,-0.0042,-0.0182
2026-05-26,1.67,1.656,1.672,1.626,123319.0,星期二,-0.0065,-0.0084
2026-05-25,1.661,1.681,1.682,1.646,127206.0,星期一,0.0,0.012
2026-05-22,1.618,1.661,1.661,1.613,96021.0,星期五,0.0037,0.0266
2026-05-21,1.676,1.612,1.696,1.609,149545.0,星期四,0.0012,-0.0382
2026-05-20,1.684,1.674,1.684,1.657,272195.0,星期三,0.0,-0.0059
2026-05-19,1.661,1.684,1.69,1.645,297660.0,星期二,-0.006,0.0138
2026-05-18,1.638,1.671,1.677,1.638,120457.0,星期一,-0.0067,0.0201
2026-05-15,1.659,1.649,1.681,1.635,107836.0,星期五,-0.0006,-0.006
2026-05-14,1.706,1.66,1.706,1.659,119999.0,星期四,0.0,-0.027
2026-05-13,1.652,1.706,1.706,1.638,237836.0,星期三,-0.0096,0.0327
2026-05-12,1.684,1.668,1.689,1.656,148768.0,星期二,0.0,-0.0095
2026-05-11,1.668,1.684,1.696,1.664,195347.0,星期一,0.0042,0.0096
2026-05-08,1.654,1.661,1.674,1.651,110025.0,星期五,-0.0084,0.0042
2026-05-07,1.63,1.668,1.668,1.625,149623.0,星期四,-0.0055,0.0233
2026-05-06,1.59,1.639,1.644,1.59,255321.0,星期三,0.0102,0.0308
2026-04-30,1.564,1.574,1.581,1.56,120057.0,星期四,0.0,0.0064
2026-04-29,1.534,1.564,1.571,1.52,125802.0,星期三,-0.002,0.0196
2026-04-28,1.56,1.537,1.569,1.529,104835.0,星期二,-0.0038,-0.0147
2026-04-27,1.544,1.566,1.57,1.542,117180.0,星期一,-0.0006,0.0142
2026-04-24,1.55,1.545,1.559,1.533,89487.0,星期五,-0.0096,-0.0032
2026-04-23,1.596,1.565,1.599,1.552,143534.0,星期四,0.0,-0.0194
2026-04-22,1.569,1.596,1.596,1.569,99328.0,星期三,-0.0038,0.0172
