time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.398,1.361,1.398,1.357,995112.0,星期五,-0.0029,-0.0265
2026-06-25,1.395,1.402,1.405,1.387,562693.0,星期四,0.0014,0.005
2026-06-24,1.383,1.393,1.399,1.38,1023876.0,星期三,-0.0029,0.0072
2026-06-23,1.43,1.387,1.432,1.379,949875.0,星期二,-0.0007,-0.0301
2026-06-22,1.401,1.431,1.433,1.389,888593.0,星期一,0.0021,0.0214
2026-06-18,1.389,1.398,1.409,1.389,1085677.0,星期四,-0.0071,0.0065
2026-06-17,1.387,1.399,1.399,1.386,578288.0,星期三,-0.0043,0.0087
2026-06-16,1.397,1.393,1.404,1.391,1064187.0,星期二,-0.0057,-0.0029
2026-06-15,1.39,1.405,1.405,1.388,1833726.0,星期一,0.0051,0.0108
2026-06-12,1.369,1.383,1.39,1.369,986239.0,星期五,0.0066,0.0102
2026-06-11,1.36,1.36,1.372,1.35,937263.0,星期四,-0.0058,0.0
2026-06-10,1.374,1.368,1.374,1.361,1099230.0,星期三,-0.0051,-0.0044
2026-06-09,1.368,1.381,1.381,1.358,837686.0,星期二,0.0051,0.0095
2026-06-08,1.36,1.361,1.377,1.351,1078362.0,星期一,-0.0237,0.0007
2026-06-05,1.418,1.393,1.422,1.386,1384489.0,星期五,0.0014,-0.0176
2026-06-04,1.418,1.416,1.426,1.411,731040.0,星期四,-0.0125,-0.0014
2026-06-03,1.425,1.436,1.443,1.418,969032.0,星期三,0.0,0.0077
2026-06-02,1.405,1.425,1.429,1.4,976647.0,星期二,0.0029,0.0142
2026-06-01,1.417,1.401,1.429,1.397,1072490.0,星期一,0.0,-0.0113
2026-05-29,1.413,1.417,1.431,1.411,1466424.0,星期五,0.0,0.0028
2026-05-28,1.408,1.413,1.416,1.393,1685946.0,星期四,0.0,0.0036
2026-05-27,1.408,1.408,1.423,1.403,1099598.0,星期三,-0.0049,0.0
2026-05-26,1.412,1.415,1.416,1.4,1027830.0,星期二,0.0021,0.0021
2026-05-25,1.391,1.409,1.41,1.391,1108609.0,星期一,0.0007,0.0129
2026-05-22,1.384,1.39,1.395,1.376,1297093.0,星期五,0.0051,0.0043
2026-05-21,1.4,1.377,1.42,1.377,619256.0,星期四,0.0043,-0.0164
2026-05-20,1.389,1.394,1.4,1.387,1099033.0,星期三,-0.005,0.0036
2026-05-19,1.393,1.396,1.397,1.378,1129419.0,星期二,-0.0029,0.0022
2026-05-18,1.395,1.397,1.408,1.387,1092927.0,星期一,-0.0085,0.0014
2026-05-15,1.42,1.407,1.43,1.402,1187551.0,星期五,-0.0042,-0.0092
2026-05-14,1.446,1.426,1.453,1.419,916112.0,星期四,0.0,-0.0138
2026-05-13,1.435,1.446,1.446,1.427,826454.0,星期三,-0.0021,0.0077
2026-05-12,1.433,1.438,1.444,1.433,1068005.0,星期二,-0.0021,0.0035
2026-05-11,1.409,1.436,1.439,1.409,1250165.0,星期一,-0.0021,0.0192
2026-05-08,1.415,1.412,1.415,1.403,1130161.0,星期五,-0.0007,-0.0021
2026-05-07,1.416,1.416,1.42,1.409,1065298.0,星期四,0.0021,0.0
2026-05-06,1.405,1.413,1.418,1.402,853712.0,星期三,0.0021,0.0057
2026-04-30,1.407,1.402,1.407,1.395,1219192.0,星期四,0.005,-0.0036
2026-04-29,1.378,1.4,1.403,1.377,1024760.0,星期三,-0.0007,0.016
2026-04-28,1.389,1.379,1.39,1.377,705628.0,星期二,0.0029,-0.0072
2026-04-27,1.393,1.385,1.398,1.381,1365515.0,星期一,0.0,-0.0057
2026-04-24,1.393,1.393,1.399,1.383,1010268.0,星期五,0.0007,0.0
2026-04-23,1.399,1.392,1.401,1.383,1030163.0,星期四,0.0007,-0.005
2026-04-22,1.392,1.398,1.398,1.385,952980.0,星期三,0.0007,0.0043
2026-04-21,1.385,1.391,1.392,1.373,1327167.0,星期二,0.0014,0.0043
2026-04-20,1.377,1.383,1.387,1.369,1074614.0,星期一,0.0007,0.0044
2026-04-17,1.386,1.376,1.386,1.372,852459.0,星期五,0.0,-0.0072
2026-04-16,1.377,1.386,1.387,1.37,933859.0,星期四,0.0051,0.0065
2026-04-15,1.378,1.37,1.382,1.365,996031.0,星期三,0.0073,-0.0058
2026-04-14,1.359,1.368,1.368,1.353,1091743.0,星期二,0.0044,0.0066
2026-04-13,1.347,1.353,1.355,1.345,897643.0,星期一,0.0,0.0045
2026-04-10,1.327,1.347,1.357,1.327,1003056.0,星期五,-0.0008,0.0151
2026-04-09,1.323,1.328,1.329,1.323,937808.0,星期四,-0.0082,0.0038
2026-04-08,1.303,1.334,1.334,1.303,1132520.0,星期三,0.0124,0.0238
2026-04-07,1.296,1.287,1.296,1.28,1168529.0,星期二,0.0047,-0.0069
2026-04-03,1.307,1.29,1.307,1.288,919046.0,星期五,0.0031,-0.013
2026-04-02,1.31,1.303,1.32,1.295,985915.0,星期四,-0.003,-0.0053
2026-04-01,1.31,1.314,1.316,1.302,1041813.0,星期三,0.0124,0.0031
2026-03-31,1.302,1.294,1.312,1.293,1145049.0,星期二,0.0015,-0.0061
2026-03-30,1.298,1.3,1.302,1.287,1049578.0,星期一,-0.0061,0.0015
2026-03-27,1.288,1.306,1.311,1.285,993524.0,星期五,-0.0039,0.014
2026-03-26,1.308,1.293,1.311,1.289,1028872.0,星期四,-0.0038,-0.0115
2026-03-25,1.296,1.313,1.313,1.296,1332120.0,星期三,0.0023,0.0131
2026-03-24,1.294,1.293,1.294,1.27,1248637.0,星期二,0.0086,-0.0008
2026-03-23,1.307,1.283,1.307,1.272,1099487.0,星期一,-0.0106,-0.0184
2026-03-20,1.325,1.321,1.334,1.317,1420736.0,星期五,0.0045,-0.003
2026-03-19,1.329,1.319,1.334,1.313,1129606.0,星期四,-0.0067,-0.0075
2026-03-18,1.342,1.338,1.342,1.324,1488062.0,星期三,0.0022,-0.003
2026-03-17,1.346,1.339,1.361,1.335,1106294.0,星期二,0.006,-0.0052
2026-03-16,1.332,1.338,1.34,1.322,1257090.0,星期一,-0.0008,0.0045
2026-03-13,1.335,1.333,1.344,1.329,1068664.0,星期五,-0.0022,-0.0015
2026-03-12,1.346,1.338,1.346,1.329,735716.0,星期四,-0.0007,-0.0059
2026-03-11,1.331,1.347,1.35,1.331,1512051.0,星期三,-0.0022,0.012
2026-03-10,1.318,1.334,1.334,1.318,1053186.0,星期二,0.0038,0.0121
2026-03-09,1.311,1.313,1.316,1.292,1444686.0,星期一,-0.0091,0.0015
2026-03-06,1.315,1.323,1.326,1.309,774864.0,星期五,-0.0038,0.0061
2026-03-05,1.31,1.32,1.345,1.31,1032343.0,星期四,0.0008,0.0076
2026-03-04,1.313,1.309,1.315,1.297,1245411.0,星期三,-0.0076,-0.003
2026-03-03,1.346,1.323,1.347,1.321,1842980.0,星期二,0.0037,-0.0171
2026-03-02,1.331,1.341,1.345,1.322,1124814.0,星期一,-0.0045,0.0075
2026-02-27,1.338,1.337,1.341,1.332,835952.0,星期五,-0.0045,-0.0007
2026-02-26,1.357,1.344,1.357,1.339,894135.0,星期四,0.0015,-0.0096
2026-02-25,1.349,1.355,1.366,1.345,876648.0,星期三,0.0052,0.0044
2026-02-24,1.345,1.342,1.351,1.339,932768.0,星期二,0.006,-0.0022
2026-02-13,1.347,1.337,1.347,1.333,965234.0,星期五,-0.0037,-0.0074
2026-02-12,1.36,1.352,1.36,1.35,742112.0,星期四,0.0029,-0.0059
2026-02-11,1.354,1.356,1.356,1.35,834636.0,星期三,0.0,0.0015
2026-02-10,1.357,1.354,1.358,1.352,710153.0,星期二,0.0007,-0.0022
2026-02-09,1.355,1.356,1.359,1.346,921722.0,星期一,0.0127,0.0007
2026-02-06,1.339,1.338,1.352,1.327,962858.0,星期五,-0.0067,-0.0007
2026-02-05,1.348,1.348,1.351,1.337,966892.0,星期四,-0.0037,0.0
2026-02-04,1.336,1.353,1.354,1.329,1138859.0,星期三,0.0,0.0127
2026-02-03,1.331,1.336,1.336,1.312,1232864.0,星期二,0.0091,0.0038
2026-02-02,1.336,1.319,1.35,1.312,1616460.0,星期一,-0.0067,-0.0127
2026-01-30,1.357,1.345,1.357,1.329,1739819.0,星期五,-0.0022,-0.0088
2026-01-29,1.346,1.36,1.364,1.335,2351700.0,星期四,0.0052,0.0104
