time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.002,0.98,1.002,0.978,358639.0,星期五,0.0101,-0.022
2026-06-25,0.999,0.992,1.007,0.989,274360.0,星期四,-0.001,-0.007
2026-06-24,1.013,1.0,1.013,0.995,268857.0,星期三,0.007,-0.0128
2026-06-23,1.036,1.006,1.036,1.004,356791.0,星期二,-0.0019,-0.029
2026-06-22,1.012,1.038,1.038,1.006,284080.0,星期一,-0.0078,0.0257
2026-06-18,1.033,1.02,1.033,1.015,324807.0,星期四,-0.0067,-0.0126
2026-06-17,1.018,1.04,1.045,1.01,361098.0,星期三,0.001,0.0216
2026-06-16,1.025,1.017,1.025,1.013,314215.0,星期二,-0.001,-0.0078
2026-06-15,1.039,1.026,1.039,1.017,309165.0,星期一,0.0328,-0.0125
2026-06-12,0.995,1.006,1.017,0.99,350463.0,星期五,0.0051,0.0111
2026-06-11,1.0,0.99,1.0,0.983,256978.0,星期四,-0.002,-0.01
2026-06-10,1.019,1.002,1.02,0.995,350503.0,星期三,0.003,-0.0167
2026-06-09,1.018,1.016,1.018,1.005,256784.0,星期二,0.0049,-0.002
2026-06-08,1.011,1.013,1.028,1.006,331309.0,星期一,-0.0194,0.002
2026-06-05,1.026,1.031,1.04,1.026,342335.0,星期五,0.001,0.0049
2026-06-04,1.031,1.025,1.034,1.021,256429.0,星期四,0.001,-0.0058
2026-06-03,1.043,1.03,1.043,1.026,336335.0,星期三,0.0,-0.0125
2026-06-02,1.051,1.043,1.051,1.034,445627.0,星期二,0.0,-0.0076
2026-06-01,1.057,1.051,1.057,1.036,375723.0,星期一,0.0144,-0.0057
2026-05-29,1.031,1.042,1.049,1.031,355287.0,星期五,0.0019,0.0107
2026-05-28,1.039,1.029,1.039,1.021,330940.0,星期四,0.0039,-0.0096
2026-05-27,1.046,1.035,1.049,1.03,339494.0,星期三,-0.0076,-0.0105
2026-05-26,1.051,1.054,1.055,1.042,314462.0,星期二,-0.0047,0.0029
2026-05-25,1.053,1.056,1.057,1.047,298934.0,星期一,0.0067,0.0028
2026-05-22,1.048,1.046,1.051,1.039,332025.0,星期五,0.0019,-0.0019
2026-05-21,1.063,1.046,1.074,1.045,268681.0,星期四,0.0,-0.016
2026-05-20,1.074,1.063,1.075,1.056,360735.0,星期三,-0.0019,-0.0102
2026-05-19,1.066,1.076,1.076,1.06,397210.0,星期二,-0.0019,0.0094
2026-05-18,1.086,1.068,1.086,1.061,339027.0,星期一,-0.0028,-0.0166
2026-05-15,1.093,1.089,1.098,1.08,385034.0,星期五,-0.0018,-0.0037
2026-05-14,1.124,1.095,1.127,1.093,1644546.0,星期四,-0.0009,-0.0258
2026-05-13,1.115,1.125,1.13,1.115,387507.0,星期三,-0.0045,0.009
2026-05-12,1.13,1.12,1.13,1.117,275930.0,星期二,0.0018,-0.0088
2026-05-11,1.117,1.128,1.137,1.116,329189.0,星期一,0.0081,0.0098
2026-05-08,1.117,1.108,1.117,1.099,388638.0,星期五,-0.0018,-0.0081
2026-05-07,1.091,1.119,1.119,1.091,1691062.0,星期四,0.0,0.0257
2026-05-06,1.099,1.091,1.099,1.083,287311.0,星期三,0.011,-0.0073
2026-04-30,1.091,1.087,1.094,1.079,281055.0,星期四,0.0,-0.0037
2026-04-29,1.093,1.091,1.094,1.084,252161.0,星期三,0.0102,-0.0018
2026-04-28,1.078,1.082,1.086,1.076,281193.0,星期二,0.0,0.0037
2026-04-27,1.088,1.078,1.088,1.078,213548.0,星期一,-0.0037,-0.0092
2026-04-24,1.093,1.092,1.1,1.087,294331.0,星期五,-0.0064,-0.0009
2026-04-23,1.102,1.1,1.108,1.096,269333.0,星期四,-0.0027,-0.0018
2026-04-22,1.106,1.105,1.107,1.102,238131.0,星期三,-0.0072,-0.0009
2026-04-21,1.117,1.114,1.117,1.101,271108.0,星期二,0.0099,-0.0027
2026-04-20,1.109,1.106,1.111,1.097,248810.0,星期一,0.0027,-0.0027
2026-04-17,1.112,1.106,1.112,1.102,104131.0,星期五,-0.0009,-0.0054
2026-04-16,1.114,1.113,1.114,1.103,156143.0,星期四,0.0009,-0.0009
2026-04-15,1.109,1.113,1.122,1.109,217960.0,星期三,0.0,0.0036
2026-04-14,1.108,1.109,1.109,1.1,144914.0,星期二,0.0073,0.0009
2026-04-13,1.107,1.1,1.107,1.095,125961.0,星期一,-0.0009,-0.0063
2026-04-10,1.109,1.108,1.12,1.107,156420.0,星期五,0.0,-0.0009
2026-04-09,1.124,1.109,1.126,1.108,165474.0,星期四,-0.0027,-0.0133
2026-04-08,1.099,1.127,1.127,1.099,110437.0,星期三,0.0157,0.0255
2026-04-07,1.082,1.082,1.085,1.076,122128.0,星期二,0.0046,0.0
2026-04-03,1.098,1.077,1.098,1.076,126454.0,星期五,0.0018,-0.0191
2026-04-02,1.113,1.096,1.113,1.091,120641.0,星期四,-0.0009,-0.0153
2026-04-01,1.116,1.114,1.126,1.105,121726.0,星期三,0.0136,-0.0018
2026-03-31,1.104,1.101,1.118,1.1,147293.0,星期二,0.0,-0.0027
2026-03-30,1.1,1.104,1.108,1.081,136574.0,星期一,-0.0027,0.0036
2026-03-27,1.096,1.103,1.109,1.093,137918.0,星期五,-0.0072,0.0064
2026-03-26,1.128,1.104,1.128,1.102,146080.0,星期四,-0.0009,-0.0213
2026-03-25,1.105,1.129,1.131,1.105,141038.0,星期三,0.0009,0.0217
2026-03-24,1.076,1.104,1.104,1.073,155980.0,星期二,0.0075,0.026
2026-03-23,1.091,1.068,1.103,1.066,200669.0,星期一,-0.018,-0.0211
2026-03-20,1.147,1.111,1.147,1.111,173620.0,星期五,0.0124,-0.0314
2026-03-19,1.159,1.133,1.159,1.125,262536.0,星期四,0.0009,-0.0224
2026-03-18,1.165,1.158,1.166,1.143,195212.0,星期三,0.0026,-0.006
2026-03-17,1.182,1.162,1.191,1.162,362307.0,星期二,0.0025,-0.0169
2026-03-16,1.223,1.179,1.223,1.175,447943.0,星期一,0.0,-0.036
2026-03-13,1.21,1.223,1.238,1.208,400763.0,星期五,0.0,0.0107
2026-03-12,1.216,1.21,1.216,1.193,228462.0,星期四,0.0033,-0.0049
2026-03-11,1.191,1.212,1.213,1.184,113540.0,星期三,-0.0008,0.0176
2026-03-10,1.173,1.192,1.199,1.173,205462.0,星期二,0.0,0.0162
2026-03-09,1.198,1.173,1.198,1.162,200174.0,星期一,0.0025,-0.0209
2026-03-06,1.172,1.195,1.195,1.171,135155.0,星期五,-0.0026,0.0196
2026-03-05,1.165,1.175,1.185,1.165,163978.0,星期四,0.0017,0.0086
2026-03-04,1.161,1.163,1.176,1.157,163587.0,星期三,-0.0085,0.0017
2026-03-03,1.211,1.171,1.211,1.17,304138.0,星期二,0.0,-0.033
2026-03-02,1.21,1.211,1.211,1.194,142478.0,星期一,-0.0017,0.0008
2026-02-27,1.204,1.212,1.216,1.2,146768.0,星期五,-0.0008,0.0066
2026-02-26,1.201,1.205,1.208,1.198,146826.0,星期四,0.0,0.0033
2026-02-25,1.192,1.201,1.22,1.192,164876.0,星期三,-0.0025,0.0076
2026-02-24,1.16,1.195,1.197,1.16,301135.0,星期二,0.0043,0.0302
2026-02-13,1.178,1.155,1.178,1.154,101005.0,星期五,0.0026,-0.0195
2026-02-12,1.17,1.175,1.179,1.165,94565.0,星期四,0.0009,0.0043
2026-02-11,1.166,1.169,1.176,1.166,73560.0,星期三,0.0,0.0026
2026-02-10,1.163,1.166,1.168,1.16,110815.0,星期二,-0.0068,0.0026
2026-02-09,1.152,1.171,1.175,1.152,90115.0,星期一,0.0,0.0165
2026-02-06,1.172,1.152,1.172,1.146,61499.0,星期五,0.0095,-0.0171
2026-02-05,1.179,1.161,1.179,1.158,103032.0,星期四,0.0017,-0.0153
2026-02-04,1.155,1.177,1.178,1.155,83783.0,星期三,-0.0026,0.019
2026-02-03,1.134,1.158,1.159,1.132,100425.0,星期二,0.0071,0.0212
2026-02-02,1.16,1.126,1.161,1.124,88069.0,星期一,-0.0085,-0.0293
2026-01-30,1.172,1.17,1.177,1.149,109599.0,星期五,-0.0017,-0.0017
2026-01-29,1.171,1.174,1.181,1.16,114962.0,星期四,-0.0009,0.0026
2026-01-28,1.166,1.172,1.192,1.159,83109.0,星期三,0.0,0.0051
2026-01-27,1.187,1.166,1.187,1.159,311709.0,星期二,0.0017,-0.0177
2026-01-26,1.176,1.185,1.19,1.174,90946.0,星期一,0.0017,0.0077
2026-01-23,1.175,1.174,1.184,1.171,60022.0,星期五,0.0017,-0.0009
2026-01-22,1.173,1.173,1.181,1.171,51502.0,星期四,0.0,0.0
2026-01-21,1.176,1.173,1.18,1.168,60660.0,星期三,-0.0034,-0.0026
2026-01-20,1.17,1.18,1.18,1.151,372812.0,星期二,0.0139,0.0085
2026-01-19,1.157,1.154,1.161,1.143,63020.0,星期一,0.0009,-0.0026
2026-01-16,1.159,1.156,1.18,1.151,95538.0,星期五,0.0122,-0.0026
2026-01-15,1.146,1.145,1.153,1.142,58824.0,星期四,-0.0043,-0.0009
2026-01-14,1.174,1.151,1.174,1.147,248902.0,星期三,0.0077,-0.0196
2026-01-13,1.171,1.165,1.175,1.161,143616.0,星期二,0.0,-0.0051
2026-01-12,1.162,1.171,1.171,1.162,103704.0,星期一,0.0009,0.0077
2026-01-09,1.15,1.161,1.165,1.149,136225.0,星期五,0.0026,0.0096
2026-01-08,1.143,1.147,1.151,1.14,64227.0,星期四,0.0,0.0035
2026-01-07,1.143,1.143,1.147,1.138,64572.0,星期三,0.0044,0.0
2026-01-06,1.117,1.138,1.139,1.117,66082.0,星期二,-0.0036,0.0188
2026-01-05,1.117,1.121,1.121,1.115,58073.0,星期一,0.0009,0.0036
2025-12-31,1.117,1.116,1.117,1.112,73708.0,星期三,0.0009,-0.0009
2025-12-30,1.122,1.116,1.124,1.113,46157.0,星期二,0.0018,-0.0053
2025-12-29,1.126,1.12,1.129,1.117,65104.0,星期一,0.0027,-0.0053
2025-12-26,1.118,1.123,1.129,1.118,96297.0,星期五,0.0009,0.0045
2025-12-25,1.116,1.117,1.121,1.114,65763.0,星期四,0.0009,0.0009
2025-12-24,1.109,1.115,1.117,1.107,75869.0,星期三,0.0,0.0054
2025-12-23,1.114,1.109,1.114,1.106,73177.0,星期二,0.0036,-0.0045
