time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.746,1.696,1.746,1.685,55283.0,星期五,0.0,-0.0286
2026-06-25,1.707,1.746,1.746,1.705,26191.0,星期四,-0.0087,0.0228
2026-06-24,1.68,1.722,1.726,1.679,57835.0,星期三,-0.0059,0.025
2026-06-23,1.73,1.69,1.76,1.679,50028.0,星期二,-0.0023,-0.0231
2026-06-22,1.683,1.734,1.738,1.678,41082.0,星期一,-0.0006,0.0303
2026-06-18,1.689,1.684,1.69,1.663,35987.0,星期四,-0.0006,-0.003
2026-06-17,1.646,1.69,1.69,1.626,40332.0,星期三,-0.0024,0.0267
2026-06-16,1.623,1.65,1.654,1.622,42601.0,星期二,0.0006,0.0166
2026-06-15,1.593,1.622,1.625,1.582,29868.0,星期一,0.0114,0.0182
2026-06-12,1.568,1.575,1.597,1.548,35670.0,星期五,0.0149,0.0045
2026-06-11,1.536,1.545,1.567,1.53,19920.0,星期四,-0.0122,0.0059
2026-06-10,1.55,1.555,1.568,1.537,26199.0,星期三,-0.007,0.0032
2026-06-09,1.526,1.561,1.565,1.524,48751.0,星期二,0.0053,0.0229
2026-06-08,1.56,1.518,1.56,1.507,57289.0,星期一,-0.0051,-0.0269
2026-06-05,1.615,1.568,1.625,1.565,63720.0,星期五,0.0037,-0.0291
2026-06-04,1.585,1.609,1.613,1.585,34217.0,星期四,-0.0112,0.0151
2026-06-03,1.596,1.603,1.619,1.59,37704.0,星期三,0.0,0.0044
2026-06-02,1.588,1.596,1.609,1.569,24394.0,星期二,-0.0013,0.005
2026-06-01,1.601,1.59,1.648,1.587,32208.0,星期一,0.0,-0.0069
2026-05-29,1.644,1.601,1.644,1.598,57167.0,星期五,0.0098,-0.0262
2026-05-28,1.614,1.628,1.645,1.604,70080.0,星期四,-0.0098,0.0087
2026-05-27,1.654,1.63,1.656,1.615,57056.0,星期三,0.0061,-0.0145
2026-05-26,1.643,1.644,1.646,1.617,25363.0,星期二,-0.0006,0.0006
2026-05-25,1.658,1.644,1.662,1.627,50562.0,星期一,0.0134,-0.0084
2026-05-22,1.601,1.636,1.64,1.601,40874.0,星期五,0.0,0.0219
2026-05-21,1.654,1.601,1.673,1.6,43464.0,星期四,0.003,-0.032
