time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.533,0.519,0.535,0.519,34668.0,星期五,0.0019,-0.0263
2026-06-25,0.531,0.532,0.533,0.518,33369.0,星期四,0.0,0.0019
2026-06-24,0.521,0.531,0.538,0.521,61073.0,星期三,0.0,0.0192
2026-06-23,0.522,0.521,0.532,0.518,46014.0,星期二,0.0,-0.0019
2026-06-22,0.516,0.522,0.522,0.502,46154.0,星期一,0.0,0.0116
2026-06-18,0.508,0.516,0.519,0.505,33764.0,星期四,-0.002,0.0157
2026-06-17,0.511,0.509,0.512,0.506,31454.0,星期三,0.002,-0.0039
2026-06-16,0.518,0.51,0.523,0.51,14286.0,星期二,-0.0058,-0.0154
2026-06-15,0.525,0.521,0.526,0.518,26259.0,星期一,0.0,-0.0076
2026-06-12,0.517,0.525,0.526,0.508,36876.0,星期五,0.0058,0.0155
2026-06-11,0.513,0.514,0.515,0.509,13992.0,星期四,0.0,0.0019
2026-06-10,0.505,0.513,0.514,0.505,39780.0,星期三,-0.0137,0.0158
2026-06-09,0.508,0.512,0.512,0.503,11423.0,星期二,-0.0078,0.0079
2026-06-08,0.52,0.512,0.52,0.505,25965.0,星期一,0.0019,-0.0154
2026-06-05,0.519,0.519,0.528,0.518,29204.0,星期五,0.0058,0.0
2026-06-04,0.52,0.516,0.525,0.515,29677.0,星期四,-0.0057,-0.0077
2026-06-03,0.527,0.523,0.528,0.521,36034.0,星期三,-0.0057,-0.0076
2026-06-02,0.539,0.53,0.539,0.529,39362.0,星期二,-0.0019,-0.0167
2026-06-01,0.548,0.54,0.551,0.539,16687.0,星期一,0.0,-0.0146
2026-05-29,0.537,0.548,0.551,0.536,30797.0,星期五,0.0019,0.0205
2026-05-28,0.545,0.536,0.545,0.533,10507.0,星期四,0.0018,-0.0165
2026-05-27,0.544,0.544,0.547,0.533,18635.0,星期三,0.0,0.0
2026-05-26,0.541,0.544,0.546,0.54,19226.0,星期二,-0.0055,0.0055
2026-05-25,0.545,0.544,0.546,0.541,21712.0,星期一,-0.0037,-0.0018
2026-05-22,0.56,0.547,0.56,0.546,19488.0,星期五,0.0108,-0.0232
2026-05-21,0.549,0.554,0.567,0.549,25671.0,星期四,0.0,0.0091
2026-05-20,0.551,0.549,0.552,0.544,32356.0,星期三,0.0,-0.0036
2026-05-19,0.548,0.551,0.556,0.547,32041.0,星期二,-0.0018,0.0055
2026-05-18,0.562,0.549,0.567,0.548,53214.0,星期一,0.0018,-0.0231
2026-05-15,0.566,0.561,0.568,0.559,11713.0,星期五,-0.0018,-0.0088
2026-05-14,0.579,0.567,0.584,0.567,40504.0,星期四,0.0,-0.0207
2026-05-13,0.582,0.579,0.584,0.575,30037.0,星期三,-0.0051,-0.0052
2026-05-12,0.584,0.585,0.593,0.578,62696.0,星期二,0.0017,0.0017
2026-05-11,0.578,0.583,0.585,0.572,25864.0,星期一,0.0,0.0087
2026-05-08,0.584,0.578,0.585,0.578,36083.0,星期五,0.0,-0.0103
2026-05-07,0.583,0.584,0.586,0.582,14206.0,星期四,-0.0034,0.0017
2026-05-06,0.584,0.585,0.585,0.581,25132.0,星期三,-0.0017,0.0017
2026-04-30,0.587,0.585,0.588,0.582,17822.0,星期四,0.0017,-0.0034
2026-04-29,0.585,0.586,0.588,0.583,17166.0,星期三,0.0,0.0017
2026-04-28,0.58,0.585,0.592,0.58,29950.0,星期二,0.0052,0.0086
2026-04-27,0.579,0.577,0.579,0.574,38940.0,星期一,-0.0034,-0.0035
2026-04-24,0.578,0.581,0.584,0.575,34411.0,星期五,-0.0052,0.0052
2026-04-23,0.581,0.581,0.586,0.578,21396.0,星期四,0.0,0.0
