time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.118,1.096,1.126,1.082,650548.0,星期五,-0.0124,-0.0197
2026-06-25,1.092,1.132,1.132,1.09,618090.0,星期四,0.0111,0.0366
2026-06-24,1.05,1.08,1.081,1.041,551727.0,星期三,0.0,0.0286
2026-06-23,1.082,1.05,1.085,1.041,1079159.0,星期二,-0.0092,-0.0296
2026-06-22,1.071,1.092,1.092,1.055,1025371.0,星期一,0.0028,0.0196
2026-06-18,1.04,1.068,1.075,1.037,761237.0,星期四,0.001,0.0269
2026-06-17,0.993,1.039,1.04,0.991,618339.0,星期三,-0.01,0.0463
2026-06-16,1.0,1.003,1.008,0.993,415795.0,星期二,0.007,0.003
2026-06-15,0.96,0.993,0.993,0.949,615914.0,星期一,0.0159,0.0344
2026-06-12,0.967,0.945,0.976,0.942,353172.0,星期五,0.0233,-0.0228
2026-06-11,0.939,0.945,0.962,0.931,412863.0,星期四,-0.0157,0.0064
2026-06-10,0.963,0.954,0.979,0.943,496264.0,星期三,-0.0133,-0.0093
2026-06-09,0.95,0.976,0.977,0.94,517258.0,星期二,0.0106,0.0274
2026-06-08,0.924,0.94,0.965,0.924,551435.0,星期一,-0.0513,0.0173
2026-06-05,1.002,0.974,1.019,0.967,657407.0,星期五,-0.0109,-0.0279
2026-06-04,0.984,1.013,1.02,0.981,632661.0,星期四,-0.0199,0.0295
2026-06-03,0.983,1.004,1.029,0.981,903958.0,星期三,0.0041,0.0214
2026-06-02,0.955,0.979,0.985,0.944,839086.0,星期二,0.0021,0.0251
2026-06-01,0.98,0.953,0.993,0.953,629446.0,星期一,-0.001,-0.0276
2026-05-29,1.022,0.981,1.024,0.974,781494.0,星期五,0.0059,-0.0401
2026-05-28,0.984,1.016,1.018,0.98,682835.0,星期四,-0.014,0.0325
2026-05-27,1.01,0.998,1.028,0.991,746454.0,星期三,-0.001,-0.0119
2026-05-26,0.991,1.011,1.013,0.985,608766.0,星期二,-0.011,0.0202
2026-05-25,0.962,1.002,1.003,0.96,805785.0,星期一,0.0052,0.0416
2026-05-22,0.93,0.957,0.96,0.929,464524.0,星期五,0.0043,0.029
2026-05-21,0.969,0.926,0.974,0.922,615904.0,星期四,0.0276,-0.0444
2026-05-20,0.921,0.943,0.95,0.92,840995.0,星期三,-0.0054,0.0239
2026-05-19,0.915,0.926,0.929,0.887,705972.0,星期二,0.0011,0.012
2026-05-18,0.897,0.914,0.929,0.897,545650.0,星期一,-0.0088,0.019
2026-05-15,0.932,0.905,0.936,0.897,795986.0,星期五,0.0043,-0.029
2026-05-14,0.952,0.928,0.958,0.923,701099.0,星期四,0.0063,-0.0252
2026-05-13,0.91,0.946,0.946,0.903,1095625.0,星期三,-0.0109,0.0396
2026-05-12,0.911,0.92,0.923,0.901,968892.0,星期二,0.0011,0.0099
2026-05-11,0.882,0.91,0.911,0.882,892545.0,星期一,0.008,0.0317
2026-05-08,0.872,0.875,0.879,0.867,896693.0,星期五,-0.0147,0.0034
2026-05-07,0.875,0.885,0.888,0.868,575817.0,星期四,0.0011,0.0114
2026-05-06,0.857,0.874,0.89,0.857,861242.0,星期三,0.0202,0.0198
2026-04-30,0.835,0.84,0.842,0.823,894942.0,星期四,0.0171,0.006
2026-04-29,0.807,0.821,0.824,0.805,681547.0,星期三,-0.0098,0.0173
2026-04-28,0.828,0.815,0.832,0.811,853312.0,星期二,0.0,-0.0157
2026-04-27,0.825,0.828,0.835,0.822,1082099.0,星期一,0.0073,0.0036
2026-04-24,0.816,0.819,0.827,0.809,841745.0,星期五,-0.0037,0.0037
2026-04-23,0.827,0.819,0.835,0.808,649869.0,星期四,0.0049,-0.0097
2026-04-22,0.804,0.823,0.823,0.803,870952.0,星期三,-0.005,0.0236
2026-04-21,0.814,0.808,0.814,0.794,855159.0,星期二,0.0074,-0.0074
2026-04-20,0.797,0.808,0.813,0.797,754792.0,星期一,-0.0038,0.0138
2026-04-17,0.791,0.8,0.802,0.79,1288003.0,星期五,0.0038,0.0114
2026-04-16,0.773,0.788,0.789,0.769,1014116.0,星期四,-0.0013,0.0194
2026-04-15,0.783,0.774,0.788,0.769,655000.0,星期三,0.009,-0.0115
2026-04-14,0.77,0.776,0.779,0.767,509189.0,星期二,0.0118,0.0078
2026-04-13,0.751,0.761,0.767,0.749,475259.0,星期一,-0.0053,0.0133
2026-04-10,0.739,0.755,0.759,0.739,568227.0,星期五,0.0082,0.0217
2026-04-09,0.726,0.733,0.739,0.723,439851.0,星期四,-0.0122,0.0096
2026-04-08,0.709,0.735,0.735,0.709,546674.0,星期三,0.0201,0.0367
2026-04-07,0.688,0.695,0.699,0.688,581615.0,星期二,-0.0015,0.0102
2026-04-03,0.693,0.689,0.699,0.689,411368.0,星期五,0.0058,-0.0058
2026-04-02,0.702,0.689,0.705,0.686,294317.0,星期四,-0.0057,-0.0185
2026-04-01,0.695,0.706,0.706,0.694,408209.0,星期三,0.0146,0.0158
2026-03-31,0.697,0.685,0.703,0.681,425709.0,星期二,-0.0057,-0.0172
