time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.992,1.997,2.044,1.939,3744601.0,星期五,-0.0173,0.0025
2026-06-25,1.96,2.027,2.028,1.95,3256836.0,星期四,0.0192,0.0342
2026-06-24,1.801,1.923,1.923,1.792,3072786.0,星期三,-0.0115,0.0677
2026-06-23,1.857,1.822,1.888,1.796,3436967.0,星期二,-0.0043,-0.0188
2026-06-22,1.817,1.865,1.869,1.79,2706399.0,星期一,0.01,0.0264
2026-06-18,1.715,1.799,1.82,1.714,3281334.0,星期四,-0.0023,0.049
2026-06-17,1.593,1.719,1.721,1.593,3207103.0,星期三,-0.0173,0.0791
2026-06-16,1.624,1.621,1.631,1.592,2237784.0,星期二,0.0068,-0.0018
2026-06-15,1.545,1.613,1.615,1.506,3027197.0,星期一,0.0138,0.044
2026-06-12,1.599,1.524,1.608,1.518,2363842.0,星期五,0.0437,-0.0469
2026-06-11,1.508,1.532,1.552,1.506,1914847.0,星期四,-0.0124,0.0159
2026-06-10,1.529,1.527,1.59,1.507,2531233.0,星期三,-0.0104,-0.0013
2026-06-09,1.507,1.545,1.547,1.48,2412459.0,星期二,0.0266,0.0252
2026-06-08,1.446,1.468,1.507,1.446,2352828.0,星期一,-0.0598,0.0152
2026-06-05,1.578,1.538,1.602,1.526,2599762.0,星期五,-0.0241,-0.0253
2026-06-04,1.553,1.617,1.629,1.553,2236057.0,星期四,-0.0227,0.0412
2026-06-03,1.543,1.589,1.63,1.543,4044433.0,星期三,0.0078,0.0298
2026-06-02,1.51,1.531,1.558,1.485,3005819.0,星期二,0.0033,0.0139
2026-06-01,1.592,1.505,1.598,1.504,3237966.0,星期一,-0.0013,-0.0546
2026-05-29,1.693,1.594,1.7,1.575,3412331.0,星期五,0.0047,-0.0585
2026-05-28,1.651,1.685,1.7,1.649,3068466.0,星期四,-0.0196,0.0206
2026-05-27,1.743,1.684,1.772,1.675,4731139.0,星期三,0.0075,-0.0338
2026-05-26,1.741,1.73,1.741,1.672,4662092.0,星期二,0.0006,-0.0063
2026-05-25,1.618,1.74,1.74,1.594,3884200.0,星期一,0.0,0.0754
2026-05-22,1.597,1.618,1.624,1.565,2818032.0,星期五,0.0108,0.0131
2026-05-21,1.669,1.58,1.7,1.574,4374626.0,星期四,0.0258,-0.0533
2026-05-20,1.545,1.627,1.628,1.542,3426427.0,星期三,-0.0058,0.0531
2026-05-19,1.478,1.554,1.555,1.452,3502812.0,星期二,-0.0134,0.0514
2026-05-18,1.483,1.498,1.541,1.482,3303356.0,星期一,0.0027,0.0101
2026-05-15,1.48,1.479,1.55,1.437,4667801.0,星期五,-0.0034,-0.0007
2026-05-14,1.54,1.485,1.554,1.485,2942211.0,星期四,0.0092,-0.0357
2026-05-13,1.445,1.526,1.529,1.434,3101267.0,星期三,-0.0269,0.0561
2026-05-12,1.479,1.485,1.506,1.447,2809822.0,星期二,0.0007,0.0041
2026-05-11,1.44,1.478,1.489,1.432,3641500.0,星期一,0.0345,0.0264
2026-05-08,1.403,1.392,1.409,1.376,3107563.0,星期五,-0.0196,-0.0078
2026-05-07,1.422,1.431,1.439,1.401,2891695.0,星期四,0.0057,0.0063
2026-05-06,1.393,1.414,1.459,1.389,5126713.0,星期三,0.0505,0.0151
2026-04-30,1.284,1.326,1.334,1.278,4568780.0,星期四,0.0174,0.0327
2026-04-29,1.257,1.262,1.264,1.226,2361654.0,星期三,-0.0095,0.004
2026-04-28,1.277,1.269,1.306,1.26,2614529.0,星期二,-0.007,-0.0063
2026-04-27,1.25,1.286,1.29,1.241,4342300.0,星期一,0.0212,0.0288
2026-04-24,1.21,1.224,1.239,1.194,3184754.0,星期五,0.0058,0.0116
2026-04-23,1.238,1.203,1.238,1.193,2279102.0,星期四,0.0148,-0.0283
2026-04-22,1.18,1.22,1.22,1.18,2567950.0,星期三,-0.0059,0.0339
2026-04-21,1.201,1.187,1.201,1.17,1755145.0,星期二,-0.0033,-0.0117
2026-04-20,1.182,1.205,1.208,1.182,2340537.0,星期一,-0.0017,0.0195
2026-04-17,1.173,1.184,1.197,1.17,2349697.0,星期五,-0.0017,0.0094
2026-04-16,1.163,1.175,1.177,1.156,1869376.0,星期四,0.0,0.0103
2026-04-15,1.179,1.163,1.19,1.158,2551354.0,星期三,0.0094,-0.0136
2026-04-14,1.163,1.168,1.175,1.155,2312264.0,星期二,0.0148,0.0043
