time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.035,1.003,1.049,1.002,5930522.0,星期五,-0.0058,-0.0309
2026-06-25,1.003,1.041,1.048,0.997,7609576.0,星期四,-0.004,0.0379
2026-06-24,1.019,1.007,1.041,1.002,5855970.0,星期三,-0.0068,-0.0118
2026-06-23,1.024,1.026,1.052,1.017,7019455.0,星期二,0.0,0.002
2026-06-22,0.947,1.024,1.024,0.946,8383790.0,星期一,-0.0053,0.0813
2026-06-18,0.977,0.952,0.978,0.95,3054017.0,星期四,-0.002,-0.0256
2026-06-17,0.977,0.979,0.989,0.974,2679122.0,星期三,-0.0031,0.002
2026-06-16,0.965,0.98,0.985,0.961,3856318.0,星期二,-0.0062,0.0155
2026-06-15,0.949,0.971,0.996,0.948,7147595.0,星期一,0.0042,0.0232
2026-06-12,0.916,0.945,0.949,0.91,4955129.0,星期五,0.0022,0.0317
2026-06-11,0.921,0.914,0.931,0.906,2449196.0,星期四,-0.0011,-0.0076
2026-06-10,0.906,0.922,0.924,0.904,2815418.0,星期三,-0.0033,0.0177
2026-06-09,0.906,0.909,0.911,0.9,2122705.0,星期二,0.0,0.0033
2026-06-08,0.915,0.906,0.922,0.902,3668971.0,星期一,-0.0065,-0.0098
2026-06-05,0.928,0.921,0.936,0.92,2320059.0,星期五,0.0022,-0.0075
2026-06-04,0.932,0.926,0.942,0.92,2637914.0,星期四,-0.0064,-0.0064
2026-06-03,0.939,0.938,0.946,0.929,2764952.0,星期三,-0.0011,-0.0011
2026-06-02,0.937,0.94,0.944,0.929,2645824.0,星期二,-0.0011,0.0032
2026-06-01,0.937,0.938,0.944,0.929,1970680.0,星期一,0.0011,0.0011
2026-05-29,0.925,0.936,0.95,0.925,3435192.0,星期五,0.0,0.0119
2026-05-28,0.946,0.925,0.946,0.92,3372790.0,星期四,-0.0011,-0.0222
2026-05-27,0.951,0.947,0.966,0.94,2870831.0,星期三,-0.0052,-0.0042
2026-05-26,0.945,0.956,0.967,0.942,3178952.0,星期二,-0.0021,0.0116
2026-05-25,0.943,0.947,0.953,0.937,2312290.0,星期一,0.0032,0.0042
2026-05-22,0.958,0.94,0.961,0.937,3052365.0,星期五,0.0031,-0.0188
2026-05-21,0.956,0.955,0.989,0.953,6105994.0,星期四,0.0053,-0.001
2026-05-20,0.952,0.951,0.958,0.948,1666931.0,星期三,-0.0063,-0.0011
2026-05-19,0.949,0.958,0.96,0.942,2301727.0,星期二,0.0011,0.0095
2026-05-18,0.948,0.948,0.956,0.944,2348717.0,星期一,-0.0021,0.0
2026-05-15,0.971,0.95,0.973,0.947,2951596.0,星期五,0.0,-0.0216
2026-05-14,0.993,0.971,0.995,0.971,2618827.0,星期四,0.0,-0.0222
2026-05-13,0.994,0.993,0.998,0.983,2510084.0,星期三,-0.004,-0.001
2026-05-12,0.995,0.998,1.006,0.988,3906247.0,星期二,0.0,0.003
2026-05-11,0.977,0.995,1.0,0.973,4219462.0,星期一,-0.0031,0.0184
2026-05-08,0.983,0.98,0.986,0.976,2287767.0,星期五,-0.0041,-0.0031
2026-05-07,0.996,0.987,0.998,0.98,2368102.0,星期四,0.005,-0.009
2026-05-06,0.984,0.991,0.997,0.979,3324963.0,星期三,0.0051,0.0071
2026-04-30,0.975,0.979,0.992,0.973,2959213.0,星期四,-0.001,0.0041
2026-04-29,0.968,0.976,0.976,0.965,2246183.0,星期三,-0.0021,0.0083
2026-04-28,0.961,0.97,0.981,0.96,3073594.0,星期二,0.0021,0.0094
2026-04-27,0.958,0.959,0.97,0.956,1941965.0,星期一,0.001,0.001
