time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.855,1.841,1.855,1.802,2518519.0,星期五,-0.0252,-0.0075
2026-06-25,1.864,1.903,1.905,1.864,2715626.0,星期四,0.0253,0.0209
2026-06-24,1.791,1.818,1.83,1.784,2585455.0,星期三,0.0,0.0151
2026-06-23,1.896,1.791,1.896,1.787,3280425.0,星期二,-0.0084,-0.0554
2026-06-22,1.9,1.912,1.92,1.89,2127587.0,星期一,0.0254,0.0063
2026-06-18,1.828,1.853,1.865,1.825,2612660.0,星期四,0.0184,0.0137
2026-06-17,1.797,1.795,1.798,1.778,1858360.0,星期三,0.0113,-0.0011
2026-06-16,1.761,1.777,1.791,1.756,2630206.0,星期二,-0.0062,0.0091
2026-06-15,1.755,1.772,1.773,1.75,2282114.0,星期一,0.0496,0.0097
2026-06-12,1.693,1.672,1.704,1.671,2348060.0,星期五,0.0323,-0.0124
2026-06-11,1.635,1.64,1.644,1.604,1903918.0,星期四,-0.0006,0.0031
2026-06-10,1.675,1.636,1.682,1.624,1831113.0,星期三,-0.0147,-0.0233
2026-06-09,1.655,1.7,1.701,1.647,3023365.0,星期二,0.0153,0.0272
2026-06-08,1.605,1.63,1.646,1.605,2440633.0,星期一,-0.0503,0.0156
2026-06-05,1.686,1.69,1.709,1.685,1997656.0,星期五,-0.0277,0.0024
2026-06-04,1.7,1.734,1.74,1.698,1492579.0,星期四,-0.0252,0.02
2026-06-03,1.731,1.744,1.761,1.73,2514258.0,星期三,0.0218,0.0075
2026-06-02,1.7,1.694,1.706,1.661,2671319.0,星期二,-0.0116,-0.0035
2026-06-01,1.701,1.72,1.721,1.691,2466789.0,星期一,0.0143,0.0112
2026-05-29,1.652,1.677,1.678,1.649,1341424.0,星期五,0.0191,0.0151
2026-05-28,1.628,1.621,1.638,1.601,1061795.0,星期四,-0.0018,-0.0043
2026-05-27,1.657,1.631,1.664,1.629,1785101.0,星期三,0.0135,-0.0157
2026-05-26,1.633,1.635,1.635,1.625,849922.0,星期二,-0.0061,0.0012
2026-05-25,1.641,1.643,1.647,1.635,1086201.0,星期一,0.0321,0.0012
2026-05-22,1.572,1.59,1.597,1.571,1145965.0,星期五,0.0201,0.0115
2026-05-21,1.557,1.541,1.56,1.541,796483.0,星期四,0.0318,-0.0103
2026-05-20,1.511,1.509,1.512,1.495,706322.0,星期三,-0.0098,-0.0013
2026-05-19,1.524,1.526,1.532,1.515,480843.0,星期二,-0.0013,0.0013
2026-05-18,1.522,1.526,1.537,1.517,794754.0,星期一,-0.0206,0.0026
2026-05-15,1.568,1.554,1.573,1.535,1184134.0,星期五,-0.0088,-0.0089
2026-05-14,1.61,1.582,1.615,1.582,647304.0,星期四,0.0037,-0.0174
2026-05-13,1.588,1.604,1.606,1.588,533634.0,星期三,-0.0006,0.0101
2026-05-12,1.598,1.589,1.602,1.58,666539.0,星期二,0.0025,-0.0056
2026-05-11,1.602,1.594,1.605,1.592,756162.0,星期一,-0.0012,-0.005
2026-05-08,1.609,1.604,1.609,1.585,818215.0,星期五,-0.0056,-0.0031
2026-05-07,1.609,1.618,1.629,1.605,1599169.0,星期四,0.0229,0.0056
2026-05-06,1.541,1.573,1.574,1.541,1194467.0,星期三,0.0301,0.0208
2026-04-30,1.498,1.496,1.502,1.491,601625.0,星期四,-0.0079,-0.0013
2026-04-29,1.503,1.51,1.512,1.501,393053.0,星期三,-0.0105,0.0047
2026-04-28,1.516,1.519,1.524,1.512,452471.0,星期二,-0.0052,0.002
2026-04-27,1.521,1.524,1.539,1.52,889535.0,星期一,0.0126,0.002
2026-04-24,1.499,1.502,1.506,1.494,535439.0,星期五,0.0047,0.002
2026-04-23,1.511,1.492,1.511,1.487,637174.0,星期四,0.0,-0.0126
2026-04-22,1.501,1.511,1.512,1.498,674144.0,星期三,-0.002,0.0067
2026-04-21,1.502,1.504,1.51,1.499,790440.0,星期二,0.0081,0.0013
2026-04-20,1.492,1.49,1.501,1.488,701191.0,星期一,0.0034,-0.0013
2026-04-17,1.493,1.487,1.497,1.483,700694.0,星期五,-0.0106,-0.004
2026-04-16,1.498,1.509,1.518,1.493,1304958.0,星期四,0.019,0.0073
2026-04-15,1.479,1.47,1.482,1.469,706261.0,星期三,0.0102,-0.0061
2026-04-14,1.471,1.464,1.472,1.463,741571.0,星期二,0.0258,-0.0048
2026-04-13,1.43,1.434,1.438,1.427,593801.0,星期一,-0.0069,0.0028
2026-04-10,1.458,1.44,1.462,1.44,1235989.0,星期五,0.0182,-0.0123
2026-04-09,1.425,1.432,1.438,1.423,998394.0,星期四,-0.0172,0.0049
2026-04-08,1.423,1.45,1.452,1.423,2556084.0,星期三,0.0448,0.019
2026-04-07,1.365,1.362,1.369,1.356,643272.0,星期二,0.0029,-0.0022
2026-04-03,1.375,1.361,1.377,1.361,449687.0,星期五,0.0133,-0.0102
2026-04-02,1.374,1.357,1.381,1.345,1125545.0,星期四,-0.0193,-0.0124
2026-04-01,1.371,1.401,1.411,1.364,1772541.0,星期三,0.0293,0.0219
2026-03-31,1.343,1.332,1.364,1.327,910908.0,星期二,-0.0052,-0.0082
2026-03-30,1.32,1.35,1.354,1.317,1303490.0,星期一,-0.0308,0.0227
2026-03-27,1.344,1.362,1.372,1.344,845132.0,星期五,-0.011,0.0134
2026-03-26,1.379,1.359,1.384,1.356,738152.0,星期四,0.0007,-0.0145
2026-03-25,1.38,1.378,1.385,1.37,928771.0,星期三,0.023,-0.0014
2026-03-24,1.332,1.349,1.349,1.322,879969.0,星期二,0.0145,0.0128
2026-03-23,1.331,1.313,1.346,1.31,1332630.0,星期一,-0.0348,-0.0135
2026-03-20,1.399,1.379,1.403,1.378,405395.0,星期五,0.0036,-0.0143
2026-03-19,1.395,1.394,1.412,1.388,720512.0,星期四,-0.0272,-0.0007
2026-03-18,1.418,1.434,1.435,1.411,937168.0,星期三,0.0179,0.0113
2026-03-17,1.416,1.393,1.42,1.392,569535.0,星期二,-0.0014,-0.0162
2026-03-16,1.405,1.418,1.418,1.39,594756.0,星期一,-0.0035,0.0093
2026-03-13,1.42,1.41,1.422,1.407,471996.0,星期五,-0.0063,-0.007
