time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.718,0.684,0.719,0.684,349798.0,星期五,-0.0069,-0.0474
2026-06-25,0.725,0.723,0.733,0.717,208098.0,星期四,-0.0096,-0.0028
2026-06-24,0.732,0.732,0.748,0.72,318415.0,星期三,-0.0161,0.0
2026-06-23,0.758,0.744,0.764,0.739,338290.0,星期二,-0.0039,-0.0185
2026-06-22,0.73,0.761,0.761,0.719,412317.0,星期一,-0.0054,0.0425
2026-06-18,0.721,0.734,0.74,0.717,305255.0,星期四,-0.0083,0.018
2026-06-17,0.727,0.727,0.73,0.719,210371.0,星期三,-0.0014,0.0
2026-06-16,0.733,0.728,0.733,0.72,271638.0,星期二,0.0041,-0.0068
2026-06-15,0.717,0.73,0.738,0.717,346507.0,星期一,0.007,0.0181
2026-06-12,0.707,0.712,0.722,0.703,375249.0,星期五,0.0071,0.0071
2026-06-11,0.72,0.702,0.725,0.695,324211.0,星期四,-0.0137,-0.025
2026-06-10,0.745,0.73,0.754,0.725,306780.0,星期三,-0.0053,-0.0201
2026-06-09,0.74,0.749,0.749,0.729,250684.0,星期二,0.0054,0.0122
2026-06-08,0.732,0.736,0.751,0.728,322836.0,星期一,-0.0305,0.0055
2026-06-05,0.762,0.755,0.769,0.75,282013.0,星期五,0.0026,-0.0092
2026-06-04,0.78,0.76,0.78,0.756,287661.0,星期四,-0.0038,-0.0256
2026-06-03,0.79,0.783,0.799,0.777,351226.0,星期三,-0.0088,-0.0089
2026-06-02,0.818,0.797,0.818,0.787,508018.0,星期二,0.0124,-0.0257
2026-06-01,0.782,0.808,0.819,0.779,451760.0,星期一,0.0064,0.0332
2026-05-29,0.809,0.777,0.814,0.773,330062.0,星期五,0.0087,-0.0396
2026-05-28,0.807,0.802,0.807,0.78,353959.0,星期四,0.0,-0.0062
2026-05-27,0.826,0.807,0.83,0.805,314679.0,星期三,-0.0012,-0.023
2026-05-26,0.832,0.827,0.836,0.811,329585.0,星期二,0.0,-0.006
2026-05-25,0.829,0.832,0.838,0.818,347768.0,星期一,0.0073,0.0036
2026-05-22,0.821,0.823,0.83,0.81,303423.0,星期五,-0.0036,0.0024
2026-05-21,0.845,0.824,0.868,0.82,380050.0,星期四,0.0024,-0.0249
