time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.352,2.313,2.369,2.3,90686.0,星期五,-0.0097,-0.0166
2026-06-25,2.352,2.375,2.375,2.34,46502.0,星期四,0.0021,0.0098
2026-06-24,2.305,2.347,2.35,2.288,69545.0,星期三,-0.0004,0.0182
2026-06-23,2.35,2.306,2.359,2.289,80145.0,星期二,0.0,-0.0187
2026-06-22,2.305,2.35,2.354,2.287,95125.0,星期一,0.0,0.0195
2026-06-18,2.271,2.305,2.318,2.271,69554.0,星期四,-0.0096,0.015
2026-06-17,2.257,2.293,2.293,2.248,57616.0,星期三,0.0,0.016
2026-06-16,2.221,2.257,2.267,2.221,58119.0,星期二,-0.0058,0.0162
2026-06-15,2.16,2.234,2.234,2.16,53936.0,星期一,0.0005,0.0343
2026-06-12,2.153,2.159,2.189,2.15,70056.0,星期五,0.0084,0.0028
2026-06-11,2.132,2.135,2.143,2.11,69737.0,星期四,-0.0033,0.0014
2026-06-10,2.165,2.139,2.165,2.115,83013.0,星期三,0.0,-0.012
2026-06-09,2.11,2.165,2.167,2.11,53027.0,星期二,0.0009,0.0261
2026-06-08,2.175,2.108,2.175,2.091,85069.0,星期一,-0.0037,-0.0308
2026-06-05,2.209,2.183,2.221,2.177,87751.0,星期五,-0.0005,-0.0118
2026-06-04,2.201,2.21,2.219,2.194,68213.0,星期四,-0.0054,0.0041
2026-06-03,2.195,2.213,2.238,2.194,76616.0,星期三,-0.0023,0.0082
2026-06-02,2.188,2.2,2.217,2.155,63833.0,星期二,0.0,0.0055
2026-06-01,2.206,2.188,2.232,2.187,89246.0,星期一,0.0,-0.0082
2026-05-29,2.265,2.206,2.272,2.196,111898.0,星期五,0.0,-0.026
2026-05-28,2.254,2.265,2.275,2.23,116317.0,星期四,0.0,0.0049
2026-05-27,2.276,2.254,2.303,2.241,197639.0,星期三,-0.0026,-0.0097
2026-05-26,2.273,2.282,2.284,2.247,71347.0,星期二,-0.0096,0.004
2026-05-25,2.266,2.295,2.295,2.25,99548.0,星期一,0.0031,0.0128
2026-05-22,2.219,2.259,2.263,2.219,92208.0,星期五,0.0009,0.018
2026-05-21,2.278,2.217,2.316,2.214,131828.0,星期四,-0.0013,-0.0268
2026-05-20,2.261,2.281,2.286,2.249,70031.0,星期三,-0.004,0.0088
2026-05-19,2.249,2.27,2.271,2.215,93543.0,星期二,-0.0013,0.0093
2026-05-18,2.231,2.252,2.267,2.228,105851.0,星期一,-0.0128,0.0094
2026-05-15,2.272,2.26,2.295,2.238,148691.0,星期五,-0.0074,-0.0053
2026-05-14,2.349,2.289,2.357,2.288,126423.0,星期四,0.0021,-0.0255
2026-05-13,2.302,2.344,2.349,2.296,69513.0,星期三,-0.0026,0.0182
2026-05-12,2.33,2.308,2.33,2.299,60498.0,星期二,0.0009,-0.0094
2026-05-11,2.284,2.328,2.33,2.284,73508.0,星期一,0.0,0.0193
2026-05-08,2.274,2.284,2.291,2.264,71875.0,星期五,-0.0044,0.0044
2026-05-07,2.257,2.284,2.288,2.257,57813.0,星期四,-0.0004,0.012
2026-05-06,2.199,2.258,2.267,2.199,82267.0,星期三,0.0,0.0268
2026-04-30,2.188,2.199,2.203,2.182,29500.0,星期四,-0.0036,0.005
2026-04-29,2.15,2.196,2.201,2.147,57418.0,星期三,-0.0023,0.0214
2026-04-28,2.173,2.155,2.174,2.147,44082.0,星期二,-0.0032,-0.0083
2026-04-27,2.164,2.18,2.188,2.161,45361.0,星期一,-0.0005,0.0074
2026-04-24,2.17,2.165,2.181,2.144,97048.0,星期五,-0.0041,-0.0023
2026-04-23,2.198,2.179,2.203,2.158,116675.0,星期四,0.0,-0.0086
2026-04-22,2.163,2.198,2.198,2.16,57204.0,星期三,-0.0023,0.0162
2026-04-21,2.16,2.168,2.171,2.147,58949.0,星期二,-0.0055,0.0037
2026-04-20,2.145,2.172,2.181,2.141,60442.0,星期一,-0.0046,0.0126
2026-04-17,2.136,2.155,2.161,2.136,52963.0,星期五,-0.0056,0.0089
2026-04-16,2.12,2.148,2.15,2.115,69817.0,星期四,0.0038,0.0132
2026-04-15,2.13,2.112,2.138,2.104,76353.0,星期三,0.0052,-0.0085
2026-04-14,2.1,2.119,2.12,2.098,73864.0,星期二,0.0067,0.009
2026-04-13,2.08,2.086,2.096,2.05,38790.0,星期一,-0.0043,0.0029
2026-04-10,2.081,2.089,2.116,2.08,59411.0,星期五,0.0039,0.0038
2026-04-09,2.07,2.073,2.084,2.05,95331.0,星期四,-0.0067,0.0014
2026-04-08,2.04,2.084,2.084,2.01,112074.0,星期三,0.0267,0.0216
2026-04-07,1.989,1.987,2.004,1.976,62435.0,星期二,0.0,-0.001
2026-04-03,1.99,1.989,2.0,1.972,66685.0,星期五,-0.0045,-0.0005
2026-04-02,2.027,1.999,2.031,1.981,106164.0,星期四,-0.0015,-0.0138
2026-04-01,2.035,2.03,2.06,2.017,85001.0,星期三,0.0099,-0.0025
2026-03-31,2.032,2.015,2.042,1.997,62777.0,星期二,0.0005,-0.0084
2026-03-30,2.015,2.031,2.045,1.994,97318.0,星期一,-0.0059,0.0079
2026-03-27,1.997,2.027,2.041,1.98,80404.0,星期五,-0.0045,0.015
2026-03-26,2.029,2.006,2.037,1.996,113240.0,星期四,-0.0025,-0.0113
2026-03-25,1.994,2.034,2.045,1.994,120082.0,星期三,0.0005,0.0201
2026-03-24,1.965,1.993,1.993,1.935,127182.0,星期二,0.0082,0.0142
