time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.654,1.607,1.654,1.601,817.0,星期五,-0.0102,-0.0284
2026-06-25,1.655,1.671,1.68,1.647,4011.0,星期四,0.0079,0.0097
2026-06-24,1.61,1.642,1.65,1.58,2196.0,星期三,-0.0037,0.0199
2026-06-23,1.64,1.616,1.653,1.594,1677.0,星期二,-0.0006,-0.0146
2026-06-22,1.602,1.641,1.641,1.597,2774.0,星期一,0.0044,0.0243
2026-06-18,1.571,1.595,1.618,1.571,1408.0,星期四,0.0,0.0153
2026-06-17,1.559,1.571,1.572,1.556,953.0,星期三,0.0019,0.0077
2026-06-16,1.532,1.556,1.566,1.532,164.0,星期二,0.0079,0.0157
2026-06-15,1.484,1.52,1.52,1.484,266.0,星期一,0.0082,0.0243
2026-06-12,1.48,1.472,1.494,1.472,400.0,星期五,0.0102,-0.0054
2026-06-11,1.48,1.465,1.48,1.465,319.0,星期四,-0.01,-0.0101
2026-06-10,1.499,1.495,1.5,1.482,438.0,星期三,-0.0033,-0.0027
2026-06-09,1.476,1.504,1.504,1.469,295.0,星期二,0.0151,0.019
2026-06-08,1.479,1.454,1.479,1.448,823.0,星期一,-0.01,-0.0169
2026-06-05,1.507,1.494,1.516,1.494,244.0,星期五,-0.0013,-0.0086
2026-06-04,1.51,1.509,1.52,1.509,719.0,星期四,-0.002,-0.0007
2026-06-03,1.495,1.513,1.527,1.495,456.0,星期三,0.0095,0.012
2026-06-02,1.489,1.481,1.503,1.461,717.0,星期二,-0.01,-0.0054
2026-06-01,1.498,1.504,1.52,1.491,611.0,星期一,-0.0079,0.004
2026-05-29,1.555,1.51,1.555,1.501,364.0,星期五,0.0045,-0.0289
2026-05-28,1.538,1.548,1.555,1.525,373.0,星期四,0.0072,0.0065
2026-05-27,1.555,1.527,1.555,1.524,1630.0,星期三,-0.0102,-0.018
2026-05-26,1.567,1.571,1.578,1.535,875.0,星期二,-0.0082,0.0026
2026-05-25,1.535,1.58,1.58,1.535,832.0,星期一,0.0099,0.0293
2026-05-22,1.501,1.52,1.531,1.501,1011.0,星期五,-0.0099,0.0127
2026-05-21,1.574,1.516,1.593,1.516,1343.0,星期四,0.0058,-0.0368
