time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.369,2.371,2.379,2.283,561.0,星期五,-0.0004,0.0008
2026-06-25,2.366,2.37,2.408,2.366,29.0,星期四,0.0098,0.0017
2026-06-24,2.291,2.343,2.349,2.274,275.0,星期三,-0.0099,0.0227
2026-06-23,2.328,2.314,2.365,2.295,715.0,星期二,-0.0161,-0.006
2026-06-22,2.36,2.366,2.366,2.274,551.0,星期一,0.0004,0.0025
2026-06-18,2.277,2.359,2.369,2.277,1006.0,星期四,0.0192,0.036
2026-06-17,2.206,2.234,2.295,2.206,260.0,星期三,-0.0099,0.0127
2026-06-16,2.219,2.228,2.238,2.188,191.0,星期二,0.005,0.0041
2026-06-15,2.207,2.208,2.23,2.11,805.0,星期一,0.0,0.0005
2026-06-12,2.204,2.207,2.24,2.16,512.0,星期五,-0.0099,0.0014
2026-06-11,2.219,2.226,2.361,2.219,109.0,星期四,0.005,0.0032
2026-06-10,2.188,2.208,2.209,2.143,112.0,星期三,-0.01,0.0091
2026-06-09,2.209,2.21,2.211,2.154,161.0,星期二,0.0489,0.0005
2026-06-08,2.208,2.106,2.208,2.106,23.0,星期一,-0.0099,-0.0462
2026-06-04,2.228,2.23,2.25,2.228,149.0,星期四,-0.0098,0.0009
2026-06-03,2.208,2.25,2.252,2.208,187.0,星期三,-0.0099,0.019
2026-06-02,2.237,2.23,2.283,2.15,280.0,星期二,-0.0102,-0.0031
2026-06-01,2.257,2.26,2.267,2.212,158.0,星期一,0.0053,0.0013
2026-05-29,2.301,2.245,2.337,2.245,254.0,星期五,0.0101,-0.0243
2026-05-28,2.288,2.278,2.288,2.266,267.0,星期四,-0.01,-0.0044
2026-05-27,2.308,2.311,2.386,2.308,288.0,星期三,-0.0065,0.0013
2026-05-26,2.313,2.323,2.323,2.299,173.0,星期二,0.0013,0.0043
2026-05-25,2.254,2.31,2.319,2.254,411.0,星期一,0.0099,0.0248
2026-05-22,2.229,2.232,2.243,2.22,77.0,星期五,0.0095,0.0013
2026-05-21,2.27,2.208,2.323,2.208,262.0,星期四,-0.0022,-0.0273
2026-05-20,2.243,2.275,2.276,2.23,106.0,星期三,0.0,0.0143
2026-05-19,2.208,2.243,2.243,2.186,72.0,星期二,-0.0099,0.0159
