time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,4.24,4.202,4.24,4.181,204.0,星期五,-0.007,-0.009
2026-06-25,4.201,4.27,4.27,4.2,1783.0,星期四,-0.0069,0.0164
2026-06-24,4.213,4.23,4.25,4.2,474.0,星期三,0.0012,0.004
2026-06-23,4.25,4.208,4.292,4.208,304.0,星期二,0.0,-0.0099
2026-06-22,4.2,4.25,4.25,4.167,1059.0,星期一,-0.0019,0.0119
2026-06-18,4.209,4.208,4.209,4.19,431.0,星期四,0.0,-0.0002
2026-06-17,4.192,4.209,4.209,4.184,295.0,星期三,-0.004,0.0041
2026-06-16,4.235,4.209,4.235,4.201,22.0,星期二,0.0047,-0.0061
2026-06-15,4.204,4.215,4.254,4.191,1998.0,星期一,0.0082,0.0026
2026-06-12,4.175,4.17,4.209,4.159,542.0,星期五,0.0099,-0.0012
2026-06-11,4.191,4.134,4.191,4.134,1964.0,星期四,0.0062,-0.0136
2026-06-10,4.126,4.165,4.178,4.126,942.0,星期三,-0.006,0.0095
2026-06-09,4.151,4.151,4.188,4.133,203.0,星期二,0.0029,0.0
2026-06-08,4.208,4.139,4.208,4.111,3766.0,星期一,-0.0064,-0.0164
2026-06-05,4.235,4.235,4.236,4.21,141.0,星期五,-0.0002,0.0
2026-06-04,4.297,4.236,4.297,4.215,752.0,星期四,0.0068,-0.0142
2026-06-03,4.257,4.268,4.332,4.257,678.0,星期三,-0.0093,0.0026
2026-06-02,4.31,4.297,4.32,4.276,1148.0,星期二,-0.0002,-0.003
2026-06-01,4.347,4.311,4.347,4.304,2580.0,星期一,0.0,-0.0083
2026-05-29,4.34,4.347,4.351,4.34,196.0,星期五,0.0074,0.0016
2026-05-28,4.296,4.308,4.362,4.293,431.0,星期四,-0.0092,0.0028
2026-05-27,4.343,4.336,4.4,4.336,628.0,星期三,-0.0084,-0.0016
2026-05-26,4.388,4.38,4.388,4.379,1032.0,星期二,0.0043,-0.0018
2026-05-25,4.35,4.369,4.385,4.35,212.0,星期一,-0.003,0.0044
2026-05-22,4.381,4.363,4.381,4.343,7.0,星期五,0.0,-0.0041
2026-05-21,4.409,4.381,4.436,4.381,157.0,星期四,0.0059,-0.0064
2026-05-20,4.381,4.383,4.386,4.381,288.0,星期三,-0.0011,0.0005
2026-05-19,4.368,4.386,4.386,4.364,255.0,星期二,-0.0091,0.0041
2026-05-18,4.385,4.408,4.408,4.372,108.0,星期一,-0.0099,0.0052
2026-05-15,4.47,4.429,4.478,4.4,381.0,星期五,0.0031,-0.0092
2026-05-14,4.484,4.456,4.484,4.456,150.0,星期四,-0.0038,-0.0062
2026-05-13,4.494,4.501,4.501,4.476,487.0,星期三,-0.0031,0.0016
2026-05-12,4.549,4.508,4.55,4.508,119.0,星期二,0.0009,-0.009
2026-05-11,4.462,4.545,4.548,4.462,994.0,星期一,-0.0098,0.0186
2026-05-08,4.509,4.506,4.509,4.506,308.0,星期五,-0.004,-0.0007
2026-05-07,4.513,4.527,4.535,4.513,289.0,星期四,-0.0081,0.0031
2026-05-06,4.516,4.55,4.561,4.516,407.0,星期三,-0.0068,0.0075
2026-04-30,4.525,4.547,4.547,4.502,454.0,星期四,-0.004,0.0049
2026-04-29,4.465,4.543,4.545,4.465,964.0,星期三,-0.01,0.0175
2026-04-28,4.468,4.51,4.515,4.453,1779.0,星期二,0.0061,0.0094
2026-04-27,4.454,4.441,4.456,4.441,74.0,星期一,0.0047,-0.0029
2026-04-24,4.481,4.433,4.481,4.423,278.0,星期五,0.0067,-0.0107
2026-04-23,4.45,4.451,4.475,4.446,272.0,星期四,0.0043,0.0002
2026-04-22,4.414,4.431,4.444,4.403,755.0,星期三,0.008,0.0039
2026-04-21,4.375,4.379,4.396,4.375,240.0,星期二,-0.0048,0.0009
2026-04-20,4.439,4.396,4.439,4.388,326.0,星期一,0.0011,-0.0097
2026-04-17,4.405,4.434,4.434,4.381,372.0,星期五,-0.0077,0.0066
2026-04-16,4.417,4.439,4.44,4.417,906.0,星期四,0.002,0.005
2026-04-15,4.374,4.408,4.419,4.342,1260.0,星期三,0.0097,0.0078
2026-04-14,4.315,4.332,4.417,4.315,1051.0,星期二,-0.0146,0.0039
2026-04-13,4.326,4.379,4.379,4.326,279.0,星期一,-0.0126,0.0123
2026-04-10,4.379,4.381,4.383,4.354,390.0,星期五,0.0097,0.0005
2026-04-09,4.304,4.337,4.337,4.304,171.0,星期四,-0.0094,0.0077
2026-04-08,4.36,4.345,4.36,4.345,480.0,星期三,0.0247,-0.0034
2026-04-07,4.248,4.255,4.255,4.248,250.0,星期二,-0.0093,0.0016
2026-04-03,4.288,4.288,4.288,4.288,5.877471754111438e-39,星期五,-0.0065,0.0
2026-04-02,4.316,4.316,4.316,4.316,512.0,星期四,-0.0119,0.0
2026-04-01,4.354,4.368,4.369,4.354,228.0,星期三,0.0095,0.0032
