time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.921,1.93,1.939,1.893,870.0,星期五,-0.0098,0.0047
2026-06-25,1.945,1.94,1.945,1.926,290.0,星期四,0.0099,-0.0026
2026-06-24,1.901,1.926,1.926,1.893,212.0,星期三,-0.0099,0.0132
2026-06-23,1.922,1.92,1.952,1.919,127.0,星期二,-0.0083,-0.001
2026-06-22,1.954,1.938,1.954,1.9,130.0,星期一,0.0,-0.0082
2026-06-18,1.937,1.954,1.965,1.937,565.0,星期四,0.012,0.0088
2026-06-17,1.929,1.914,1.929,1.914,650.0,星期三,0.0099,-0.0078
2026-06-16,1.889,1.91,1.911,1.889,512.0,星期二,-0.0005,0.0111
2026-06-15,1.861,1.89,1.89,1.861,159.0,星期一,-0.0053,0.0156
2026-06-12,1.859,1.871,1.878,1.841,191.0,星期五,0.0098,0.0065
2026-06-11,1.875,1.841,1.875,1.841,282.0,星期四,-0.0058,-0.0181
2026-06-10,1.927,1.886,1.927,1.875,351.0,星期三,0.0005,-0.0213
2026-06-09,1.908,1.926,1.927,1.901,29.0,星期二,-0.0005,0.0094
2026-06-08,1.927,1.909,1.946,1.89,256.0,星期一,-0.0098,-0.0093
2026-06-05,1.955,1.946,1.955,1.934,69.0,星期五,-0.0101,-0.0046
2026-06-04,2.014,1.975,2.014,1.955,352.0,星期四,0.0095,-0.0194
2026-06-03,1.985,1.995,1.995,1.982,83.0,星期三,0.0051,0.005
2026-06-02,1.958,1.975,1.976,1.958,19.0,星期二,-0.0101,0.0087
2026-06-01,1.958,1.978,1.979,1.95,153.0,星期一,-0.0101,0.0102
2026-05-29,2.042,1.978,2.042,1.956,469.0,星期五,-0.0039,-0.0313
2026-05-28,2.045,2.05,2.053,2.012,220.0,星期四,-0.0097,0.0024
2026-05-27,2.087,2.065,2.103,2.065,217.0,星期三,0.0102,-0.0105
2026-05-26,2.095,2.066,2.095,2.053,221.0,星期二,0.0,-0.0138
2026-05-25,2.076,2.095,2.095,2.066,639.0,星期一,0.0048,0.0092
2026-05-22,2.046,2.066,2.074,2.03,267.0,星期五,-0.0092,0.0098
2026-05-21,2.054,2.065,2.1,2.054,453.0,星期四,0.0059,0.0054
2026-05-20,2.053,2.042,2.054,2.03,76.0,星期三,-0.0068,-0.0054
2026-05-19,2.04,2.067,2.067,2.031,145.0,星期二,-0.001,0.0132
2026-05-18,2.043,2.042,2.061,2.04,79.0,星期一,0.0025,-0.0005
2026-05-15,2.041,2.038,2.08,2.022,360.0,星期五,-0.0087,-0.0015
2026-05-14,2.095,2.059,2.095,2.059,131.0,星期四,-0.0043,-0.0172
2026-05-13,2.07,2.104,2.109,2.058,216.0,星期三,0.0,0.0164
2026-05-12,2.09,2.07,2.09,2.07,21.0,星期二,0.0038,-0.0096
2026-05-11,2.083,2.082,2.095,2.069,89.0,星期一,0.0102,-0.0005
2026-05-08,2.05,2.062,2.068,2.041,195.0,星期五,-0.001,0.0059
2026-05-07,2.029,2.052,2.058,2.025,335.0,星期四,-0.0098,0.0113
2026-05-06,2.021,2.049,2.052,2.002,578.0,星期三,0.01,0.0139
2026-04-30,1.991,2.001,2.006,1.988,167.0,星期四,0.0015,0.005
2026-04-29,1.988,1.988,1.988,1.988,30.0,星期三,0.0,0.0
2026-04-28,2.032,1.988,2.032,1.984,77.0,星期二,0.004,-0.0217
2026-04-27,1.998,2.024,2.032,1.996,77.0,星期一,0.003,0.013
2026-04-24,1.998,1.992,2.0,1.975,544.0,星期五,-0.0099,-0.003
2026-04-23,2.034,2.018,2.035,2.005,87.0,星期四,0.0044,-0.0079
2026-04-22,2.006,2.025,2.025,2.002,198.0,星期三,0.0005,0.0095
2026-04-21,1.987,2.005,2.007,1.985,96.0,星期二,-0.0119,0.0091
2026-04-20,1.998,2.011,2.016,1.998,240.0,星期一,0.0,0.0065
2026-04-17,1.99,1.998,1.998,1.981,512.0,星期五,-0.0025,0.004
2026-04-16,1.969,1.995,1.995,1.969,89.0,星期四,-0.001,0.0132
2026-04-15,1.997,1.971,1.997,1.965,496.0,星期三,0.0076,-0.013
2026-04-14,1.977,1.982,1.988,1.956,102.0,星期二,0.0087,0.0025
2026-04-13,1.98,1.96,1.98,1.96,264.0,星期一,0.0071,-0.0101
2026-04-10,1.956,1.966,1.979,1.956,118.0,星期五,0.0031,0.0051
2026-04-09,1.94,1.95,1.954,1.94,129.0,星期四,0.0005,0.0052
2026-04-08,1.903,1.939,1.948,1.888,183.0,星期三,0.0155,0.0189
2026-04-07,1.871,1.874,1.89,1.865,96.0,星期二,0.0005,0.0016
2026-04-03,1.883,1.87,1.883,1.87,105.0,星期五,0.0043,-0.0069
2026-04-02,1.899,1.875,1.899,1.872,69.0,星期四,-0.0068,-0.0126
2026-04-01,1.898,1.912,1.914,1.898,85.0,星期三,0.0064,0.0074
2026-03-31,1.932,1.886,1.932,1.886,109.0,星期二,0.0195,-0.0238
2026-03-30,1.871,1.895,1.895,1.866,93.0,星期一,-0.0153,0.0128
2026-03-27,1.881,1.9,1.946,1.878,48.0,星期五,-0.0053,0.0101
2026-03-26,1.927,1.891,1.927,1.891,86.0,星期四,-0.0016,-0.0187
2026-03-25,1.923,1.93,1.931,1.914,201.0,星期三,0.0132,0.0036
2026-03-24,1.9,1.898,1.911,1.861,132.0,星期二,0.0,-0.0011
2026-03-23,1.938,1.9,1.951,1.89,222.0,星期一,0.0005,-0.0196
2026-03-20,1.988,1.937,1.988,1.937,147.0,星期五,0.0015,-0.0257
2026-03-19,1.987,1.985,2.014,1.985,203.0,星期四,-0.0183,-0.001
2026-03-18,2.034,2.024,2.034,2.003,66.0,星期三,0.0025,-0.0049
2026-03-17,2.036,2.029,2.055,2.029,124.0,星期二,0.003,-0.0034
2026-03-16,2.035,2.03,2.035,2.0,405.0,星期一,0.0049,-0.0025
2026-03-13,2.014,2.025,2.086,2.014,113.0,星期五,-0.0147,0.0055
2026-03-12,2.057,2.044,2.093,2.044,544.0,星期四,-0.0077,-0.0063
2026-03-11,2.086,2.073,2.086,2.069,109.0,星期三,0.0038,-0.0062
