time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.577,1.541,1.577,1.532,667.0,星期五,-0.0063,-0.0228
2026-06-25,1.585,1.587,1.591,1.57,253.0,星期四,-0.005,0.0013
2026-06-24,1.59,1.593,1.598,1.558,895.0,星期三,-0.005,0.0019
2026-06-23,1.598,1.598,1.6,1.561,677.0,星期二,0.0,0.0
2026-06-22,1.571,1.598,1.598,1.546,855.0,星期一,0.0019,0.0172
2026-06-18,1.568,1.568,1.577,1.558,289.0,星期四,0.0013,0.0
2026-06-17,1.546,1.566,1.566,1.546,428.0,星期三,-0.0051,0.0129
2026-06-16,1.537,1.554,1.556,1.53,269.0,星期二,-0.0026,0.0111
2026-06-15,1.486,1.541,1.541,1.486,1445.0,星期一,-0.0013,0.037
2026-06-12,1.477,1.488,1.506,1.477,340.0,星期五,0.0048,0.0074
2026-06-11,1.477,1.47,1.489,1.47,352.0,星期四,-0.0034,-0.0047
2026-06-10,1.501,1.482,1.501,1.48,528.0,星期三,-0.0053,-0.0127
2026-06-09,1.509,1.509,1.509,1.49,652.0,星期二,0.0094,0.0
2026-06-08,1.524,1.495,1.541,1.48,1022.0,星期一,-0.0097,-0.019
2026-06-05,1.533,1.539,1.547,1.533,565.0,星期五,-0.009,0.0039
2026-06-04,1.561,1.547,1.561,1.539,246.0,星期四,0.0,-0.009
2026-06-03,1.56,1.561,1.57,1.552,967.0,星期三,0.0,0.0006
2026-06-02,1.545,1.56,1.565,1.537,366.0,星期二,-0.0052,0.0097
2026-06-01,1.555,1.553,1.565,1.545,560.0,星期一,-0.0019,-0.0013
2026-05-29,1.597,1.558,1.597,1.553,2049.0,星期五,-0.0031,-0.0244
2026-05-28,1.578,1.602,1.602,1.578,1538.0,星期四,0.0013,0.0152
2026-05-27,1.593,1.576,1.593,1.562,1038.0,星期三,0.0019,-0.0107
2026-05-26,1.597,1.59,1.597,1.584,630.0,星期二,-0.0068,-0.0044
2026-05-25,1.615,1.608,1.616,1.592,1886.0,星期一,0.0044,-0.0043
2026-05-22,1.578,1.608,1.61,1.573,1196.0,星期五,0.0,0.019
2026-05-21,1.625,1.578,1.634,1.575,1293.0,星期四,0.0006,-0.0289
2026-05-20,1.627,1.624,1.627,1.613,348.0,星期三,-0.0061,-0.0018
2026-05-19,1.633,1.637,1.641,1.61,1390.0,星期二,0.0006,0.0024
2026-05-18,1.618,1.632,1.639,1.618,809.0,星期一,-0.0031,0.0087
2026-05-15,1.679,1.623,1.679,1.617,1253.0,星期五,0.0157,-0.0334
2026-05-14,1.699,1.653,1.699,1.639,1517.0,星期四,0.0198,-0.0271
2026-05-13,1.644,1.666,1.668,1.64,1040.0,星期三,0.0,0.0134
2026-05-12,1.662,1.644,1.662,1.634,1094.0,星期二,0.0,-0.0108
2026-05-11,1.657,1.662,1.668,1.646,3303.0,星期一,0.0036,0.003
2026-05-08,1.648,1.651,1.657,1.636,1724.0,星期五,0.0,0.0018
2026-05-07,1.601,1.648,1.648,1.601,3258.0,星期四,-0.0093,0.0294
2026-05-06,1.589,1.616,1.623,1.589,3414.0,星期三,0.0025,0.017
2026-04-30,1.583,1.585,1.586,1.57,590.0,星期四,0.0,0.0013
2026-04-29,1.558,1.583,1.583,1.558,674.0,星期三,0.0,0.016
2026-04-28,1.566,1.558,1.569,1.555,369.0,星期二,0.0,-0.0051
2026-04-27,1.587,1.566,1.587,1.553,1004.0,星期一,0.0032,-0.0132
2026-04-24,1.586,1.582,1.589,1.567,1978.0,星期五,-0.0075,-0.0025
2026-04-23,1.629,1.598,1.629,1.582,2344.0,星期四,0.0099,-0.019
2026-04-22,1.605,1.613,1.615,1.587,2434.0,星期三,0.0031,0.005
2026-04-21,1.591,1.6,1.601,1.579,606.0,星期二,-0.0075,0.0057
2026-04-20,1.6,1.603,1.633,1.582,737.0,星期一,0.0,0.0019
2026-04-17,1.591,1.6,1.604,1.585,2245.0,星期五,0.0006,0.0057
2026-04-16,1.556,1.59,1.59,1.556,5208.0,星期四,0.0,0.0219
2026-04-15,1.569,1.556,1.574,1.556,614.0,星期三,0.0051,-0.0083
2026-04-14,1.543,1.561,1.569,1.531,2490.0,星期二,-0.0032,0.0117
2026-04-13,1.556,1.548,1.556,1.547,740.0,星期一,0.0006,-0.0051
2026-04-10,1.534,1.555,1.558,1.534,1359.0,星期五,-0.0013,0.0137
2026-04-09,1.525,1.536,1.545,1.524,164.0,星期四,-0.0136,0.0072
2026-04-08,1.494,1.546,1.546,1.494,2087.0,星期三,0.0074,0.0348
2026-04-07,1.479,1.483,1.485,1.466,1419.0,星期二,-0.0007,0.0027
2026-04-03,1.49,1.48,1.49,1.47,490.0,星期五,0.0,-0.0067
2026-04-02,1.489,1.49,1.494,1.48,244.0,星期四,-0.0139,0.0007
2026-04-01,1.502,1.51,1.51,1.497,2098.0,星期三,0.0047,0.0053
2026-03-31,1.51,1.495,1.516,1.484,1354.0,星期二,0.0,-0.0099
2026-03-30,1.5,1.51,1.511,1.481,1921.0,星期一,0.0,0.0067
2026-03-27,1.467,1.5,1.503,1.467,1006.0,星期五,-0.0027,0.0225
2026-03-26,1.493,1.471,1.516,1.471,301.0,星期四,-0.0152,-0.0147
2026-03-25,1.49,1.516,1.518,1.49,1296.0,星期三,0.0074,0.0174
2026-03-24,1.45,1.479,1.48,1.443,585.0,星期二,0.0097,0.02
2026-03-23,1.501,1.436,1.504,1.436,1343.0,星期一,-0.0086,-0.0433
2026-03-20,1.528,1.514,1.539,1.513,614.0,星期五,-0.0078,-0.0092
2026-03-19,1.563,1.54,1.563,1.528,722.0,星期四,0.0,-0.0147
2026-03-18,1.545,1.563,1.569,1.541,1795.0,星期三,0.0,0.0117
2026-03-17,1.582,1.545,1.585,1.543,1947.0,星期二,0.0,-0.0234
2026-03-16,1.603,1.582,1.603,1.57,1319.0,星期一,0.005,-0.0131
2026-03-13,1.617,1.595,1.617,1.595,1690.0,星期五,-0.0037,-0.0136
2026-03-12,1.627,1.623,1.636,1.604,625.0,星期四,-0.0055,-0.0025
2026-03-11,1.65,1.636,1.65,1.62,941.0,星期三,0.0049,-0.0085
2026-03-10,1.602,1.642,1.644,1.602,2536.0,星期二,-0.0172,0.025
2026-03-09,1.622,1.63,1.637,1.577,2481.0,星期一,0.0,0.0049
2026-03-06,1.612,1.622,1.626,1.61,1458.0,星期五,-0.0031,0.0062
2026-03-05,1.608,1.617,1.626,1.608,1382.0,星期四,0.0012,0.0056
2026-03-04,1.608,1.606,1.616,1.592,2738.0,星期三,-0.0068,-0.0012
2026-03-03,1.662,1.619,1.662,1.611,3425.0,星期二,-0.0072,-0.0259
2026-03-02,1.661,1.674,1.677,1.637,2782.0,星期一,-0.0036,0.0078
2026-02-27,1.649,1.667,1.67,1.638,2448.0,星期五,0.0018,0.0109
2026-02-26,1.64,1.646,1.649,1.631,1510.0,星期四,0.0,0.0037
2026-02-25,1.624,1.64,1.647,1.624,1723.0,星期三,-0.0104,0.0099
2026-02-24,1.643,1.641,1.656,1.638,1795.0,星期二,-0.0012,-0.0012
2026-02-13,1.622,1.645,1.656,1.622,1034.0,星期五,-0.0128,0.0142
2026-02-12,1.62,1.643,1.65,1.62,1291.0,星期四,-0.0067,0.0142
2026-02-11,1.658,1.631,1.66,1.612,470.0,星期三,0.0184,-0.0163
2026-02-10,1.615,1.628,1.638,1.615,610.0,星期二,0.0,0.008
2026-02-09,1.594,1.615,1.618,1.589,1979.0,星期一,0.005,0.0132
2026-02-06,1.521,1.586,1.61,1.521,1545.0,星期五,-0.041,0.0427
2026-02-05,1.773,1.586,1.773,1.541,1987.0,星期四,0.0992,-0.1055
2026-02-04,1.578,1.613,1.619,1.578,820.0,星期三,-0.0162,0.0222
2026-02-03,1.572,1.604,1.623,1.556,1521.0,星期二,0.0058,0.0204
2026-02-02,1.598,1.563,1.605,1.544,1616.0,星期一,-0.0099,-0.0219
2026-01-30,1.611,1.614,1.62,1.58,1722.0,星期五,-0.0019,0.0019
2026-01-29,1.643,1.614,1.645,1.611,2116.0,星期四,0.0024,-0.0177
2026-01-28,1.646,1.639,1.646,1.629,1248.0,星期三,0.0,-0.0043
2026-01-27,1.629,1.646,1.646,1.609,1115.0,星期二,-0.0097,0.0104
2026-01-26,1.65,1.645,1.68,1.635,2308.0,星期一,-0.0018,-0.003
2026-01-23,1.66,1.653,1.673,1.636,1136.0,星期五,0.0061,-0.0042
2026-01-22,1.645,1.65,1.651,1.633,1263.0,星期四,0.0055,0.003
2026-01-21,1.606,1.636,1.643,1.606,1768.0,星期三,0.0012,0.0187
2026-01-20,1.614,1.604,1.627,1.595,368.0,星期二,0.0,-0.0062
2026-01-19,1.605,1.614,1.622,1.595,484.0,星期一,0.0038,0.0056
2026-01-16,1.591,1.599,1.61,1.591,902.0,星期五,-0.0031,0.005
2026-01-15,1.597,1.596,1.605,1.57,1770.0,星期四,-0.0031,-0.0006
2026-01-14,1.6,1.602,1.631,1.585,5159.0,星期三,0.0076,0.0013
2026-01-13,1.619,1.588,1.619,1.588,2068.0,星期二,-0.0031,-0.0191
2026-01-12,1.594,1.624,1.625,1.586,4338.0,星期一,0.0,0.0188
2026-01-09,1.567,1.594,1.595,1.56,3057.0,星期五,0.0,0.0172
2026-01-08,1.558,1.567,1.575,1.555,1634.0,星期四,0.0052,0.0058
2026-01-07,1.555,1.55,1.559,1.544,1957.0,星期三,0.0,-0.0032
2026-01-06,1.535,1.555,1.555,1.532,5131.0,星期二,0.0026,0.013
2026-01-05,1.513,1.531,1.533,1.513,6615.0,星期一,0.0027,0.0119
2025-12-31,1.505,1.509,1.509,1.498,702.0,星期三,0.0,0.0027
2025-12-30,1.498,1.505,1.513,1.483,1587.0,星期二,0.0013,0.0047
2025-12-29,1.497,1.496,1.501,1.485,3909.0,星期一,0.004,-0.0007
2025-12-26,1.483,1.491,1.495,1.482,840.0,星期五,-0.004,0.0054
2025-12-25,1.484,1.489,1.496,1.477,3591.0,星期四,0.0,0.0034
2025-12-24,1.474,1.484,1.484,1.469,2433.0,星期三,0.0061,0.0068
2025-12-23,1.468,1.465,1.481,1.464,1968.0,星期二,-0.0014,-0.002
2025-12-22,1.452,1.47,1.471,1.452,1207.0,星期一,-0.0027,0.0124
2025-12-19,1.444,1.456,1.462,1.444,224.0,星期五,-0.0041,0.0083
2025-12-18,1.462,1.45,1.462,1.45,642.0,星期四,0.0007,-0.0082
2025-12-17,1.442,1.461,1.461,1.431,1636.0,星期三,0.0028,0.0132
2025-12-16,1.462,1.438,1.464,1.422,2851.0,星期二,-0.002,-0.0164
2025-12-15,1.474,1.465,1.477,1.465,2973.0,星期一,-0.0087,-0.0061
2025-12-12,1.48,1.487,1.487,1.466,1477.0,星期五,0.0034,0.0047
2025-12-11,1.486,1.475,1.487,1.474,1838.0,星期四,-0.0007,-0.0074
2025-12-10,1.47,1.487,1.487,1.465,1115.0,星期三,-0.0027,0.0116
2025-12-09,1.491,1.474,1.491,1.471,1766.0,星期二,0.0007,-0.0114
2025-12-08,1.471,1.49,1.495,1.471,1752.0,星期一,0.0014,0.0129
2025-12-05,1.45,1.469,1.471,1.447,1983.0,星期五,-0.0041,0.0131
2025-12-04,1.452,1.456,1.46,1.446,1144.0,星期四,-0.0027,0.0028
2025-12-03,1.463,1.456,1.463,1.453,1365.0,星期三,-0.0054,-0.0048
2025-12-02,1.472,1.471,1.472,1.461,1837.0,星期二,-0.0007,-0.0007
2025-12-01,1.46,1.473,1.473,1.46,817.0,星期一,0.0,0.0089
2025-11-28,1.451,1.46,1.46,1.443,734.0,星期五,0.0021,0.0062
2025-11-27,1.455,1.448,1.467,1.448,664.0,星期四,0.0028,-0.0048
2025-11-26,1.448,1.451,1.462,1.448,1129.0,星期三,0.0028,0.0021
2025-11-25,1.43,1.444,1.451,1.427,2454.0,星期二,0.0042,0.0098
2025-11-24,1.412,1.424,1.426,1.405,969.0,星期一,0.0028,0.0085
2025-11-21,1.438,1.408,1.45,1.408,5026.0,星期五,-0.013,-0.0209
2025-11-20,1.466,1.457,1.466,1.45,1762.0,星期四,0.0007,-0.0061
2025-11-19,1.471,1.465,1.474,1.454,1827.0,星期三,0.0,-0.0041
2025-11-18,1.49,1.471,1.49,1.466,1610.0,星期二,-0.0027,-0.0128
2025-11-17,1.488,1.494,1.497,1.482,1560.0,星期一,-0.0047,0.004
2025-11-14,1.496,1.495,1.505,1.491,4620.0,星期五,-0.0093,-0.0007
2025-11-13,1.496,1.51,1.51,1.496,4300.0,星期四,-0.0053,0.0094
2025-11-12,1.497,1.504,1.504,1.49,1974.0,星期三,-0.0066,0.0047
2025-11-11,1.528,1.507,1.528,1.502,1368.0,星期二,0.0066,-0.0137
2025-11-10,1.52,1.518,1.52,1.504,1611.0,星期一,0.0,-0.0013
2025-11-07,1.518,1.52,1.529,1.515,1839.0,星期五,-0.0072,0.0013
2025-11-06,1.513,1.529,1.531,1.513,2879.0,星期四,0.0,0.0106
2025-11-05,1.489,1.513,1.514,1.485,2554.0,星期三,-0.0126,0.0161
2025-11-04,1.525,1.508,1.525,1.496,2875.0,星期二,0.0007,-0.0111
2025-11-03,1.52,1.524,1.525,1.504,2948.0,星期一,0.002,0.0026
2025-10-31,1.511,1.517,1.527,1.511,3952.0,星期五,-0.0066,0.004
2025-10-30,1.534,1.521,1.542,1.508,2268.0,星期四,-0.0007,-0.0085
2025-10-29,1.516,1.535,1.537,1.511,4294.0,星期三,0.0033,0.0125
2025-10-28,1.518,1.511,1.52,1.504,2809.0,星期二,0.002,-0.0046
2025-10-27,1.499,1.515,1.517,1.498,5128.0,星期一,0.002,0.0107
2025-10-24,1.476,1.496,1.497,1.465,2970.0,星期五,0.0,0.0136
2025-10-23,1.481,1.476,1.481,1.454,2264.0,星期四,0.0034,-0.0034
2025-10-22,1.477,1.476,1.486,1.473,994.0,星期三,-0.0067,-0.0007
2025-10-21,1.441,1.487,1.487,1.441,1931.0,星期二,-0.0055,0.0319
2025-10-20,1.439,1.449,1.461,1.439,2660.0,星期一,0.0007,0.0069
2025-10-17,1.47,1.438,1.47,1.437,3965.0,星期五,-0.0014,-0.0218
2025-10-16,1.484,1.472,1.485,1.471,1864.0,星期四,-0.0007,-0.0081
2025-10-15,1.424,1.485,1.485,1.424,4044.0,星期三,-0.0226,0.0428
2025-10-14,1.497,1.457,1.506,1.455,5963.0,星期二,0.0088,-0.0267
2025-10-13,1.469,1.484,1.494,1.443,4266.0,星期一,-0.0167,0.0102
2025-10-10,1.541,1.494,1.541,1.491,5105.0,星期五,0.0052,-0.0305
2025-10-09,1.514,1.533,1.536,1.513,6101.0,星期四,0.0007,0.0125
2025-09-30,1.508,1.513,1.517,1.506,4769.0,星期二,0.0033,0.0033
2025-09-29,1.485,1.503,1.507,1.472,4293.0,星期一,0.0,0.0121
2025-09-26,1.499,1.485,1.51,1.483,7942.0,星期五,-0.0046,-0.0093
2025-09-25,1.514,1.506,1.524,1.503,5802.0,星期四,0.0,-0.0053
2025-09-24,1.481,1.514,1.514,1.481,7029.0,星期三,-0.0087,0.0223
2025-09-23,1.49,1.494,1.498,1.466,4760.0,星期二,-0.0013,0.0027
2025-09-22,1.48,1.492,1.492,1.475,5189.0,星期一,0.0034,0.0081
2025-09-19,1.487,1.475,1.489,1.471,3705.0,星期五,0.0088,-0.0081
2025-09-18,1.483,1.474,1.509,1.469,7347.0,星期四,0.0007,-0.0061
2025-09-17,1.472,1.482,1.487,1.472,2712.0,星期三,-0.002,0.0068
2025-09-16,1.481,1.475,1.481,1.45,4352.0,星期二,0.0137,-0.0041
2025-09-15,1.45,1.461,1.469,1.45,3571.0,星期一,-0.0041,0.0076
2025-09-12,1.452,1.456,1.468,1.452,9731.0,星期五,0.0028,0.0028
2025-09-11,1.408,1.448,1.448,1.391,6158.0,星期四,0.0,0.0284
2025-09-10,1.403,1.408,1.413,1.398,3845.0,星期三,-0.005,0.0036
2025-09-09,1.411,1.41,1.422,1.404,1886.0,星期二,-0.0056,-0.0007
2025-09-08,1.408,1.419,1.424,1.408,2524.0,星期一,0.0,0.0078
2025-09-05,1.366,1.408,1.408,1.36,3502.0,星期五,-0.0022,0.0307
2025-09-04,1.4,1.369,1.404,1.346,7189.0,星期四,0.0021,-0.0221
2025-09-03,1.43,1.397,1.43,1.386,6172.0,星期三,0.0056,-0.0231
2025-09-02,1.44,1.422,1.447,1.412,6370.0,星期二,-0.0007,-0.0125
2025-09-01,1.44,1.441,1.442,1.424,5801.0,星期一,0.0112,0.0007
2025-08-29,1.424,1.424,1.43,1.412,2547.0,星期五,0.0,0.0
2025-08-28,1.4,1.424,1.424,1.385,10226.0,星期四,0.0,0.0171
2025-08-27,1.415,1.4,1.439,1.397,9528.0,星期三,0.0,-0.0106
2025-08-26,1.427,1.415,1.428,1.41,5714.0,星期二,0.0071,-0.0084
2025-08-25,1.399,1.417,1.429,1.399,9443.0,星期一,0.0,0.0129
2025-08-22,1.381,1.399,1.4,1.375,13142.0,星期五,0.0051,0.013
