time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.384,1.384,1.384,1.384,169.0,星期五,-0.01,0.0
2026-06-25,1.392,1.398,1.398,1.389,170.0,星期四,0.0094,0.0043
2026-06-24,1.393,1.379,1.393,1.379,7.0,星期三,-0.01,-0.0101
2026-06-23,1.41,1.407,1.412,1.407,83.0,星期二,0.0021,-0.0021
2026-06-22,1.388,1.407,1.412,1.388,248.0,星期一,-0.0072,0.0137
2026-06-18,1.382,1.398,1.398,1.382,64.0,星期四,0.0014,0.0116
2026-06-17,1.38,1.38,1.38,1.38,80.0,星期三,0.0029,0.0
2026-06-16,1.369,1.376,1.376,1.369,1798.0,星期二,-0.0101,0.0051
2026-06-15,1.36,1.383,1.384,1.36,322.0,星期一,0.0015,0.0169
2026-06-12,1.362,1.358,1.364,1.358,76.0,星期五,0.0089,-0.0029
2026-06-11,1.35,1.35,1.352,1.35,537.0,星期四,0.0037,0.0
2026-06-10,1.349,1.345,1.355,1.344,1881.0,星期三,0.0045,-0.003
2026-06-09,1.343,1.343,1.405,1.343,316.0,星期二,0.0045,0.0
2026-06-08,1.352,1.337,1.352,1.337,1800.0,星期一,-0.0102,-0.0111
2026-06-05,1.367,1.366,1.38,1.366,31.0,星期五,0.0007,-0.0007
2026-06-04,1.371,1.366,1.371,1.362,8.0,星期四,0.0103,-0.0036
2026-06-03,1.365,1.357,1.365,1.357,6.0,星期三,0.0104,-0.0059
2026-06-02,1.351,1.351,1.351,1.351,432.0,星期二,-0.0088,0.0
2026-05-29,1.363,1.363,1.364,1.363,112.0,星期五,-0.0029,0.0
2026-05-28,1.354,1.367,1.367,1.35,413.0,星期四,0.0074,0.0096
2026-05-27,1.344,1.344,1.344,1.344,32768.5,星期三,-0.0044,0.0
2026-05-26,1.344,1.35,1.352,1.343,1398.0,星期二,-0.0052,0.0045
2026-05-22,1.335,1.351,1.354,1.335,1390.0,星期五,0.0053,0.012
2026-05-21,1.354,1.328,1.357,1.328,785.0,星期四,0.0097,-0.0192
2026-05-20,1.331,1.341,1.341,1.331,767.0,星期三,-0.0008,0.0075
2026-05-19,1.34,1.332,1.34,1.332,131.0,星期二,-0.0089,-0.006
2026-05-18,1.352,1.352,1.352,1.352,168.0,星期一,-0.0052,0.0
2026-05-15,1.37,1.359,1.371,1.356,217.0,星期五,-0.0051,-0.008
2026-05-14,1.385,1.377,1.388,1.376,235.0,星期四,-0.0057,-0.0058
2026-05-13,1.393,1.393,1.393,1.393,2.0,星期三,0.0007,0.0
2026-05-12,1.393,1.392,1.393,1.392,104.0,星期二,0.0007,-0.0007
2026-05-11,1.387,1.392,1.392,1.387,433.0,星期一,0.0073,0.0036
2026-05-08,1.398,1.377,1.398,1.377,431.0,星期五,-0.0007,-0.015
2026-05-07,1.399,1.399,1.399,1.398,67.0,星期四,-0.0092,0.0
2026-05-06,1.399,1.412,1.412,1.376,97.0,星期三,0.0,0.0093
2026-04-30,1.389,1.399,1.417,1.389,1098.0,星期四,0.0029,0.0072
2026-04-29,1.367,1.385,1.385,1.367,460.0,星期三,0.0015,0.0132
2026-04-27,1.367,1.365,1.367,1.365,32.0,星期一,0.0015,-0.0015
2026-04-24,1.366,1.365,1.366,1.362,444.0,星期五,-0.0036,-0.0007
2026-04-23,1.378,1.371,1.378,1.364,73.0,星期四,0.0,-0.0051
2026-04-22,1.377,1.378,1.378,1.377,48.0,星期三,0.0095,0.0007
2026-04-21,1.361,1.364,1.364,1.361,8.0,星期二,-0.0044,0.0022
2026-04-20,1.36,1.367,1.367,1.36,23.0,星期一,-0.0015,0.0051
2026-04-17,1.343,1.362,1.362,1.341,21.0,星期五,-0.0089,0.0141
2026-04-16,1.355,1.355,1.355,1.355,496.0,星期四,0.0007,0.0
2026-04-15,1.343,1.354,1.355,1.343,70.0,星期三,0.0098,0.0082
2026-04-14,1.329,1.33,1.33,1.329,110.0,星期二,-0.0104,0.0008
2026-04-13,1.337,1.343,1.344,1.337,171.0,星期一,-0.0022,0.0045
2026-04-10,1.332,1.34,1.347,1.332,107.0,星期五,-0.0015,0.006
2026-04-09,1.334,1.334,1.334,1.334,32768.5,星期四,-0.0089,0.0
2026-04-08,1.311,1.346,1.346,1.311,192.0,星期三,0.0,0.0267
2026-04-07,1.312,1.311,1.314,1.311,136.0,星期二,0.0008,-0.0008
2026-04-02,1.311,1.311,1.311,1.311,158.0,星期四,-0.015,0.0
2026-04-01,1.339,1.331,1.339,1.317,172.0,星期三,0.0045,-0.006
2026-03-31,1.334,1.333,1.334,1.321,78.0,星期二,0.0183,-0.0007
2026-03-30,1.31,1.31,1.31,1.31,4098.0,星期一,-0.0136,0.0
2026-03-27,1.321,1.328,1.328,1.321,2056.0,星期五,0.0008,0.0053
2026-03-26,1.321,1.32,1.321,1.32,8.0,星期四,-0.006,-0.0008
2026-03-25,1.319,1.329,1.329,1.318,160.0,星期三,0.0241,0.0076
2026-03-24,1.288,1.288,1.288,1.288,18.0,星期二,0.0,0.0
2026-03-23,1.288,1.288,1.339,1.288,192.0,星期一,-0.0228,0.0
2026-03-20,1.33,1.318,1.33,1.311,440.0,星期五,-0.0037,-0.009
2026-03-19,1.324,1.335,1.348,1.321,691.0,星期四,-0.0171,0.0083
2026-03-18,1.347,1.347,1.347,1.347,4098.0,星期三,0.0015,0.0
2026-03-17,1.36,1.345,1.365,1.345,139.0,星期二,-0.0073,-0.011
2026-03-16,1.366,1.37,1.37,1.365,334.0,星期一,-0.0022,0.0029
2026-03-13,1.371,1.369,1.371,1.368,264.0,星期五,0.0,-0.0015
2026-03-12,1.371,1.371,1.376,1.371,19.0,星期四,0.0051,0.0
2026-03-11,1.364,1.364,1.364,1.364,32768.5,星期三,-0.0015,0.0
2026-03-10,1.36,1.366,1.366,1.36,358.0,星期二,0.0,0.0044
2026-03-09,1.366,1.36,1.366,1.344,442.0,星期一,-0.0109,-0.0044
2026-03-06,1.369,1.381,1.383,1.368,148.0,星期五,0.0022,0.0088
2026-03-05,1.363,1.366,1.366,1.362,29.0,星期四,0.0022,0.0022
2026-03-04,1.374,1.36,1.374,1.353,78.0,星期三,-0.0015,-0.0102
2026-03-03,1.402,1.376,1.402,1.376,204.0,星期二,0.005,-0.0185
2026-03-02,1.393,1.395,1.399,1.393,308.0,星期一,-0.0043,0.0014
