time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.788,1.788,1.788,1.787,832.0,星期五,-0.01,0.0
2026-06-25,1.8,1.806,1.806,1.8,459.0,星期四,-0.0022,0.0033
2026-06-24,1.788,1.804,1.804,1.751,569.0,星期三,-0.0067,0.0089
2026-06-23,1.809,1.8,1.818,1.8,384.0,星期二,0.0101,-0.005
2026-06-22,1.773,1.791,1.793,1.773,116.0,星期一,-0.0204,0.0102
2026-06-15,1.787,1.81,1.81,1.782,296.0,星期一,0.0039,0.0129
2026-06-12,1.769,1.78,1.78,1.769,264.0,星期五,0.0132,0.0062
2026-06-10,1.763,1.746,1.763,1.746,115.0,星期三,-0.0096,-0.0096
2026-06-09,1.756,1.78,1.781,1.756,230.0,星期二,-0.0244,0.0137
2026-06-04,1.8,1.8,1.8,1.8,27.0,星期四,-0.0039,0.0
2026-06-03,1.79,1.807,1.817,1.79,152.0,星期三,-0.0083,0.0095
2026-06-02,1.78,1.805,1.805,1.78,123.0,星期二,-0.0067,0.014
2026-06-01,1.798,1.792,1.798,1.792,85.0,星期一,0.0,-0.0033
2026-05-29,1.79,1.798,1.84,1.79,110.0,星期五,-0.0006,0.0045
2026-05-28,1.79,1.791,1.791,1.79,107.0,星期四,-0.0028,0.0006
2026-05-27,1.802,1.795,1.802,1.795,5.0,星期三,-0.0061,-0.0039
2026-05-26,1.796,1.813,1.813,1.796,106.0,星期二,-0.0099,0.0095
2026-05-25,1.804,1.814,1.819,1.804,227.0,星期一,0.0039,0.0055
2026-05-22,1.789,1.797,1.802,1.781,308.0,星期五,-0.01,0.0045
2026-05-21,1.812,1.807,1.836,1.807,452.0,星期四,0.0028,-0.0028
2026-05-20,1.819,1.807,1.819,1.8,484.0,星期三,0.0089,-0.0066
2026-05-19,1.796,1.803,1.803,1.79,918.0,星期二,0.0062,0.0039
2026-05-18,1.795,1.785,1.798,1.785,480.0,星期一,-0.0033,-0.0056
2026-05-15,1.819,1.801,1.819,1.801,90.0,星期五,-0.0098,-0.0099
2026-05-14,1.836,1.837,1.837,1.833,24.0,星期四,-0.0043,0.0005
2026-05-13,1.831,1.844,1.844,1.831,470.0,星期三,0.0,0.0071
2026-05-12,1.833,1.831,1.843,1.828,309.0,星期二,0.0011,-0.0011
2026-05-11,1.814,1.831,1.836,1.814,237.0,星期一,0.0011,0.0094
2026-05-08,1.81,1.812,1.812,1.81,24.0,星期五,-0.0055,0.0011
2026-05-07,1.815,1.82,1.82,1.814,490.0,星期四,0.0017,0.0028
2026-05-06,1.804,1.812,1.819,1.804,90.0,星期三,0.0006,0.0044
2026-04-30,1.804,1.803,1.804,1.802,369.0,星期四,-0.0039,-0.0006
2026-04-29,1.801,1.811,1.811,1.801,180.0,星期三,0.0078,0.0056
2026-04-28,1.788,1.787,1.788,1.786,544.0,星期二,0.0028,-0.0006
2026-04-27,1.783,1.783,1.789,1.782,119.0,星期一,-0.0028,0.0
2026-04-24,1.781,1.788,1.789,1.78,108.0,星期五,-0.0095,0.0039
2026-04-23,1.798,1.798,1.798,1.79,585.0,星期四,0.0084,0.0
2026-04-22,1.783,1.783,1.783,1.783,25.0,星期三,0.0022,0.0
2026-04-21,1.775,1.779,1.779,1.775,577.0,星期二,-0.0045,0.0023
2026-04-20,1.77,1.783,1.784,1.77,610.0,星期一,0.0006,0.0073
2026-04-17,1.77,1.769,1.771,1.769,1800.0,星期五,-0.0045,-0.0006
2026-04-16,1.776,1.778,1.778,1.769,1288.0,星期四,0.0,0.0011
2026-04-15,1.761,1.776,1.776,1.76,1973.0,星期三,0.0006,0.0085
2026-04-14,1.758,1.76,1.768,1.758,30.0,星期二,0.0086,0.0011
2026-04-13,1.743,1.743,1.743,1.743,5.877471754111438e-39,星期一,-0.0046,0.0
2026-04-10,1.751,1.751,1.751,1.751,32768.5,星期五,0.0029,0.0
2026-04-09,1.746,1.746,1.746,1.746,32768.5,星期四,-0.0136,0.0
2026-04-08,1.75,1.77,1.77,1.749,1138.0,星期三,0.0133,0.0114
2026-04-07,1.727,1.727,1.727,1.727,121.0,星期二,0.0029,0.0
2026-04-03,1.722,1.722,1.722,1.722,32768.5,星期五,-0.0075,0.0
2026-04-02,1.746,1.735,1.746,1.735,160.0,星期四,-0.0108,-0.0063
2026-04-01,1.749,1.765,1.765,1.748,1649.0,星期三,-0.0046,0.0091
2026-03-31,1.753,1.757,1.768,1.753,1690.0,星期二,-0.0023,0.0023
