time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.062,1.048,1.062,1.048,248.0,星期五,-0.0028,-0.0132
2026-06-25,1.055,1.065,1.068,1.055,133.0,星期四,0.0029,0.0095
2026-06-24,1.047,1.052,1.052,1.047,64.0,星期三,0.001,0.0048
2026-06-23,1.067,1.046,1.08,1.046,487.0,星期二,-0.0102,-0.0197
2026-06-22,1.08,1.078,1.08,1.052,721.0,星期一,0.0247,-0.0019
2026-06-18,1.049,1.054,1.062,1.049,228.0,星期四,0.0116,0.0048
2026-06-17,1.036,1.037,1.053,1.036,19.0,星期三,-0.0096,0.001
2026-06-16,1.042,1.046,1.046,1.037,165.0,星期二,0.0077,0.0038
2026-06-15,1.031,1.034,1.04,1.031,182.0,星期一,0.0098,0.0029
2026-06-12,1.013,1.021,1.023,1.013,197.0,星期五,0.01,0.0079
2026-06-11,1.013,1.003,1.013,1.003,776.0,星期四,-0.0098,-0.0099
2026-06-10,1.016,1.023,1.023,1.013,6.0,星期三,-0.0068,0.0069
2026-06-09,1.023,1.023,1.023,1.023,6.0,星期二,0.0139,0.0
2026-06-08,1.043,1.009,1.043,1.007,324.0,星期一,-0.0104,-0.0326
2026-06-05,1.049,1.054,1.062,1.03,686.0,星期五,0.0,0.0048
2026-06-04,1.052,1.049,1.053,1.049,79.0,星期四,-0.0028,-0.0029
2026-06-03,1.057,1.055,1.074,1.055,144.0,星期三,0.0028,-0.0019
2026-06-02,1.038,1.054,1.061,1.038,184.0,星期二,-0.0067,0.0154
2026-06-01,1.051,1.045,1.053,1.045,527.0,星期一,-0.0076,-0.0057
2026-05-29,1.064,1.059,1.064,1.053,132.0,星期五,0.0104,-0.0047
2026-05-28,1.058,1.053,1.06,1.042,1243.0,星期四,-0.0103,-0.0047
2026-05-27,1.071,1.069,1.071,1.056,5383.0,星期三,0.0037,-0.0019
2026-05-26,1.067,1.067,1.067,1.055,804.0,星期二,0.0057,0.0
2026-05-25,1.048,1.061,1.062,1.048,3646.0,星期一,0.0096,0.0124
2026-05-22,1.038,1.038,1.038,1.038,2.0,星期五,-0.0038,0.0
2026-05-21,1.056,1.042,1.067,1.042,2801.0,星期四,0.0096,-0.0133
2026-05-20,1.045,1.046,1.051,1.045,1156.0,星期三,0.0,0.001
2026-05-19,1.035,1.045,1.045,1.035,173.0,星期二,-0.0038,0.0097
2026-05-18,1.045,1.039,1.058,1.038,126.0,星期一,-0.0104,-0.0057
2026-05-15,1.057,1.056,1.057,1.046,311.0,星期五,-0.0103,-0.0009
2026-05-14,1.08,1.068,1.08,1.064,361.0,星期四,0.0028,-0.0111
2026-05-13,1.066,1.077,1.077,1.066,1919.0,星期三,-0.0019,0.0103
2026-05-12,1.068,1.068,1.068,1.066,124.0,星期二,-0.0009,0.0
2026-05-11,1.05,1.069,1.069,1.05,2297.0,星期一,-0.0019,0.0181
2026-05-08,1.054,1.052,1.054,1.047,131.0,星期五,-0.0047,-0.0019
