time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.864,0.846,0.864,0.844,103171.0,星期五,0.0,-0.0208
2026-06-25,0.877,0.864,0.88,0.86,96629.0,星期四,-0.0057,-0.0148
2026-06-24,0.879,0.882,0.892,0.874,117171.0,星期三,0.0,0.0034
2026-06-23,0.898,0.879,0.902,0.878,117108.0,星期二,-0.0055,-0.0212
2026-06-22,0.909,0.903,0.912,0.891,129470.0,星期一,0.0,-0.0066
2026-06-18,0.918,0.909,0.925,0.906,116441.0,星期四,-0.0086,-0.0098
2026-06-17,0.931,0.926,0.935,0.923,85410.0,星期三,-0.0043,-0.0054
2026-06-16,0.949,0.935,0.951,0.934,89523.0,星期二,0.0011,-0.0148
2026-06-15,0.958,0.948,0.963,0.945,90848.0,星期一,0.0105,-0.0104
2026-06-12,0.945,0.948,0.951,0.941,92272.0,星期五,0.0107,0.0032
2026-06-11,0.943,0.935,0.956,0.93,114198.0,星期四,0.0,-0.0085
2026-06-10,0.944,0.943,0.946,0.936,78699.0,星期三,-0.0042,-0.0011
2026-06-09,0.943,0.948,0.952,0.938,103572.0,星期二,0.0,0.0053
2026-06-08,0.944,0.943,0.953,0.938,129024.0,星期一,-0.0207,-0.0011
2026-06-05,0.966,0.964,0.973,0.957,134401.0,星期五,-0.0051,-0.0021
2026-06-04,0.981,0.971,0.982,0.966,110969.0,星期四,-0.0071,-0.0102
2026-06-03,1.012,0.988,1.012,0.986,126114.0,星期三,0.001,-0.0237
2026-06-02,0.974,1.011,1.014,0.974,291163.0,星期二,0.0052,0.038
2026-06-01,0.958,0.969,0.969,0.956,86397.0,星期一,0.0031,0.0115
2026-05-29,0.948,0.955,0.961,0.944,102893.0,星期五,0.0032,0.0074
2026-05-28,0.965,0.945,0.965,0.936,125686.0,星期四,-0.001,-0.0207
2026-05-27,0.975,0.966,0.977,0.965,90787.0,星期三,0.0041,-0.0092
2026-05-26,0.974,0.971,0.979,0.962,143054.0,星期二,0.001,-0.0031
2026-05-25,0.979,0.973,0.979,0.969,108474.0,星期一,-0.0091,-0.0061
2026-05-22,0.992,0.988,0.999,0.986,92629.0,星期五,0.0061,-0.004
2026-05-21,1.015,0.986,1.016,0.985,187389.0,星期四,0.005,-0.0286
2026-05-20,1.013,1.01,1.014,1.006,60532.0,星期三,-0.002,-0.003
2026-05-19,1.011,1.015,1.02,1.007,127081.0,星期二,0.003,0.004
2026-05-18,1.014,1.008,1.017,1.006,118657.0,星期一,-0.0078,-0.0059
2026-05-15,1.05,1.022,1.052,1.015,181695.0,星期五,-0.001,-0.0267
2026-05-14,1.078,1.051,1.082,1.05,217141.0,星期四,0.0326,-0.025
2026-05-13,1.045,1.044,1.049,1.035,79393.0,星期三,0.001,-0.001
2026-05-12,1.045,1.044,1.052,1.044,82011.0,星期二,-0.0019,-0.001
2026-05-11,1.055,1.047,1.055,1.043,100154.0,星期一,-0.0057,-0.0076
2026-05-08,1.055,1.061,1.062,1.046,73478.0,星期五,-0.0019,0.0057
2026-05-07,1.05,1.057,1.059,1.049,148847.0,星期四,0.0184,0.0067
2026-05-06,1.022,1.031,1.036,1.022,122900.0,星期三,0.0069,0.0088
2026-04-30,1.016,1.015,1.018,1.012,96446.0,星期四,-0.0059,-0.001
2026-04-29,1.017,1.022,1.024,1.017,87172.0,星期三,0.003,0.0049
2026-04-28,1.017,1.014,1.026,1.014,87099.0,星期二,-0.0068,-0.0029
2026-04-27,1.027,1.024,1.035,1.024,65855.0,星期一,-0.0039,-0.0029
2026-04-24,1.028,1.031,1.035,1.02,98612.0,星期五,-0.0087,0.0029
2026-04-23,1.048,1.037,1.048,1.034,71255.0,星期四,0.0,-0.0105
2026-04-22,1.055,1.048,1.07,1.047,108463.0,星期三,-0.0131,-0.0066
2026-04-21,1.075,1.069,1.076,1.066,57241.0,星期二,0.0009,-0.0056
2026-04-20,1.068,1.074,1.078,1.061,88229.0,星期一,0.0047,0.0056
2026-04-17,1.073,1.063,1.073,1.06,68787.0,星期五,0.0,-0.0093
2026-04-16,1.051,1.073,1.076,1.05,167899.0,星期四,0.0096,0.0209
2026-04-15,1.042,1.041,1.055,1.039,145133.0,星期三,0.0166,-0.001
2026-04-14,1.03,1.025,1.031,1.019,46356.0,星期二,0.0108,-0.0049
2026-04-13,1.026,1.019,1.027,1.019,60639.0,星期一,-0.0058,-0.0068
2026-04-10,1.039,1.032,1.046,1.032,113951.0,星期五,0.0029,-0.0067
2026-04-09,1.039,1.036,1.039,1.033,79675.0,星期四,-0.0067,-0.0029
2026-04-08,1.033,1.046,1.048,1.03,181208.0,星期三,0.0248,0.0126
2026-04-07,1.013,1.008,1.015,1.008,26535.0,星期二,0.006,-0.0049
2026-04-03,1.009,1.007,1.013,1.004,24674.0,星期五,0.0,-0.002
2026-04-02,1.024,1.009,1.024,1.007,87072.0,星期四,-0.0068,-0.0146
2026-04-01,1.026,1.031,1.032,1.023,93859.0,星期三,0.0199,0.0049
2026-03-31,1.018,1.006,1.022,1.003,105425.0,星期二,0.001,-0.0118
2026-03-30,1.014,1.017,1.018,1.01,97021.0,星期一,-0.0193,0.003
2026-03-27,1.026,1.034,1.04,1.022,82266.0,星期五,-0.0019,0.0078
2026-03-26,1.046,1.028,1.048,1.025,67489.0,星期四,0.0029,-0.0172
2026-03-25,1.036,1.043,1.051,1.033,157500.0,星期三,0.0068,0.0068
2026-03-24,1.022,1.029,1.033,1.015,141299.0,星期二,0.0089,0.0068
2026-03-23,1.031,1.013,1.036,1.008,137023.0,星期一,-0.0096,-0.0175
2026-03-20,1.058,1.041,1.065,1.04,115816.0,星期五,-0.0075,-0.0161
2026-03-19,1.076,1.066,1.077,1.064,169506.0,星期四,-0.02,-0.0093
2026-03-18,1.091,1.098,1.102,1.087,88314.0,星期三,-0.0055,0.0064
2026-03-17,1.105,1.097,1.117,1.095,131298.0,星期二,0.0009,-0.0072
2026-03-16,1.085,1.104,1.104,1.08,120026.0,星期一,0.0037,0.0175
2026-03-13,1.076,1.081,1.095,1.076,98174.0,星期五,-0.0065,0.0046
2026-03-12,1.097,1.083,1.101,1.082,139266.0,星期四,-0.0054,-0.0128
2026-03-11,1.11,1.103,1.112,1.1,140259.0,星期三,0.0054,-0.0063
2026-03-10,1.095,1.104,1.105,1.085,154983.0,星期二,0.0177,0.0082
2026-03-09,1.067,1.076,1.082,1.062,137845.0,星期一,-0.022,0.0084
2026-03-06,1.071,1.091,1.094,1.07,177249.0,星期五,0.0019,0.0187
2026-03-05,1.088,1.069,1.094,1.065,126727.0,星期四,0.0159,-0.0175
2026-03-04,1.082,1.071,1.088,1.066,152912.0,星期三,-0.0073,-0.0102
2026-03-03,1.111,1.09,1.113,1.088,127876.0,星期二,0.0073,-0.0189
2026-03-02,1.125,1.103,1.128,1.101,194668.0,星期一,-0.0123,-0.0196
2026-02-27,1.136,1.139,1.145,1.125,120123.0,星期五,-0.0026,0.0026
2026-02-26,1.166,1.139,1.168,1.137,141148.0,星期四,0.0009,-0.0232
2026-02-25,1.17,1.165,1.175,1.165,80722.0,星期三,0.0026,-0.0043
2026-02-24,1.187,1.167,1.188,1.167,108952.0,星期二,-0.0008,-0.0168
2026-02-13,1.195,1.188,1.199,1.185,128213.0,星期五,-0.0124,-0.0059
2026-02-12,1.223,1.21,1.226,1.208,80404.0,星期四,-0.0057,-0.0106
2026-02-11,1.228,1.23,1.23,1.217,52179.0,星期三,0.0016,0.0016
2026-02-10,1.227,1.226,1.236,1.222,75416.0,星期二,0.0008,-0.0008
2026-02-09,1.23,1.226,1.235,1.214,104726.0,星期一,0.0182,-0.0033
2026-02-06,1.206,1.208,1.215,1.201,92856.0,星期五,-0.0107,0.0017
2026-02-05,1.215,1.219,1.227,1.207,158145.0,星期四,-0.0114,0.0033
2026-02-04,1.225,1.229,1.239,1.221,117340.0,星期三,-0.0153,0.0033
2026-02-03,1.258,1.244,1.261,1.22,134580.0,星期二,0.0096,-0.0111
2026-02-02,1.275,1.246,1.275,1.245,92471.0,星期一,-0.0055,-0.0227
2026-01-30,1.291,1.282,1.296,1.279,59348.0,星期五,-0.0031,-0.007
2026-01-29,1.3,1.295,1.303,1.287,86820.0,星期四,-0.0046,-0.0038
2026-01-28,1.293,1.306,1.306,1.287,153719.0,星期三,0.0039,0.0101
2026-01-27,1.283,1.288,1.289,1.274,103254.0,星期二,0.0023,0.0039
2026-01-26,1.289,1.28,1.291,1.277,58237.0,星期一,0.0,-0.007
2026-01-23,1.293,1.289,1.296,1.282,66445.0,星期五,0.0039,-0.0031
2026-01-22,1.288,1.288,1.292,1.283,94474.0,星期四,0.0039,0.0
2026-01-21,1.272,1.283,1.285,1.269,77025.0,星期三,-0.0039,0.0086
2026-01-20,1.284,1.277,1.29,1.274,54499.0,星期二,0.0023,-0.0055
2026-01-19,1.285,1.281,1.294,1.281,67381.0,星期一,-0.0093,-0.0031
2026-01-16,1.316,1.297,1.316,1.295,97625.0,星期五,0.0077,-0.0144
2026-01-15,1.33,1.306,1.33,1.301,120833.0,星期四,-0.0037,-0.018
2026-01-14,1.32,1.335,1.341,1.32,176059.0,星期三,0.0015,0.0114
2026-01-13,1.343,1.318,1.348,1.313,222652.0,星期二,0.0167,-0.0186
2026-01-12,1.288,1.321,1.322,1.288,208317.0,星期一,0.0,0.0256
2026-01-09,1.29,1.288,1.295,1.283,123502.0,星期五,0.007,-0.0016
2026-01-08,1.292,1.281,1.292,1.276,99673.0,星期四,-0.0015,-0.0085
2026-01-07,1.312,1.294,1.312,1.287,102308.0,星期三,-0.0046,-0.0137
2026-01-06,1.298,1.318,1.321,1.298,147379.0,星期二,0.0062,0.0154
2026-01-05,1.273,1.29,1.29,1.248,177792.0,星期一,0.0217,0.0134
2025-12-31,1.254,1.246,1.256,1.243,77979.0,星期三,-0.0032,-0.0064
2025-12-30,1.251,1.258,1.259,1.248,55718.0,星期二,0.0016,0.0056
2025-12-29,1.256,1.249,1.264,1.244,140415.0,星期一,0.0016,-0.0056
2025-12-26,1.251,1.254,1.259,1.247,62612.0,星期五,0.0,0.0024
2025-12-25,1.252,1.251,1.252,1.249,37538.0,星期四,0.0,-0.0008
2025-12-24,1.256,1.252,1.256,1.247,126078.0,星期三,0.0032,-0.0032
2025-12-23,1.261,1.252,1.265,1.249,81021.0,星期二,0.004,-0.0071
2025-12-22,1.258,1.256,1.263,1.253,75678.0,星期一,0.0008,-0.0016
2025-12-19,1.25,1.257,1.26,1.248,70673.0,星期五,0.0089,0.0056
2025-12-18,1.24,1.239,1.246,1.238,64661.0,星期四,-0.0096,-0.0008
2025-12-17,1.24,1.252,1.255,1.239,80578.0,星期三,0.0,0.0097
2025-12-16,1.258,1.24,1.26,1.231,103980.0,星期二,-0.0063,-0.0143
2025-12-15,1.272,1.266,1.272,1.262,84062.0,星期一,-0.0078,-0.0047
2025-12-12,1.276,1.282,1.286,1.273,93421.0,星期五,0.0039,0.0047
2025-12-11,1.282,1.271,1.285,1.269,82630.0,星期四,0.0039,-0.0086
2025-12-10,1.277,1.277,1.281,1.267,62723.0,星期三,-0.0016,0.0
2025-12-09,1.293,1.279,1.294,1.275,57002.0,星期二,0.0,-0.0108
2025-12-08,1.294,1.293,1.3,1.283,69705.0,星期一,0.0,-0.0008
2025-12-05,1.28,1.294,1.295,1.272,108342.0,星期五,-0.0023,0.0109
2025-12-04,1.28,1.283,1.284,1.269,92399.0,星期四,0.0008,0.0023
2025-12-03,1.291,1.279,1.292,1.274,53819.0,星期三,0.0,-0.0093
2025-12-02,1.306,1.291,1.31,1.291,76298.0,星期二,0.0046,-0.0115
2025-12-01,1.291,1.3,1.304,1.29,74327.0,星期一,0.0008,0.007
2025-11-28,1.291,1.29,1.292,1.283,35826.0,星期五,0.0031,-0.0008
2025-11-27,1.296,1.287,1.307,1.286,91464.0,星期四,-0.0023,-0.0069
2025-11-26,1.299,1.299,1.306,1.295,77381.0,星期三,0.0078,0.0
2025-11-25,1.294,1.289,1.306,1.287,158697.0,星期二,0.007,-0.0039
2025-11-24,1.265,1.285,1.287,1.26,134097.0,星期一,0.0056,0.0158
2025-11-21,1.269,1.258,1.269,1.25,142601.0,星期五,-0.0163,-0.0087
2025-11-20,1.306,1.29,1.31,1.289,73311.0,星期四,0.0038,-0.0123
