time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.462,2.437,2.462,2.431,144.0,星期五,-0.0028,-0.0102
2026-06-25,2.457,2.469,2.515,2.446,138.0,星期四,0.0041,0.0049
2026-06-24,2.422,2.447,2.447,2.418,522.0,星期三,0.0,0.0103
2026-06-23,2.427,2.422,2.45,2.422,106.0,星期二,-0.0094,-0.0021
2026-06-22,2.409,2.45,2.45,2.409,113.0,星期一,0.0017,0.017
2026-06-18,2.382,2.405,2.405,2.37,131.0,星期四,0.0013,0.0097
2026-06-17,2.379,2.379,2.379,2.379,100.0,星期三,0.0093,0.0
2026-06-16,2.344,2.357,2.357,2.344,87.0,星期二,0.0099,0.0055
2026-06-15,2.278,2.321,2.321,2.278,170.0,星期一,0.0,0.0189
2026-06-12,2.278,2.278,2.284,2.278,27.0,星期五,0.0102,0.0
2026-06-11,2.227,2.255,2.256,2.225,112.0,星期四,-0.0098,0.0126
2026-06-10,2.249,2.249,2.249,2.249,2.0,星期三,-0.0101,0.0
2026-06-09,2.228,2.272,2.272,2.217,368.0,星期二,0.005,0.0197
2026-06-08,2.274,2.217,2.274,2.168,320.0,星期一,-0.01,-0.0251
2026-06-05,2.309,2.297,2.309,2.297,203.0,星期五,-0.0047,-0.0052
2026-06-04,2.315,2.32,2.32,2.315,23.0,星期四,-0.0009,0.0022
2026-06-03,2.34,2.317,2.34,2.317,106.0,星期三,0.0099,-0.0098
2026-06-02,2.271,2.317,2.317,2.271,166.0,星期二,-0.01,0.0203
2026-06-01,2.336,2.294,2.336,2.293,109.0,星期一,0.0099,-0.018
2026-05-29,2.346,2.313,2.346,2.313,27.0,星期五,-0.0059,-0.0141
2026-05-28,2.351,2.36,2.36,2.343,132.0,星期四,-0.0017,0.0038
2026-05-27,2.371,2.355,2.371,2.355,544.0,星期三,0.003,-0.0067
2026-05-26,2.394,2.364,2.394,2.354,336.0,星期二,0.0,-0.0125
2026-05-25,2.364,2.394,2.394,2.364,88.0,星期一,0.0034,0.0127
2026-05-22,2.344,2.356,2.356,2.333,236.0,星期五,-0.0055,0.0051
2026-05-21,2.391,2.357,2.426,2.353,275.0,星期四,0.0059,-0.0142
