time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.223,2.186,2.223,2.101,468.0,星期五,0.005,-0.0166
2026-06-25,2.186,2.212,2.217,2.186,363.0,星期四,0.0028,0.0119
2026-06-24,2.141,2.18,2.18,2.141,154.0,星期三,0.0042,0.0182
2026-06-23,2.189,2.132,2.189,2.122,1145.0,星期二,0.0009,-0.026
2026-06-22,2.152,2.187,2.214,2.152,2557.0,星期一,0.0005,0.0163
2026-06-18,2.132,2.151,2.151,2.132,1551.0,星期四,0.0005,0.0089
2026-06-17,2.089,2.131,2.131,2.075,1622.0,星期三,-0.01,0.0201
2026-06-16,2.084,2.11,2.11,2.084,393.0,星期二,0.0039,0.0125
2026-06-15,2.056,2.076,2.076,2.008,1974.0,星期一,0.0054,0.0097
2026-06-12,2.042,2.045,2.048,2.028,393.0,星期五,0.0094,0.0015
2026-06-11,2.007,2.023,2.025,1.998,535.0,星期四,0.0005,0.008
2026-06-10,2.041,2.006,2.048,1.986,182.0,星期三,-0.0102,-0.0171
2026-06-09,2.038,2.062,2.09,2.018,488.0,星期二,0.0149,0.0118
2026-06-08,2.08,2.008,2.08,2.008,835.0,星期一,-0.01,-0.0346
2026-06-05,2.107,2.101,2.11,2.1,312.0,星期五,0.0014,-0.0028
2026-06-04,2.103,2.104,2.12,2.103,529.0,星期四,-0.0014,0.0005
2026-06-03,2.119,2.106,2.146,2.106,306.0,星期三,-0.008,-0.0061
2026-06-02,2.096,2.136,2.138,2.096,436.0,星期二,-0.0099,0.0191
2026-06-01,2.131,2.117,2.169,2.116,3454.0,星期一,-0.0102,-0.0066
2026-05-29,2.18,2.153,2.189,2.142,2099.0,星期五,0.0102,-0.0124
2026-05-28,2.139,2.158,2.158,2.121,1487.0,星期四,-0.0047,0.0089
2026-05-27,2.139,2.149,2.202,2.121,1498.0,星期三,0.0,0.0047
2026-05-26,2.13,2.139,2.14,2.111,1506.0,星期二,-0.0005,0.0042
2026-05-25,2.105,2.131,2.138,2.101,262.0,星期一,0.0024,0.0124
2026-05-22,2.102,2.1,2.102,2.053,777.0,星期五,0.0048,-0.001
2026-05-21,2.114,2.092,2.13,2.092,978.0,星期四,0.01,-0.0104
2026-05-20,2.059,2.093,2.093,2.059,214.0,星期三,-0.0063,0.0165
2026-05-19,2.058,2.072,2.072,2.041,208.0,星期二,0.0054,0.0068
2026-05-18,2.069,2.047,2.069,2.03,1617.0,星期一,-0.01,-0.0106
2026-05-15,2.098,2.09,2.135,2.077,2022.0,星期五,-0.0099,-0.0038
2026-05-14,2.132,2.119,2.14,2.098,1828.0,星期四,-0.0033,-0.0061
2026-05-13,2.104,2.139,2.139,2.101,1973.0,星期三,-0.0085,0.0166
2026-05-12,2.128,2.122,2.128,2.11,467.0,星期二,-0.0098,-0.0028
2026-05-11,2.121,2.149,2.149,2.114,1195.0,星期一,-0.0033,0.0132
2026-05-08,2.119,2.128,2.129,2.112,937.0,星期五,0.0,0.0042
2026-05-07,2.102,2.119,2.121,2.102,656.0,星期四,0.0082,0.0081
2026-05-06,2.06,2.085,2.091,2.06,1184.0,星期三,0.0,0.0121
2026-04-30,2.036,2.06,2.06,2.036,576.0,星期四,-0.0112,0.0118
2026-04-29,2.022,2.059,2.06,2.022,689.0,星期三,0.0,0.0183
2026-04-28,2.032,2.022,2.038,2.022,219.0,星期二,-0.0088,-0.0049
2026-04-27,2.041,2.05,2.05,2.04,492.0,星期一,0.0025,0.0044
2026-04-24,2.025,2.036,2.036,2.018,571.0,星期五,0.0,0.0054
2026-04-23,2.039,2.025,2.045,2.024,499.0,星期四,0.0114,-0.0069
2026-04-22,2.002,2.016,2.016,2.002,474.0,星期三,-0.0015,0.007
2026-04-21,1.997,2.005,2.005,1.994,808.0,星期二,0.005,0.004
2026-04-20,1.993,1.987,1.997,1.984,32.0,星期一,0.0076,-0.003
2026-04-17,1.985,1.978,1.995,1.978,90.0,星期五,0.002,-0.0035
2026-04-16,1.959,1.981,1.982,1.959,1074.0,星期四,0.0036,0.0112
2026-04-15,1.983,1.952,1.983,1.95,2127.0,星期三,0.0086,-0.0156
2026-04-14,1.963,1.966,1.966,1.95,2357.0,星期二,0.0113,0.0015
2026-04-13,1.93,1.941,1.943,1.93,163.0,星期一,0.0036,0.0057
2026-04-10,1.909,1.923,1.929,1.904,178.0,星期五,0.0037,0.0073
2026-04-09,1.903,1.902,1.903,1.888,220.0,星期四,0.0005,-0.0005
2026-04-08,1.859,1.902,1.908,1.859,628.0,星期三,0.0125,0.0231
2026-04-07,1.847,1.836,1.847,1.827,1198.0,星期二,0.0,-0.006
2026-04-03,1.858,1.847,1.858,1.847,776.0,星期五,0.0011,-0.0059
2026-04-02,1.846,1.856,1.866,1.846,536.0,星期四,-0.0259,0.0054
2026-04-01,1.884,1.895,1.895,1.882,565.0,星期三,0.0075,0.0058
2026-03-31,1.889,1.87,1.898,1.87,183.0,星期二,0.0069,-0.0101
2026-03-30,1.875,1.876,1.882,1.863,168.0,星期一,-0.0111,0.0005
2026-03-27,1.861,1.896,1.898,1.861,171.0,星期五,-0.0112,0.0188
2026-03-26,1.911,1.882,1.911,1.882,224.0,星期四,0.0047,-0.0152
2026-03-25,1.901,1.902,1.902,1.9,235.0,星期三,0.0128,0.0005
2026-03-24,1.844,1.877,1.877,1.842,818.0,星期二,-0.0022,0.0179
2026-03-23,1.875,1.848,1.875,1.847,1434.0,星期一,-0.01,-0.0144
2026-03-20,1.904,1.894,1.915,1.887,1873.0,星期五,0.0133,-0.0053
2026-03-19,1.904,1.879,1.91,1.879,1860.0,星期四,-0.0119,-0.0131
2026-03-18,1.919,1.927,1.927,1.909,83.0,星期三,-0.0005,0.0042
2026-03-17,1.936,1.92,1.948,1.92,71.0,星期二,0.0041,-0.0083
2026-03-16,1.929,1.928,1.93,1.909,428.0,星期一,-0.0087,-0.0005
2026-03-13,1.958,1.946,1.961,1.946,400.0,星期五,0.0093,-0.0061
2026-03-12,1.951,1.94,1.951,1.936,432.0,星期四,-0.0005,-0.0056
2026-03-11,1.954,1.952,1.965,1.948,2996.0,星期三,0.0046,-0.001
2026-03-10,1.901,1.945,1.948,1.901,273.0,星期二,-0.0073,0.0231
2026-03-09,1.912,1.915,1.915,1.878,395.0,星期一,-0.0124,0.0016
2026-03-06,1.91,1.936,1.936,1.91,197.0,星期五,-0.0052,0.0136
2026-03-05,1.908,1.92,1.928,1.908,962.0,星期四,0.001,0.0063
2026-03-04,1.899,1.906,1.918,1.899,1212.0,星期三,-0.0047,0.0037
2026-03-03,1.942,1.908,1.942,1.908,396.0,星期二,-0.0021,-0.0175
2026-03-02,1.941,1.946,1.95,1.941,510.0,星期一,-0.0026,0.0026
2026-02-27,1.959,1.946,1.959,1.941,1032.0,星期五,0.0062,-0.0066
2026-02-26,1.951,1.947,1.959,1.947,254.0,星期四,-0.0066,-0.0021
2026-02-25,1.968,1.964,1.976,1.964,819.0,星期三,0.0041,-0.002
2026-02-24,1.92,1.96,1.961,1.92,1701.0,星期二,-0.0057,0.0208
2026-02-13,1.939,1.931,1.939,1.931,1643.0,星期五,-0.0036,-0.0041
2026-02-12,1.927,1.946,1.958,1.927,2067.0,星期四,0.001,0.0099
2026-02-11,1.901,1.925,1.929,1.901,2884.0,星期三,0.0011,0.0126
2026-02-10,1.882,1.899,1.899,1.879,363.0,星期二,0.0048,0.009
2026-02-09,1.865,1.873,1.874,1.864,185.0,星期一,0.0043,0.0043
2026-02-06,1.845,1.857,1.864,1.845,162.0,星期五,0.0033,0.0065
2026-02-05,1.848,1.839,1.848,1.83,320.0,星期四,-0.0102,-0.0049
2026-02-04,1.852,1.867,1.867,1.852,872.0,星期三,0.0,0.0081
2026-02-03,1.813,1.852,1.856,1.813,102.0,星期二,-0.0125,0.0215
2026-02-02,1.873,1.836,1.873,1.831,494.0,星期一,-0.0005,-0.0198
2026-01-30,1.885,1.874,1.885,1.84,470.0,星期五,0.0,-0.0058
2026-01-29,1.892,1.885,1.899,1.885,490.0,星期四,-0.0058,-0.0037
2026-01-28,1.893,1.903,1.906,1.888,746.0,星期三,-0.0053,0.0053
2026-01-27,1.895,1.903,1.905,1.883,497.0,星期二,-0.0026,0.0042
2026-01-26,1.912,1.9,1.914,1.9,732.0,星期一,0.0079,-0.0063
2026-01-23,1.894,1.897,1.905,1.893,425.0,星期五,-0.0068,0.0016
2026-01-22,1.901,1.907,1.907,1.9,1097.0,星期四,-0.0094,0.0032
2026-01-21,1.898,1.919,1.919,1.898,2336.0,星期三,0.0042,0.0111
2026-01-20,1.894,1.89,1.894,1.874,1907.0,星期二,0.0011,-0.0021
2026-01-19,1.9,1.892,1.915,1.892,4946.0,星期一,0.0074,-0.0042
2026-01-16,1.869,1.886,1.896,1.869,2471.0,星期五,0.0081,0.0091
2026-01-15,1.863,1.854,1.87,1.848,657.0,星期四,0.0076,-0.0048
2026-01-14,1.859,1.849,1.871,1.847,813.0,星期三,0.0081,-0.0054
2026-01-13,1.874,1.844,1.874,1.844,139.0,星期二,0.0021,-0.016
2026-01-12,1.851,1.87,1.87,1.846,474.0,星期一,-0.0016,0.0103
2026-01-09,1.838,1.854,1.858,1.831,547.0,星期五,-0.0054,0.0087
2026-01-08,1.848,1.848,1.855,1.848,309.0,星期四,0.0027,0.0
2026-01-07,1.843,1.843,1.848,1.84,1751.0,星期三,0.0049,0.0
2026-01-06,1.824,1.834,1.837,1.82,956.0,星期二,0.0027,0.0055
2026-01-05,1.806,1.819,1.823,1.806,112.0,星期一,0.0101,0.0072
2025-12-31,1.793,1.788,1.793,1.788,78.0,星期三,-0.0017,-0.0028
2025-12-30,1.796,1.796,1.798,1.791,96.0,星期二,-0.0088,0.0
2025-12-29,1.816,1.812,1.82,1.812,160.0,星期一,-0.0027,-0.0022
2025-12-26,1.809,1.821,1.823,1.808,1203.0,星期五,0.0011,0.0066
2025-12-25,1.801,1.807,1.81,1.796,154.0,星期四,-0.0011,0.0033
2025-12-24,1.793,1.803,1.805,1.793,266.0,星期三,0.0006,0.0056
2025-12-23,1.77,1.792,1.798,1.77,436.0,星期二,0.0017,0.0124
2025-12-22,1.76,1.767,1.769,1.76,352.0,星期一,0.0086,0.004
2025-12-19,1.731,1.745,1.747,1.731,131.0,星期五,-0.0086,0.0081
