time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,3.027,3.001,3.027,2.994,82.0,星期五,-0.0101,-0.0086
2026-06-25,3.011,3.058,3.119,2.989,330.0,星期四,0.0101,0.0156
2026-06-24,2.888,2.981,2.999,2.888,305.0,星期三,-0.0099,0.0322
2026-06-23,2.946,2.917,2.946,2.917,224.0,星期二,-0.0101,-0.0098
2026-06-22,2.921,2.976,2.976,2.882,212.0,星期一,0.0038,0.0188
2026-06-18,2.892,2.91,2.987,2.892,125.0,星期四,0.0215,0.0062
2026-06-17,2.822,2.831,2.831,2.822,520.0,星期三,-0.0098,0.0032
2026-06-16,2.83,2.85,2.85,2.83,327.0,星期二,0.0043,0.0071
2026-06-15,2.823,2.818,2.823,2.818,175.0,星期一,0.0086,-0.0018
2026-06-12,2.757,2.799,2.812,2.757,80.0,星期五,0.0099,0.0152
2026-06-11,2.73,2.73,2.73,2.73,5.0,星期四,-0.0102,0.0
2026-06-10,2.758,2.758,2.813,2.729,917.0,星期三,0.0099,0.0
2026-06-09,2.687,2.731,2.758,2.687,352.0,星期二,-0.0158,0.0164
2026-06-08,2.731,2.73,2.731,2.578,19.0,星期一,-0.0101,-0.0004
2026-06-05,2.814,2.759,2.814,2.759,124.0,星期五,-0.0099,-0.0195
2026-06-04,2.871,2.842,2.871,2.842,8.0,星期四,0.0098,-0.0101
2026-06-03,2.827,2.843,2.881,2.827,27.0,星期三,0.01,0.0057
2026-06-02,2.768,2.799,2.824,2.753,296.0,星期二,-0.01,0.0112
2026-06-01,2.909,2.796,2.909,2.794,434.0,星期一,0.0101,-0.0388
2026-05-29,2.93,2.88,2.93,2.875,1044.0,星期五,-0.0101,-0.0171
2026-05-28,2.911,2.96,2.96,2.911,256.0,星期四,-0.0024,0.0168
2026-05-27,2.959,2.918,3.002,2.918,176.0,星期三,-0.01,-0.0139
2026-05-26,2.986,2.989,2.989,2.927,112.0,星期二,-0.0099,0.001
2026-05-25,2.91,3.016,3.026,2.909,104.0,星期一,0.0034,0.0364
2026-05-22,2.878,2.9,2.929,2.878,242.0,星期五,-0.0076,0.0076
2026-05-21,2.962,2.9,3.035,2.9,242.0,星期四,0.0214,-0.0209
2026-05-20,2.861,2.9,2.959,2.861,123.0,星期三,-0.01,0.0136
2026-05-19,2.865,2.89,2.89,2.814,325.0,星期二,0.0081,0.0087
2026-05-18,2.832,2.842,2.871,2.832,19.0,星期一,0.006,0.0035
2026-05-15,2.938,2.815,2.938,2.815,432.0,星期五,0.0124,-0.0419
2026-05-14,2.902,2.902,2.902,2.902,2.0,星期四,-0.0062,0.0
