time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.575,2.531,2.6,2.5,1080.0,星期五,0.0,-0.0171
2026-06-25,2.551,2.575,2.577,2.525,694.0,星期四,0.0099,0.0094
2026-06-24,2.47,2.526,2.528,2.468,1748.0,星期三,-0.0048,0.0227
2026-06-23,2.563,2.482,2.563,2.468,2891.0,星期二,-0.0008,-0.0316
2026-06-22,2.539,2.565,2.568,2.499,1973.0,星期一,0.0152,0.0102
2026-06-18,2.449,2.501,2.525,2.427,2083.0,星期四,-0.0004,0.0212
2026-06-17,2.384,2.45,2.45,2.384,1842.0,星期三,-0.0096,0.0277
2026-06-16,2.38,2.407,2.41,2.38,1922.0,星期二,0.0008,0.0113
2026-06-15,2.316,2.378,2.378,2.316,2715.0,星期一,0.01,0.0268
2026-06-12,2.295,2.293,2.31,2.292,1267.0,星期五,0.0101,-0.0009
2026-06-11,2.323,2.272,2.323,2.246,1940.0,星期四,0.0,-0.022
2026-06-10,2.349,2.323,2.359,2.307,1959.0,星期三,0.0047,-0.0111
2026-06-09,2.302,2.338,2.359,2.288,1069.0,星期二,0.0061,0.0156
2026-06-08,2.348,2.288,2.348,2.254,1832.0,星期一,-0.0101,-0.0256
2026-06-05,2.394,2.372,2.452,2.345,4512.0,星期五,0.0004,-0.0092
2026-06-04,2.381,2.393,2.396,2.366,1958.0,星期四,0.0,0.005
2026-06-03,2.331,2.381,2.385,2.311,3973.0,星期三,0.01,0.0215
2026-06-02,2.261,2.308,2.319,2.244,3759.0,星期二,-0.0096,0.0208
2026-06-01,2.318,2.283,2.334,2.249,731.0,星期一,0.0,-0.0151
2026-05-29,2.372,2.318,2.374,2.303,783.0,星期五,0.0094,-0.0228
2026-05-28,2.305,2.35,2.35,2.3,602.0,星期四,-0.0099,0.0195
2026-05-27,2.351,2.328,2.36,2.308,420.0,星期三,0.0013,-0.0098
2026-05-26,2.341,2.348,2.35,2.341,70.0,星期二,0.0043,0.003
2026-05-25,2.249,2.331,2.335,2.249,2198.0,星期一,-0.0101,0.0365
2026-05-22,2.235,2.272,2.281,2.232,1843.0,星期五,-0.0027,0.0166
2026-05-21,2.27,2.241,2.323,2.231,1012.0,星期四,-0.0079,-0.0128
2026-05-20,2.285,2.288,2.292,2.281,79.0,星期三,0.0035,0.0013
2026-05-19,2.255,2.277,2.277,2.232,845.0,星期二,-0.0101,0.0098
2026-05-18,2.273,2.278,2.283,2.251,416.0,星期一,-0.01,0.0022
2026-05-15,2.342,2.296,2.342,2.256,1160.0,星期五,0.0039,-0.0196
2026-05-14,2.337,2.333,2.337,2.313,1185.0,星期四,-0.006,-0.0017
2026-05-13,2.3,2.351,2.356,2.3,4640.0,星期三,0.0,0.0222
2026-05-12,2.286,2.3,2.316,2.272,2574.0,星期二,0.0,0.0061
2026-05-11,2.238,2.286,2.289,2.238,2117.0,星期一,-0.0018,0.0214
2026-05-08,2.248,2.242,2.252,2.221,1027.0,星期五,0.0076,-0.0027
