time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.259,1.265,1.266,1.231,2363.0,星期五,-0.0079,0.0048
2026-06-25,1.284,1.269,1.289,1.269,648.0,星期四,-0.0039,-0.0117
2026-06-24,1.298,1.289,1.304,1.288,214.0,星期三,-0.0099,-0.0069
2026-06-23,1.324,1.311,1.335,1.298,77.0,星期二,0.0099,-0.0098
2026-06-22,1.306,1.311,1.322,1.294,585.0,星期一,-0.0023,0.0038
2026-06-18,1.342,1.309,1.342,1.308,900.0,星期四,0.0,-0.0246
2026-06-17,1.352,1.342,1.352,1.342,108.0,星期三,0.0022,-0.0074
2026-06-16,1.364,1.349,1.383,1.349,478.0,星期二,0.0007,-0.011
2026-06-15,1.368,1.363,1.368,1.36,2296.0,星期一,0.0103,-0.0037
2026-06-12,1.337,1.354,1.359,1.337,6587.0,星期五,-0.0007,0.0127
2026-06-11,1.342,1.338,1.352,1.338,255.0,星期四,0.0022,-0.003
2026-06-10,1.355,1.339,1.355,1.334,931.0,星期三,0.0074,-0.0118
2026-06-09,1.34,1.345,1.345,1.335,1723.0,星期二,0.0022,0.0037
2026-06-08,1.346,1.337,1.349,1.325,67.0,星期一,-0.0022,-0.0067
2026-06-05,1.347,1.349,1.349,1.344,159.0,星期五,0.0,0.0015
2026-06-04,1.343,1.347,1.351,1.343,368.0,星期四,-0.0089,0.003
2026-06-03,1.364,1.355,1.364,1.35,224.0,星期三,-0.0007,-0.0066
2026-06-02,1.354,1.365,1.422,1.354,3675.0,星期二,-0.0059,0.0081
2026-06-01,1.347,1.362,1.362,1.347,1699.0,星期一,-0.0037,0.0111
2026-05-29,1.335,1.352,1.353,1.335,1362.0,星期五,0.0038,0.0127
2026-05-28,1.34,1.33,1.34,1.324,148.0,星期四,-0.0022,-0.0075
2026-05-27,1.346,1.343,1.356,1.342,439.0,星期三,-0.0074,-0.0022
2026-05-26,1.352,1.356,1.359,1.352,2646.0,星期二,0.0,0.003
2026-05-25,1.351,1.352,1.361,1.349,226.0,星期一,-0.0073,0.0007
2026-05-22,1.369,1.361,1.369,1.357,190.0,星期五,0.0066,-0.0058
2026-05-21,1.375,1.36,1.375,1.36,598.0,星期四,0.0029,-0.0109
2026-05-20,1.372,1.371,1.372,1.371,368.0,星期三,-0.0036,-0.0007
2026-05-19,1.373,1.377,1.381,1.373,352.0,星期二,0.0,0.0029
2026-05-18,1.383,1.373,1.383,1.37,106.0,星期一,0.0,-0.0072
2026-05-15,1.394,1.383,1.394,1.377,1860.0,星期五,-0.0021,-0.0079
2026-05-14,1.431,1.397,1.431,1.396,582.0,星期四,0.012,-0.0238
2026-05-13,1.406,1.414,1.418,1.406,256.0,星期三,-0.0057,0.0057
2026-05-12,1.414,1.414,1.416,1.412,384.0,星期二,0.0035,0.0
2026-05-11,1.39,1.409,1.412,1.39,4912.0,星期一,-0.0071,0.0137
2026-05-08,1.398,1.4,1.4,1.388,184.0,星期五,0.0,0.0014
2026-05-07,1.394,1.398,1.399,1.392,1078.0,星期四,0.0022,0.0029
2026-05-06,1.382,1.391,1.391,1.38,2371.0,星期三,0.0022,0.0065
2026-04-30,1.39,1.379,1.392,1.379,3271.0,星期四,0.0014,-0.0079
2026-04-29,1.372,1.388,1.388,1.37,1918.0,星期三,0.0066,0.0117
2026-04-28,1.371,1.363,1.371,1.362,259.0,星期二,0.0015,-0.0058
2026-04-27,1.374,1.369,1.374,1.368,2680.0,星期一,-0.0007,-0.0036
2026-04-24,1.38,1.375,1.38,1.365,44911.0,星期五,0.0,-0.0036
2026-04-23,1.369,1.38,1.382,1.369,36554.0,星期四,-0.0015,0.008
2026-04-22,1.369,1.371,1.371,1.368,1699.0,星期三,-0.0036,0.0015
2026-04-21,1.366,1.374,1.376,1.366,3015.0,星期二,0.0007,0.0059
2026-04-20,1.36,1.365,1.366,1.36,608.0,星期一,-0.0022,0.0037
2026-04-17,1.367,1.363,1.368,1.363,1383.0,星期五,0.0,-0.0029
2026-04-16,1.362,1.367,1.368,1.362,3081.0,星期四,-0.0007,0.0037
2026-04-15,1.365,1.363,1.367,1.363,4459.0,星期三,0.0015,-0.0015
2026-04-14,1.355,1.363,1.364,1.355,3192.0,星期二,0.0022,0.0059
2026-04-13,1.354,1.352,1.355,1.345,1719.0,星期一,-0.0007,-0.0015
2026-04-10,1.355,1.355,1.36,1.354,406.0,星期五,0.0059,0.0
2026-04-09,1.348,1.347,1.35,1.346,7131.0,星期四,-0.0007,-0.0007
2026-04-08,1.34,1.349,1.351,1.34,5087.0,星期三,0.0098,0.0067
2026-04-07,1.339,1.327,1.345,1.327,2071.0,星期二,0.0053,-0.009
2026-04-03,1.367,1.332,1.378,1.329,10416.0,星期五,0.0111,-0.0256
2026-04-02,1.348,1.352,1.369,1.345,63380.0,星期四,0.0,0.003
2026-04-01,1.348,1.348,1.361,1.348,814.0,星期三,0.0082,0.0
2026-03-31,1.346,1.337,1.349,1.334,6359.0,星期二,0.0015,-0.0067
2026-03-30,1.359,1.344,1.359,1.336,655.0,星期一,0.0074,-0.011
2026-03-27,1.35,1.349,1.355,1.34,1079.0,星期五,0.0045,-0.0007
2026-03-26,1.36,1.344,1.361,1.344,993.0,星期四,0.0029,-0.0118
2026-03-25,1.34,1.356,1.356,1.34,2001.0,星期三,0.0022,0.0119
2026-03-24,1.33,1.337,1.337,1.319,398.0,星期二,0.0091,0.0053
2026-03-23,1.355,1.318,1.355,1.315,988.0,星期一,-0.0029,-0.0273
2026-03-20,1.363,1.359,1.368,1.358,2295.0,星期五,0.0,-0.0029
2026-03-19,1.372,1.363,1.372,1.363,2010.0,星期四,-0.0072,-0.0066
2026-03-18,1.382,1.382,1.383,1.373,2342.0,星期三,0.0007,0.0
2026-03-17,1.389,1.381,1.391,1.381,7481.0,星期二,0.0051,-0.0058
2026-03-16,1.394,1.382,1.394,1.374,1372.0,星期一,0.008,-0.0086
2026-03-13,1.394,1.383,1.396,1.383,1484.0,星期五,0.0029,-0.0079
2026-03-12,1.385,1.39,1.391,1.381,2445.0,星期四,0.0007,0.0036
2026-03-11,1.381,1.384,1.384,1.377,14688.0,星期三,-0.0014,0.0022
2026-03-10,1.376,1.383,1.383,1.376,15823.0,星期二,0.0029,0.0051
2026-03-09,1.399,1.372,1.399,1.364,2980.0,星期一,0.0065,-0.0193
2026-03-06,1.374,1.39,1.39,1.373,5385.0,星期五,-0.0015,0.0116
2026-03-05,1.382,1.376,1.391,1.376,6204.0,星期四,0.0051,-0.0043
2026-03-04,1.396,1.375,1.396,1.36,1571.0,星期三,-0.0057,-0.015
2026-03-03,1.401,1.404,1.412,1.401,952.0,星期二,-0.0064,0.0021
2026-03-02,1.416,1.41,1.416,1.392,1319.0,星期一,0.0035,-0.0042
2026-02-27,1.404,1.411,1.411,1.402,1199.0,星期五,0.0007,0.005
2026-02-26,1.422,1.403,1.422,1.401,7573.0,星期四,0.0049,-0.0134
2026-02-25,1.418,1.415,1.429,1.415,2822.0,星期三,0.0071,-0.0021
2026-02-24,1.405,1.408,1.416,1.404,3385.0,星期二,0.0072,0.0021
2026-02-13,1.418,1.395,1.418,1.393,4731.0,星期五,0.0014,-0.0162
2026-02-12,1.428,1.416,1.428,1.416,5279.0,星期四,0.0049,-0.0084
2026-02-11,1.427,1.421,1.427,1.414,4156.0,星期三,0.0099,-0.0042
2026-02-10,1.418,1.413,1.418,1.412,2045.0,星期二,0.0035,-0.0035
2026-02-09,1.411,1.413,1.42,1.41,3797.0,星期一,0.0093,0.0014
2026-02-06,1.405,1.398,1.405,1.391,3408.0,星期五,0.0014,-0.005
2026-02-05,1.4,1.403,1.408,1.393,13798.0,星期四,-0.005,0.0021
2026-02-04,1.388,1.407,1.407,1.388,2527.0,星期三,0.0036,0.0137
2026-02-03,1.376,1.383,1.386,1.369,3354.0,星期二,0.0066,0.0051
2026-02-02,1.39,1.367,1.404,1.367,70502.0,星期一,-0.0107,-0.0165
2026-01-30,1.43,1.405,1.43,1.405,2954.0,星期五,0.0007,-0.0175
2026-01-29,1.412,1.429,1.459,1.408,33647.0,星期四,0.0007,0.012
2026-01-28,1.383,1.411,1.425,1.383,3721.0,星期三,0.0,0.0202
2026-01-27,1.375,1.383,1.386,1.373,55818.0,星期二,-0.0007,0.0058
2026-01-26,1.366,1.376,1.38,1.366,2252.0,星期一,-0.0036,0.0073
2026-01-23,1.378,1.371,1.38,1.366,57859.0,星期五,0.0029,-0.0051
2026-01-22,1.376,1.374,1.379,1.373,1433.0,星期四,0.0066,-0.0015
2026-01-21,1.376,1.367,1.383,1.364,61323.0,星期三,0.0,-0.0065
2026-01-20,1.362,1.376,1.388,1.362,31461.0,星期二,0.0,0.0103
2026-01-19,1.362,1.362,1.365,1.355,6206.0,星期一,-0.0007,0.0
2026-01-16,1.367,1.363,1.373,1.363,2607.0,星期五,0.0022,-0.0029
2026-01-15,1.369,1.364,1.379,1.363,55068.0,星期四,0.0,-0.0037
2026-01-14,1.371,1.369,1.372,1.365,2850.0,星期三,0.0015,-0.0015
2026-01-13,1.369,1.369,1.374,1.365,5095.0,星期二,0.0066,0.0
2026-01-12,1.364,1.36,1.364,1.355,2739.0,星期一,-0.0007,-0.0029
2026-01-09,1.365,1.365,1.372,1.359,21887.0,星期五,0.0015,0.0
2026-01-08,1.367,1.363,1.382,1.361,7681.0,星期四,-0.0015,-0.0029
2026-01-07,1.37,1.369,1.381,1.367,18337.0,星期三,0.0,-0.0007
2026-01-06,1.353,1.37,1.37,1.352,13912.0,星期二,0.0052,0.0126
2026-01-05,1.339,1.346,1.346,1.33,35145.0,星期一,0.0068,0.0052
2025-12-31,1.34,1.33,1.34,1.33,10825.0,星期三,0.0,-0.0075
2025-12-30,1.336,1.34,1.346,1.332,58751.0,星期二,-0.0022,0.003
2025-12-29,1.341,1.339,1.35,1.339,28081.0,星期一,-0.0022,-0.0015
2025-12-26,1.35,1.344,1.35,1.341,18633.0,星期五,0.0007,-0.0044
2025-12-25,1.41,1.349,1.412,1.347,95307.0,星期四,0.0151,-0.0433
2025-12-24,1.353,1.389,1.409,1.352,175029.0,星期三,0.0052,0.0266
2025-12-23,1.339,1.346,1.351,1.339,6183.0,星期二,0.0022,0.0052
2025-12-22,1.334,1.336,1.344,1.334,10916.0,星期一,-0.0015,0.0015
2025-12-19,1.345,1.336,1.345,1.332,16839.0,星期五,0.0105,-0.0067
2025-12-18,1.322,1.331,1.336,1.32,26107.0,星期四,-0.003,0.0068
2025-12-17,1.307,1.326,1.346,1.307,147688.0,星期三,-0.0061,0.0145
2025-12-16,1.34,1.315,1.34,1.311,82548.0,星期二,-0.0015,-0.0187
2025-12-15,1.339,1.342,1.349,1.336,26124.0,星期一,-0.0022,0.0022
2025-12-12,1.322,1.342,1.346,1.322,41195.0,星期五,-0.0008,0.0151
2025-12-11,1.328,1.323,1.346,1.319,49455.0,星期四,-0.003,-0.0038
2025-12-10,1.327,1.332,1.34,1.325,7048.0,星期三,-0.0097,0.0038
2025-12-09,1.351,1.34,1.362,1.34,1791.0,星期二,-0.0095,-0.0081
2025-12-08,1.366,1.364,1.372,1.362,21952.0,星期一,0.0,-0.0015
2025-12-05,1.35,1.366,1.37,1.35,28912.0,星期五,-0.0037,0.0119
2025-12-04,1.344,1.355,1.361,1.344,12546.0,星期四,0.0,0.0082
2025-12-03,1.357,1.344,1.36,1.343,12041.0,星期三,0.003,-0.0096
2025-12-02,1.35,1.353,1.362,1.35,13675.0,星期二,0.0,0.0022
2025-12-01,1.345,1.35,1.354,1.345,14039.0,星期一,-0.0015,0.0037
2025-11-28,1.356,1.347,1.356,1.345,3906.0,星期五,-0.0015,-0.0066
2025-11-27,1.352,1.358,1.362,1.347,9055.0,星期四,-0.0037,0.0044
2025-11-26,1.352,1.357,1.363,1.352,7614.0,星期三,-0.0015,0.0037
2025-11-25,1.348,1.354,1.356,1.348,3508.0,星期二,0.0015,0.0045
2025-11-24,1.351,1.346,1.352,1.343,8866.0,星期一,0.0022,-0.0037
2025-11-21,1.37,1.348,1.37,1.345,3073.0,星期五,-0.0029,-0.0161
2025-11-20,1.366,1.374,1.378,1.366,12804.0,星期四,0.0,0.0059
2025-11-19,1.366,1.366,1.374,1.36,4992.0,星期三,0.0044,0.0
2025-11-18,1.389,1.36,1.389,1.359,11985.0,星期二,0.0029,-0.0209
2025-11-17,1.396,1.385,1.53,1.381,8038.0,星期一,0.0022,-0.0079
2025-11-14,1.408,1.393,1.408,1.392,25728.0,星期五,0.0007,-0.0107
2025-11-13,1.401,1.407,1.408,1.396,10403.0,星期四,0.0007,0.0043
2025-11-12,1.384,1.4,1.404,1.384,11445.0,星期三,0.0022,0.0116
2025-11-11,1.378,1.381,1.382,1.373,12879.0,星期二,0.0007,0.0022
2025-11-10,1.361,1.377,1.387,1.361,45881.0,星期一,0.0007,0.0118
2025-11-07,1.356,1.36,1.361,1.352,6271.0,星期五,-0.0007,0.0029
2025-11-06,1.342,1.357,1.359,1.341,7959.0,星期四,0.0015,0.0112
2025-11-05,1.343,1.34,1.343,1.326,14714.0,星期三,0.0007,-0.0022
2025-11-04,1.338,1.342,1.35,1.338,8972.0,星期二,0.0,0.003
2025-11-03,1.333,1.338,1.34,1.327,14874.0,星期一,0.0008,0.0038
2025-10-31,1.34,1.332,1.34,1.33,13190.0,星期五,0.0007,-0.006
2025-10-30,1.337,1.339,1.349,1.321,35061.0,星期四,-0.0082,0.0015
2025-10-29,1.355,1.348,1.355,1.343,14957.0,星期三,0.0067,-0.0052
2025-10-28,1.355,1.346,1.355,1.342,18748.0,星期二,0.0015,-0.0066
2025-10-27,1.348,1.353,1.356,1.344,13695.0,星期一,0.0015,0.0037
2025-10-24,1.35,1.346,1.355,1.344,44979.0,星期五,0.009,-0.003
2025-10-23,1.33,1.338,1.339,1.325,30253.0,星期四,0.0008,0.006
2025-10-22,1.336,1.329,1.336,1.327,5131.0,星期三,0.0007,-0.0052
2025-10-21,1.318,1.335,1.338,1.318,11123.0,星期二,0.0015,0.0129
2025-10-20,1.321,1.316,1.323,1.312,62279.0,星期一,0.0084,-0.0038
