time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.99,2.942,2.998,2.921,1450853.0,星期五,-0.0047,-0.0161
2026-06-25,2.965,3.004,3.016,2.965,1440152.0,星期四,-0.0013,0.0132
2026-06-24,2.94,2.969,2.97,2.931,2024025.0,星期三,-0.0024,0.0099
2026-06-23,3.038,2.947,3.043,2.935,1217715.0,星期二,-0.0007,-0.03
2026-06-22,2.957,3.04,3.041,2.941,1507625.0,星期一,-0.0014,0.0281
2026-06-18,2.949,2.961,2.979,2.946,1712352.0,星期四,-0.0041,0.0041
2026-06-17,2.927,2.961,2.962,2.926,1777406.0,星期三,-0.0034,0.0116
2026-06-16,2.973,2.937,2.973,2.929,1621130.0,星期二,0.0013,-0.0121
2026-06-15,2.956,2.969,2.974,2.928,1626710.0,星期一,0.0113,0.0044
2026-06-12,2.88,2.923,2.931,2.878,1594837.0,星期五,0.0031,0.0149
2026-06-11,2.866,2.871,2.877,2.851,1274677.0,星期四,-0.0031,0.0017
2026-06-10,2.847,2.875,2.883,2.847,1140080.0,星期三,-0.0025,0.0098
2026-06-09,2.844,2.854,2.857,2.828,1479109.0,星期二,0.0004,0.0035
2026-06-08,2.84,2.843,2.863,2.823,1550933.0,星期一,-0.0146,0.0011
2026-06-05,2.894,2.882,2.926,2.874,2033594.0,星期五,-0.0041,-0.0041
2026-06-04,2.924,2.906,2.934,2.898,1479165.0,星期四,-0.0044,-0.0062
2026-06-03,2.929,2.937,2.954,2.921,1616942.0,星期三,-0.001,0.0027
2026-06-02,2.904,2.932,2.947,2.904,1633964.0,星期二,-0.0017,0.0096
2026-06-01,2.936,2.909,2.939,2.902,1930224.0,星期一,-0.001,-0.0092
2026-05-29,2.929,2.939,2.955,2.924,1889797.0,星期五,0.0003,0.0034
2026-05-28,2.935,2.928,2.942,2.906,999774.0,星期四,-0.0054,-0.0024
2026-05-27,2.988,2.951,2.989,2.936,1110569.0,星期三,0.0003,-0.0124
2026-05-26,2.976,2.987,2.989,2.958,968732.0,星期二,-0.0007,0.0037
2026-05-25,2.938,2.978,2.981,2.938,1131301.0,星期一,0.0017,0.0136
2026-05-22,2.942,2.933,2.948,2.92,1246113.0,星期五,0.0024,-0.0031
2026-05-21,2.981,2.935,3.01,2.93,1349002.0,星期四,0.0047,-0.0154
2026-05-20,2.952,2.967,2.977,2.947,1275432.0,星期三,-0.004,0.0051
2026-05-19,2.947,2.964,2.966,2.928,1843285.0,星期二,0.0,0.0058
2026-05-18,2.954,2.947,2.965,2.93,1415034.0,星期一,-0.0057,-0.0024
2026-05-15,3.008,2.971,3.013,2.957,1420377.0,星期五,-0.001,-0.0123
2026-05-14,3.063,3.011,3.069,3.008,1291398.0,星期四,0.0013,-0.017
2026-05-13,3.055,3.059,3.063,3.03,1658665.0,星期三,0.0,0.0013
2026-05-12,3.049,3.055,3.066,3.044,1449059.0,星期二,-0.0003,0.002
2026-05-11,3.021,3.05,3.058,3.016,1495920.0,星期一,0.0033,0.0096
2026-05-08,3.025,3.011,3.026,2.997,1373798.0,星期五,-0.0046,-0.0046
2026-05-07,3.038,3.039,3.048,3.028,1207709.0,星期四,0.0016,0.0003
2026-05-06,3.008,3.033,3.05,3.008,1244670.0,星期三,0.004,0.0083
2026-04-30,2.973,2.996,2.997,2.973,1566242.0,星期四,0.0007,0.0077
2026-04-29,2.951,2.971,2.979,2.946,1762589.0,星期三,-0.0017,0.0068
2026-04-28,2.937,2.956,2.971,2.937,1440428.0,星期二,-0.0037,0.0065
2026-04-27,2.951,2.948,2.963,2.941,1587245.0,星期一,-0.0003,-0.001
2026-04-24,2.93,2.952,2.956,2.918,1538425.0,星期五,-0.0014,0.0075
2026-04-23,2.934,2.934,2.946,2.917,1997079.0,星期四,-0.001,0.0
2026-04-22,2.93,2.937,2.941,2.928,1536493.0,星期三,-0.0024,0.0024
2026-04-21,2.931,2.937,2.94,2.922,1378031.0,星期二,-0.0017,0.002
2026-04-20,2.908,2.936,2.94,2.908,1436634.0,星期一,-0.001,0.0096
2026-04-17,2.933,2.911,2.933,2.909,1185839.0,星期五,-0.0031,-0.0075
2026-04-16,2.943,2.942,2.953,2.934,1409013.0,星期四,0.0017,-0.0003
2026-04-15,2.935,2.938,2.955,2.934,1322408.0,星期三,0.0038,0.001
2026-04-14,2.911,2.924,2.927,2.902,1230439.0,星期二,0.0034,0.0045
2026-04-13,2.891,2.901,2.905,2.886,1176569.0,星期一,-0.0038,0.0035
2026-04-10,2.897,2.902,2.918,2.892,1253708.0,星期五,0.0038,0.0017
2026-04-09,2.89,2.886,2.893,2.877,1253953.0,星期四,-0.0069,-0.0014
2026-04-08,2.865,2.91,2.911,2.865,1565919.0,星期三,0.0124,0.0157
2026-04-07,2.845,2.83,2.845,2.827,975726.0,星期二,0.0035,-0.0053
2026-04-03,2.857,2.835,2.862,2.829,991508.0,星期五,0.0004,-0.0077
2026-04-02,2.878,2.856,2.878,2.841,1222526.0,星期四,-0.0003,-0.0076
2026-04-01,2.859,2.879,2.886,2.858,1191884.0,星期三,0.0092,0.007
2026-03-31,2.839,2.833,2.867,2.83,1452641.0,星期二,0.0011,-0.0021
2026-03-30,2.808,2.836,2.838,2.805,1668488.0,星期一,-0.0113,0.01
2026-03-27,2.799,2.84,2.848,2.799,1842016.0,星期五,-0.0096,0.0146
2026-03-26,2.856,2.826,2.863,2.819,1217690.0,星期四,-0.0035,-0.0105
2026-03-25,2.832,2.866,2.87,2.832,1915012.0,星期三,0.0007,0.012
2026-03-24,2.81,2.83,2.831,2.792,2227846.0,星期二,0.005,0.0071
2026-03-23,2.851,2.796,2.86,2.779,2065500.0,星期一,-0.0108,-0.0193
2026-03-20,2.92,2.882,2.926,2.881,1515932.0,星期五,0.0007,-0.013
2026-03-19,2.928,2.918,2.942,2.908,2015171.0,星期四,-0.0105,-0.0034
2026-03-18,2.965,2.959,2.974,2.938,2228533.0,星期三,0.001,-0.002
2026-03-17,2.955,2.962,2.998,2.955,2148637.0,星期二,0.0007,0.0024
2026-03-16,2.958,2.953,2.958,2.929,1770583.0,星期一,-0.0007,-0.0017
2026-03-13,2.956,2.96,2.979,2.952,1515005.0,星期五,-0.005,0.0014
2026-03-12,2.982,2.971,2.985,2.955,1848698.0,星期四,-0.001,-0.0037
2026-03-11,2.985,2.985,2.99,2.972,1583731.0,星期三,0.0003,0.0
2026-03-10,2.976,2.984,2.988,2.972,1834552.0,星期二,0.0044,0.0027
2026-03-09,2.967,2.963,2.972,2.931,2295584.0,星期一,-0.0084,-0.0013
2026-03-06,2.985,2.992,3.003,2.97,1866628.0,星期五,-0.0013,0.0023
2026-03-05,2.99,2.989,3.002,2.979,1734345.0,星期四,0.005,-0.0003
2026-03-04,2.99,2.975,2.996,2.955,1397872.0,星期三,-0.0099,-0.005
2026-03-03,3.046,3.02,3.06,3.011,1286462.0,星期二,-0.0007,-0.0085
2026-03-02,3.035,3.048,3.053,3.01,1787234.0,星期一,-0.0033,0.0043
2026-02-27,3.03,3.045,3.052,3.026,1567707.0,星期五,-0.0023,0.005
2026-02-26,3.057,3.037,3.061,3.024,1654805.0,星期四,-0.0003,-0.0065
2026-02-25,3.041,3.058,3.083,3.041,2133863.0,星期三,0.0,0.0056
2026-02-24,3.059,3.041,3.067,3.039,1069509.0,星期二,0.0076,-0.0059
2026-02-13,3.072,3.036,3.072,3.032,2764617.0,星期五,-0.0032,-0.0117
2026-02-12,3.09,3.082,3.096,3.078,1324105.0,星期四,0.0003,-0.0026
2026-02-11,3.086,3.089,3.094,3.077,1227535.0,星期三,-0.001,0.001
2026-02-10,3.08,3.089,3.091,3.08,1372548.0,星期二,0.0,0.0029
2026-02-09,3.048,3.08,3.081,3.048,1688619.0,星期一,0.0043,0.0105
2026-02-06,3.033,3.035,3.055,3.013,1910949.0,星期五,-0.0072,0.0007
2026-02-05,3.05,3.055,3.063,3.027,1441779.0,星期四,-0.0052,0.0016
2026-02-04,3.022,3.066,3.068,3.022,1294549.0,星期三,-0.002,0.0146
2026-02-03,3.015,3.028,3.031,2.983,1637357.0,星期二,0.0043,0.0043
2026-02-02,3.037,3.002,3.074,2.993,2531185.0,星期一,-0.0095,-0.0115
2026-01-30,3.092,3.066,3.105,3.036,1642745.0,星期五,-0.0067,-0.0084
2026-01-29,3.061,3.113,3.12,3.047,1021429.0,星期四,0.0007,0.017
