time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,7.759,7.58,7.759,7.544,5877.0,星期五,0.009,-0.0231
2026-06-25,7.925,7.69,7.925,7.619,1799.0,星期四,0.04,-0.0297
2026-06-24,7.551,7.62,7.642,7.551,2861.0,星期三,-0.0059,0.0091
2026-06-23,7.768,7.596,7.93,7.551,2312.0,星期二,-0.0022,-0.0221
2026-06-22,7.499,7.785,7.785,7.483,6762.0,星期一,-0.0078,0.0381
2026-06-18,7.575,7.558,7.617,7.529,9331.0,星期四,0.0,-0.0022
2026-06-17,7.459,7.575,7.578,7.459,8175.0,星期三,-0.01,0.0156
2026-06-16,7.907,7.534,7.949,7.526,4633.0,星期二,0.04,-0.0472
2026-06-15,7.491,7.603,7.603,7.491,5631.0,星期一,0.0017,0.015
2026-06-12,7.439,7.478,7.543,7.439,2838.0,星期五,0.01,0.0052
2026-06-11,7.375,7.365,7.449,7.331,5971.0,星期四,0.0,-0.0014
2026-06-10,7.382,7.375,7.411,7.348,6285.0,星期三,-0.0054,-0.0009
2026-06-09,7.36,7.422,7.441,7.305,10712.0,星期二,0.0066,0.0084
2026-06-08,7.412,7.312,7.412,7.281,10312.0,星期一,-0.007,-0.0135
2026-06-05,7.562,7.464,7.564,7.429,9025.0,星期五,0.0017,-0.013
2026-06-04,7.547,7.549,7.596,7.547,6910.0,星期四,-0.007,0.0003
2026-06-03,7.589,7.6,7.641,7.522,5303.0,星期三,0.0,0.0014
2026-06-02,7.53,7.589,7.594,7.489,7461.0,星期二,-0.0017,0.0078
2026-06-01,7.53,7.543,7.577,7.502,1172.0,星期一,-0.0028,0.0017
2026-05-29,7.524,7.551,7.616,7.524,6224.0,星期五,-0.0032,0.0036
2026-05-28,7.58,7.548,7.58,7.5,3659.0,星期四,0.0001,-0.0042
2026-05-27,7.669,7.579,7.673,7.558,7998.0,星期三,0.0,-0.0117
2026-05-26,7.584,7.669,7.669,7.527,4906.0,星期二,0.0011,0.0112
2026-05-25,7.449,7.576,7.576,7.449,11332.0,星期一,-0.0047,0.017
2026-05-22,7.41,7.484,7.511,7.4,6210.0,星期五,0.0001,0.01
