time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.478,1.457,1.479,1.452,21827.0,星期五,0.0007,-0.0142
2026-06-25,1.468,1.477,1.489,1.468,2006.0,星期四,-0.0074,0.0061
2026-06-24,1.486,1.479,1.49,1.479,8119.0,星期三,0.0,-0.0047
2026-06-23,1.526,1.486,1.526,1.482,8599.0,星期二,0.0039,-0.0262
2026-06-22,1.472,1.52,1.522,1.472,4398.0,星期一,-0.0067,0.0326
2026-06-18,1.517,1.482,1.517,1.481,7183.0,星期四,0.0053,-0.0231
2026-06-17,1.509,1.509,1.509,1.501,17129.0,星期三,0.002,0.0
2026-06-16,1.521,1.506,1.521,1.503,5990.0,星期二,0.002,-0.0099
2026-06-15,1.515,1.518,1.522,1.502,17413.0,星期一,0.01,0.002
2026-06-12,1.471,1.5,1.503,1.471,11505.0,星期五,0.0007,0.0197
2026-06-11,1.459,1.47,1.472,1.459,8554.0,星期四,-0.0048,0.0075
2026-06-10,1.459,1.466,1.467,1.456,11770.0,星期三,-0.0048,0.0048
2026-06-09,1.451,1.466,1.466,1.451,10170.0,星期二,-0.0014,0.0103
2026-06-08,1.463,1.453,1.464,1.447,20689.0,星期一,-0.0034,-0.0068
2026-06-05,1.486,1.468,1.487,1.468,28622.0,星期五,0.0027,-0.0121
2026-06-04,1.485,1.482,1.501,1.471,16215.0,星期四,-0.0067,-0.002
2026-06-03,1.49,1.495,1.527,1.485,26346.0,星期三,-0.0067,0.0034
2026-06-02,1.487,1.5,1.5,1.487,18405.0,星期二,0.0,0.0087
2026-06-01,1.485,1.487,1.492,1.484,21336.0,星期一,-0.002,0.0013
2026-05-29,1.472,1.488,1.493,1.472,30306.0,星期五,0.0041,0.0109
2026-05-28,1.472,1.466,1.475,1.466,37470.0,星期四,-0.0041,-0.0041
2026-05-27,1.492,1.478,1.492,1.47,40673.0,星期三,0.002,-0.0094
2026-05-26,1.478,1.489,1.49,1.478,17733.0,星期二,0.0,0.0074
2026-05-25,1.47,1.478,1.482,1.47,57136.0,星期一,0.0,0.0054
2026-05-22,1.471,1.47,1.473,1.463,21700.0,星期五,0.0027,-0.0007
2026-05-21,1.485,1.467,1.498,1.467,27482.0,星期四,0.0,-0.0121
2026-05-20,1.479,1.485,1.488,1.479,27171.0,星期三,-0.0067,0.0041
2026-05-19,1.484,1.489,1.489,1.482,32811.0,星期二,0.002,0.0034
