time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,2.2,2.164,2.2,2.141,2982.0,星期五,0.0036,-0.0164
2026-06-25,2.208,2.192,2.252,2.164,4519.0,星期四,0.0101,-0.0072
2026-06-24,2.144,2.186,2.189,2.131,5629.0,星期三,0.0,0.0196
2026-06-23,2.18,2.144,2.22,2.124,3147.0,星期二,-0.0005,-0.0165
2026-06-22,2.139,2.181,2.186,2.125,5542.0,星期一,-0.0019,0.0196
2026-06-18,2.11,2.143,2.152,2.11,11504.0,星期四,-0.0094,0.0156
2026-06-17,2.079,2.13,2.13,2.078,6024.0,星期三,-0.01,0.0245
2026-06-16,2.061,2.1,2.123,2.061,4811.0,星期二,-0.0082,0.0189
2026-06-15,2.01,2.078,2.078,2.01,1164.0,星期一,0.0065,0.0338
2026-06-12,2.003,1.997,2.032,1.997,6638.0,星期五,0.0152,-0.003
2026-06-11,1.988,1.973,1.991,1.967,5998.0,星期四,0.0025,-0.0075
2026-06-10,1.996,1.983,2.006,1.97,6521.0,星期三,-0.0099,-0.0065
2026-06-09,1.988,2.016,2.016,1.968,7534.0,星期二,0.0158,0.0141
2026-06-08,2.008,1.957,2.008,1.951,2583.0,星期一,-0.0099,-0.0254
2026-06-05,2.032,2.028,2.207,2.002,5855.0,星期五,-0.0102,-0.002
2026-06-04,2.043,2.053,2.059,2.043,6630.0,星期四,-0.0039,0.0049
2026-06-03,2.05,2.051,2.079,2.024,8322.0,星期三,0.0039,0.0005
2026-06-02,2.021,2.042,2.057,2.009,9858.0,星期二,-0.0079,0.0104
2026-06-01,2.053,2.037,2.071,2.03,14136.0,星期一,0.0024,-0.0078
2026-05-29,2.098,2.048,2.102,2.037,12211.0,星期五,-0.0019,-0.0238
2026-05-28,2.087,2.102,2.107,2.071,9503.0,星期四,-0.0029,0.0072
2026-05-27,2.13,2.093,2.137,2.084,8501.0,星期三,0.0042,-0.0174
2026-05-26,2.124,2.121,2.137,2.093,15393.0,星期二,-0.0061,-0.0014
2026-05-25,2.118,2.137,2.137,2.091,15102.0,星期一,0.0057,0.009
2026-05-22,2.077,2.106,2.112,2.071,12138.0,星期五,0.0029,0.014
2026-05-21,2.136,2.071,2.158,2.067,12812.0,星期四,0.0056,-0.0304
2026-05-20,2.14,2.124,2.14,2.081,12301.0,星期三,0.0113,-0.0075
2026-05-19,2.08,2.116,2.117,2.07,8460.0,星期二,-0.0081,0.0173
2026-05-18,2.089,2.097,2.13,2.041,9018.0,星期一,0.0,0.0038
2026-05-15,2.132,2.089,2.33,2.06,13790.0,星期五,0.0019,-0.0202
2026-05-14,2.188,2.128,2.198,2.128,9299.0,星期四,0.0018,-0.0274
2026-05-13,2.141,2.184,2.185,2.14,16055.0,星期三,-0.0042,0.0201
2026-05-12,2.176,2.15,2.185,2.139,14291.0,星期二,0.0051,-0.0119
2026-05-11,2.121,2.165,2.168,2.121,9147.0,星期一,-0.0019,0.0207
2026-05-08,2.125,2.125,2.149,2.106,9850.0,星期五,-0.0019,0.0
2026-05-07,2.114,2.129,2.13,2.084,3988.0,星期四,0.0043,0.0071
2026-05-06,2.069,2.105,2.114,2.069,5895.0,星期三,0.0122,0.0174
2026-04-30,2.047,2.044,2.054,2.026,2785.0,星期四,0.0015,-0.0015
2026-04-29,2.009,2.044,2.045,2.009,2201.0,星期三,0.005,0.0174
2026-04-28,2.021,1.999,2.022,1.999,7115.0,星期二,-0.0015,-0.0109
2026-04-27,2.001,2.024,2.04,2.001,7065.0,星期一,-0.0084,0.0115
2026-04-24,1.994,2.018,2.019,1.993,9328.0,星期五,-0.0143,0.012
2026-04-23,2.013,2.023,2.061,2.003,10735.0,星期四,-0.0152,0.005
2026-04-22,1.999,2.044,2.044,1.999,5319.0,星期三,-0.007,0.0225
2026-04-21,2.009,2.013,2.014,2.0,4649.0,星期二,-0.0025,0.002
