time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,100.003,100.004,100.004,99.999,26.0,星期五,0.0,0.0
2026-06-25,99.997,100.0,100.0,99.997,1032.0,星期四,-0.0,0.0
2026-06-24,99.996,100.0,100.0,99.996,396.0,星期三,-0.0,0.0
2026-06-23,99.997,99.997,100.002,99.995,98.0,星期二,0.0006,0.0
2026-06-22,99.997,99.936,99.997,99.936,22.0,星期一,-0.0001,-0.0006
2026-06-18,100.003,100.004,100.005,100.0,144.0,星期四,0.0001,0.0
2026-06-17,99.996,99.998,100.0,99.996,6.0,星期三,-0.0,0.0
2026-06-16,100.0,100.0,100.0,100.0,5.877471754111438e-39,星期二,0.0,0.0
2026-06-15,100.002,100.0,100.002,100.0,4098.0,星期一,-0.0,-0.0
2026-06-12,100.005,100.003,100.008,100.003,18.0,星期五,0.0,-0.0
2026-06-11,99.999,100.0,100.0,99.998,1800.0,星期四,-0.0,0.0
2026-06-10,100.003,100.003,100.003,100.003,5.877471754111438e-39,星期三,0.0,0.0
2026-06-09,100.0,100.003,100.003,100.0,1800.0,星期二,0.0,0.0
2026-06-08,99.999,99.999,100.0,99.999,2.0,星期一,-0.0001,0.0
2026-06-05,100.005,100.005,100.005,100.004,28.0,星期五,0.0,0.0
2026-06-04,100.0,100.0,100.0,100.0,32768.5,星期四,0.0,0.0
2026-06-03,99.999,100.0,100.0,99.999,4098.0,星期三,-0.0,0.0
2026-06-02,99.999,100.0,100.0,99.996,32.0,星期二,-0.0,0.0
2026-06-01,100.004,100.004,100.004,100.004,5.877471754111438e-39,星期一,0.0,0.0
2026-05-29,100.006,100.004,100.006,100.003,562.0,星期五,0.0001,-0.0
2026-05-28,100.002,99.999,100.002,99.997,21.0,星期四,0.0,-0.0
2026-05-27,99.996,99.999,100.0,99.996,29.0,星期三,-0.0,0.0
2026-05-26,100.002,100.0,100.002,100.0,8194.0,星期二,0.0,-0.0
2026-05-25,99.998,99.999,99.999,99.998,1032.0,星期一,-0.0,0.0
2026-05-22,100.003,100.003,100.004,100.003,272.0,星期五,0.0,0.0
2026-05-21,100.0,99.999,100.0,99.999,520.0,星期四,0.0,-0.0
2026-05-20,99.998,99.999,99.999,99.998,304.0,星期三,-0.0,0.0
2026-05-19,100.0,99.999,100.0,99.998,26.0,星期二,0.0,-0.0
2026-05-18,99.996,99.999,100.0,99.996,22.0,星期一,-0.0001,0.0
2026-05-15,100.004,100.004,100.004,100.003,176.0,星期五,0.0,0.0
2026-05-14,99.996,100.001,100.001,99.996,18.0,星期四,-0.0,0.0001
2026-05-13,99.997,99.997,100.0,99.997,75.0,星期三,-0.0,0.0
2026-05-12,99.999,100.0,100.0,99.999,19.0,星期二,-0.0,0.0
2026-05-11,99.999,100.0,100.0,99.998,1288.0,星期一,-0.0,0.0
2026-05-08,100.001,100.004,100.01,100.001,121.0,星期五,0.0001,0.0
2026-05-07,99.995,99.993,99.996,99.991,18.0,星期四,0.0,-0.0
2026-05-06,99.998,99.995,99.998,99.988,168.0,星期三,-0.0001,-0.0
2026-04-30,100.011,100.008,100.017,100.006,338.0,星期四,0.0,-0.0
2026-04-29,100.008,100.007,100.015,100.001,320.0,星期三,0.0,-0.0
2026-04-28,100.05,100.007,100.05,100.007,76.0,星期二,0.0003,-0.0004
2026-04-27,100.004,100.022,100.028,100.004,400.0,星期一,-0.0001,0.0002
2026-04-24,100.003,100.012,100.024,100.003,384.0,星期五,0.0,0.0001
2026-04-23,100.001,100.003,100.003,100.0,32.0,星期四,-0.0001,0.0
2026-04-22,100.002,100.008,100.009,100.0,464.0,星期三,-0.0,0.0001
2026-04-21,100.002,100.003,100.003,100.0,1800.0,星期二,0.0,0.0
2026-04-20,100.0,100.002,100.005,99.997,22.0,星期一,-0.0,0.0
2026-04-17,100.014,100.005,100.014,100.003,26.0,星期五,0.0002,-0.0001
2026-04-16,100.0,99.999,100.085,99.998,75.0,星期四,0.0,-0.0
2026-04-15,99.999,99.998,100.015,99.998,81.0,星期三,0.0,-0.0
2026-04-14,100.0,99.999,100.0,99.998,139.0,星期二,-0.0,-0.0
2026-04-13,100.0,100.001,100.001,100.0,2.0,星期一,-0.0,0.0
2026-04-10,100.002,100.002,100.003,100.002,352.0,星期五,0.0001,0.0
2026-04-09,99.997,99.997,100.0,99.997,66.0,星期四,-0.0,0.0
2026-04-08,99.999,100.0,100.001,99.999,104.0,星期三,-0.0,0.0
2026-04-07,99.999,100.0,100.003,99.999,400.0,星期二,-0.0001,0.0
2026-04-03,100.005,100.007,100.015,100.005,176.0,星期五,0.0,0.0
2026-04-02,99.999,100.0,100.002,99.997,22.0,星期四,0.0,0.0
2026-04-01,100.0,99.999,100.002,99.998,19.0,星期三,0.0,-0.0
2026-03-31,100.0,100.0,100.003,99.911,336.0,星期二,0.0,0.0
2026-03-30,99.999,99.999,100.0,99.998,19.0,星期一,-0.0001,0.0
2026-03-27,100.006,100.005,100.01,100.005,6.0,星期五,-0.0002,-0.0
