time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.272,1.216,1.272,1.216,222805.0,星期五,0.0,-0.044
2026-06-25,1.265,1.272,1.275,1.243,270091.0,星期四,0.0128,0.0055
2026-06-24,1.208,1.249,1.25,1.204,274708.0,星期三,-0.0123,0.0339
2026-06-23,1.262,1.223,1.262,1.216,240283.0,星期二,-0.0008,-0.0309
2026-06-22,1.214,1.263,1.265,1.207,274172.0,星期一,-0.0041,0.0404
2026-06-18,1.2,1.219,1.226,1.195,289039.0,星期四,0.0,0.0158
2026-06-17,1.173,1.2,1.201,1.162,260130.0,星期三,-0.0051,0.023
2026-06-16,1.164,1.179,1.181,1.16,218741.0,星期二,-0.0068,0.0129
2026-06-15,1.142,1.172,1.172,1.142,284959.0,星期一,0.0088,0.0263
2026-06-12,1.141,1.132,1.152,1.128,302605.0,星期五,0.016,-0.0079
2026-06-11,1.142,1.123,1.143,1.114,311605.0,星期四,-0.0087,-0.0166
2026-06-10,1.156,1.152,1.186,1.142,281092.0,星期三,-0.0069,-0.0035
2026-06-09,1.152,1.164,1.167,1.142,317820.0,星期二,0.0105,0.0104
2026-06-08,1.148,1.14,1.171,1.129,326149.0,星期一,-0.0361,-0.007
2026-06-05,1.205,1.191,1.218,1.188,320312.0,星期五,-0.0066,-0.0116
2026-06-04,1.213,1.213,1.229,1.207,267681.0,星期四,-0.013,0.0
2026-06-03,1.227,1.229,1.257,1.218,476602.0,星期三,-0.0089,0.0016
2026-06-02,1.241,1.238,1.245,1.213,266151.0,星期二,-0.0016,-0.0024
2026-06-01,1.227,1.243,1.269,1.227,553047.0,星期一,0.0041,0.013
2026-05-29,1.273,1.222,1.288,1.214,456933.0,星期五,0.0079,-0.0401
2026-05-28,1.262,1.263,1.272,1.233,756755.0,星期四,-0.0032,0.0008
2026-05-27,1.297,1.266,1.309,1.262,290754.0,星期三,-0.0015,-0.0239
2026-05-26,1.308,1.299,1.313,1.27,326084.0,星期二,-0.0106,-0.0069
2026-05-25,1.303,1.322,1.323,1.293,347637.0,星期一,0.0,0.0146
2026-05-22,1.288,1.303,1.307,1.277,317345.0,星期五,0.0023,0.0116
2026-05-21,1.344,1.285,1.362,1.282,288579.0,星期四,0.0045,-0.0439
2026-05-20,1.339,1.338,1.358,1.331,325298.0,星期三,-0.0125,-0.0007
2026-05-19,1.338,1.356,1.356,1.319,277082.0,星期二,-0.003,0.0135
2026-05-18,1.327,1.342,1.357,1.326,306706.0,星期一,-0.0008,0.0113
2026-05-15,1.344,1.328,1.372,1.319,312051.0,星期五,-0.0052,-0.0119
2026-05-14,1.419,1.351,1.422,1.35,396273.0,星期四,0.0071,-0.0479
2026-05-13,1.346,1.409,1.409,1.342,392044.0,星期三,-0.0074,0.0468
2026-05-12,1.392,1.356,1.392,1.352,296867.0,星期二,-0.0007,-0.0259
2026-05-11,1.387,1.393,1.401,1.372,361606.0,星期一,0.0087,0.0043
2026-05-08,1.362,1.375,1.39,1.352,298161.0,星期五,-0.0058,0.0095
2026-05-07,1.361,1.37,1.372,1.347,403505.0,星期四,0.0044,0.0066
2026-05-06,1.313,1.355,1.372,1.313,421651.0,星期三,0.0147,0.032
2026-04-30,1.286,1.294,1.296,1.274,172404.0,星期四,0.0008,0.0062
