time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.884,0.861,0.884,0.856,1809233.0,星期五,-0.0112,-0.026
2026-06-25,0.906,0.894,0.907,0.885,2380881.0,星期四,0.0011,-0.0132
2026-06-24,0.888,0.905,0.916,0.885,2478375.0,星期三,0.0057,0.0191
2026-06-23,0.914,0.883,0.915,0.88,1805355.0,星期二,-0.0065,-0.0339
2026-06-22,0.918,0.92,0.921,0.9,2433312.0,星期一,0.0066,0.0022
2026-06-18,0.923,0.912,0.924,0.91,1838507.0,星期四,-0.0032,-0.0119
2026-06-17,0.923,0.926,0.929,0.918,1502995.0,星期三,-0.0032,0.0033
2026-06-16,0.948,0.926,0.95,0.925,1312504.0,星期二,0.0011,-0.0232
2026-06-15,0.948,0.947,0.95,0.941,1758016.0,星期一,0.0172,-0.0011
2026-06-12,0.934,0.932,0.943,0.931,1953279.0,星期五,0.0152,-0.0021
2026-06-11,0.933,0.92,0.939,0.91,1999595.0,星期四,-0.0021,-0.0139
2026-06-10,0.941,0.935,0.946,0.921,3450887.0,星期三,-0.0167,-0.0064
2026-06-09,0.94,0.957,0.959,0.934,2975388.0,星期二,0.0021,0.0181
2026-06-08,0.95,0.938,0.952,0.931,2187737.0,星期一,-0.0236,-0.0126
2026-06-05,0.982,0.973,0.982,0.967,2595227.0,星期五,0.001,-0.0092
2026-06-04,0.994,0.981,0.994,0.976,4237806.0,星期四,-0.009,-0.0131
2026-06-03,1.027,1.003,1.028,0.999,3029786.0,星期三,0.001,-0.0234
2026-06-02,0.996,1.026,1.029,0.996,5025608.0,星期二,0.002,0.0301
2026-06-01,0.988,0.994,1.004,0.986,2598572.0,星期一,0.003,0.0061
2026-05-29,0.984,0.985,0.992,0.973,3316348.0,星期五,0.0113,0.001
2026-05-28,0.982,0.973,0.982,0.962,2492890.0,星期四,0.002,-0.0092
2026-05-27,0.998,0.98,1.003,0.979,3165660.0,星期三,0.0,-0.018
2026-05-26,0.993,0.998,1.001,0.977,4859341.0,星期二,0.0164,0.005
2026-05-25,0.981,0.977,0.981,0.973,1202700.0,星期一,-0.001,-0.0041
2026-05-22,0.977,0.982,0.984,0.967,3701597.0,星期五,0.0145,0.0051
2026-05-21,0.988,0.963,0.994,0.962,6161445.0,星期四,0.0092,-0.0253
2026-05-20,0.976,0.979,0.982,0.971,6807152.0,星期三,-0.0031,0.0031
2026-05-19,0.975,0.979,0.982,0.968,2266029.0,星期二,-0.001,0.0041
2026-05-18,0.99,0.976,0.99,0.971,1965512.0,星期一,-0.004,-0.0141
2026-05-15,1.02,0.994,1.023,0.989,2735243.0,星期五,-0.002,-0.0255
2026-05-14,1.054,1.022,1.057,1.021,1985835.0,星期四,0.0243,-0.0304
2026-05-13,1.026,1.029,1.036,1.018,1472215.0,星期三,-0.0048,0.0029
2026-05-12,1.043,1.031,1.048,1.03,1736937.0,星期二,0.001,-0.0115
2026-05-11,1.04,1.042,1.044,1.029,1830643.0,星期一,-0.001,0.0019
2026-05-08,1.041,1.041,1.041,1.03,1271977.0,星期五,-0.0076,0.0
2026-05-07,1.037,1.049,1.051,1.034,2644703.0,星期四,0.0167,0.0116
2026-05-06,1.015,1.02,1.027,1.01,2242608.0,星期三,0.012,0.0049
2026-04-30,1.0,1.003,1.007,0.994,1101570.0,星期四,-0.005,0.003
2026-04-29,0.999,1.005,1.008,0.997,1102707.0,星期三,0.006,0.006
2026-04-28,1.008,0.993,1.015,0.989,1526591.0,星期二,-0.0049,-0.0149
2026-04-27,1.009,1.013,1.021,1.004,1639004.0,星期一,0.002,0.004
2026-04-24,0.994,1.007,1.011,0.982,1805070.0,星期五,-0.006,0.0131
2026-04-23,1.032,1.0,1.032,0.998,3236178.0,星期四,0.001,-0.031
2026-04-22,1.035,1.031,1.035,1.026,925148.0,星期三,-0.0058,-0.0039
2026-04-21,1.048,1.041,1.048,1.033,1021073.0,星期二,0.0038,-0.0067
2026-04-20,1.042,1.044,1.052,1.039,1407284.0,星期一,0.0029,0.0019
2026-04-17,1.047,1.039,1.051,1.035,1357985.0,星期五,-0.0048,-0.0076
2026-04-16,1.031,1.052,1.054,1.028,2245131.0,星期四,0.0108,0.0204
2026-04-15,1.031,1.02,1.031,1.018,1797694.0,星期三,0.0188,-0.0107
2026-04-14,1.021,1.012,1.021,1.0,2466416.0,星期二,0.0139,-0.0088
2026-04-13,1.007,1.007,1.013,1.003,1463096.0,星期一,-0.0059,0.0
2026-04-10,1.011,1.013,1.026,1.011,2334737.0,星期五,0.005,0.002
2026-04-09,1.011,1.006,1.017,1.006,1400243.0,星期四,-0.0108,-0.0049
2026-04-08,1.002,1.022,1.022,0.998,3114898.0,星期三,0.0266,0.02
2026-04-07,0.974,0.976,0.982,0.974,500081.0,星期二,0.001,0.0021
2026-04-03,0.982,0.973,0.988,0.972,942463.0,星期五,0.0051,-0.0092
2026-04-02,0.99,0.977,0.994,0.972,1966134.0,星期四,-0.007,-0.0131
2026-04-01,0.993,0.997,0.999,0.981,2257678.0,星期三,0.0248,0.004
2026-03-31,0.981,0.969,0.989,0.967,2157478.0,星期二,0.001,-0.0122
2026-03-30,0.981,0.98,0.987,0.968,2392008.0,星期一,-0.019,-0.001
2026-03-27,0.976,1.0,1.007,0.976,3921708.0,星期五,-0.0081,0.0246
2026-03-26,1.005,0.984,1.012,0.982,1801063.0,星期四,0.0,-0.0209
2026-03-25,1.001,1.005,1.018,0.99,3283515.0,星期三,0.0121,0.004
2026-03-24,0.976,0.989,0.99,0.962,3306153.0,星期二,0.022,0.0133
2026-03-23,0.975,0.955,0.985,0.952,2742225.0,星期一,-0.0142,-0.0205
2026-03-20,1.013,0.989,1.018,0.989,4284465.0,星期五,-0.002,-0.0237
2026-03-19,1.028,1.015,1.03,1.013,3881065.0,星期四,-0.0172,-0.0126
2026-03-18,1.044,1.046,1.046,1.028,2855667.0,星期三,0.0038,0.0019
2026-03-17,1.046,1.04,1.068,1.039,5354868.0,星期二,0.0058,-0.0057
2026-03-16,1.008,1.04,1.041,1.0,3155440.0,星期一,0.0,0.0317
2026-03-13,1.005,1.008,1.018,1.004,2222944.0,星期五,-0.0089,0.003
2026-03-12,1.016,1.014,1.03,1.005,2263782.0,星期四,-0.0059,-0.002
2026-03-11,1.031,1.022,1.036,1.019,1672067.0,星期三,0.0088,-0.0087
2026-03-10,1.014,1.022,1.025,1.006,2612651.0,星期二,0.0191,0.0079
2026-03-09,0.976,0.995,0.999,0.968,2958553.0,星期一,-0.023,0.0195
2026-03-06,0.974,0.999,1.003,0.97,2626546.0,星期五,0.0,0.0257
2026-03-05,0.99,0.974,0.993,0.966,2856505.0,星期四,0.0217,-0.0162
2026-03-04,0.976,0.969,0.991,0.965,3853857.0,星期三,-0.0091,-0.0072
2026-03-03,1.02,0.985,1.021,0.983,3393099.0,星期二,0.0059,-0.0343
2026-03-02,1.021,1.014,1.03,1.006,2905005.0,星期一,-0.022,-0.0069
2026-02-27,1.038,1.044,1.048,1.034,1691213.0,星期五,-0.0067,0.0058
2026-02-26,1.075,1.045,1.075,1.042,1723955.0,星期四,0.0037,-0.0279
2026-02-25,1.074,1.071,1.081,1.07,1130075.0,星期三,0.0037,-0.0028
2026-02-24,1.093,1.07,1.094,1.068,1719188.0,星期二,-0.0036,-0.021
2026-02-13,1.088,1.097,1.098,1.085,1566089.0,星期五,-0.0127,0.0083
2026-02-12,1.112,1.102,1.113,1.098,1495829.0,星期四,-0.0018,-0.009
2026-02-11,1.104,1.114,1.118,1.104,1432142.0,星期三,0.0,0.0091
