time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.649,1.625,1.651,1.613,3140185.0,星期五,-0.0006,-0.0146
2026-06-25,1.686,1.65,1.69,1.641,3038133.0,星期四,-0.0024,-0.0214
2026-06-24,1.717,1.69,1.731,1.685,3305699.0,星期三,0.0018,-0.0157
2026-06-23,1.719,1.714,1.746,1.712,1886119.0,星期二,-0.0075,-0.0029
2026-06-22,1.69,1.732,1.74,1.673,3601073.0,星期一,-0.0029,0.0249
2026-06-18,1.744,1.695,1.746,1.685,4113645.0,星期四,-0.0034,-0.0281
2026-06-17,1.792,1.75,1.795,1.747,2744808.0,星期三,0.0067,-0.0234
2026-06-16,1.795,1.78,1.808,1.779,1569121.0,星期二,-0.0017,-0.0084
2026-06-15,1.804,1.798,1.846,1.797,3221385.0,星期一,0.0067,-0.0033
2026-06-12,1.749,1.792,1.804,1.745,3482754.0,星期五,0.0017,0.0246
2026-06-11,1.761,1.746,1.776,1.741,2381838.0,星期四,0.0,-0.0085
2026-06-10,1.743,1.761,1.769,1.732,2857317.0,星期三,-0.0034,0.0103
2026-06-09,1.738,1.749,1.758,1.734,3296190.0,星期二,-0.0034,0.0063
2026-06-08,1.72,1.744,1.749,1.709,2406988.0,星期一,-0.0046,0.014
2026-06-05,1.714,1.728,1.734,1.714,1918241.0,星期五,-0.0006,0.0082
2026-06-04,1.715,1.715,1.727,1.71,1553453.0,星期四,-0.0012,0.0
2026-06-03,1.736,1.717,1.737,1.715,1219087.0,星期三,-0.0006,-0.0109
2026-06-02,1.72,1.737,1.739,1.715,1973315.0,星期二,-0.0023,0.0099
2026-06-01,1.711,1.724,1.727,1.703,1666712.0,星期一,-0.0018,0.0076
2026-05-29,1.699,1.714,1.717,1.688,1457313.0,星期五,0.0012,0.0088
2026-05-28,1.718,1.697,1.719,1.681,2113974.0,星期四,-0.0023,-0.0122
2026-05-27,1.74,1.722,1.74,1.72,1774254.0,星期三,0.0,-0.0103
2026-05-26,1.739,1.74,1.757,1.734,2138274.0,星期二,0.0006,0.0006
2026-05-25,1.75,1.738,1.75,1.738,639621.0,星期一,0.0023,-0.0069
2026-05-22,1.752,1.746,1.757,1.738,2195007.0,星期五,0.0029,-0.0034
2026-05-21,1.76,1.747,1.773,1.746,1727576.0,星期四,0.0023,-0.0074
2026-05-20,1.772,1.756,1.772,1.753,1782685.0,星期三,0.0,-0.009
2026-05-19,1.762,1.772,1.777,1.76,2275507.0,星期二,0.0023,0.0057
2026-05-18,1.764,1.758,1.773,1.755,1676792.0,星期一,-0.0023,-0.0034
2026-05-15,1.787,1.768,1.788,1.763,1453244.0,星期五,-0.0011,-0.0106
2026-05-14,1.806,1.789,1.813,1.788,1948052.0,星期四,0.0039,-0.0094
2026-05-13,1.808,1.799,1.819,1.793,1913977.0,星期三,-0.0033,-0.005
2026-05-12,1.809,1.814,1.822,1.804,1791867.0,星期二,0.0,0.0028
2026-05-11,1.798,1.809,1.811,1.789,1748947.0,星期一,-0.0022,0.0061
2026-05-08,1.81,1.802,1.81,1.791,1839648.0,星期五,-0.0006,-0.0044
2026-05-07,1.795,1.811,1.816,1.795,2094852.0,星期四,0.0034,0.0089
2026-05-06,1.789,1.789,1.791,1.77,2020073.0,星期三,0.0056,0.0
2026-04-30,1.795,1.779,1.811,1.778,2254687.0,星期四,0.0,-0.0089
2026-04-29,1.775,1.795,1.797,1.772,2365053.0,星期三,0.0045,0.0113
2026-04-28,1.773,1.767,1.777,1.758,2203013.0,星期二,-0.0011,-0.0034
2026-04-27,1.789,1.775,1.793,1.771,1902889.0,星期一,0.0017,-0.0078
2026-04-24,1.779,1.786,1.789,1.761,1956568.0,星期五,-0.0006,0.0039
2026-04-23,1.778,1.78,1.785,1.771,2109392.0,星期四,-0.0011,0.0011
2026-04-22,1.801,1.78,1.801,1.778,1926500.0,星期三,0.0006,-0.0117
2026-04-21,1.797,1.8,1.805,1.79,1625261.0,星期二,0.0011,0.0017
2026-04-20,1.764,1.795,1.795,1.76,2377143.0,星期一,0.0006,0.0176
2026-04-17,1.766,1.763,1.773,1.759,1708304.0,星期五,-0.0017,-0.0017
2026-04-16,1.769,1.769,1.775,1.766,1829313.0,星期四,0.0,0.0
2026-04-15,1.776,1.769,1.778,1.763,2100233.0,星期三,0.004,-0.0039
2026-04-14,1.754,1.769,1.773,1.754,2332751.0,星期二,0.0046,0.0086
2026-04-13,1.749,1.746,1.75,1.731,2329034.0,星期一,-0.0046,-0.0017
2026-04-10,1.747,1.757,1.766,1.747,2468043.0,星期五,0.0011,0.0057
2026-04-09,1.749,1.745,1.749,1.73,2078144.0,星期四,0.0011,-0.0023
2026-04-08,1.748,1.747,1.759,1.734,3162723.0,星期三,0.0175,-0.0006
2026-04-07,1.73,1.718,1.746,1.717,1268215.0,星期二,0.0041,-0.0069
2026-04-03,1.732,1.723,1.741,1.72,1202459.0,星期五,0.0012,-0.0052
2026-04-02,1.729,1.73,1.733,1.723,2627861.0,星期四,0.0006,0.0006
2026-04-01,1.744,1.728,1.748,1.728,2909299.0,星期三,0.0157,-0.0092
2026-03-31,1.705,1.717,1.722,1.705,4217995.0,星期二,0.0,0.007
2026-03-30,1.692,1.705,1.707,1.671,3194047.0,星期一,-0.0065,0.0077
2026-03-27,1.687,1.703,1.709,1.68,2394925.0,星期五,-0.003,0.0095
2026-03-26,1.709,1.692,1.721,1.688,2340606.0,星期四,0.0006,-0.0099
2026-03-25,1.695,1.708,1.711,1.692,2904621.0,星期三,0.0095,0.0077
2026-03-24,1.655,1.679,1.682,1.654,3314081.0,星期二,0.0085,0.0145
2026-03-23,1.698,1.641,1.698,1.64,3005889.0,星期一,-0.0116,-0.0336
2026-03-20,1.72,1.718,1.732,1.717,2620031.0,星期五,0.0017,-0.0012
2026-03-19,1.73,1.717,1.732,1.716,2191429.0,星期四,-0.0063,-0.0075
2026-03-18,1.739,1.741,1.743,1.729,2578671.0,星期三,0.0029,0.0012
2026-03-17,1.709,1.734,1.746,1.709,2397281.0,星期二,0.0,0.0146
2026-03-16,1.69,1.709,1.712,1.677,2267192.0,星期一,-0.0018,0.0112
2026-03-13,1.693,1.693,1.704,1.679,2462090.0,星期五,0.0,0.0
2026-03-12,1.692,1.693,1.7,1.674,2381858.0,星期四,-0.0024,0.0006
2026-03-11,1.706,1.696,1.708,1.691,2422645.0,星期三,-0.0023,-0.0059
2026-03-10,1.704,1.71,1.721,1.704,2448595.0,星期二,0.0095,0.0035
2026-03-09,1.694,1.688,1.694,1.672,2337988.0,星期一,-0.014,-0.0035
2026-03-06,1.705,1.718,1.726,1.702,2475775.0,星期五,-0.0012,0.0076
2026-03-05,1.709,1.707,1.731,1.701,2719386.0,星期四,0.0106,-0.0012
2026-03-04,1.72,1.691,1.727,1.68,3277512.0,星期三,-0.0086,-0.0169
2026-03-03,1.731,1.735,1.755,1.718,3822842.0,星期二,0.0,0.0023
2026-03-02,1.746,1.731,1.747,1.707,2617378.0,星期一,-0.0091,-0.0086
2026-02-27,1.76,1.762,1.767,1.748,1928877.0,星期五,-0.004,0.0011
2026-02-26,1.81,1.767,1.813,1.761,2169105.0,星期四,0.0061,-0.0238
2026-02-25,1.806,1.799,1.813,1.795,2010015.0,星期三,0.0028,-0.0039
2026-02-24,1.82,1.801,1.827,1.797,1921233.0,星期二,0.0105,-0.0104
2026-02-13,1.816,1.801,1.822,1.793,2207677.0,星期五,-0.0066,-0.0083
2026-02-12,1.845,1.828,1.846,1.827,1816016.0,星期四,0.0005,-0.0092
2026-02-11,1.857,1.844,1.863,1.83,2116868.0,星期三,0.0022,-0.007
2026-02-10,1.851,1.853,1.859,1.847,1869983.0,星期二,0.0011,0.0011
2026-02-09,1.835,1.849,1.866,1.828,2873417.0,星期一,0.0105,0.0076
2026-02-06,1.812,1.816,1.822,1.799,2575317.0,星期五,-0.0055,0.0022
2026-02-05,1.823,1.822,1.833,1.795,2808114.0,星期四,-0.0038,-0.0005
2026-02-04,1.801,1.83,1.832,1.8,3160595.0,星期三,-0.0006,0.0161
2026-02-03,1.804,1.802,1.833,1.794,3367547.0,星期二,0.0061,-0.0011
2026-02-02,1.83,1.793,1.837,1.791,3289516.0,星期一,-0.0044,-0.0202
2026-01-30,1.868,1.838,1.88,1.835,2478158.0,星期五,0.0,-0.0161
2026-01-29,1.835,1.868,1.877,1.829,2296953.0,星期四,0.0005,0.018
2026-01-28,1.8,1.834,1.84,1.796,3640992.0,星期三,0.0,0.0189
2026-01-27,1.765,1.8,1.804,1.765,2039443.0,星期二,0.0011,0.0198
2026-01-26,1.753,1.763,1.787,1.745,1406236.0,星期一,0.0006,0.0057
2026-01-23,1.766,1.752,1.768,1.748,1980864.0,星期五,0.004,-0.0079
2026-01-22,1.778,1.759,1.785,1.758,1635543.0,星期四,0.0011,-0.0107
2026-01-21,1.788,1.776,1.795,1.772,1524808.0,星期三,-0.0022,-0.0067
2026-01-20,1.785,1.792,1.799,1.772,2748192.0,星期二,-0.0011,0.0039
2026-01-19,1.782,1.787,1.796,1.772,2574045.0,星期一,-0.0028,0.0028
2026-01-16,1.808,1.787,1.82,1.787,1469563.0,星期五,0.0017,-0.0116
2026-01-15,1.799,1.805,1.825,1.796,2800255.0,星期四,0.0011,0.0033
2026-01-14,1.812,1.797,1.816,1.792,3498547.0,星期三,0.0006,-0.0083
2026-01-13,1.796,1.811,1.829,1.796,2119964.0,星期二,0.0028,0.0084
2026-01-12,1.786,1.791,1.793,1.762,1540872.0,星期一,0.0006,0.0028
2026-01-09,1.79,1.785,1.799,1.78,2417870.0,星期五,0.0017,-0.0028
2026-01-08,1.81,1.787,1.811,1.779,2681578.0,星期四,-0.0006,-0.0127
2026-01-07,1.822,1.811,1.827,1.806,2335185.0,星期三,-0.0027,-0.006
2026-01-06,1.799,1.827,1.83,1.798,3903817.0,星期二,0.0017,0.0156
2026-01-05,1.784,1.796,1.802,1.776,3516160.0,星期一,0.0119,0.0067
2025-12-31,1.776,1.763,1.776,1.754,2091617.0,星期三,-0.0034,-0.0073
2025-12-30,1.773,1.782,1.786,1.759,4087724.0,星期二,0.0,0.0051
2025-12-29,1.771,1.773,1.799,1.765,3737217.0,星期一,-0.0006,0.0011
2025-12-26,1.769,1.772,1.778,1.768,997320.0,星期五,0.0,0.0017
2025-12-25,1.765,1.769,1.776,1.765,1415572.0,星期四,-0.0023,0.0023
2025-12-24,1.772,1.769,1.776,1.762,2245502.0,星期三,-0.0006,-0.0017
2025-12-23,1.769,1.773,1.796,1.767,3104539.0,星期二,0.0023,0.0023
2025-12-22,1.769,1.765,1.773,1.761,2671139.0,星期一,0.0017,-0.0023
2025-12-19,1.768,1.766,1.77,1.756,3444277.0,星期五,0.004,-0.0011
2025-12-18,1.748,1.761,1.762,1.737,2958691.0,星期四,0.0,0.0074
2025-12-17,1.731,1.748,1.757,1.725,3017103.0,星期三,0.0017,0.0098
2025-12-16,1.77,1.728,1.771,1.725,2761453.0,星期二,-0.0006,-0.0237
2025-12-15,1.754,1.771,1.789,1.754,3358575.0,星期一,-0.0085,0.0097
2025-12-12,1.755,1.769,1.775,1.747,2463955.0,星期五,0.0057,0.008
2025-12-11,1.753,1.745,1.759,1.741,1858356.0,星期四,0.0057,-0.0046
2025-12-10,1.752,1.743,1.754,1.735,2603615.0,星期三,-0.0017,-0.0051
2025-12-09,1.782,1.755,1.782,1.754,1936230.0,星期二,0.0006,-0.0152
2025-12-08,1.805,1.781,1.811,1.777,3115417.0,星期一,0.0073,-0.0133
2025-12-05,1.753,1.792,1.793,1.75,3087619.0,星期五,-0.0006,0.0222
2025-12-04,1.753,1.754,1.755,1.74,2061895.0,星期四,0.0034,0.0006
2025-12-03,1.773,1.747,1.775,1.741,2581545.0,星期三,-0.0028,-0.0147
2025-12-02,1.771,1.778,1.787,1.77,3833584.0,星期二,0.0017,0.004
2025-12-01,1.775,1.768,1.778,1.757,2755939.0,星期一,0.0017,-0.0039
2025-11-28,1.793,1.772,1.795,1.771,1964273.0,星期五,0.0006,-0.0117
2025-11-27,1.788,1.792,1.809,1.77,3160009.0,星期四,-0.0011,0.0022
2025-11-26,1.805,1.79,1.812,1.789,1743108.0,星期三,0.0073,-0.0083
2025-11-25,1.776,1.792,1.797,1.776,1655140.0,星期二,0.0006,0.009
2025-11-24,1.78,1.775,1.785,1.768,1874433.0,星期一,0.0028,-0.0028
2025-11-21,1.798,1.775,1.805,1.771,3986853.0,星期五,-0.0066,-0.0128
2025-11-20,1.81,1.81,1.829,1.806,2783744.0,星期四,0.0061,0.0
2025-11-19,1.789,1.799,1.815,1.787,2276236.0,星期三,0.0006,0.0056
2025-11-18,1.822,1.788,1.823,1.787,1897080.0,星期二,0.0011,-0.0187
2025-11-17,1.843,1.82,1.844,1.814,1764910.0,星期一,0.0027,-0.0125
2025-11-14,1.843,1.838,1.863,1.836,1638780.0,星期五,-0.0113,-0.0027
2025-11-13,1.867,1.864,1.874,1.846,2435696.0,星期四,0.0021,-0.0016
2025-11-12,1.836,1.863,1.874,1.836,1897934.0,星期三,0.0033,0.0147
2025-11-11,1.831,1.83,1.844,1.823,1425008.0,星期二,0.0005,-0.0005
2025-11-10,1.795,1.83,1.835,1.792,1741691.0,星期一,0.0,0.0195
2025-11-07,1.795,1.795,1.806,1.793,1772899.0,星期五,-0.0033,0.0
2025-11-06,1.779,1.801,1.805,1.777,1491064.0,星期四,0.0023,0.0124
2025-11-05,1.773,1.775,1.782,1.754,2040175.0,星期三,-0.0051,0.0011
2025-11-04,1.761,1.782,1.791,1.76,3390434.0,星期二,-0.0011,0.0119
2025-11-03,1.746,1.763,1.77,1.738,2302589.0,星期一,0.0011,0.0097
2025-10-31,1.757,1.744,1.761,1.743,1730708.0,星期五,-0.0006,-0.0074
2025-10-30,1.784,1.758,1.785,1.751,2221528.0,星期四,0.0006,-0.0146
2025-10-29,1.767,1.783,1.792,1.765,1854344.0,星期三,0.0028,0.0091
2025-10-28,1.772,1.762,1.775,1.756,1939105.0,星期二,0.0006,-0.0056
2025-10-27,1.768,1.771,1.784,1.75,2293056.0,星期一,0.0051,0.0017
2025-10-24,1.757,1.759,1.763,1.751,2677549.0,星期五,0.0006,0.0011
2025-10-23,1.74,1.756,1.761,1.738,3144835.0,星期四,-0.0023,0.0092
2025-10-22,1.754,1.744,1.76,1.731,2201267.0,星期三,-0.0006,-0.0057
