time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.318,0.315,0.32,0.312,12963501.0,星期五,-0.0155,-0.0094
2026-06-25,0.33,0.323,0.331,0.319,17346932.0,星期四,-0.006,-0.0212
2026-06-24,0.33,0.332,0.337,0.326,16799930.0,星期三,0.0,0.0061
2026-06-23,0.341,0.33,0.342,0.328,13507027.0,星期二,-0.0087,-0.0323
2026-06-22,0.344,0.344,0.345,0.336,15385746.0,星期一,-0.0058,0.0
2026-06-18,0.351,0.346,0.353,0.343,21769234.0,星期四,-0.0113,-0.0142
2026-06-17,0.357,0.355,0.36,0.353,19628026.0,星期三,-0.0028,-0.0056
2026-06-16,0.368,0.358,0.369,0.357,8369617.0,星期二,0.0,-0.0272
2026-06-15,0.371,0.368,0.373,0.365,14164140.0,星期一,0.0164,-0.0081
2026-06-12,0.367,0.365,0.369,0.364,17851362.0,星期五,0.011,-0.0054
2026-06-11,0.368,0.363,0.373,0.359,15894170.0,星期四,-0.0027,-0.0136
2026-06-10,0.37,0.369,0.371,0.363,18591714.0,星期三,-0.0054,-0.0027
2026-06-09,0.368,0.372,0.374,0.366,17067914.0,星期二,0.0,0.0109
2026-06-08,0.367,0.368,0.373,0.365,16572147.0,星期一,-0.0291,0.0027
2026-06-05,0.379,0.378,0.382,0.374,18602864.0,星期五,0.0,-0.0026
2026-06-04,0.383,0.379,0.386,0.376,17664586.0,星期四,-0.0129,-0.0104
2026-06-03,0.401,0.388,0.401,0.386,21188520.0,星期三,0.0,-0.0324
2026-06-02,0.386,0.401,0.402,0.385,32487888.0,星期二,0.0052,0.0389
2026-06-01,0.372,0.384,0.385,0.372,23624640.0,星期一,0.0,0.0323
2026-05-29,0.372,0.372,0.377,0.366,17924986.0,星期五,0.0054,0.0
2026-05-28,0.377,0.37,0.378,0.363,22406262.0,星期四,-0.0079,-0.0186
2026-05-27,0.387,0.38,0.389,0.378,16920652.0,星期三,0.0,-0.0181
2026-05-26,0.387,0.387,0.388,0.377,24900820.0,星期二,0.0,0.0
2026-05-25,0.387,0.387,0.389,0.386,4946733.0,星期一,-0.0077,0.0
2026-05-22,0.392,0.39,0.393,0.385,63534484.0,星期五,0.0051,-0.0051
2026-05-21,0.405,0.39,0.405,0.389,21695224.0,星期四,0.0075,-0.037
2026-05-20,0.408,0.402,0.409,0.4,20868300.0,星期三,-0.0049,-0.0147
2026-05-19,0.405,0.41,0.412,0.405,12553976.0,星期二,-0.0025,0.0123
2026-05-18,0.409,0.406,0.411,0.402,16157664.0,星期一,-0.0073,-0.0073
2026-05-15,0.424,0.412,0.424,0.409,13403686.0,星期五,-0.0047,-0.0283
2026-05-14,0.436,0.426,0.441,0.425,13443456.0,星期四,0.0283,-0.0229
2026-05-13,0.421,0.424,0.428,0.418,13760538.0,星期三,-0.0071,0.0071
2026-05-12,0.428,0.424,0.431,0.422,10460979.0,星期二,-0.0023,-0.0093
2026-05-11,0.432,0.429,0.432,0.425,9026342.0,星期一,-0.0069,-0.0069
2026-05-08,0.429,0.435,0.435,0.428,7895559.0,星期五,-0.0046,0.014
2026-05-07,0.428,0.431,0.432,0.428,10467708.0,星期四,0.0166,0.007
2026-05-06,0.418,0.421,0.424,0.415,11497768.0,星期三,0.017,0.0072
2026-04-30,0.414,0.411,0.416,0.408,8513956.0,星期四,-0.0048,-0.0072
2026-04-29,0.413,0.416,0.418,0.411,9994692.0,星期三,0.0073,0.0073
2026-04-28,0.415,0.41,0.418,0.407,10160544.0,星期二,-0.0072,-0.012
2026-04-27,0.424,0.418,0.424,0.417,7840705.0,星期一,0.0024,-0.0142
2026-04-24,0.422,0.423,0.425,0.416,9473678.0,星期五,-0.0094,0.0024
2026-04-23,0.431,0.426,0.431,0.423,9348271.0,星期四,0.0,-0.0116
2026-04-22,0.437,0.431,0.437,0.429,7836926.0,星期三,-0.0091,-0.0137
2026-04-21,0.444,0.441,0.445,0.438,4775215.0,星期二,0.0023,-0.0068
2026-04-20,0.439,0.443,0.447,0.437,10617267.0,星期一,0.0,0.0091
