time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.477,1.422,1.477,1.421,10020.0,星期五,0.002,-0.0372
2026-06-25,1.484,1.474,1.484,1.429,2339.0,星期四,0.0277,-0.0067
2026-06-24,1.425,1.444,1.447,1.425,11925.0,星期三,0.0,0.0133
2026-06-23,1.48,1.425,1.485,1.408,7084.0,星期二,-0.0013,-0.0372
2026-06-22,1.437,1.482,1.518,1.437,7689.0,星期一,0.0,0.0313
2026-06-18,1.426,1.437,1.443,1.426,2463.0,星期四,0.0,0.0077
2026-06-17,1.417,1.426,1.427,1.416,11908.0,星期三,0.0007,0.0064
2026-06-16,1.427,1.416,1.427,1.416,11047.0,星期二,0.0056,-0.0077
2026-06-15,1.398,1.419,1.42,1.398,7711.0,星期一,0.0014,0.015
2026-06-12,1.386,1.396,1.404,1.385,9410.0,星期五,0.0102,0.0072
2026-06-11,1.383,1.372,1.385,1.369,10982.0,星期四,0.0,-0.008
2026-06-10,1.383,1.383,1.397,1.383,20171.0,星期三,-0.01,0.0
2026-06-09,1.359,1.397,1.397,1.359,8171.0,星期二,-0.0131,0.028
2026-06-08,1.366,1.377,1.444,1.366,9219.0,星期一,-0.0257,0.0081
2026-06-05,1.423,1.402,1.429,1.402,2277.0,星期五,0.0007,-0.0148
2026-06-04,1.43,1.422,1.433,1.422,4832.0,星期四,0.0,-0.0056
2026-06-03,1.467,1.43,1.467,1.427,36630.0,星期三,0.0209,-0.0252
2026-06-02,1.426,1.437,1.439,1.417,5658.0,星期二,0.0042,0.0077
2026-06-01,1.435,1.42,1.46,1.414,15746.0,星期一,-0.0021,-0.0105
2026-05-29,1.431,1.438,1.442,1.429,6466.0,星期五,0.0042,0.0049
2026-05-28,1.418,1.425,1.426,1.408,4924.0,星期四,-0.007,0.0049
2026-05-27,1.431,1.428,1.439,1.421,9156.0,星期三,-0.0021,-0.0021
2026-05-26,1.424,1.434,1.436,1.424,4383.0,星期二,0.0,0.007
2026-05-25,1.419,1.424,1.424,1.418,7786.0,星期一,0.0064,0.0035
2026-05-22,1.402,1.41,1.415,1.402,3968.0,星期五,0.0,0.0057
2026-05-21,1.422,1.402,1.441,1.402,4923.0,星期四,0.0007,-0.0141
2026-05-20,1.422,1.421,1.422,1.412,7212.0,星期三,0.0007,-0.0007
2026-05-19,1.422,1.421,1.424,1.402,12786.0,星期二,0.0042,-0.0007
2026-05-18,1.442,1.416,1.442,1.409,5750.0,星期一,0.0049,-0.018
2026-05-15,1.431,1.435,1.436,1.381,17517.0,星期五,-0.009,0.0028
2026-05-14,1.45,1.444,1.458,1.428,15528.0,星期四,0.0021,-0.0041
2026-05-13,1.428,1.447,1.447,1.428,49850.0,星期三,-0.0076,0.0133
2026-05-12,1.442,1.439,1.445,1.437,14184.0,星期二,0.0028,-0.0021
2026-05-11,1.42,1.438,1.442,1.42,21133.0,星期一,0.0007,0.0127
2026-05-08,1.423,1.419,1.424,1.414,1203.0,星期五,0.0014,-0.0028
2026-05-07,1.422,1.421,1.423,1.419,25490.0,星期四,0.0042,-0.0007
