time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.66,1.617,1.66,1.608,140607.0,星期五,-0.0018,-0.0259
2026-06-25,1.636,1.663,1.665,1.636,140532.0,星期四,0.0,0.0165
2026-06-24,1.635,1.636,1.64,1.619,90572.0,星期三,-0.0006,0.0006
2026-06-23,1.667,1.636,1.678,1.62,89367.0,星期二,-0.0066,-0.0186
2026-06-22,1.638,1.678,1.678,1.631,42906.0,星期一,0.0,0.0244
2026-06-18,1.629,1.638,1.645,1.626,66862.0,星期四,-0.0012,0.0055
2026-06-17,1.615,1.631,1.632,1.611,39607.0,星期三,0.0,0.0099
2026-06-16,1.622,1.615,1.623,1.61,29534.0,星期二,0.0006,-0.0043
2026-06-15,1.595,1.621,1.621,1.589,80282.0,星期一,0.0057,0.0163
2026-06-12,1.572,1.586,1.594,1.572,76828.0,星期五,0.0051,0.0089
2026-06-11,1.568,1.564,1.575,1.552,77140.0,星期四,-0.0019,-0.0026
2026-06-10,1.578,1.571,1.581,1.562,102820.0,星期三,-0.005,-0.0044
2026-06-09,1.562,1.586,1.587,1.559,58766.0,星期二,0.0013,0.0154
2026-06-08,1.586,1.56,1.586,1.547,86587.0,星期一,-0.0025,-0.0164
2026-06-05,1.61,1.59,1.626,1.587,74857.0,星期五,-0.0049,-0.0124
2026-06-04,1.633,1.618,1.633,1.616,53824.0,星期四,0.0,-0.0092
2026-06-03,1.63,1.633,1.653,1.622,194392.0,星期三,0.0025,0.0018
2026-06-02,1.599,1.626,1.63,1.597,50902.0,星期二,0.0,0.0169
2026-06-01,1.617,1.599,1.625,1.598,68519.0,星期一,-0.0019,-0.0111
2026-05-29,1.628,1.62,1.635,1.612,65911.0,星期五,0.0049,-0.0049
2026-05-28,1.621,1.62,1.624,1.598,53769.0,星期四,0.0006,-0.0006
2026-05-27,1.633,1.62,1.641,1.613,142830.0,星期三,0.0012,-0.008
2026-05-26,1.618,1.631,1.631,1.61,91631.0,星期二,-0.0006,0.008
2026-05-25,1.598,1.619,1.623,1.598,80502.0,星期一,0.0,0.0131
2026-05-22,1.588,1.598,1.6,1.579,73087.0,星期五,0.0051,0.0063
2026-05-21,1.6,1.58,1.627,1.576,91443.0,星期四,0.0,-0.0125
2026-05-20,1.59,1.6,1.602,1.589,93211.0,星期三,-0.005,0.0063
2026-05-19,1.597,1.598,1.598,1.572,53351.0,星期二,0.0019,0.0006
2026-05-18,1.6,1.594,1.604,1.584,64271.0,星期一,-0.0006,-0.0038
2026-05-15,1.618,1.601,1.627,1.594,78065.0,星期五,0.0,-0.0105
2026-05-14,1.646,1.618,1.654,1.615,45529.0,星期四,0.0006,-0.017
2026-05-13,1.629,1.645,1.648,1.622,82008.0,星期三,0.0,0.0098
2026-05-12,1.63,1.629,1.638,1.622,52325.0,星期二,-0.0012,-0.0006
2026-05-11,1.603,1.632,1.636,1.603,142868.0,星期一,0.0,0.0181
2026-05-08,1.609,1.603,1.61,1.597,34389.0,星期五,-0.0019,-0.0037
2026-05-07,1.61,1.612,1.614,1.602,60711.0,星期四,0.0025,0.0012
2026-05-06,1.588,1.606,1.612,1.588,57879.0,星期三,0.0025,0.0113
2026-04-30,1.575,1.584,1.588,1.575,66956.0,星期四,-0.0032,0.0057
2026-04-29,1.561,1.58,1.584,1.561,47111.0,星期三,-0.0013,0.0122
2026-04-28,1.575,1.563,1.575,1.559,72622.0,星期二,0.0038,-0.0076
2026-04-27,1.563,1.569,1.577,1.563,54681.0,星期一,-0.0026,0.0038
2026-04-24,1.566,1.567,1.573,1.556,59357.0,星期五,-0.0045,0.0006
2026-04-23,1.579,1.573,1.585,1.563,97598.0,星期四,0.0006,-0.0038
2026-04-22,1.568,1.578,1.579,1.566,31558.0,星期三,0.0,0.0064
2026-04-21,1.559,1.568,1.569,1.551,30272.0,星期二,-0.0026,0.0058
2026-04-20,1.552,1.563,1.565,1.551,51254.0,星期一,-0.0026,0.0071
2026-04-17,1.555,1.556,1.557,1.549,75591.0,星期五,0.0,0.0006
2026-04-16,1.526,1.555,1.556,1.526,61834.0,星期四,-0.0097,0.019
2026-04-15,1.545,1.541,1.552,1.535,56472.0,星期三,0.0013,-0.0026
2026-04-14,1.533,1.543,1.544,1.528,47111.0,星期二,0.0059,0.0065
2026-04-13,1.511,1.524,1.528,1.511,63285.0,星期一,-0.0072,0.0086
2026-04-10,1.508,1.522,1.528,1.508,63844.0,星期五,0.0053,0.0093
2026-04-09,1.501,1.5,1.504,1.495,63185.0,星期四,-0.0027,-0.0007
2026-04-08,1.459,1.505,1.51,1.459,60798.0,星期三,0.0007,0.0315
2026-04-07,1.459,1.458,1.465,1.452,46982.0,星期二,0.0007,-0.0007
2026-04-03,1.472,1.458,1.472,1.455,42876.0,星期五,0.0027,-0.0095
2026-04-02,1.487,1.468,1.487,1.463,63274.0,星期四,0.0013,-0.0128
2026-04-01,1.475,1.485,1.49,1.472,43486.0,星期三,0.0055,0.0068
2026-03-31,1.479,1.467,1.485,1.465,53196.0,星期二,0.0014,-0.0081
2026-03-30,1.46,1.477,1.477,1.46,76039.0,星期一,-0.0115,0.0116
2026-03-27,1.457,1.477,1.484,1.457,52110.0,星期五,-0.0095,0.0137
2026-03-26,1.484,1.471,1.489,1.465,60261.0,星期四,-0.004,-0.0088
2026-03-25,1.472,1.49,1.493,1.472,54516.0,星期三,-0.0007,0.0122
2026-03-24,1.473,1.473,1.473,1.448,52045.0,星期二,-0.0014,0.0
2026-03-23,1.499,1.475,1.506,1.447,59142.0,星期一,0.0007,-0.016
2026-03-20,1.505,1.498,1.517,1.498,54730.0,星期五,-0.0013,-0.0047
2026-03-19,1.528,1.507,1.528,1.498,49700.0,星期四,-0.0007,-0.0137
2026-03-18,1.525,1.529,1.529,1.512,48205.0,星期三,0.0,0.0026
2026-03-17,1.533,1.525,1.547,1.52,67374.0,星期二,0.0,-0.0052
2026-03-16,1.533,1.533,1.534,1.515,53552.0,星期一,0.0,0.0
2026-03-13,1.536,1.533,1.543,1.527,51016.0,星期五,-0.0007,-0.002
2026-03-12,1.545,1.537,1.545,1.526,54967.0,星期四,0.0026,-0.0052
2026-03-11,1.534,1.541,1.543,1.531,42045.0,星期三,0.0013,0.0046
2026-03-10,1.515,1.532,1.534,1.512,66075.0,星期二,0.002,0.0112
2026-03-09,1.516,1.512,1.549,1.492,65084.0,星期一,-0.0066,-0.0026
2026-03-06,1.507,1.526,1.531,1.507,35720.0,星期五,-0.0099,0.0126
2026-03-05,1.512,1.522,1.53,1.512,41880.0,星期四,0.0,0.0066
2026-03-04,1.528,1.512,1.534,1.499,51199.0,星期三,-0.002,-0.0105
2026-03-03,1.553,1.531,1.555,1.525,36687.0,星期二,0.0,-0.0142
2026-03-02,1.545,1.553,1.553,1.531,57892.0,星期一,-0.0006,0.0052
2026-02-27,1.552,1.546,1.552,1.538,40931.0,星期五,0.0013,-0.0039
2026-02-26,1.553,1.55,1.567,1.541,45767.0,星期四,0.0,-0.0019
2026-02-25,1.549,1.553,1.562,1.544,49477.0,星期三,0.0039,0.0026
2026-02-24,1.528,1.543,1.55,1.528,30549.0,星期二,0.0,0.0098
2026-02-13,1.542,1.528,1.542,1.527,74624.0,星期五,-0.0019,-0.0091
2026-02-12,1.542,1.545,1.549,1.542,34545.0,星期四,-0.0019,0.0019
2026-02-11,1.545,1.545,1.547,1.542,44698.0,星期三,0.0,0.0
2026-02-10,1.546,1.545,1.549,1.542,67113.0,星期二,0.0006,-0.0006
2026-02-09,1.526,1.545,1.546,1.526,40885.0,星期一,0.0039,0.0125
2026-02-06,1.521,1.52,1.533,1.506,59171.0,星期五,-0.0026,-0.0007
2026-02-05,1.526,1.525,1.532,1.517,114969.0,星期四,-0.0065,-0.0007
2026-02-04,1.512,1.536,1.537,1.512,38228.0,星期三,-0.0072,0.0159
2026-02-03,1.508,1.523,1.524,1.496,92309.0,星期二,0.0047,0.0099
2026-02-02,1.533,1.501,1.54,1.497,122228.0,星期一,-0.0052,-0.0209
2026-01-30,1.564,1.541,1.567,1.517,61924.0,星期五,0.0032,-0.0147
2026-01-29,1.549,1.559,1.561,1.538,27985.0,星期四,0.0,0.0065
2026-01-28,1.538,1.549,1.549,1.538,52479.0,星期三,-0.0013,0.0072
2026-01-27,1.534,1.54,1.55,1.528,61438.0,星期二,-0.0078,0.0039
2026-01-26,1.545,1.546,1.555,1.535,47656.0,星期一,-0.0013,0.0006
2026-01-23,1.542,1.547,1.55,1.536,62825.0,星期五,-0.0026,0.0032
2026-01-22,1.553,1.546,1.553,1.536,81959.0,星期四,0.0065,-0.0045
2026-01-21,1.547,1.543,1.554,1.541,62620.0,星期三,-0.0019,-0.0026
2026-01-20,1.55,1.55,1.551,1.533,54328.0,星期二,0.0,0.0
2026-01-19,1.552,1.55,1.558,1.539,61133.0,星期一,0.0039,-0.0013
2026-01-16,1.554,1.546,1.566,1.541,44779.0,星期五,0.0026,-0.0051
2026-01-15,1.54,1.55,1.558,1.54,62738.0,星期四,-0.0065,0.0065
2026-01-14,1.562,1.55,1.574,1.543,78606.0,星期三,0.0039,-0.0077
2026-01-13,1.566,1.556,1.58,1.548,12815.0,星期二,0.0006,-0.0064
2026-01-12,1.564,1.565,1.568,1.544,19501.0,星期一,0.0077,0.0006
2026-01-09,1.546,1.552,1.56,1.543,72976.0,星期五,-0.0019,0.0039
2026-01-08,1.546,1.549,1.575,1.54,79997.0,星期四,-0.009,0.0019
2026-01-07,1.566,1.56,1.57,1.553,56937.0,星期三,0.0013,-0.0038
2026-01-06,1.536,1.564,1.565,1.536,55492.0,星期二,0.0,0.0182
2026-01-05,1.519,1.536,1.543,1.519,78639.0,星期一,0.0033,0.0112
2025-12-31,1.518,1.514,1.524,1.509,79374.0,星期三,0.0,-0.0026
2025-12-30,1.508,1.518,1.523,1.508,43372.0,星期二,-0.0046,0.0066
2025-12-29,1.536,1.515,1.536,1.511,69038.0,星期一,0.0099,-0.0137
2025-12-26,1.517,1.521,1.528,1.513,58665.0,星期五,0.0013,0.0026
2025-12-25,1.511,1.515,1.519,1.509,57205.0,星期四,-0.0007,0.0026
2025-12-24,1.51,1.512,1.515,1.502,53697.0,星期三,0.002,0.0013
2025-12-23,1.508,1.507,1.514,1.504,46563.0,星期二,0.0053,-0.0007
2025-12-22,1.502,1.5,1.506,1.5,43857.0,星期一,0.0074,-0.0013
2025-12-19,1.489,1.491,1.5,1.487,34051.0,星期五,-0.0013,0.0013
2025-12-18,1.489,1.491,1.492,1.483,42195.0,星期四,-0.002,0.0013
2025-12-17,1.464,1.492,1.5,1.464,154928.0,星期三,0.0,0.0191
2025-12-16,1.48,1.464,1.481,1.461,75389.0,星期二,-0.0013,-0.0108
2025-12-15,1.491,1.482,1.495,1.476,40124.0,星期一,0.0013,-0.006
2025-12-12,1.48,1.489,1.491,1.475,37137.0,星期五,0.0,0.0061
2025-12-11,1.498,1.48,1.498,1.48,54679.0,星期四,0.0047,-0.012
2025-12-10,1.49,1.491,1.494,1.479,65334.0,星期三,-0.002,0.0007
2025-12-09,1.504,1.493,1.504,1.488,53858.0,星期二,0.0007,-0.0073
2025-12-08,1.49,1.503,1.509,1.49,49260.0,星期一,0.0,0.0087
2025-12-05,1.478,1.49,1.495,1.475,75937.0,星期五,-0.0007,0.0081
2025-12-04,1.472,1.479,1.483,1.469,42247.0,星期四,-0.0007,0.0048
2025-12-03,1.482,1.473,1.487,1.471,39516.0,星期三,0.002,-0.0061
2025-12-02,1.486,1.479,1.486,1.476,45600.0,星期二,0.0,-0.0047
