time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.104,1.092,1.121,1.068,1453782.0,星期五,-0.0187,-0.0109
2026-06-25,1.088,1.125,1.128,1.085,1167091.0,星期四,0.0121,0.034
2026-06-24,1.011,1.075,1.077,1.011,1187247.0,星期三,-0.0165,0.0633
2026-06-23,1.06,1.028,1.062,1.013,919944.0,星期二,-0.0019,-0.0302
2026-06-22,1.054,1.062,1.09,1.025,1320515.0,星期一,0.0076,0.0076
2026-06-18,1.011,1.046,1.06,1.006,1108209.0,星期四,0.002,0.0346
2026-06-17,0.952,1.009,1.01,0.951,834216.0,星期三,-0.0145,0.0599
2026-06-16,0.958,0.966,0.971,0.949,955786.0,星期二,0.0,0.0084
2026-06-15,0.915,0.958,0.959,0.893,1297248.0,星期一,0.0235,0.047
2026-06-12,0.925,0.894,0.934,0.893,1366251.0,星期五,0.0289,-0.0335
2026-06-11,0.892,0.899,0.913,0.883,431755.0,星期四,-0.0122,0.0078
2026-06-10,0.916,0.903,0.936,0.889,642179.0,星期三,-0.0151,-0.0142
2026-06-09,0.899,0.93,0.93,0.888,613324.0,星期二,0.0181,0.0345
2026-06-08,0.864,0.883,0.906,0.864,893267.0,星期一,-0.0649,0.022
2026-06-05,0.945,0.924,0.956,0.912,912299.0,星期五,-0.0207,-0.0222
2026-06-04,0.925,0.965,0.971,0.925,738556.0,星期四,-0.018,0.0432
2026-06-03,0.925,0.942,0.97,0.923,861647.0,星期三,0.0065,0.0184
2026-06-02,0.888,0.919,0.929,0.88,1032052.0,星期二,-0.0034,0.0349
2026-06-01,0.93,0.891,0.939,0.89,713922.0,星期一,-0.0032,-0.0419
2026-05-29,0.974,0.933,0.985,0.921,957263.0,星期五,0.0031,-0.0421
2026-05-28,0.938,0.971,0.976,0.938,923034.0,星期四,-0.0219,0.0352
2026-05-27,0.985,0.959,1.002,0.954,2012631.0,星期三,-0.003,-0.0264
2026-05-26,0.98,0.988,0.989,0.954,1228968.0,星期二,-0.0041,0.0082
2026-05-25,0.963,0.984,0.984,0.935,1448644.0,星期一,0.031,0.0218
2026-05-22,0.897,0.934,0.935,0.897,824466.0,星期五,0.0022,0.0412
2026-05-21,0.927,0.895,0.95,0.89,558648.0,星期四,0.0109,-0.0345
2026-05-20,0.89,0.917,0.918,0.88,686896.0,星期三,-0.0067,0.0303
2026-05-19,0.866,0.896,0.897,0.846,492425.0,星期二,-0.0092,0.0346
2026-05-18,0.856,0.874,0.884,0.845,598416.0,星期一,-0.0047,0.021
2026-05-15,0.866,0.86,0.892,0.838,701970.0,星期五,-0.0103,-0.0069
2026-05-14,0.9,0.875,0.906,0.864,533087.0,星期四,0.0045,-0.0278
2026-05-13,0.844,0.896,0.898,0.844,533619.0,星期三,-0.0254,0.0616
2026-05-12,0.871,0.866,0.875,0.853,609997.0,星期二,0.0023,-0.0057
2026-05-11,0.839,0.869,0.872,0.839,516319.0,星期一,0.0145,0.0358
2026-05-08,0.826,0.827,0.829,0.818,402128.0,星期五,-0.0131,0.0012
2026-05-07,0.826,0.837,0.84,0.813,382885.0,星期四,0.0049,0.0133
2026-05-06,0.798,0.822,0.84,0.798,426647.0,星期三,0.0101,0.0301
2026-04-30,0.77,0.79,0.793,0.768,512444.0,星期四,0.0039,0.026
2026-04-29,0.757,0.767,0.768,0.745,320021.0,星期三,-0.0156,0.0132
2026-04-28,0.779,0.769,0.782,0.76,387370.0,星期二,0.0,-0.0128
2026-04-27,0.757,0.779,0.78,0.757,436267.0,星期一,0.012,0.0291
2026-04-24,0.745,0.748,0.759,0.736,336113.0,星期五,-0.0013,0.004
2026-04-23,0.754,0.746,0.764,0.737,475812.0,星期四,0.0013,-0.0106
2026-04-22,0.729,0.753,0.753,0.727,451595.0,星期三,0.0014,0.0329
2026-04-21,0.726,0.728,0.732,0.713,402495.0,星期二,-0.0068,0.0028
2026-04-20,0.714,0.731,0.733,0.714,381753.0,星期一,0.0,0.0238
2026-04-17,0.702,0.714,0.718,0.7,349591.0,星期五,-0.0028,0.0171
2026-04-16,0.695,0.704,0.705,0.691,327935.0,星期四,-0.0029,0.0129
2026-04-15,0.707,0.697,0.71,0.692,396517.0,星期三,0.0057,-0.0141
2026-04-14,0.698,0.703,0.706,0.692,511152.0,星期二,0.0131,0.0072
2026-04-13,0.675,0.689,0.696,0.671,358906.0,星期一,-0.0103,0.0207
2026-04-10,0.67,0.682,0.686,0.669,364434.0,星期五,0.0121,0.0179
2026-04-09,0.648,0.662,0.668,0.648,276974.0,星期四,-0.0182,0.0216
2026-04-08,0.637,0.66,0.66,0.636,299611.0,星期三,0.0241,0.0361
2026-04-07,0.615,0.622,0.626,0.615,162297.0,星期二,0.0016,0.0114
2026-04-03,0.615,0.614,0.621,0.612,160437.0,星期五,0.0033,-0.0016
2026-04-02,0.628,0.613,0.63,0.609,175836.0,星期四,-0.0016,-0.0239
2026-04-01,0.625,0.629,0.631,0.623,206944.0,星期三,0.0212,0.0064
2026-03-31,0.619,0.612,0.629,0.61,258051.0,星期二,-0.008,-0.0113
2026-03-30,0.617,0.624,0.626,0.612,223211.0,星期一,-0.0191,0.0113
2026-03-27,0.613,0.629,0.634,0.613,179389.0,星期五,-0.0223,0.0261
2026-03-26,0.638,0.627,0.641,0.625,948811.0,星期四,-0.0078,-0.0172
2026-03-25,0.631,0.643,0.651,0.63,1669035.0,星期三,0.0096,0.019
2026-03-24,0.622,0.625,0.627,0.606,512847.0,星期二,0.0065,0.0048
2026-03-23,0.629,0.618,0.644,0.612,584393.0,星期一,-0.0353,-0.0175
2026-03-20,0.658,0.652,0.666,0.649,1531463.0,星期五,0.003,-0.0091
2026-03-19,0.655,0.656,0.664,0.652,247125.0,星期四,-0.0238,0.0015
2026-03-18,0.663,0.671,0.673,0.658,427590.0,星期三,0.0061,0.0121
2026-03-17,0.677,0.659,0.68,0.658,532963.0,星期二,0.0015,-0.0266
2026-03-16,0.665,0.676,0.676,0.654,354490.0,星期一,-0.0045,0.0165
2026-03-13,0.665,0.668,0.676,0.664,432954.0,星期五,-0.0104,0.0045
2026-03-12,0.677,0.672,0.687,0.664,686180.0,星期四,-0.0029,-0.0074
2026-03-11,0.682,0.679,0.687,0.676,1280348.0,星期三,0.0015,-0.0044
2026-03-10,0.673,0.681,0.682,0.67,283017.0,星期二,0.0151,0.0119
2026-03-09,0.659,0.663,0.663,0.638,1454758.0,星期一,-0.0208,0.0061
2026-03-06,0.668,0.673,0.678,0.665,260359.0,星期五,-0.0074,0.0075
