time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.347,1.338,1.357,1.336,576829.0,星期五,-0.0022,-0.0067
2026-06-25,1.353,1.35,1.37,1.34,334662.0,星期四,-0.0073,-0.0022
2026-06-24,1.397,1.363,1.4,1.362,322409.0,星期三,0.0014,-0.0243
2026-06-23,1.38,1.395,1.409,1.379,561336.0,星期二,-0.0014,0.0109
2026-06-22,1.368,1.382,1.39,1.358,349130.0,星期一,-0.0058,0.0102
2026-06-18,1.407,1.376,1.409,1.371,619280.0,星期四,-0.0014,-0.022
2026-06-17,1.426,1.409,1.431,1.403,407838.0,星期三,0.0035,-0.0119
2026-06-16,1.44,1.421,1.44,1.418,352529.0,星期二,-0.0007,-0.0132
2026-06-15,1.458,1.441,1.461,1.435,324742.0,星期一,-0.0034,-0.0117
2026-06-12,1.429,1.463,1.463,1.424,420801.0,星期五,-0.0083,0.0238
2026-06-11,1.45,1.441,1.45,1.43,391869.0,星期四,0.0035,-0.0062
2026-06-10,1.427,1.445,1.447,1.42,437497.0,星期三,0.0035,0.0126
2026-06-09,1.407,1.422,1.429,1.405,289634.0,星期二,-0.005,0.0107
2026-06-08,1.415,1.414,1.422,1.399,375514.0,星期一,0.0071,-0.0007
2026-06-05,1.39,1.405,1.41,1.39,669299.0,星期五,0.0007,0.0108
2026-06-04,1.4,1.389,1.41,1.385,285946.0,星期四,-0.0014,-0.0079
2026-06-03,1.412,1.402,1.415,1.396,534297.0,星期三,-0.0021,-0.0071
2026-06-02,1.409,1.415,1.426,1.4,227997.0,星期二,0.0007,0.0043
2026-06-01,1.392,1.408,1.409,1.386,217699.0,星期一,-0.0022,0.0115
2026-05-29,1.364,1.395,1.396,1.258,607468.0,星期五,-0.0022,0.0227
2026-05-28,1.374,1.367,1.382,1.364,324186.0,星期四,-0.0015,-0.0051
2026-05-27,1.38,1.376,1.386,1.374,830124.0,星期三,-0.0022,-0.0029
2026-05-26,1.376,1.383,1.387,1.376,332204.0,星期二,-0.0007,0.0051
2026-05-25,1.378,1.377,1.385,1.372,273244.0,星期一,0.0,-0.0007
2026-05-22,1.383,1.378,1.385,1.371,240214.0,星期五,0.0,-0.0036
2026-05-21,1.376,1.383,1.387,1.374,316519.0,星期四,-0.0022,0.0051
2026-05-20,1.392,1.379,1.392,1.377,282528.0,星期三,0.0014,-0.0093
2026-05-19,1.384,1.39,1.4,1.381,321939.0,星期二,0.0007,0.0043
2026-05-18,1.395,1.383,1.395,1.38,514858.0,星期一,-0.0014,-0.0086
2026-05-15,1.406,1.397,1.412,1.392,521591.0,星期五,0.0,-0.0064
2026-05-14,1.398,1.406,1.41,1.396,207919.0,星期四,-0.0021,0.0057
2026-05-13,1.405,1.401,1.407,1.399,282783.0,星期三,0.0007,-0.0028
2026-05-12,1.409,1.404,1.413,1.402,216548.0,星期二,0.0007,-0.0035
2026-05-11,1.404,1.408,1.409,1.399,414817.0,星期一,-0.0035,0.0028
2026-05-08,1.409,1.409,1.418,1.405,205293.0,星期五,-0.0007,0.0
2026-05-07,1.415,1.41,1.417,1.408,227781.0,星期四,0.0,-0.0035
2026-05-06,1.424,1.415,1.424,1.406,282875.0,星期三,-0.0007,-0.0063
2026-04-30,1.43,1.425,1.436,1.422,215023.0,星期四,-0.0035,-0.0035
2026-04-29,1.438,1.435,1.44,1.425,232068.0,星期三,-0.0021,-0.0021
2026-04-28,1.43,1.441,1.442,1.43,236002.0,星期二,-0.0035,0.0077
2026-04-27,1.436,1.435,1.456,1.433,183348.0,星期一,-0.0042,-0.0007
2026-04-24,1.44,1.442,1.448,1.435,228623.0,星期五,-0.0028,0.0014
2026-04-23,1.437,1.444,1.448,1.434,256359.0,星期四,-0.0014,0.0049
2026-04-22,1.446,1.439,1.451,1.436,209643.0,星期三,-0.0028,-0.0048
2026-04-21,1.44,1.45,1.458,1.44,247188.0,星期二,-0.0021,0.0069
2026-04-20,1.426,1.443,1.444,1.425,210103.0,星期一,-0.0007,0.0119
2026-04-17,1.437,1.427,1.437,1.426,188615.0,星期五,0.0007,-0.007
2026-04-16,1.439,1.436,1.448,1.432,264530.0,星期四,0.0,-0.0021
2026-04-15,1.423,1.439,1.441,1.423,180381.0,星期三,-0.0014,0.0112
2026-04-14,1.418,1.425,1.426,1.411,232582.0,星期二,0.0007,0.0049
2026-04-13,1.409,1.417,1.418,1.403,178847.0,星期一,-0.0028,0.0057
2026-04-10,1.415,1.413,1.416,1.411,129965.0,星期五,-0.0007,-0.0014
2026-04-09,1.424,1.416,1.426,1.412,209161.0,星期四,-0.0021,-0.0056
2026-04-08,1.416,1.427,1.427,1.408,266361.0,星期三,0.0,0.0078
2026-04-07,1.43,1.416,1.43,1.41,202897.0,星期二,0.0007,-0.0098
2026-04-03,1.442,1.429,1.443,1.424,144522.0,星期五,-0.0014,-0.009
2026-04-02,1.435,1.444,1.45,1.435,169338.0,星期四,-0.0021,0.0063
2026-04-01,1.437,1.438,1.451,1.433,268543.0,星期三,-0.0014,0.0007
2026-03-31,1.426,1.439,1.445,1.426,261405.0,星期二,0.0007,0.0091
2026-03-30,1.41,1.425,1.429,1.408,231448.0,星期一,-0.007,0.0106
2026-03-27,1.428,1.42,1.43,1.415,243023.0,星期五,0.0014,-0.0056
2026-03-26,1.416,1.426,1.432,1.415,210944.0,星期四,-0.0042,0.0071
2026-03-25,1.41,1.422,1.423,1.398,305868.0,星期三,-0.0014,0.0085
2026-03-24,1.384,1.412,1.413,1.384,326762.0,星期二,0.0,0.0202
2026-03-23,1.423,1.384,1.425,1.378,341504.0,星期一,-0.0035,-0.0274
2026-03-20,1.434,1.428,1.443,1.428,250258.0,星期五,-0.0007,-0.0042
2026-03-19,1.434,1.435,1.444,1.431,354922.0,星期四,-0.0021,0.0007
2026-03-18,1.445,1.437,1.445,1.431,335082.0,星期三,-0.0007,-0.0055
2026-03-17,1.428,1.446,1.447,1.428,398932.0,星期二,-0.0035,0.0126
2026-03-16,1.428,1.433,1.439,1.423,294199.0,星期一,0.0014,0.0035
2026-03-13,1.419,1.426,1.436,1.413,277610.0,星期五,-0.0007,0.0049
2026-03-12,1.408,1.42,1.421,1.407,234171.0,星期四,-0.0014,0.0085
2026-03-11,1.399,1.41,1.411,1.391,228430.0,星期三,0.0,0.0079
2026-03-10,1.4,1.399,1.4,1.386,298195.0,星期二,0.0029,-0.0007
2026-03-09,1.408,1.396,1.409,1.395,238198.0,星期一,0.0007,-0.0085
2026-03-06,1.4,1.407,1.409,1.397,335727.0,星期五,-0.0028,0.005
2026-03-05,1.384,1.404,1.405,1.384,242812.0,星期四,-0.0057,0.0145
2026-03-04,1.408,1.392,1.409,1.381,356938.0,星期三,0.0007,-0.0114
2026-03-03,1.393,1.407,1.417,1.384,569214.0,星期二,0.0,0.0101
2026-03-02,1.381,1.393,1.397,1.375,179613.0,星期一,-0.0029,0.0087
2026-02-27,1.384,1.385,1.391,1.381,207096.0,星期五,0.0,0.0007
2026-02-26,1.389,1.384,1.395,1.38,285675.0,星期四,0.0014,-0.0036
2026-02-25,1.394,1.387,1.4,1.385,270154.0,星期三,0.0,-0.005
2026-02-24,1.397,1.394,1.405,1.393,435892.0,星期二,0.0,-0.0021
2026-02-13,1.41,1.397,1.411,1.396,197576.0,星期五,0.0014,-0.0092
2026-02-12,1.423,1.408,1.427,1.405,395123.0,星期四,-0.0028,-0.0105
2026-02-11,1.424,1.427,1.428,1.417,187227.0,星期三,0.0007,0.0021
2026-02-10,1.42,1.423,1.428,1.418,258348.0,星期二,-0.0007,0.0021
2026-02-09,1.419,1.421,1.423,1.407,333069.0,星期一,0.0007,0.0014
2026-02-06,1.43,1.418,1.431,1.408,351372.0,星期五,0.0007,-0.0084
2026-02-05,1.397,1.429,1.431,1.397,677308.0,星期四,0.0007,0.0229
2026-02-04,1.38,1.396,1.398,1.375,357626.0,星期三,0.0,0.0116
2026-02-03,1.391,1.38,1.391,1.373,842351.0,星期二,-0.0007,-0.0079
2026-02-02,1.387,1.392,1.409,1.387,489846.0,星期一,-0.0007,0.0036
2026-01-30,1.394,1.388,1.406,1.387,400515.0,星期五,0.0,-0.0043
2026-01-29,1.371,1.394,1.395,1.363,322728.0,星期四,-0.0029,0.0168
2026-01-28,1.374,1.375,1.389,1.369,530680.0,星期三,-0.0051,0.0007
2026-01-27,1.381,1.381,1.397,1.376,364174.0,星期二,-0.0014,0.0
2026-01-26,1.373,1.383,1.392,1.369,539133.0,星期一,-0.0007,0.0073
2026-01-23,1.39,1.374,1.393,1.372,579806.0,星期五,0.0007,-0.0115
2026-01-22,1.395,1.389,1.406,1.387,535113.0,星期四,-0.0007,-0.0043
2026-01-21,1.42,1.396,1.423,1.391,738002.0,星期三,0.0,-0.0169
2026-01-20,1.404,1.42,1.421,1.401,781784.0,星期二,0.0,0.0114
2026-01-19,1.414,1.404,1.417,1.401,1583305.0,星期一,0.0,-0.0071
2026-01-16,1.43,1.414,1.438,1.408,292279.0,星期五,0.0021,-0.0112
2026-01-15,1.439,1.427,1.44,1.426,270559.0,星期四,-0.0007,-0.0083
2026-01-14,1.464,1.44,1.464,1.439,558595.0,星期三,0.0007,-0.0164
2026-01-13,1.454,1.463,1.473,1.454,406395.0,星期二,-0.0007,0.0062
2026-01-12,1.445,1.455,1.456,1.443,334214.0,星期一,-0.0041,0.0069
