time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.885,0.849,0.887,0.848,883068.0,星期五,-0.0145,-0.0407
2026-06-25,0.892,0.898,0.903,0.874,867402.0,星期四,0.0,0.0067
2026-06-24,0.873,0.892,0.892,0.863,749773.0,星期三,-0.0057,0.0218
2026-06-23,0.909,0.878,0.909,0.873,872848.0,星期二,-0.0011,-0.0341
2026-06-22,0.892,0.91,0.91,0.876,992987.0,星期一,0.0,0.0202
2026-06-18,0.868,0.892,0.896,0.868,907916.0,星期四,-0.0057,0.0276
2026-06-17,0.859,0.873,0.875,0.854,624009.0,星期三,-0.0081,0.0163
2026-06-16,0.867,0.866,0.868,0.851,604425.0,星期二,0.0,-0.0012
2026-06-15,0.842,0.867,0.867,0.84,945669.0,星期一,0.012,0.0297
2026-06-12,0.833,0.832,0.847,0.83,765536.0,星期五,0.0048,-0.0012
2026-06-11,0.85,0.829,0.851,0.824,939652.0,星期四,-0.0128,-0.0247
2026-06-10,0.861,0.861,0.891,0.854,917976.0,星期三,-0.0081,0.0
2026-06-09,0.856,0.868,0.868,0.848,664618.0,星期二,0.0071,0.014
2026-06-08,0.867,0.85,0.874,0.841,968715.0,星期一,-0.0247,-0.0196
2026-06-05,0.896,0.889,0.905,0.876,854362.0,星期五,-0.0022,-0.0078
2026-06-04,0.909,0.898,0.909,0.893,762227.0,星期四,-0.0109,-0.0121
2026-06-03,0.92,0.919,0.937,0.911,1084290.0,星期三,-0.0086,-0.0011
2026-06-02,0.935,0.928,0.937,0.906,1105419.0,星期二,0.0021,-0.0075
2026-06-01,0.921,0.933,0.953,0.921,1298093.0,星期一,0.0011,0.013
2026-05-29,0.957,0.92,0.969,0.915,1134761.0,星期五,0.0074,-0.0387
2026-05-28,0.946,0.95,0.955,0.923,1038654.0,星期四,0.0021,0.0042
2026-05-27,0.971,0.944,0.973,0.939,942260.0,星期三,-0.0031,-0.0278
2026-05-26,0.995,0.974,0.995,0.955,1029758.0,星期二,-0.005,-0.0211
2026-05-25,0.992,1.0,1.006,0.981,1027745.0,星期一,0.001,0.0081
2026-05-22,0.985,0.991,0.995,0.972,1295169.0,星期五,0.0072,0.0061
2026-05-21,1.034,0.978,1.042,0.976,1514585.0,星期四,0.0058,-0.0542
2026-05-20,1.043,1.028,1.051,1.024,965684.0,星期三,-0.0086,-0.0144
2026-05-19,1.028,1.052,1.052,1.021,1075946.0,星期二,-0.0039,0.0233
2026-05-18,1.012,1.032,1.045,1.012,987903.0,星期一,-0.0069,0.0198
2026-05-15,1.032,1.019,1.054,1.011,1753812.0,星期五,0.0,-0.0126
2026-05-14,1.098,1.032,1.099,1.03,1802561.0,星期四,0.0176,-0.0601
2026-05-13,1.03,1.079,1.08,1.029,1636660.0,星期三,-0.0115,0.0476
2026-05-12,1.064,1.042,1.064,1.036,1247505.0,星期二,-0.0037,-0.0207
2026-05-11,1.074,1.068,1.083,1.056,1452912.0,星期一,0.0085,-0.0056
2026-05-08,1.054,1.065,1.079,1.05,1185801.0,星期五,-0.0085,0.0104
2026-05-07,1.046,1.063,1.063,1.037,1300699.0,星期四,0.0019,0.0163
2026-05-06,1.006,1.044,1.055,1.006,1692184.0,星期三,0.0141,0.0378
2026-04-30,0.987,0.992,0.996,0.974,1074522.0,星期四,-0.004,0.0051
2026-04-29,0.973,0.991,0.996,0.973,689908.0,星期三,-0.0071,0.0185
2026-04-28,1.003,0.98,1.006,0.977,1047660.0,星期二,-0.0059,-0.0229
2026-04-27,1.016,1.009,1.016,0.994,781128.0,星期一,0.0,-0.0069
2026-04-24,1.014,1.016,1.025,0.99,910460.0,星期五,-0.0078,0.002
2026-04-23,1.025,1.022,1.036,1.012,996251.0,星期四,-0.0029,-0.0029
2026-04-22,0.994,1.028,1.028,0.992,1219674.0,星期三,-0.006,0.0342
2026-04-21,1.013,1.0,1.016,0.99,866221.0,星期二,-0.0088,-0.0128
2026-04-20,1.012,1.022,1.032,1.01,1088135.0,星期一,0.003,0.0099
2026-04-17,1.008,1.009,1.014,1.002,804479.0,星期五,-0.0049,0.001
2026-04-16,0.991,1.013,1.015,0.991,1099583.0,星期四,0.002,0.0222
2026-04-15,1.006,0.989,1.007,0.984,872023.0,星期三,0.007,-0.0169
2026-04-14,0.999,0.999,1.005,0.987,1380002.0,星期二,0.0142,0.0
2026-04-13,0.96,0.985,0.993,0.958,1154171.0,星期一,-0.0123,0.026
2026-04-10,0.97,0.972,0.987,0.969,1025884.0,星期五,0.0062,0.0021
2026-04-09,0.96,0.964,0.968,0.955,859161.0,星期四,-0.0184,0.0042
2026-04-08,0.933,0.978,0.978,0.933,1514615.0,星期三,0.0241,0.0482
2026-04-07,0.913,0.911,0.924,0.905,514876.0,星期二,0.0011,-0.0022
2026-04-03,0.921,0.912,0.924,0.907,617410.0,星期五,0.0066,-0.0098
2026-04-02,0.942,0.915,0.942,0.909,930852.0,星期四,-0.0063,-0.0287
2026-04-01,0.946,0.948,0.955,0.942,786506.0,星期三,0.0183,0.0021
2026-03-31,0.937,0.929,0.955,0.927,823980.0,星期二,-0.0053,-0.0085
2026-03-30,0.929,0.942,0.945,0.91,859896.0,星期一,-0.0148,0.014
2026-03-27,0.922,0.943,0.947,0.921,740431.0,星期五,-0.0171,0.0228
2026-03-26,0.966,0.938,0.97,0.935,781672.0,星期四,-0.001,-0.029
2026-03-25,0.949,0.967,0.979,0.945,1311926.0,星期三,0.0085,0.019
2026-03-24,0.94,0.941,0.943,0.915,1262685.0,星期二,0.0118,0.0011
2026-03-23,0.954,0.929,0.965,0.921,1156962.0,星期一,-0.0205,-0.0262
2026-03-20,1.016,0.974,1.02,0.973,1300048.0,星期五,-0.002,-0.0413
2026-03-19,1.003,1.018,1.03,1.0,1310100.0,星期四,-0.0205,0.015
2026-03-18,0.985,1.024,1.027,0.985,1883837.0,星期三,0.001,0.0396
2026-03-17,1.012,0.984,1.015,0.983,1143647.0,星期二,0.005,-0.0277
2026-03-16,1.002,1.007,1.008,0.984,1095324.0,星期一,-0.0069,0.005
2026-03-13,1.034,1.009,1.039,1.004,1662096.0,星期五,-0.0134,-0.0242
2026-03-12,1.05,1.048,1.072,1.039,1391175.0,星期四,-0.0028,-0.0019
2026-03-11,1.057,1.053,1.068,1.049,1088502.0,星期三,-0.0075,-0.0038
2026-03-10,1.079,1.065,1.083,1.047,3094544.0,星期二,0.0208,-0.013
2026-03-09,1.005,1.057,1.06,0.996,2219526.0,星期一,-0.0137,0.0517
2026-03-06,0.994,1.019,1.02,0.994,767029.0,星期五,-0.0119,0.0252
2026-03-05,1.009,1.006,1.018,0.998,982287.0,星期四,0.0182,-0.003
2026-03-04,0.982,0.991,1.01,0.981,876268.0,星期三,-0.019,0.0092
2026-03-03,1.053,1.001,1.058,0.997,1591609.0,星期二,-0.0019,-0.0494
2026-03-02,1.061,1.055,1.077,1.051,1525865.0,星期一,-0.0248,-0.0057
2026-02-27,1.054,1.088,1.102,1.049,1530467.0,星期五,-0.0113,0.0323
2026-02-26,1.05,1.066,1.074,1.046,1152606.0,星期四,0.001,0.0152
2026-02-25,1.053,1.049,1.06,1.043,976888.0,星期三,-0.0028,-0.0038
2026-02-24,1.098,1.056,1.1,1.05,1440262.0,星期二,0.0157,-0.0383
2026-02-13,1.078,1.081,1.105,1.076,1357981.0,星期五,-0.011,0.0028
2026-02-12,1.071,1.09,1.097,1.065,1232312.0,星期四,0.0104,0.0177
2026-02-11,1.057,1.06,1.073,1.055,682701.0,星期三,-0.0028,0.0028
2026-02-10,1.051,1.06,1.069,1.048,873738.0,星期二,0.0019,0.0086
2026-02-09,1.032,1.049,1.049,1.027,980047.0,星期一,0.0188,0.0165
2026-02-06,1.01,1.013,1.03,0.998,766961.0,星期五,-0.0088,0.003
2026-02-05,1.013,1.019,1.027,1.011,880557.0,星期四,-0.0175,0.0059
2026-02-04,1.053,1.031,1.053,1.017,1390630.0,星期三,-0.0122,-0.0209
2026-02-03,1.042,1.066,1.066,1.031,1131566.0,星期二,0.0087,0.023
2026-02-02,1.06,1.033,1.069,1.03,1025660.0,星期一,-0.0038,-0.0255
2026-01-30,1.073,1.064,1.08,1.045,1286984.0,星期五,-0.0138,-0.0084
2026-01-29,1.065,1.088,1.116,1.057,1671365.0,星期四,-0.0121,0.0216
2026-01-28,1.088,1.078,1.102,1.077,1250662.0,星期三,0.0065,-0.0092
2026-01-27,1.077,1.081,1.087,1.059,1077210.0,星期二,-0.0037,0.0037
2026-01-26,1.089,1.081,1.11,1.064,1417506.0,星期一,0.0,-0.0073
2026-01-23,1.079,1.089,1.089,1.066,1161576.0,星期五,0.0047,0.0093
2026-01-22,1.065,1.074,1.078,1.06,1111737.0,星期四,0.0095,0.0085
2026-01-21,1.032,1.055,1.066,1.032,1175569.0,星期三,-0.0162,0.0223
2026-01-20,1.079,1.049,1.085,1.039,1476564.0,星期二,0.0028,-0.0278
2026-01-19,1.084,1.076,1.097,1.074,1995759.0,星期一,-0.0136,-0.0074
2026-01-16,1.107,1.099,1.132,1.093,2017918.0,星期五,-0.0177,-0.0072
2026-01-15,1.157,1.127,1.157,1.106,3145299.0,星期四,0.0,-0.0259
2026-01-14,1.091,1.157,1.165,1.091,4182917.0,星期三,0.0,0.0605
2026-01-13,1.18,1.091,1.18,1.089,5685454.0,星期二,0.0369,-0.0754
2026-01-12,1.066,1.138,1.138,1.058,3542352.0,星期一,0.029,0.0675
2026-01-09,0.992,1.036,1.038,0.992,1507982.0,星期五,-0.002,0.0444
2026-01-08,0.977,0.994,1.005,0.977,1742018.0,星期四,-0.002,0.0174
2026-01-07,0.982,0.979,0.984,0.971,840403.0,星期三,0.0,-0.0031
2026-01-06,0.972,0.982,0.984,0.964,909414.0,星期二,0.0031,0.0103
2026-01-05,0.949,0.969,0.97,0.943,874574.0,星期一,0.0106,0.0211
2025-12-31,0.931,0.939,0.941,0.927,714026.0,星期三,0.0022,0.0086
2025-12-30,0.926,0.929,0.933,0.924,447830.0,星期二,0.0,0.0032
2025-12-29,0.924,0.926,0.932,0.922,491173.0,星期一,0.0011,0.0022
2025-12-26,0.919,0.923,0.928,0.915,583064.0,星期五,0.0,0.0044
2025-12-25,0.909,0.919,0.92,0.908,483540.0,星期四,-0.0022,0.011
2025-12-24,0.902,0.911,0.913,0.9,389178.0,星期三,-0.0011,0.01
2025-12-23,0.911,0.903,0.912,0.9,454990.0,星期二,0.0033,-0.0088
2025-12-22,0.906,0.908,0.914,0.904,574425.0,星期一,0.0067,0.0022
2025-12-19,0.898,0.9,0.907,0.898,408157.0,星期五,0.0022,0.0022
2025-12-18,0.896,0.896,0.906,0.895,441337.0,星期四,-0.0099,0.0
2025-12-17,0.883,0.905,0.905,0.882,1329326.0,星期三,-0.0045,0.0249
2025-12-16,0.901,0.887,0.904,0.884,625684.0,星期二,-0.0033,-0.0155
2025-12-15,0.909,0.904,0.916,0.903,503285.0,星期一,-0.0087,-0.0055
2025-12-12,0.908,0.917,0.918,0.9,611875.0,星期五,0.0,0.0099
2025-12-11,0.924,0.908,0.925,0.907,948855.0,星期四,0.0054,-0.0173
2025-12-10,0.923,0.919,0.924,0.911,1840623.0,星期三,-0.016,-0.0043
2025-12-09,0.944,0.938,0.953,0.936,623541.0,星期二,0.0021,-0.0064
2025-12-08,0.932,0.942,0.947,0.932,1119195.0,星期一,0.0,0.0107
2025-12-05,0.924,0.932,0.934,0.913,651226.0,星期五,-0.0043,0.0087
2025-12-04,0.924,0.928,0.928,0.913,563113.0,星期四,0.0022,0.0043
2025-12-03,0.942,0.922,0.942,0.919,528375.0,星期三,0.0,-0.0212
2025-12-02,0.956,0.942,0.956,0.938,502676.0,星期二,0.0,-0.0146
2025-12-01,0.948,0.956,0.958,0.942,438057.0,星期一,0.0,0.0084
2025-11-28,0.94,0.948,0.948,0.935,318401.0,星期五,-0.0021,0.0085
2025-11-27,0.951,0.942,0.963,0.94,485445.0,星期四,0.0,-0.0095
2025-11-26,0.948,0.951,0.965,0.945,827331.0,星期三,-0.0021,0.0032
2025-11-25,0.95,0.95,0.963,0.945,623108.0,星期二,0.0085,0.0
2025-11-24,0.923,0.942,0.949,0.911,873231.0,星期一,0.0044,0.0206
2025-11-21,0.942,0.919,0.945,0.917,975744.0,星期五,-0.0053,-0.0244
2025-11-20,0.959,0.947,0.964,0.944,400255.0,星期四,0.0031,-0.0125
2025-11-19,0.967,0.956,0.969,0.95,451519.0,星期三,0.0,-0.0114
2025-11-18,0.955,0.967,0.974,0.95,659394.0,星期二,-0.0042,0.0126
2025-11-17,0.945,0.959,0.962,0.944,972332.0,星期一,0.0,0.0148
2025-11-14,0.959,0.945,0.96,0.945,524338.0,星期五,-0.0103,-0.0146
2025-11-13,0.955,0.969,0.972,0.949,611323.0,星期四,0.0,0.0147
2025-11-12,0.963,0.955,0.963,0.945,593328.0,星期三,-0.0031,-0.0083
2025-11-11,0.984,0.966,0.985,0.963,530568.0,星期二,0.0051,-0.0183
2025-11-10,0.984,0.979,0.992,0.973,762166.0,星期一,0.002,-0.0051
2025-11-07,0.991,0.982,0.993,0.981,910503.0,星期五,-0.01,-0.0091
2025-11-06,0.987,1.001,1.004,0.983,652396.0,星期四,0.0,0.0142
2025-11-05,0.986,0.987,0.991,0.97,719440.0,星期三,-0.012,0.001
2025-11-04,1.01,0.998,1.01,0.991,610458.0,星期二,-0.003,-0.0119
2025-11-03,1.006,1.013,1.014,0.998,759864.0,星期一,0.0,0.007
2025-10-31,1.0,1.006,1.015,0.994,1062980.0,星期五,-0.003,0.006
2025-10-30,1.012,1.003,1.02,1.0,793190.0,星期四,-0.003,-0.0089
2025-10-29,1.003,1.015,1.015,1.0,772467.0,星期三,0.0,0.012
2025-10-28,1.005,1.003,1.017,0.998,667992.0,星期二,-0.002,-0.002
2025-10-27,1.012,1.007,1.015,0.996,882532.0,星期一,0.01,-0.0049
2025-10-24,0.989,1.002,1.002,0.987,998504.0,星期五,0.0071,0.0131
2025-10-23,0.978,0.982,0.982,0.957,950230.0,星期四,0.0,0.0041
2025-10-22,0.982,0.978,0.986,0.973,483773.0,星期三,-0.0051,-0.0041
2025-10-21,0.976,0.987,0.987,0.968,1262323.0,星期二,0.0062,0.0113
2025-10-20,0.976,0.97,0.984,0.963,667052.0,星期一,0.0104,-0.0061
2025-10-17,1.0,0.966,1.003,0.962,803300.0,星期五,0.0,-0.034
