time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.85,0.83,0.857,0.83,130834.0,星期五,-0.0035,-0.0235
2026-06-25,0.849,0.853,0.856,0.828,136974.0,星期四,0.0,0.0047
2026-06-24,0.835,0.849,0.864,0.835,173594.0,星期三,0.0012,0.0168
2026-06-23,0.83,0.834,0.851,0.828,135156.0,星期二,0.0012,0.0048
2026-06-22,0.813,0.829,0.83,0.797,138240.0,星期一,-0.0061,0.0197
2026-06-18,0.813,0.818,0.83,0.806,104931.0,星期四,-0.0012,0.0062
2026-06-17,0.819,0.814,0.822,0.809,73038.0,星期三,0.0037,-0.0061
2026-06-16,0.836,0.816,0.836,0.814,88281.0,星期二,0.0036,-0.0239
2026-06-15,0.846,0.833,0.846,0.828,96292.0,星期一,0.0095,-0.0154
2026-06-12,0.823,0.838,0.84,0.815,87862.0,星期五,0.0,0.0182
2026-06-11,0.822,0.823,0.826,0.815,80738.0,星期四,0.0,0.0012
2026-06-10,0.814,0.822,0.823,0.809,85828.0,星期三,0.0,0.0098
2026-06-09,0.816,0.814,0.816,0.804,74915.0,星期二,0.0012,-0.0025
2026-06-08,0.829,0.815,0.83,0.806,134160.0,星期一,-0.0024,-0.0169
2026-06-05,0.83,0.831,0.843,0.828,76556.0,星期五,0.0048,0.0012
2026-06-04,0.84,0.826,0.841,0.821,87889.0,星期四,0.0036,-0.0167
2026-06-03,0.854,0.837,0.854,0.834,118193.0,星期三,0.0035,-0.0199
2026-06-02,0.858,0.851,0.858,0.845,118140.0,星期二,0.0,-0.0082
2026-06-01,0.865,0.858,0.871,0.853,97413.0,星期一,0.0012,-0.0081
2026-05-29,0.852,0.864,0.873,0.851,137194.0,星期五,-0.0012,0.0141
2026-05-28,0.863,0.853,0.865,0.846,125066.0,星期四,-0.0023,-0.0116
2026-05-27,0.866,0.865,0.871,0.85,145263.0,星期三,0.0,-0.0012
2026-05-26,0.866,0.866,0.869,0.859,86930.0,星期二,0.0035,0.0
2026-05-25,0.866,0.863,0.867,0.856,88555.0,星期一,0.0,-0.0035
2026-05-22,0.875,0.866,0.879,0.864,126513.0,星期五,0.0,-0.0103
2026-05-21,0.875,0.875,0.896,0.87,183312.0,星期四,0.0057,0.0
2026-05-20,0.877,0.87,0.877,0.862,100031.0,星期三,0.0,-0.008
2026-05-19,0.875,0.877,0.882,0.869,116651.0,星期二,0.0034,0.0023
2026-05-18,0.89,0.872,0.89,0.867,193953.0,星期一,-0.0011,-0.0202
2026-05-15,0.902,0.891,0.905,0.888,121008.0,星期五,0.0045,-0.0122
2026-05-14,0.916,0.898,0.927,0.898,187050.0,星期四,-0.0033,-0.0197
2026-05-13,0.92,0.919,0.925,0.912,107022.0,星期三,-0.0033,-0.0011
2026-05-12,0.926,0.923,0.936,0.914,162257.0,星期二,0.0022,-0.0032
2026-05-11,0.917,0.924,0.925,0.908,136645.0,星期一,0.0011,0.0076
2026-05-08,0.925,0.916,0.925,0.915,116860.0,星期五,0.0,-0.0097
2026-05-07,0.924,0.925,0.929,0.919,136851.0,星期四,0.0,0.0011
2026-05-06,0.925,0.924,0.925,0.917,141893.0,星期三,0.0011,-0.0011
2026-04-30,0.925,0.924,0.932,0.922,162967.0,星期四,-0.0054,-0.0011
2026-04-29,0.927,0.93,0.936,0.924,142034.0,星期三,0.0,0.0032
2026-04-28,0.92,0.927,0.939,0.92,217130.0,星期二,0.0077,0.0076
2026-04-27,0.92,0.913,0.92,0.91,117194.0,星期一,-0.0011,-0.0076
2026-04-24,0.916,0.921,0.927,0.912,171782.0,星期五,-0.0022,0.0055
2026-04-23,0.917,0.918,0.925,0.913,133948.0,星期四,0.0,0.0011
2026-04-22,0.911,0.917,0.918,0.906,118235.0,星期三,0.0,0.0066
2026-04-21,0.913,0.911,0.92,0.907,89180.0,星期二,-0.0011,-0.0022
2026-04-20,0.911,0.914,0.917,0.908,145183.0,星期一,-0.0033,0.0033
2026-04-17,0.935,0.914,0.935,0.912,174730.0,星期五,-0.0011,-0.0225
2026-04-16,0.94,0.936,0.94,0.93,139730.0,星期四,0.0,-0.0043
2026-04-15,0.936,0.94,0.943,0.927,146303.0,星期三,0.0065,0.0043
2026-04-14,0.924,0.93,0.931,0.915,129169.0,星期二,0.0,0.0065
2026-04-13,0.932,0.924,0.932,0.922,68112.0,星期一,-0.0011,-0.0086
2026-04-10,0.923,0.933,0.943,0.923,109299.0,星期五,-0.0043,0.0108
2026-04-09,0.935,0.927,0.94,0.927,85683.0,星期四,-0.0021,-0.0086
2026-04-08,0.923,0.937,0.938,0.922,108186.0,星期三,0.0022,0.0152
2026-04-07,0.923,0.921,0.933,0.911,123566.0,星期二,0.0,-0.0022
2026-04-03,0.935,0.923,0.935,0.918,141877.0,星期五,-0.0064,-0.0128
2026-04-02,0.941,0.941,0.948,0.935,209676.0,星期四,0.0,0.0
2026-04-01,0.917,0.941,0.942,0.916,247923.0,星期三,0.0066,0.0262
2026-03-31,0.916,0.911,0.931,0.91,145218.0,星期二,0.0,-0.0055
2026-03-30,0.903,0.916,0.917,0.899,149652.0,星期一,-0.0055,0.0144
2026-03-27,0.872,0.908,0.91,0.871,182969.0,星期五,-0.0057,0.0413
2026-03-26,0.89,0.877,0.899,0.875,81667.0,星期四,0.0,-0.0146
2026-03-25,0.883,0.89,0.893,0.883,79561.0,星期三,0.0,0.0079
2026-03-24,0.87,0.883,0.883,0.87,125669.0,星期二,0.0058,0.0149
2026-03-23,0.897,0.865,0.897,0.86,205195.0,星期一,-0.0011,-0.0357
2026-03-20,0.908,0.898,0.917,0.897,106489.0,星期五,0.0,-0.011
2026-03-19,0.918,0.908,0.918,0.905,146017.0,星期四,-0.0033,-0.0109
2026-03-18,0.919,0.921,0.922,0.912,97153.0,星期三,-0.0011,0.0022
2026-03-17,0.917,0.92,0.933,0.913,142653.0,星期二,0.0011,0.0033
2026-03-16,0.912,0.916,0.92,0.908,102667.0,星期一,0.0,0.0044
2026-03-13,0.915,0.912,0.92,0.911,104155.0,星期五,-0.0033,-0.0033
2026-03-12,0.928,0.918,0.928,0.915,106994.0,星期四,0.0032,-0.0108
2026-03-11,0.926,0.925,0.927,0.919,150629.0,星期三,0.0011,-0.0011
2026-03-10,0.907,0.925,0.925,0.907,153338.0,星期二,0.0,0.0198
2026-03-09,0.906,0.907,0.915,0.898,138172.0,星期一,-0.0131,0.0011
2026-03-06,0.894,0.918,0.918,0.894,150286.0,星期五,0.0,0.0268
2026-03-05,0.895,0.894,0.903,0.892,110311.0,星期四,0.0022,-0.0011
2026-03-04,0.901,0.893,0.904,0.888,154974.0,星期三,-0.0033,-0.0089
2026-03-03,0.915,0.904,0.922,0.901,193671.0,星期二,-0.0011,-0.012
2026-03-02,0.923,0.916,0.926,0.909,181240.0,星期一,-0.0086,-0.0076
2026-02-27,0.926,0.931,0.935,0.926,101424.0,星期五,-0.0054,0.0054
2026-02-26,0.938,0.931,0.944,0.928,145317.0,星期四,0.0021,-0.0075
2026-02-25,0.932,0.936,0.938,0.93,157630.0,星期三,0.0,0.0043
2026-02-24,0.932,0.932,0.939,0.929,91445.0,星期二,0.0011,0.0
2026-02-13,0.945,0.931,0.945,0.929,124698.0,星期五,0.0011,-0.0148
2026-02-12,0.947,0.944,0.952,0.942,94533.0,星期四,0.0,-0.0032
2026-02-11,0.946,0.947,0.953,0.945,101017.0,星期三,-0.0011,0.0011
2026-02-10,0.939,0.947,0.952,0.935,203104.0,星期二,0.0,0.0085
2026-02-09,0.936,0.939,0.941,0.933,132479.0,星期一,0.0,0.0032
2026-02-06,0.941,0.936,0.948,0.926,167994.0,星期五,0.0021,-0.0053
2026-02-05,0.932,0.939,0.942,0.932,199943.0,星期四,0.0,0.0075
2026-02-04,0.92,0.932,0.934,0.912,197463.0,星期三,0.0,0.013
2026-02-03,0.909,0.92,0.92,0.906,109628.0,星期二,0.0,0.0121
2026-02-02,0.933,0.909,0.933,0.907,276630.0,星期一,0.0,-0.0257
2026-01-30,0.946,0.933,0.949,0.929,337007.0,星期五,0.0011,-0.0137
2026-01-29,0.933,0.945,0.946,0.925,189416.0,星期四,-0.0011,0.0129
2026-01-28,0.944,0.934,0.945,0.93,163665.0,星期三,0.0011,-0.0106
2026-01-27,0.957,0.943,0.959,0.936,163916.0,星期二,0.001,-0.0146
2026-01-26,0.962,0.956,0.962,0.943,328733.0,星期一,0.0052,-0.0062
2026-01-23,0.952,0.957,0.962,0.952,164520.0,星期五,0.0021,0.0053
2026-01-22,0.962,0.95,0.962,0.947,194446.0,星期四,0.0021,-0.0125
2026-01-21,0.962,0.96,0.967,0.955,275691.0,星期三,0.0021,-0.0021
2026-01-20,0.971,0.96,0.971,0.956,136951.0,星期二,0.001,-0.0113
2026-01-19,0.968,0.97,0.976,0.965,85018.0,星期一,-0.0041,0.0021
2026-01-16,0.981,0.972,0.989,0.97,104535.0,星期五,0.0,-0.0092
2026-01-15,0.984,0.981,0.995,0.979,156360.0,星期四,-0.003,-0.003
2026-01-14,0.996,0.987,1.012,0.98,303453.0,星期三,0.0,-0.009
2026-01-13,0.99,0.996,1.012,0.99,190671.0,星期二,0.0041,0.0061
2026-01-12,0.982,0.986,0.992,0.977,220062.0,星期一,0.0,0.0041
2026-01-09,0.968,0.982,0.982,0.968,152812.0,星期五,-0.0021,0.0145
2026-01-08,0.967,0.97,0.974,0.964,138115.0,星期四,0.001,0.0031
2026-01-07,0.961,0.966,0.973,0.96,173087.0,星期三,0.0,0.0052
2026-01-06,0.954,0.961,0.963,0.952,121222.0,星期二,0.0,0.0073
2026-01-05,0.925,0.954,0.955,0.922,208276.0,星期一,0.0011,0.0314
2025-12-31,0.925,0.924,0.931,0.92,118723.0,星期三,-0.0043,-0.0011
2025-12-30,0.931,0.929,0.932,0.924,117250.0,星期二,0.0,-0.0021
2025-12-29,0.949,0.931,0.949,0.93,162504.0,星期一,0.0053,-0.019
2025-12-26,0.942,0.944,0.948,0.94,151350.0,星期五,-0.0032,0.0021
2025-12-25,0.937,0.945,0.946,0.935,109446.0,星期四,0.0,0.0085
2025-12-24,0.937,0.937,0.94,0.934,230305.0,星期三,-0.0011,0.0
2025-12-23,0.945,0.938,0.945,0.936,130578.0,星期二,0.0032,-0.0074
2025-12-22,0.945,0.942,0.947,0.939,243687.0,星期一,-0.0011,-0.0032
2025-12-19,0.934,0.946,0.949,0.933,162388.0,星期五,0.0,0.0128
2025-12-18,0.934,0.934,0.939,0.931,111684.0,星期四,0.0011,0.0
2025-12-17,0.923,0.933,0.937,0.918,102178.0,星期三,0.0011,0.0108
2025-12-16,0.933,0.922,0.938,0.919,110182.0,星期二,0.0,-0.0118
2025-12-15,0.939,0.933,0.942,0.932,133019.0,星期一,-0.0042,-0.0064
2025-12-12,0.948,0.943,0.948,0.935,104804.0,星期五,0.0042,-0.0053
2025-12-11,0.948,0.944,0.952,0.941,151965.0,星期四,0.0,-0.0042
2025-12-10,0.946,0.948,0.948,0.935,151884.0,星期三,0.0,0.0021
2025-12-09,0.949,0.946,0.957,0.945,123115.0,星期二,0.0011,-0.0032
2025-12-08,0.948,0.948,0.956,0.947,111817.0,星期一,0.0011,0.0
