time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.656,0.651,0.661,0.646,59582.0,星期五,-0.0046,-0.0076
2026-06-25,0.661,0.659,0.663,0.651,121058.0,星期四,-0.0075,-0.003
2026-06-24,0.662,0.666,0.67,0.661,154519.0,星期三,0.0,0.006
2026-06-23,0.678,0.662,0.682,0.66,63100.0,星期二,0.0,-0.0236
2026-06-22,0.662,0.678,0.679,0.652,141215.0,星期一,0.0,0.0242
2026-06-18,0.67,0.662,0.67,0.658,177299.0,星期四,-0.003,-0.0119
2026-06-17,0.679,0.672,0.679,0.668,152034.0,星期三,0.0,-0.0103
2026-06-16,0.694,0.679,0.694,0.677,175979.0,星期二,-0.0029,-0.0216
2026-06-15,0.693,0.696,0.702,0.688,169465.0,星期一,0.0,0.0043
2026-06-12,0.673,0.693,0.695,0.673,179619.0,星期五,-0.0074,0.0297
2026-06-11,0.671,0.678,0.679,0.667,202799.0,星期四,0.0015,0.0104
2026-06-10,0.668,0.67,0.673,0.664,151186.0,星期三,0.0,0.003
2026-06-09,0.664,0.668,0.67,0.66,168451.0,星期二,-0.0015,0.006
2026-06-08,0.676,0.665,0.679,0.657,177825.0,星期一,-0.0073,-0.0163
2026-06-05,0.683,0.681,0.689,0.678,143329.0,星期五,-0.0015,-0.0029
2026-06-04,0.702,0.684,0.702,0.682,134521.0,星期四,0.0014,-0.0256
2026-06-03,0.702,0.701,0.704,0.696,139789.0,星期三,-0.0057,-0.0014
2026-06-02,0.714,0.706,0.714,0.702,135585.0,星期二,0.0014,-0.0112
2026-06-01,0.704,0.713,0.714,0.704,159798.0,星期一,-0.0028,0.0128
2026-05-29,0.703,0.706,0.712,0.7,184421.0,星期五,0.0,0.0043
2026-05-28,0.714,0.703,0.714,0.697,151371.0,星期四,0.0014,-0.0154
2026-05-27,0.724,0.713,0.724,0.708,169882.0,星期三,0.0,-0.0152
2026-05-26,0.715,0.724,0.725,0.71,147402.0,星期二,-0.0014,0.0126
2026-05-25,0.723,0.716,0.723,0.712,154691.0,星期一,0.0,-0.0097
2026-05-22,0.73,0.723,0.73,0.716,145017.0,星期五,0.0125,-0.0096
2026-05-21,0.735,0.721,0.743,0.72,133684.0,星期四,0.0,-0.019
2026-05-20,0.734,0.735,0.739,0.729,130241.0,星期三,-0.0014,0.0014
2026-05-19,0.74,0.735,0.741,0.728,143189.0,星期二,-0.0013,-0.0068
2026-05-18,0.75,0.741,0.75,0.735,137280.0,星期一,-0.0013,-0.012
2026-05-15,0.763,0.751,0.763,0.747,69027.0,星期五,-0.0013,-0.0157
2026-05-14,0.772,0.764,0.773,0.763,52170.0,星期四,-0.0013,-0.0104
2026-05-13,0.771,0.773,0.774,0.768,108421.0,星期三,-0.0013,0.0026
2026-05-12,0.782,0.772,0.782,0.77,95326.0,星期二,0.0039,-0.0128
2026-05-11,0.774,0.779,0.783,0.774,166906.0,星期一,-0.0051,0.0065
2026-05-08,0.781,0.778,0.786,0.774,165032.0,星期五,-0.0026,-0.0038
2026-05-07,0.802,0.783,0.802,0.779,218081.0,星期四,0.0075,-0.0237
2026-05-06,0.792,0.796,0.797,0.784,157875.0,星期三,0.0,0.0051
2026-04-30,0.795,0.792,0.801,0.788,246126.0,星期四,0.0,-0.0038
2026-04-29,0.771,0.795,0.795,0.77,197511.0,星期三,-0.0013,0.0311
2026-04-28,0.774,0.772,0.777,0.769,163589.0,星期二,0.0,-0.0026
2026-04-27,0.777,0.774,0.777,0.77,143365.0,星期一,0.0,-0.0039
2026-04-24,0.77,0.777,0.779,0.768,158645.0,星期五,0.0013,0.0091
2026-04-23,0.777,0.769,0.777,0.765,134311.0,星期四,0.0,-0.0103
2026-04-22,0.78,0.777,0.784,0.774,86639.0,星期三,-0.0038,-0.0038
2026-04-21,0.781,0.783,0.783,0.776,59215.0,星期二,0.0013,0.0026
2026-04-20,0.778,0.78,0.782,0.777,74839.0,星期一,0.0,0.0026
2026-04-17,0.787,0.778,0.787,0.775,162417.0,星期五,0.0,-0.0114
