time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.012,0.98,1.017,0.975,1704757.0,星期五,-0.0059,-0.0316
2026-06-25,1.008,1.018,1.028,0.996,1046251.0,星期四,-0.0088,0.0099
2026-06-24,1.005,1.017,1.021,0.983,1619907.0,星期三,-0.0079,0.0119
2026-06-23,1.079,1.013,1.079,1.006,2183307.0,星期二,0.0,-0.0612
2026-06-22,1.046,1.079,1.081,1.038,2165132.0,星期一,0.0058,0.0315
2026-06-18,0.998,1.04,1.044,0.996,2214671.0,星期四,-0.008,0.0421
2026-06-17,1.016,1.006,1.017,0.996,1981141.0,星期三,-0.0039,-0.0098
2026-06-16,0.982,1.02,1.032,0.978,3071030.0,星期二,-0.0061,0.0387
2026-06-15,0.971,0.988,0.989,0.956,1934188.0,星期一,0.0125,0.0175
2026-06-12,0.947,0.959,0.988,0.946,1772284.0,星期五,0.0107,0.0127
2026-06-11,0.921,0.937,0.945,0.919,1651088.0,星期四,-0.0065,0.0174
2026-06-10,0.93,0.927,0.949,0.92,1228331.0,星期三,-0.0138,-0.0032
2026-06-09,0.917,0.943,0.947,0.908,1540210.0,星期二,0.0077,0.0284
2026-06-08,0.937,0.91,0.943,0.901,2453600.0,星期一,-0.0229,-0.0288
2026-06-05,0.943,0.959,0.973,0.94,1673599.0,星期五,-0.0095,0.017
2026-06-04,0.944,0.952,0.955,0.928,1357410.0,星期四,-0.0105,0.0085
2026-06-03,0.927,0.954,0.962,0.921,1178048.0,星期三,-0.0032,0.0291
2026-06-02,0.912,0.93,0.934,0.896,1160744.0,星期二,-0.0065,0.0197
2026-06-01,0.928,0.918,0.937,0.915,1175015.0,星期一,0.0,-0.0108
2026-05-29,0.964,0.928,0.97,0.919,1145146.0,星期五,-0.0041,-0.0373
2026-05-28,0.941,0.968,0.972,0.94,1273906.0,星期四,-0.0084,0.0287
2026-05-27,0.975,0.949,0.981,0.94,1280345.0,星期三,-0.0031,-0.0267
2026-05-26,0.964,0.978,0.978,0.955,1263683.0,星期二,-0.0082,0.0145
2026-05-25,0.97,0.972,0.978,0.957,997415.0,星期一,-0.4992,0.0021
2026-05-22,1.885,1.937,1.941,1.884,1101898.0,星期五,-0.0021,0.0276
2026-05-21,1.94,1.889,1.969,1.885,1478950.0,星期四,0.001,-0.0263
2026-05-20,1.894,1.938,1.949,1.877,1067240.0,星期三,-0.011,0.0232
2026-05-19,1.936,1.915,1.944,1.882,1126169.0,星期二,-0.0046,-0.0108
2026-05-18,1.954,1.945,1.969,1.925,1048051.0,星期一,-0.0091,-0.0046
2026-05-15,1.979,1.972,2.032,1.96,1441698.0,星期五,-0.004,-0.0035
2026-05-14,2.054,1.987,2.06,1.986,850261.0,星期四,-0.0005,-0.0326
2026-05-13,2.018,2.055,2.06,2.015,883488.0,星期三,-0.0039,0.0183
2026-05-12,2.093,2.026,2.094,2.011,1347569.0,星期二,0.001,-0.032
2026-05-11,2.051,2.091,2.094,2.043,1429411.0,星期一,0.0059,0.0195
2026-05-08,2.017,2.039,2.043,2.011,695328.0,星期五,-0.0113,0.0109
2026-05-07,2.037,2.04,2.05,2.018,808010.0,星期四,-0.0005,0.0015
2026-05-06,1.994,2.038,2.039,1.972,949931.0,星期三,0.0061,0.0221
2026-04-30,1.964,1.982,1.983,1.923,1103341.0,星期四,0.0,0.0092
2026-04-29,1.853,1.964,1.965,1.85,1600082.0,星期三,-0.0011,0.0599
2026-04-28,1.89,1.855,1.891,1.848,1272089.0,星期二,-0.0005,-0.0185
2026-04-27,1.898,1.891,1.905,1.882,560111.0,星期一,0.0,-0.0037
2026-04-24,1.881,1.898,1.91,1.866,847735.0,星期五,-0.0053,0.009
2026-04-23,1.97,1.891,1.976,1.886,1367576.0,星期四,-0.004,-0.0401
2026-04-22,1.961,1.978,1.979,1.95,452541.0,星期三,-0.0046,0.0087
2026-04-21,1.971,1.97,1.986,1.95,874021.0,星期二,-0.002,-0.0005
2026-04-20,1.934,1.975,1.976,1.92,1020116.0,星期一,-0.0005,0.0212
2026-04-17,1.91,1.935,1.943,1.905,611882.0,星期五,-0.0057,0.0131
2026-04-16,1.88,1.921,1.923,1.878,956381.0,星期四,0.0016,0.0218
2026-04-15,1.915,1.877,1.927,1.87,680765.0,星期三,0.0026,-0.0198
2026-04-14,1.919,1.91,1.92,1.882,795497.0,星期二,0.0063,-0.0047
2026-04-13,1.922,1.907,1.925,1.885,699542.0,星期一,0.0218,-0.0078
2026-04-10,1.889,1.881,1.906,1.875,1349728.0,星期五,0.0091,-0.0042
2026-04-09,1.842,1.872,1.889,1.837,938975.0,星期四,-0.0118,0.0163
2026-04-08,1.823,1.864,1.865,1.819,597788.0,星期三,0.0201,0.0225
2026-04-07,1.751,1.787,1.792,1.747,584193.0,星期二,0.0017,0.0206
2026-04-03,1.763,1.748,1.769,1.741,374261.0,星期五,-0.0011,-0.0085
2026-04-02,1.806,1.765,1.806,1.752,593835.0,星期四,-0.0006,-0.0227
2026-04-01,1.818,1.807,1.821,1.79,474597.0,星期三,0.0173,-0.0061
2026-03-31,1.816,1.787,1.827,1.785,492964.0,星期二,0.0,-0.016
2026-03-30,1.806,1.816,1.824,1.784,457362.0,星期一,-0.0099,0.0055
2026-03-27,1.753,1.824,1.838,1.753,685071.0,星期五,-0.0201,0.0405
2026-03-26,1.814,1.789,1.821,1.78,619772.0,星期四,-0.0011,-0.0138
2026-03-25,1.779,1.816,1.82,1.779,896578.0,星期三,0.0085,0.0208
2026-03-24,1.761,1.764,1.765,1.702,822903.0,星期二,0.0167,0.0017
2026-03-23,1.75,1.732,1.808,1.723,1316183.0,星期一,-0.024,-0.0103
2026-03-20,1.825,1.793,1.846,1.792,697473.0,星期五,-0.0016,-0.0175
2026-03-19,1.88,1.828,1.883,1.818,766558.0,星期四,-0.0203,-0.0277
2026-03-18,1.906,1.919,1.922,1.872,639864.0,星期三,0.0,0.0068
2026-03-17,1.962,1.906,1.97,1.905,644164.0,星期二,0.0005,-0.0285
2026-03-16,1.991,1.961,2.0,1.931,1047285.0,星期一,-0.0065,-0.0151
2026-03-13,2.028,2.004,2.061,1.996,759424.0,星期五,-0.0098,-0.0118
2026-03-12,2.053,2.048,2.058,2.009,990546.0,星期四,-0.0015,-0.0024
2026-03-11,2.071,2.056,2.082,2.04,973748.0,星期三,-0.0019,-0.0072
2026-03-10,2.053,2.075,2.085,2.053,573689.0,星期二,0.0015,0.0107
2026-03-09,2.028,2.05,2.059,1.984,995643.0,星期一,-0.0231,0.0108
2026-03-06,2.096,2.076,2.11,2.049,604027.0,星期五,0.0019,-0.0095
2026-03-05,2.12,2.092,2.133,2.07,970006.0,星期四,0.0095,-0.0132
2026-03-04,2.016,2.1,2.151,2.015,1523112.0,星期三,-0.0298,0.0417
2026-03-03,2.218,2.078,2.218,2.063,2614327.0,星期二,-0.0045,-0.0631
2026-03-02,2.246,2.228,2.246,2.168,1775133.0,星期一,0.009,-0.008
2026-02-27,2.142,2.226,2.232,2.139,1850915.0,星期五,0.0005,0.0392
2026-02-26,2.162,2.141,2.168,2.137,1436885.0,星期四,0.0,-0.0097
2026-02-25,2.041,2.162,2.185,2.041,1611166.0,星期三,0.0015,0.0593
2026-02-24,2.035,2.038,2.057,2.026,628922.0,星期二,0.018,0.0015
2026-02-13,2.026,1.999,2.038,1.998,868946.0,星期五,-0.0146,-0.0133
2026-02-12,2.018,2.056,2.07,2.013,2161799.0,星期四,-0.001,0.0188
2026-02-11,1.969,2.02,2.05,1.963,911772.0,星期三,-0.002,0.0259
2026-02-10,1.962,1.973,1.98,1.943,2170555.0,星期二,0.001,0.0056
2026-02-09,1.921,1.96,1.965,1.92,771657.0,星期一,0.0137,0.0203
2026-02-06,1.832,1.895,1.916,1.827,597919.0,星期五,-0.0193,0.0344
2026-02-05,1.929,1.868,1.929,1.849,631270.0,星期四,-0.0113,-0.0316
2026-02-04,1.959,1.951,1.959,1.92,562019.0,星期三,0.0077,-0.0041
2026-02-03,1.886,1.944,1.947,1.876,962463.0,星期二,0.0173,0.0308
2026-02-02,1.876,1.854,1.936,1.854,1060127.0,星期一,-0.0389,-0.0117
2026-01-30,2.03,1.952,2.03,1.908,1250119.0,星期五,-0.0259,-0.0384
2026-01-29,2.078,2.084,2.148,2.024,1626395.0,星期四,0.0043,0.0029
2026-01-28,2.015,2.069,2.072,1.975,1150264.0,星期三,-0.003,0.0268
2026-01-27,2.044,2.021,2.062,1.993,843872.0,星期二,-0.0039,-0.0113
2026-01-26,2.045,2.052,2.073,2.028,952923.0,星期一,0.0034,0.0034
2026-01-23,1.995,2.038,2.038,1.991,747831.0,星期五,0.004,0.0216
2026-01-22,1.97,1.987,2.006,1.965,609898.0,星期四,0.0005,0.0086
2026-01-21,1.916,1.969,1.974,1.915,720388.0,星期三,-0.0114,0.0277
2026-01-20,1.971,1.938,1.981,1.901,902944.0,星期二,0.0,-0.0167
2026-01-19,1.947,1.971,1.98,1.918,874324.0,星期一,-0.0036,0.0123
2026-01-16,1.954,1.954,1.975,1.945,621477.0,星期五,0.0,0.0
2026-01-15,1.965,1.954,1.979,1.94,707673.0,星期四,-0.002,-0.0056
2026-01-14,1.972,1.969,2.026,1.94,1684663.0,星期三,-0.0085,-0.0015
2026-01-13,2.065,1.989,2.065,1.975,1720379.0,星期二,-0.0024,-0.0368
2026-01-12,1.988,2.07,2.074,1.974,1372307.0,星期一,0.0107,0.0412
2026-01-09,1.898,1.967,1.976,1.898,1619324.0,星期五,0.0021,0.0364
2026-01-08,1.898,1.894,1.909,1.87,980762.0,星期四,-0.0115,-0.0021
2026-01-07,1.874,1.92,1.93,1.874,1468285.0,星期三,0.0113,0.0245
2026-01-06,1.805,1.853,1.854,1.805,837971.0,星期二,0.0006,0.0266
2026-01-05,1.782,1.804,1.809,1.782,882640.0,星期一,0.0108,0.0123
2025-12-31,1.759,1.763,1.774,1.75,568929.0,星期三,-0.0006,0.0023
2025-12-30,1.732,1.76,1.769,1.723,1025178.0,星期二,-0.012,0.0162
2025-12-29,1.756,1.753,1.776,1.745,1081158.0,星期一,0.004,-0.0017
2025-12-26,1.744,1.749,1.757,1.729,700935.0,星期五,0.0058,0.0029
2025-12-25,1.715,1.734,1.738,1.701,624913.0,星期四,0.0006,0.0111
2025-12-24,1.703,1.714,1.715,1.698,839464.0,星期三,-0.0006,0.0065
2025-12-23,1.706,1.704,1.718,1.692,502047.0,星期二,0.0006,-0.0012
2025-12-22,1.68,1.705,1.707,1.68,702473.0,星期一,0.0048,0.0149
2025-12-19,1.64,1.672,1.675,1.64,626328.0,星期五,0.0024,0.0195
2025-12-18,1.647,1.636,1.671,1.635,433956.0,星期四,-0.0048,-0.0067
2025-12-17,1.61,1.655,1.66,1.61,607756.0,星期三,-0.0043,0.028
