time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.487,0.473,0.487,0.473,43209.0,星期五,-0.0061,-0.0287
2026-06-25,0.495,0.49,0.495,0.479,55046.0,星期四,0.0041,-0.0101
2026-06-24,0.503,0.493,0.506,0.493,54031.0,星期三,0.002,-0.0199
2026-06-23,0.5,0.502,0.509,0.498,53905.0,星期二,0.0,0.004
2026-06-22,0.499,0.5,0.5,0.484,25126.0,星期一,-0.004,0.002
2026-06-18,0.502,0.501,0.507,0.497,39186.0,星期四,0.0,-0.002
2026-06-17,0.503,0.502,0.503,0.498,44982.0,星期三,0.0,-0.002
2026-06-16,0.507,0.503,0.507,0.499,44039.0,星期二,0.0,-0.0079
2026-06-15,0.507,0.507,0.512,0.503,24736.0,星期一,0.002,0.0
2026-06-12,0.499,0.506,0.507,0.498,87393.0,星期五,0.002,0.014
2026-06-11,0.499,0.498,0.499,0.494,29458.0,星期四,0.0,-0.002
2026-06-10,0.503,0.499,0.503,0.493,48608.0,星期三,-0.002,-0.008
2026-06-09,0.502,0.504,0.505,0.499,51326.0,星期二,0.002,0.004
2026-06-08,0.514,0.501,0.514,0.496,88232.0,星期一,-0.0019,-0.0253
2026-06-05,0.516,0.515,0.519,0.512,34395.0,星期五,0.0019,-0.0019
2026-06-04,0.524,0.515,0.524,0.512,62165.0,星期四,0.0,-0.0172
2026-06-03,0.532,0.524,0.532,0.523,96396.0,星期三,0.0,-0.015
2026-06-02,0.538,0.532,0.539,0.528,79078.0,星期二,0.0,-0.0112
2026-06-01,0.541,0.538,0.542,0.531,58677.0,星期一,0.0,-0.0055
2026-05-29,0.541,0.541,0.545,0.537,125695.0,星期五,0.0019,0.0
2026-05-28,0.546,0.54,0.546,0.535,122105.0,星期四,0.0018,-0.011
2026-05-27,0.55,0.545,0.551,0.539,123513.0,星期三,0.0018,-0.0091
2026-05-26,0.55,0.549,0.553,0.544,127272.0,星期二,-0.0072,-0.0018
2026-05-25,0.548,0.554,0.559,0.548,76204.0,星期一,-0.009,0.0109
2026-05-22,0.552,0.553,0.554,0.547,58358.0,星期五,0.0,0.0018
2026-05-21,0.551,0.552,0.571,0.551,97523.0,星期四,-0.0018,0.0018
2026-05-20,0.559,0.552,0.559,0.549,104562.0,星期三,-0.0053,-0.0125
2026-05-19,0.556,0.562,0.563,0.556,59984.0,星期二,0.0018,0.0108
2026-05-18,0.563,0.555,0.563,0.554,40390.0,星期一,-0.0035,-0.0142
2026-05-15,0.569,0.565,0.571,0.56,118454.0,星期五,-0.0018,-0.007
2026-05-14,0.579,0.57,0.58,0.568,54597.0,星期四,0.0017,-0.0155
2026-05-13,0.579,0.578,0.58,0.574,102042.0,星期三,0.0017,-0.0017
2026-05-12,0.588,0.578,0.588,0.577,119182.0,星期二,0.0034,-0.017
2026-05-11,0.579,0.586,0.586,0.576,71207.0,星期一,0.0,0.0121
2026-05-08,0.572,0.579,0.581,0.572,50208.0,星期五,-0.0035,0.0122
