time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.022,0.99,1.022,0.979,37713.0,星期五,0.0,-0.0313
2026-06-25,1.028,1.022,1.028,1.004,29288.0,星期四,0.0178,-0.0058
2026-06-24,0.987,1.01,1.012,0.975,10881.0,星期三,-0.001,0.0233
2026-06-23,1.022,0.988,1.022,0.973,12226.0,星期二,0.0,-0.0333
2026-06-22,1.015,1.022,1.025,1.001,25068.0,星期一,0.001,0.0069
2026-06-18,0.986,1.014,1.018,0.986,21286.0,星期四,-0.015,0.0284
2026-06-17,0.981,1.001,1.001,0.979,12898.0,星期三,0.0,0.0204
2026-06-16,0.986,0.981,0.998,0.98,10005.0,星期二,0.002,-0.0051
2026-06-15,0.951,0.984,0.985,0.951,24381.0,星期一,0.0,0.0347
2026-06-12,0.945,0.951,0.97,0.945,3835.0,星期五,0.0021,0.0063
2026-06-11,0.949,0.943,0.964,0.934,5338.0,星期四,-0.0084,-0.0063
2026-06-10,0.978,0.957,0.978,0.951,12643.0,星期三,-0.0031,-0.0215
2026-06-09,0.955,0.981,0.981,0.945,4981.0,星期二,0.0021,0.0272
2026-06-08,0.963,0.953,0.972,0.947,22557.0,星期一,-0.0203,-0.0104
2026-06-05,1.013,0.983,1.013,0.979,13040.0,星期五,0.003,-0.0296
2026-06-04,1.009,1.01,1.016,0.991,11302.0,星期四,-0.0069,0.001
2026-06-03,1.02,1.016,1.03,1.005,58444.0,星期三,0.0119,-0.0039
2026-06-02,0.96,1.008,1.013,0.96,37273.0,星期二,-0.0103,0.05
2026-06-01,0.981,0.97,0.995,0.967,18806.0,星期一,-0.001,-0.0112
2026-05-29,0.991,0.982,1.005,0.975,19750.0,星期五,-0.003,-0.0091
2026-05-28,0.987,0.994,0.995,0.968,11566.0,星期四,0.0,0.0071
2026-05-27,1.003,0.987,1.009,0.984,20776.0,星期三,0.0,-0.016
2026-05-26,0.992,1.003,1.004,0.984,29774.0,星期二,0.0,0.0111
2026-05-25,0.977,0.992,0.993,0.973,22835.0,星期一,0.0,0.0154
2026-05-22,0.95,0.977,0.988,0.95,13483.0,星期五,-0.0011,0.0284
2026-05-21,0.975,0.951,0.99,0.948,14421.0,星期四,0.0083,-0.0246
2026-05-20,0.966,0.967,0.975,0.956,13074.0,星期三,0.0,0.001
2026-05-19,0.96,0.966,0.967,0.943,8407.0,星期二,0.0021,0.0063
2026-05-18,0.955,0.958,0.966,0.948,16138.0,星期一,-0.001,0.0031
