time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,0.928,0.915,0.929,0.906,1496155.0,星期五,0.0032,-0.014
2026-06-25,0.935,0.925,0.938,0.923,1178225.0,星期四,-0.0032,-0.0107
2026-06-24,0.94,0.938,0.943,0.931,1225081.0,星期三,0.0,-0.0021
2026-06-23,0.967,0.94,0.969,0.937,3932419.0,星期二,-0.001,-0.0279
2026-06-22,0.952,0.968,0.972,0.948,2363222.0,星期一,0.0,0.0168
2026-06-18,0.975,0.952,0.975,0.948,1804827.0,星期四,-0.002,-0.0236
2026-06-17,0.987,0.977,0.989,0.975,1502419.0,星期三,0.0,-0.0101
2026-06-16,1.009,0.987,1.009,0.986,1246571.0,星期二,0.002,-0.0218
2026-06-15,1.013,1.007,1.022,1.004,1517726.0,星期一,0.0,-0.0059
2026-06-12,1.004,1.013,1.018,1.004,2033515.0,星期五,0.0,0.009
2026-06-11,1.013,1.004,1.017,1.001,1322345.0,星期四,0.005,-0.0089
2026-06-10,1.025,1.008,1.025,1.005,1375940.0,星期三,0.0,-0.0166
2026-06-09,1.031,1.025,1.031,1.018,1323888.0,星期二,0.0,-0.0058
2026-06-08,1.034,1.031,1.037,1.025,1622673.0,星期一,-0.0048,-0.0029
2026-06-05,1.041,1.039,1.049,1.037,995882.0,星期五,0.0,-0.0019
2026-06-04,1.051,1.041,1.052,1.041,1062920.0,星期四,-0.0028,-0.0095
2026-06-03,1.055,1.054,1.055,1.043,666613.0,星期三,0.0029,-0.0009
2026-06-02,1.055,1.052,1.062,1.047,1153007.0,星期二,0.0,-0.0028
2026-06-01,1.036,1.055,1.057,1.035,998907.0,星期一,-0.001,0.0183
2026-05-29,1.024,1.037,1.039,1.017,1724942.0,星期五,0.002,0.0127
2026-05-28,1.037,1.022,1.037,1.018,2587268.0,星期四,0.001,-0.0145
2026-05-27,1.05,1.036,1.05,1.03,2311303.0,星期三,-0.001,-0.0133
2026-05-26,1.047,1.051,1.055,1.038,1056862.0,星期二,0.0,0.0038
2026-05-25,1.048,1.047,1.054,1.047,1046266.0,星期一,-0.0057,-0.001
2026-05-22,1.06,1.054,1.061,1.046,1605536.0,星期五,0.0028,-0.0057
2026-05-21,1.065,1.057,1.066,1.053,2140126.0,星期四,-0.0019,-0.0075
2026-05-20,1.066,1.067,1.075,1.065,1249499.0,星期三,-0.0019,0.0009
2026-05-19,1.06,1.068,1.069,1.059,1716717.0,星期二,-0.0047,0.0075
2026-05-18,1.061,1.065,1.068,1.05,1522548.0,星期一,0.0028,0.0038
2026-05-15,1.07,1.058,1.07,1.056,1054118.0,星期五,-0.0009,-0.0112
2026-05-14,1.078,1.071,1.081,1.068,860862.0,星期四,0.0019,-0.0065
2026-05-13,1.08,1.076,1.087,1.073,983678.0,星期三,-0.0018,-0.0037
2026-05-12,1.073,1.082,1.085,1.073,1032102.0,星期二,-0.0009,0.0084
2026-05-11,1.07,1.074,1.077,1.069,1372188.0,星期一,-0.0009,0.0037
2026-05-08,1.072,1.071,1.074,1.065,1018888.0,星期五,-0.0028,-0.0009
2026-05-07,1.087,1.075,1.087,1.072,1572631.0,星期四,-0.0037,-0.011
2026-05-06,1.092,1.091,1.093,1.077,1239474.0,星期三,-0.0036,-0.0009
2026-04-30,1.102,1.096,1.105,1.092,982560.0,星期四,-0.0018,-0.0054
2026-04-29,1.09,1.104,1.107,1.088,1314722.0,星期三,0.0018,0.0128
