time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.507,1.464,1.507,1.46,89190.0,星期五,0.0,-0.0285
2026-06-25,1.494,1.507,1.508,1.487,57959.0,星期四,-0.0013,0.0087
2026-06-24,1.477,1.496,1.496,1.457,152522.0,星期三,0.0096,0.0129
2026-06-23,1.506,1.463,1.506,1.454,64109.0,星期二,-0.0007,-0.0286
2026-06-22,1.467,1.507,1.507,1.461,130357.0,星期一,-0.0014,0.0273
2026-06-18,1.451,1.469,1.473,1.45,80830.0,星期四,-0.0062,0.0124
2026-06-17,1.441,1.46,1.462,1.44,96856.0,星期三,-0.0007,0.0132
2026-06-16,1.428,1.442,1.447,1.368,117036.0,星期二,-0.0014,0.0098
2026-06-15,1.383,1.43,1.43,1.383,155011.0,星期一,0.0007,0.034
2026-06-12,1.371,1.382,1.403,1.371,154017.0,星期五,0.0096,0.008
2026-06-11,1.351,1.358,1.365,1.345,114219.0,星期四,-0.0095,0.0052
2026-06-10,1.364,1.364,1.373,1.346,110885.0,星期三,-0.0066,0.0
2026-06-09,1.351,1.373,1.377,1.336,113017.0,星期二,0.0097,0.0163
2026-06-08,1.373,1.338,1.384,1.325,131599.0,星期一,-0.0094,-0.0255
2026-06-05,1.392,1.386,1.414,1.382,100826.0,星期五,-0.01,-0.0043
2026-06-04,1.392,1.406,1.411,1.39,90508.0,星期四,-0.0093,0.0101
2026-06-03,1.395,1.405,1.421,1.392,80019.0,星期三,-0.0014,0.0072
2026-06-02,1.383,1.397,1.405,1.365,71574.0,星期二,-0.0022,0.0101
2026-06-01,1.399,1.386,1.41,1.382,82872.0,星期一,0.0007,-0.0093
2026-05-29,1.427,1.398,1.43,1.388,114420.0,星期五,0.0042,-0.0203
2026-05-28,1.423,1.421,1.432,1.4,157301.0,星期四,0.0007,-0.0014
2026-05-27,1.445,1.422,1.453,1.412,116918.0,星期三,0.0028,-0.0159
2026-05-26,1.445,1.441,1.445,1.417,81268.0,星期二,0.0,-0.0028
2026-05-25,1.429,1.445,1.447,1.423,99198.0,星期一,-0.0028,0.0112
2026-05-22,1.402,1.433,1.438,1.402,83201.0,星期五,0.0007,0.0221
2026-05-21,1.447,1.401,1.461,1.4,99323.0,星期四,0.0091,-0.0318
