time,open,close,high,low,vol,day,open-percent,close-percent
2026-06-26,1.035,0.998,1.043,0.997,448717.0,星期五,-0.0038,-0.0357
2026-06-25,1.001,1.039,1.043,0.993,434587.0,星期四,0.001,0.038
2026-06-24,1.007,1.0,1.035,0.998,408201.0,星期三,-0.0137,-0.007
2026-06-23,1.018,1.021,1.046,1.011,587779.0,星期二,-0.001,0.0029
2026-06-22,0.941,1.019,1.02,0.941,1005120.0,星期一,-0.0095,0.0829
2026-06-18,0.969,0.95,0.975,0.946,342931.0,星期四,-0.0082,-0.0196
2026-06-17,0.97,0.977,0.984,0.97,244385.0,星期三,-0.0072,0.0072
2026-06-16,0.965,0.977,0.981,0.955,322651.0,星期二,-0.0021,0.0124
2026-06-15,0.954,0.967,0.991,0.948,412675.0,星期一,0.0106,0.0136
2026-06-12,0.911,0.944,0.946,0.908,299765.0,星期五,0.0,0.0362
2026-06-11,0.916,0.911,0.927,0.903,258564.0,星期四,-0.0043,-0.0055
2026-06-10,0.9,0.92,0.922,0.9,292279.0,星期三,-0.0088,0.0222
2026-06-09,0.904,0.908,0.913,0.897,288200.0,星期二,0.0,0.0044
2026-06-08,0.9,0.904,0.917,0.9,376333.0,星期一,-0.0185,0.0044
2026-06-05,0.924,0.917,0.932,0.916,247087.0,星期五,-0.0011,-0.0076
2026-06-04,0.932,0.925,0.938,0.916,287846.0,星期四,-0.0032,-0.0075
2026-06-03,0.932,0.935,0.942,0.925,290141.0,星期三,-0.0053,0.0032
2026-06-02,0.931,0.937,0.939,0.925,330839.0,星期二,-0.0043,0.0064
2026-06-01,0.93,0.935,0.94,0.925,276075.0,星期一,-0.0011,0.0054
2026-05-29,0.925,0.931,0.945,0.925,373078.0,星期五,0.0033,0.0065
2026-05-28,0.938,0.922,0.938,0.916,337876.0,星期四,-0.0032,-0.0171
2026-05-27,0.951,0.941,0.961,0.935,315318.0,星期三,0.0,-0.0105
2026-05-26,0.94,0.951,0.962,0.94,338917.0,星期二,-0.0032,0.0117
2026-05-25,0.936,0.943,0.948,0.933,267206.0,星期一,0.0,0.0075
2026-05-22,0.953,0.936,0.956,0.933,295778.0,星期五,0.0021,-0.0178
2026-05-21,0.942,0.951,0.983,0.94,353235.0,星期四,-0.0042,0.0096
2026-05-20,0.952,0.946,0.953,0.943,257169.0,星期三,-0.001,-0.0063
2026-05-19,0.94,0.953,0.955,0.937,328848.0,星期二,-0.0053,0.0138
2026-05-18,0.943,0.945,0.952,0.939,221261.0,星期一,-0.0042,0.0021
2026-05-15,0.966,0.947,0.967,0.942,232905.0,星期五,-0.001,-0.0197
2026-05-14,0.988,0.967,0.989,0.966,213934.0,星期四,0.001,-0.0213
2026-05-13,0.996,0.987,0.996,0.977,255135.0,星期三,0.003,-0.009
2026-05-12,0.989,0.993,1.0,0.98,351940.0,星期二,0.0,0.004
